city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Bamako,Bamako,Bammako|Bammaco|Bamaku,12.6392,-8.0028,Mali,ML,MLI,Bamako,Bamako,ML-BKO,district,primary,16776.0,4227569,4227569,1,Africa/Bamako,FALSE,1466965925
Balandougou,Balandougou,,13.3558,-9.5517,Mali,ML,MLI,Kayes,Kayes,ML-1,region,,1.3,1596882,1596882,1,Africa/Bamako,FALSE,1466367944
Zégoua,Zegoua,Zékoua|Zegua,10.4875,-5.6536,Mali,ML,MLI,,,,,,235.5,230360,230360,2,Africa/Bamako,FALSE,1466856084
Sikasso,Sikasso,,11.3167,-5.6667,Mali,ML,MLI,Sikasso,Sikasso,ML-3,region,admin,534.9,213977,213977,2,Africa/Bamako,FALSE,1466666150
Koutiala,Koutiala,Kutiala,12.3833,-5.4667,Mali,ML,MLI,Sikasso,Sikasso,ML-3,region,minor,964.7,137919,137919,2,Africa/Bamako,FALSE,1466253368
Ségou,Segou,,13.4500,-6.2667,Mali,ML,MLI,Ségou,Segou,ML-4,region,admin,473.8,133501,133501,2,Africa/Bamako,FALSE,1466684950
Kayes,Kayes,,14.4500,-11.4333,Mali,ML,MLI,Kayes,Kayes,ML-1,region,admin,6665.5,127368,127368,2,Africa/Bamako,FALSE,1466546429
Mopti,Mopti,,14.4900,-4.1800,Mali,ML,MLI,Mopti,Mopti,ML-5,region,admin,4656.2,108456,108456,2,Africa/Bamako,FALSE,1466352252
Niono,Niono,,14.2500,-5.9861,Mali,ML,MLI,Ségou,Segou,ML-4,region,minor,186.5,91554,91554,3,Africa/Bamako,FALSE,1466927773
Somasso,Somasso,Samasso,12.8667,-5.6000,Mali,ML,MLI,Ségou,Segou,ML-4,region,,94.8,69561,69561,3,Africa/Bamako,FALSE,1466104103
Kati,Kati,"Kati Ville",12.7504,-8.0800,Mali,ML,MLI,Koulikoro,Koulikoro,ML-2,region,minor,2301.3,66895,66895,2,Africa/Bamako,FALSE,1466006801
Koro,Koro,,14.0683,-3.0814,Mali,ML,MLI,Mopti,Mopti,ML-5,region,minor,57.2,62681,62681,3,Africa/Bamako,FALSE,1466120738
Nioro,Nioro,"Nioro du Sahel|Noiro",15.1833,-9.5500,Mali,ML,MLI,Kayes,Kayes,ML-1,region,minor,520.9,60112,60112,3,Africa/Bamako,FALSE,1466532076
Bougouni,Bougouni,Buguni|Bougoum,11.4167,-7.4833,Mali,ML,MLI,Sikasso,Sikasso,ML-3,region,minor,207.9,59679,59679,3,Africa/Bamako,FALSE,1466902797
Baguinéda,Baguineda,Saguiméda,12.6153,-7.7767,Mali,ML,MLI,Koulikoro,Koulikoro,ML-2,region,,59.4,58661,58661,3,Africa/Bamako,FALSE,1466285488
