city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Balata,Balata,,14.7594,-60.8979,Martinique,MQ,MTQ,,,,,,297.7,,,3,America/Martinique,TRUE,1474000426
Gaschette,Gaschette,,14.6873,-60.9434,Martinique,MQ,MTQ,,,,,,595.7,,,3,America/Martinique,FALSE,1474000324
Boulevard,Boulevard,,14.5330,-60.9619,Martinique,MQ,MTQ,,,,,,303.1,,,3,America/Martinique,FALSE,1474000220
Humbert,Humbert,Quartier Humbert,14.5638,-60.8831,Martinique,MQ,MTQ,,,,,,253.9,,,3,America/Martinique,FALSE,1474513443
Bochette,Bochette,Beauchet|Beauchette,14.6425,-60.9829,Martinique,MQ,MTQ,,,,,,569.2,,,3,America/Martinique,FALSE,1474000361
Dominant,Dominant,Quartier Dominant,14.7023,-60.9777,Martinique,MQ,MTQ,,,,,,277.0,,,3,America/Martinique,FALSE,1474932139
Fonds-Saint-Denis,Fonds-Saint-Denis,Fond-Saint-Denis|Fonds-Saint Denis,14.7389,-61.1333,Martinique,MQ,MTQ,,,,,,32.7,,,4,America/Martinique,FALSE,1474740503
Trou au Diable,Trou au Diable,,14.4833,-60.9166,Martinique,MQ,MTQ,,,,,,359.9,,,3,America/Martinique,FALSE,1474000172
Bois Désir,Bois Desir,,14.6888,-60.9643,Martinique,MQ,MTQ,,,,,,595.7,,,3,America/Martinique,FALSE,1474000022
Morne Pois,Morne Pois,,14.4398,-60.8592,Martinique,MQ,MTQ,,,,,,131.0,,,4,America/Martinique,FALSE,1474757715
Les Anglais des Grottes,Les Anglais des Grottes,,14.4364,-60.8532,Martinique,MQ,MTQ,,,,,,131.0,,,4,America/Martinique,FALSE,1474000335
Ducos,Ducos,,14.5750,-60.9750,Martinique,MQ,MTQ,,,,,,618.9,,,3,America/Martinique,FALSE,1474439461
Cocotte,Cocotte,,14.5602,-60.8657,Martinique,MQ,MTQ,,,,,,246.4,,,3,America/Martinique,FALSE,1474000151
Fénelon,Fenelon,,14.5873,-60.9855,Martinique,MQ,MTQ,,,,,,570.9,,,3,America/Martinique,FALSE,1474000051
La Nau,La Nau,Quartier la Nau,14.5453,-60.9088,Martinique,MQ,MTQ,,,,,,415.9,,,3,America/Martinique,FALSE,1474862949
L’Avenir,L'Avenir,,14.5574,-60.9344,Martinique,MQ,MTQ,,,,,,415.9,,,3,America/Martinique,FALSE,1474000372
Habitation Rivière,Habitation Riviere,,14.4789,-60.8568,Martinique,MQ,MTQ,,,,,,349.3,,,3,America/Martinique,FALSE,1474000257
Fond Bourdon,Fond Bourdon,,14.7736,-61.1139,Martinique,MQ,MTQ,,,,,,120.6,,,4,America/Martinique,FALSE,1474000662
Bitaille,Bitaille,,14.5000,-61.0086,Martinique,MQ,MTQ,,,,,,407.3,,,3,America/Martinique,FALSE,1474000118
La Baie des Mulets,La Baie des Mulets,,14.5686,-60.8483,Martinique,MQ,MTQ,,,,,,246.4,,,3,America/Martinique,FALSE,1474000158
Habitation Château Gaillard,Habitation Chateau Gaillard,,14.7570,-61.1399,Martinique,MQ,MTQ,,,,,,118.2,,,4,America/Martinique,FALSE,1474000616
Lareinty,Lareinty,Marly,14.5984,-60.9954,Martinique,MQ,MTQ,,,,,,569.2,,,3,America/Martinique,FALSE,1474000303
Jacqua,Jacqua,,14.4844,-61.0210,Martinique,MQ,MTQ,,,,,,407.3,,,3,America/Martinique,FALSE,1474000089
Morne Babet,Morne Babet,,14.5663,-60.9076,Martinique,MQ,MTQ,,,,,,415.7,,,3,America/Martinique,FALSE,1474000182
Wam,Wam,,14.5418,-60.8932,Martinique,MQ,MTQ,,,,,,339.2,,,3,America/Martinique,FALSE,1474000196
Habitation la Thibault,Habitation la Thibault,,14.6992,-60.9932,Martinique,MQ,MTQ,,,,,,236.0,,,3,America/Martinique,FALSE,1474000161
Beaufort,Beaufort,,14.7483,-61.0355,Martinique,MQ,MTQ,,,,,,390.8,,,3,America/Martinique,FALSE,1474000646
La Fontenay,La Fontenay,Quartier la Fontenay,14.5412,-60.9261,Martinique,MQ,MTQ,,,,,,372.1,,,3,America/Martinique,FALSE,1474895117
L’Union,L'Union,,14.6283,-60.9786,Martinique,MQ,MTQ,,,,,,569.2,,,3,America/Martinique,FALSE,1474000011
La Durand,La Durand,Quartier Durand,14.6829,-61.0529,Martinique,MQ,MTQ,,,,,,414.0,,,3,America/Martinique,FALSE,1474057720
Quartier Réservoir,Quartier Reservoir,,14.5254,-60.8861,Martinique,MQ,MTQ,,,,,,359.1,,,3,America/Martinique,FALSE,1474000142
Mathurin,Mathurin,,14.5014,-60.9083,Martinique,MQ,MTQ,,,,,,359.1,,,3,America/Martinique,FALSE,1474000281
Rollin,Rollin,Quartier Rollin,14.5199,-60.8830,Martinique,MQ,MTQ,,,,,,359.1,,,3,America/Martinique,FALSE,1474688898
Delaine,Delaine,,14.5956,-60.9691,Martinique,MQ,MTQ,,,,,,617.1,,,3,America/Martinique,FALSE,1474000304
Quartier la Fontaine,Quartier la Fontaine,,14.6331,-61.0689,Martinique,MQ,MTQ,,,,,,1898.6,,,3,America/Martinique,FALSE,1474439811
Pomaré,Pomare,Quartier la Pomaré|Quartier Pomaré,14.5317,-60.8850,Martinique,MQ,MTQ,,,,,,359.1,,,3,America/Martinique,FALSE,1474110350
Duharoc,Duharoc,,14.5137,-60.9544,Martinique,MQ,MTQ,,,,,,303.1,,,3,America/Martinique,FALSE,1474000219
Lafitte,Lafitte,,14.4978,-60.9208,Martinique,MQ,MTQ,,,,,,431.3,,,3,America/Martinique,FALSE,1474000177
Mondésir,Mondesir,,14.4462,-60.8621,Martinique,MQ,MTQ,,,,,,131.0,,,4,America/Martinique,FALSE,1474819409
Montjoly,Montjoly,Quartier Mont-Joly|Quartier Mont Joli,14.7002,-61.1309,Martinique,MQ,MTQ,,,,,,137.2,,,4,America/Martinique,FALSE,1474115294
La Casse,La Casse,,14.4681,-60.8312,Martinique,MQ,MTQ,,,,,,209.7,,,3,America/Martinique,FALSE,1474562869
