city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Fort-de-France,Fort-de-France,"Le Fort-de-France|Fort Royal",14.6000,-61.0667,Martinique,MQ,MTQ,,,,,primary,1898.6,253995,253995,1,America/Martinique,FALSE,1474969110
Madelonnette,Madelonnette,,14.8430,-61.1115,Martinique,MQ,MTQ,,,,,,115.5,,,4,America/Martinique,FALSE,1474000549
"La Floride","La Floride",,14.7107,-60.9929,Martinique,MQ,MTQ,,,,,,236.0,,,3,America/Martinique,FALSE,1474000508
"Morne Lapointe","Morne Lapointe",,14.5838,-60.9656,Martinique,MQ,MTQ,,,,,,618.9,,,3,America/Martinique,FALSE,1474000249
"Morne Serpent","Morne Serpent","Quartier Morne Serpent",14.6240,-60.9413,Martinique,MQ,MTQ,,,,,,376.7,,,3,America/Martinique,FALSE,1474898484
"Moulin à Vent","Moulin a Vent",,14.6847,-60.9430,Martinique,MQ,MTQ,,,,,,595.7,,,3,America/Martinique,FALSE,1474000344
Camée,Camee,,14.4821,-60.9072,Martinique,MQ,MTQ,,,,,,359.1,,,3,America/Martinique,FALSE,1474176355
Gabourin,Gabourin,"Quartier Gabourin",14.5954,-60.9168,Martinique,MQ,MTQ,,,,,,376.7,,,3,America/Martinique,FALSE,1474624324
Brevette,Brevette,"Quartier Brevette",14.7212,-60.9702,Martinique,MQ,MTQ,,,,,,297.7,,,3,America/Martinique,FALSE,1474807583
Pelletier,Pelletier,"Quartier Pelletier|Quartier le Pelletier",14.6562,-60.9793,Martinique,MQ,MTQ,,,,,,569.2,,,3,America/Martinique,FALSE,1474734165
"Hauteurs Dumas","Hauteurs Dumas",,14.8587,-61.1320,Martinique,MQ,MTQ,,,,,,111.1,,,4,America/Martinique,FALSE,1474757776
Joséphine,Josephine,,14.7308,-61.0261,Martinique,MQ,MTQ,,,,,,236.0,,,3,America/Martinique,FALSE,1474000471
"Morne Bel","Morne Bel",,14.7333,-60.9667,Martinique,MQ,MTQ,,,,,,297.7,,,3,America/Martinique,FALSE,1474989290
"Pain Bis","Pain Bis",,14.5062,-60.9134,Martinique,MQ,MTQ,,,,,,359.1,,,3,America/Martinique,FALSE,1474000280
Régale-de-Saint-Esprit,Regale-de-Saint-Esprit,,14.5333,-60.9167,Martinique,MQ,MTQ,,,,,,371.4,,,3,America/Martinique,FALSE,1474195258
