city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Nouakchott,Nouakchott,Anuwākshūţ|Nuwākshūţ|Nouakchot|Nouakchat,18.0858,-15.9785,Mauritania,MR,MRT,"Nouakchott Ouest","Nouakchott Ouest",MR-13,region,primary,1039.7,1077169,1077169,1,Africa/Nouakchott,FALSE,1478414984
Arafat,Arafat,‘Arafāt,18.0464,-15.9719,Mauritania,MR,MRT,"Nouakchott Sud","Nouakchott Sud",MR-15,region,admin,29875.9,175969,175969,2,Africa/Nouakchott,FALSE,1478174698
"Dar Naim","Dar Naim","Dār an Na‘īm|Dar Naïm",18.0333,-15.9667,Mauritania,MR,MRT,"Nouakchott Nord","Nouakchott Nord",MR-14,region,admin,1771.1,144043,144043,2,Africa/Nouakchott,FALSE,1478696248
Nouadhibou,Nouadhibou,"Port Ettienne|Port-Étienne|Nouâdhibou|Nuadibu|Nuwādhībū|Anuwādhībū",20.9333,-17.0333,Mauritania,MR,MRT,"Dakhlet Nouadhibou","Dakhlet Nouadhibou",MR-08,region,admin,1750.6,118000,118000,2,Africa/Nouakchott,FALSE,1478176283
Kiffa,Kiffa,Kîfa|Kīfah,16.6300,-11.4000,Mauritania,MR,MRT,Assaba,Assaba,MR-03,region,admin,46.6,110714,110714,2,Africa/Nouakchott,FALSE,1478465771
Rosso,Rosso,Rūşū|Roco,16.5128,-15.8050,Mauritania,MR,MRT,Trarza,Trarza,MR-06,region,admin,76.3,51026,51026,2,Africa/Nouakchott,FALSE,1478524903
Kaédi,Kaedi,Kayhaydī,16.1506,-13.5056,Mauritania,MR,MRT,Gorgol,Gorgol,MR-04,region,admin,298.5,49152,49152,2,Africa/Nouakchott,FALSE,1478607377
Zouerate,Zouerate,"Zoueïratt|Zouîrât|Zouérat|Zouérate|Azuwayrāt|Az Zuwayrāt",22.7333,-12.4667,Mauritania,MR,MRT,"Tiris Zemmour","Tiris Zemmour",MR-11,region,admin,55.5,44649,44649,2,Africa/Nouakchott,FALSE,1478799785
Ksar,Ksar,,18.1022,-15.9550,Mauritania,MR,MRT,"Nouakchott Ouest","Nouakchott Ouest",MR-13,region,,4254.2,43531,43531,2,Africa/Nouakchott,FALSE,1478489289
Sélibaby,Selibaby,Sélibabi|Saylibābī,15.1592,-12.1833,Mauritania,MR,MRT,Guidimaka,Guidimaka,MR-10,region,admin,13.2,26420,26420,2,Africa/Nouakchott,FALSE,1478575433
Aioun,Aioun,"‘Uyūn al ‘Atrūs|Lu‘yūn|‘Ayūn al ‘Atrūs|Al ‘Ayūn|La‘yūn|’Ayoûn el ’Atroûs|Aïoun el Atrouss|Al ‘Uyūn|Aïoun|Ayoûn el Atroûs",16.6667,-9.6167,Mauritania,MR,MRT,"Hodh el Gharbi","Hodh el Gharbi",MR-02,region,admin,204.6,24199,24199,2,Africa/Nouakchott,FALSE,1478255260
Atar,Atar,Atâr|Aţār,20.5167,-13.0500,Mauritania,MR,MRT,Adrar,Adrar,MR-07,region,admin,135.6,24021,24021,2,Africa/Nouakchott,FALSE,1478064510
Guérou,Guerou,,16.8167,-11.8333,Mauritania,MR,MRT,Assaba,Assaba,MR-03,region,,59.6,22323,22323,3,Africa/Nouakchott,FALSE,1478121598
Néma,Nema,"En Na‘ma|An Na‘mah",16.6167,-7.2500,Mauritania,MR,MRT,"Hodh ech Chargui","Hodh ech Chargui",MR-01,region,admin,1169.7,21979,21979,2,Africa/Nouakchott,FALSE,1478009046
Timbedgha,Timbedgha,Timébédra|Timbédra,16.2500,-8.1667,Mauritania,MR,MRT,"Hodh ech Chargui","Hodh ech Chargui",MR-01,region,,30.6,17832,17832,3,Africa/Nouakchott,FALSE,1478847634
Tidjikja,Tidjikja,"Fort Cappolani|Tijikja|Tidjikdja|Tijikjah",18.5500,-11.4333,Mauritania,MR,MRT,Tagant,Tagant,MR-09,region,admin,1.8,15532,15532,2,Africa/Nouakchott,FALSE,1478594780
Aleg,Aleg,Alāk,17.0500,-13.9167,Mauritania,MR,MRT,Brakna,Brakna,MR-05,region,admin,338.5,15521,15521,2,Africa/Nouakchott,FALSE,1478173139
Boutilimit,Boutilimit,Boutillmit,17.5504,-14.7000,Mauritania,MR,MRT,Trarza,Trarza,MR-06,region,,1.5,14142,14142,3,Africa/Nouakchott,FALSE,1478235368
Akjoujt,Akjoujt,"Akjout|Fort Repoux|Akjūjat",19.7500,-14.3833,Mauritania,MR,MRT,Inchiri,Inchiri,MR-12,region,admin,0.8,11235,11235,2,Africa/Nouakchott,FALSE,1478247793
Bogué,Bogue,"Boghé|Bogué Dow",16.5904,-14.2700,Mauritania,MR,MRT,Brakna,Brakna,MR-05,region,,42.7,10415,10415,3,Africa/Nouakchott,FALSE,1478095096
"Ksar el Barka","Ksar el Barka",,18.4000,-12.2167,Mauritania,MR,MRT,Tagant,Tagant,MR-09,region,,3.9,7037,7037,4,Africa/Nouakchott,FALSE,1478267552
Chingueṭṭi,Chinguetti,Chinguetti,20.4500,-12.3500,Mauritania,MR,MRT,Adrar,Adrar,MR-07,region,,0.1,4800,4800,4,Africa/Nouakchott,FALSE,1478284570
Fdérik,Fderik,"Fderik|Idjil|Fdérick|Fort Trinquet|Fort Goureaud|Fdeirek|Fort Gouraud",22.6783,-12.7114,Mauritania,MR,MRT,"Tiris Zemmour","Tiris Zemmour",MR-11,region,,0.0,4715,4715,4,Africa/Nouakchott,FALSE,1478557883
"Bîr Mogreïn","Bir Mogrein","Bir Morhrein|Bir Umm Grain|Bir Oum Greïne|Bir Oum Grein|Bir Oum el Grein|Bir Moghrin|Bir Moghreïne|Bir Moghrein|Bir Moghreim|Bir el Moghreïn|Bîr Moghreïn|Fort-Trinquet",25.2167,-11.6167,Mauritania,MR,MRT,"Tiris Zemmour","Tiris Zemmour",MR-11,region,,0.1,3897,3897,4,Africa/Nouakchott,FALSE,1478537499
"’Aïn Ben Tili","'Ain Ben Tili","Aïn Bentilli",25.9944,-9.5533,Mauritania,MR,MRT,"Tiris Zemmour","Tiris Zemmour",MR-11,region,,0.1,100,100,5,Africa/Nouakchott,FALSE,1478456571
Chegga,Chegga,,25.3733,-5.7873,Mauritania,MR,MRT,"Tiris Zemmour","Tiris Zemmour",MR-11,region,,0.1,10,10,3,Africa/Nouakchott,FALSE,1478632134
"Dabaï el Média","Dabai el Media",,15.5426,-9.2892,Mauritania,MR,MRT,"Hodh el Gharbi","Hodh el Gharbi",MR-02,region,,11.2,,,4,Africa/Nouakchott,FALSE,1478675499
"Jeder el Mohguene","Jeder el Mohguene",,16.5103,-15.6544,Mauritania,MR,MRT,Trarza,Trarza,MR-06,region,,76.3,,,4,Africa/Nouakchott,FALSE,1478165976
"Ould Jiddou","Ould Jiddou",,15.5807,-11.7952,Mauritania,MR,MRT,Guidimaka,Guidimaka,MR-10,region,,6.6,,,5,Africa/Nouakchott,FALSE,1478769480
Garalol,Garalol,,16.2596,-13.8735,Mauritania,MR,MRT,Brakna,Brakna,MR-05,region,,52.8,,,4,Africa/Nouakchott,FALSE,1478567376
"Gourel Diéri","Gourel Dieri",,15.4380,-12.8880,Mauritania,MR,MRT,Gorgol,Gorgol,MR-04,region,,32.9,,,4,Africa/Nouakchott,FALSE,1478197908
"Gourel Diéri","Gourel Dieri",,15.5207,-12.9997,Mauritania,MR,MRT,Gorgol,Gorgol,MR-04,region,,32.9,,,4,Africa/Nouakchott,TRUE,1478225614
