city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Mamoudzou,Mamoudzou,Mamoutzou|Mamutzu|Mambutzou,-12.7806,45.2278,Mayotte,YT,MYT,,,,,primary,1516.7,71437,71437,1,Indian/Mayotte,FALSE,1175099654
Koungou,Koungou,Kongo,-12.7385,45.2071,Mayotte,YT,MYT,,,,,,1395.7,32156,32156,3,Indian/Mayotte,FALSE,1175080353
Dembeni,Dembeni,Debeney|Debenay|Dembéni,-12.8339,45.1725,Mayotte,YT,MYT,,,,,,359.0,15848,15848,3,Indian/Mayotte,FALSE,1175648104
Bandraboua,Bandraboua,M’Gombani|Bandaboa|Bandaboi,-12.7254,45.1072,Mayotte,YT,MYT,,,,,,389.3,13989,13989,3,Indian/Mayotte,FALSE,1175364380
Tsingoni,Tsingoni,,-12.7858,45.1113,Mayotte,YT,MYT,,,,,,382.0,13934,13934,3,Indian/Mayotte,FALSE,1175234033
Sada,Sada,,-12.8511,45.0997,Mayotte,YT,MYT,,,,,,1190.8,11156,11156,3,Indian/Mayotte,FALSE,1175438368
Bandrele,Bandrele,Bandrélé|Bandele|Bandeli|Bandélé,-12.9092,45.1944,Mayotte,YT,MYT,,,,,,271.1,10282,10282,3,Indian/Mayotte,FALSE,1175425508
Ouangani,Ouangani,,-12.8487,45.1446,Mayotte,YT,MYT,,,,,,852.1,10203,10203,3,Indian/Mayotte,FALSE,1175238215
Chirongui,Chirongui,,-12.9344,45.1511,Mayotte,YT,MYT,,,,,,369.0,8920,8920,3,Indian/Mayotte,FALSE,1175000178
Chiconi,Chiconi,,-12.8331,45.1144,Mayotte,YT,MYT,,,,,,911.8,8295,8295,3,Indian/Mayotte,FALSE,1175286709
Mtsamboro,Mtsamboro,Mtzamboro|M’Zambourou|M’Zambaurou|M’Zamburu|M’Zamboro,-12.7010,45.0680,Mayotte,YT,MYT,,,,,,480.0,7705,7705,3,Indian/Mayotte,FALSE,1175122240
M’Tsangamouji,M'Tsangamouji,Mtsamgamouji,-12.7597,45.0827,Mayotte,YT,MYT,,,,,,320.1,6432,6432,3,Indian/Mayotte,FALSE,1175562089
Bouéni,Boueni,Boeni,-12.9061,45.0781,Mayotte,YT,MYT,,,,,,482.1,6189,6189,3,Indian/Mayotte,FALSE,1175755079
Kani-Kéli,Kani-Keli,"Cani-Kely|Kani Kele|Cani",-12.9569,45.1056,Mayotte,YT,MYT,,,,,,272.1,5507,5507,3,Indian/Mayotte,FALSE,1175604638
Acoua,Acoua,Accua,-12.7225,45.0564,Mayotte,YT,MYT,,,,,,347.7,5192,5192,3,Indian/Mayotte,FALSE,1175837322
Choungui,Choungui,,-12.9594,45.1244,Mayotte,YT,MYT,,,,,,248.5,772,772,3,Indian/Mayotte,FALSE,1175422038
Handréma,Handrema,Andréma,-12.6814,45.1004,Mayotte,YT,MYT,,,,,,389.3,,,3,Indian/Mayotte,FALSE,1175923508
Doujani,Doujani,,-12.7935,45.2134,Mayotte,YT,MYT,,,,,,1516.7,,,3,Indian/Mayotte,FALSE,1175077100
Longoni,Longoni,,-12.7347,45.1633,Mayotte,YT,MYT,,,,,,1395.7,,,3,Indian/Mayotte,FALSE,1175478214
Hamouro,Hamouro,Amoro,-12.8817,45.2147,Mayotte,YT,MYT,,,,,,283.2,,,3,Indian/Mayotte,FALSE,1175702270
Tanaraki,Tanaraki,,-12.7591,45.0701,Mayotte,YT,MYT,,,,,,320.1,,,3,Indian/Mayotte,FALSE,1175755986
Komojou,Komojou,,-12.8549,45.1004,Mayotte,YT,MYT,,,,,,1190.8,,,3,Indian/Mayotte,FALSE,1175748315
Kahani,Kahani,,-12.8238,45.1316,Mayotte,YT,MYT,,,,,,852.1,,,3,Indian/Mayotte,FALSE,1175029232
Bandamagi,Bandamagi,,-12.7667,45.1667,Mayotte,YT,MYT,,,,,,815.7,,,3,Indian/Mayotte,FALSE,1175694619
M’Zioizie,M'Zioizie,,-12.9333,45.1333,Mayotte,YT,MYT,,,,,,453.3,,,3,Indian/Mayotte,FALSE,1175980044
Mtsangachéhi,Mtsangachehi,,-12.8860,45.1312,Mayotte,YT,MYT,,,,,,1092.5,,,3,Indian/Mayotte,FALSE,1175101039
"La Convalescence","La Convalescence",Convalescence,-12.7766,45.2227,Mayotte,YT,MYT,,,,,,1516.7,,,3,Indian/Mayotte,FALSE,1175761105
Hanyoundrou,Hanyoundrou,,-12.9044,45.1014,Mayotte,YT,MYT,,,,,,482.1,,,3,Indian/Mayotte,FALSE,1175284361
Dzoumonyé,Dzoumonye,Dzoumogne|Dzumogne,-12.7172,45.1128,Mayotte,YT,MYT,,,,,,389.3,,,3,Indian/Mayotte,FALSE,1175040857
Malamani,Malamani,,-12.9208,45.1583,Mayotte,YT,MYT,,,,,,348.7,,,3,Indian/Mayotte,FALSE,1175975949
Miambani,Miambani,,-12.9500,45.2000,Mayotte,YT,MYT,,,,,,271.1,,,3,Indian/Mayotte,FALSE,1175746759
Courtomel,Courtomel,,-12.7915,45.1633,Mayotte,YT,MYT,,,,,,904.3,,,3,Indian/Mayotte,FALSE,1175881724
Hamjago,Hamjago,,-12.6858,45.0719,Mayotte,YT,MYT,,,,,,480.0,,,3,Indian/Mayotte,FALSE,1175467298
Florence,Florence,,-12.8618,45.1946,Mayotte,YT,MYT,,,,,,359.0,,,3,Indian/Mayotte,FALSE,1175213442
Mtsahara,Mtsahara,M’Tsahara|M’Tsara,-12.6815,45.0835,Mayotte,YT,MYT,,,,,,480.0,,,3,Indian/Mayotte,FALSE,1175545911
Mbouini,Mbouini,,-12.9900,45.1369,Mayotte,YT,MYT,,,,,,248.5,,,3,Indian/Mayotte,FALSE,1175839193
Mitséni,Mitseni,,-12.7386,45.1457,Mayotte,YT,MYT,,,,,,506.4,,,3,Indian/Mayotte,FALSE,1175906916
"Ironi Bé","Ironi Be",,-12.8321,45.1928,Mayotte,YT,MYT,,,,,,359.0,,,3,Indian/Mayotte,FALSE,1175790710
"Kwalé Légion","Kwale Legion",Koualé-Légion,-12.7974,45.1881,Mayotte,YT,MYT,,,,,,1516.7,,,3,Indian/Mayotte,FALSE,1175949039
