city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Samaria,Samaria,,24.8454,-107.6748,Mexico,MX,MEX,Sinaloa,Sinaloa,MX-SIN,state,,25.8,,,4,America/Mazatlan,FALSE,1484231331
Xochiotepec,Xochiotepec,,18.6901,-96.9186,Mexico,MX,MEX,Veracruz,Veracruz,MX-VER,state,,157.9,,,4,America/Mexico_City,FALSE,1484276393
Divina Cruz,Divina Cruz,,29.2660,-110.8650,Mexico,MX,MEX,Sonora,Sonora,MX-SON,state,,19.8,,,4,America/Hermosillo,FALSE,1484401264
Acocogta,Acocogta,,19.8751,-97.4771,Mexico,MX,MEX,Puebla,Puebla,MX-PUE,state,,237.3,,,3,America/Mexico_City,FALSE,1484487264
Rancho Blanco,Rancho Blanco,,16.8149,-96.4803,Mexico,MX,MEX,Oaxaca,Oaxaca,MX-OAX,state,,21.5,,,4,America/Mexico_City,FALSE,1484903931
Paso de los Álamos,Paso de los Alamos,,21.4380,-99.6420,Mexico,MX,MEX,Querétaro,Queretaro,MX-QUE,state,,16.6,,,4,America/Mexico_City,FALSE,1484792990
Las Galeras,Las Galeras,,17.6678,-101.0958,Mexico,MX,MEX,Guerrero,Guerrero,MX-GRO,state,,7.1,,,5,America/Mexico_City,FALSE,1484602171
Bola de la Ardilla,Bola de la Ardilla,,23.2680,-109.4416,Mexico,MX,MEX,Baja California Sur,Baja California Sur,MX-BCS,state,,3.0,,,5,America/Mazatlan,FALSE,1484122983
La Ciénega,La Cienega,,21.4497,-99.5230,Mexico,MX,MEX,San Luis Potosí,San Luis Potosi,MX-SLP,state,,49.0,,,4,America/Mexico_City,FALSE,1484080528
La Ciénega,La Cienega,,21.7343,-100.6595,Mexico,MX,MEX,San Luis Potosí,San Luis Potosi,MX-SLP,state,,28.3,,,4,America/Mexico_City,TRUE,1484916133
Campo 7 ”B”,Campo 7 'B',,28.6222,-106.9618,Mexico,MX,MEX,Chihuahua,Chihuahua,MX-CHH,state,,14.9,,,4,America/Chihuahua,FALSE,1484961074
