city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Weno,Weno,Moen,7.4417,151.8583,"Micronesia, Federated States of",FM,FSM,Chuuk,Chuuk,FM-TRK,state,admin,744.9,13856,13856,2,Pacific/Chuuk,FALSE,1583964118
Palikir,Palikir,Pallikir,6.9172,158.1589,"Micronesia, Federated States of",FM,FSM,Pohnpei,Pohnpei,FM-PNI,state,primary,217.8,6227,6227,1,Pacific/Pohnpei,FALSE,1583008885
Kolonia,Kolonia,"Koronia|Mesieng|Koronie|Koroni|Colony Koronia|Ponape|Colony Town|Ponape Town|Kolonie",6.9639,158.2081,"Micronesia, Federated States of",FM,FSM,Pohnpei,Pohnpei,FM-PNI,state,admin,3301.1,6074,6074,2,Pacific/Pohnpei,FALSE,1583881416
Colonia,Colonia,Yappu|Korronii|Kolonie|Yaptown|Doanguuc|Yap,9.5167,138.1333,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,admin,392.5,3126,3126,2,Pacific/Chuuk,FALSE,1583511563
Tofol,Tofol,,5.3258,163.0086,"Micronesia, Federated States of",FM,FSM,Kosrae,Kosrae,FM-KSA,state,admin,21.9,2591,2591,2,Pacific/Kosrae,FALSE,1583000000
Maap,Maap,,9.6010,138.1650,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,,55.6,592,592,3,Pacific/Chuuk,FALSE,1583491220
Penienuk,Penienuk,,7.3706,151.8928,"Micronesia, Federated States of",FM,FSM,Chuuk,Chuuk,FM-TRK,state,,487.1,,,3,Pacific/Chuuk,FALSE,1583796316
Dechumur,Dechumur,,9.5167,138.1667,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,,123.4,,,4,Pacific/Chuuk,FALSE,1583048570
Baleabaat’,Baleabaat',Valavat|Balebat’|Barabado|Velabat|Balebatt|Balabat|Barabato,9.5031,138.1283,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,,161.9,,,4,Pacific/Chuuk,FALSE,1583064660
Balelach,Balelach,Blelatsch,9.5167,138.1333,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,,952.8,,,3,Pacific/Chuuk,FALSE,1583957490
Tomwarahlong,Tomwarahlong,Tamwarahlong|Tomara|Tomorolong,6.8425,158.1572,"Micronesia, Federated States of",FM,FSM,Pohnpei,Pohnpei,FM-PNI,state,,117.5,,,4,Pacific/Pohnpei,FALSE,1583311235
Qamun,Qamun,Umung|Amun,9.5514,138.1847,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,,107.2,,,4,Pacific/Chuuk,FALSE,1583372075
Firigqaaw,Firigqaaw,Frig’aw|Frigaau|Firigaaw|Faregaaw|Firigau,9.4833,138.0667,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,,73.6,,,4,Pacific/Chuuk,FALSE,1583170241
Neiwe,Neiwe,,7.4167,151.8333,"Micronesia, Federated States of",FM,FSM,Chuuk,Chuuk,FM-TRK,state,,1339.5,,,3,Pacific/Chuuk,FALSE,1583960231
Wininis,Wininis,Wininin,7.3558,151.8481,"Micronesia, Federated States of",FM,FSM,Chuuk,Chuuk,FM-TRK,state,,250.2,,,3,Pacific/Chuuk,FALSE,1583846983
Mutunte,Mutunte,Tafonsak,5.3658,162.9892,"Micronesia, Federated States of",FM,FSM,Kosrae,Kosrae,FM-KSA,state,,289.0,,,3,Pacific/Kosrae,FALSE,1583815324
Gitaem,Gitaem,,9.5053,138.1108,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,,287.5,,,3,Pacific/Chuuk,FALSE,1583824718
Woriiläg,Woriilag,Uvilee|Orile|Orira|Orila|Vorile,9.5825,138.1556,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,,57.6,,,4,Pacific/Chuuk,FALSE,1583719915
"Nan Uh","Nan Uh","U|U Mura",6.9703,158.2575,"Micronesia, Federated States of",FM,FSM,Pohnpei,Pohnpei,FM-PNI,state,,220.7,,,3,Pacific/Pohnpei,FALSE,1583267375
Petiw,Petiw,Beitiu|Peytiu|Peitiu|Peyitiw|Peitu,7.4381,151.8717,"Micronesia, Federated States of",FM,FSM,Chuuk,Chuuk,FM-TRK,state,,74.7,,,4,Pacific/Chuuk,FALSE,1583365404
Oumoar,Oumoar,Oaunoar|Aumar|Aumoar|Aumaru|Oarmoar|Oaumoar,6.9353,158.1681,"Micronesia, Federated States of",FM,FSM,Pohnpei,Pohnpei,FM-PNI,state,,86.8,,,4,Pacific/Pohnpei,FALSE,1583310443
Tarqaaw,Tarqaaw,"Tar’ aw",9.4769,138.0722,"Micronesia, Federated States of",FM,FSM,Yap,Yap,FM-YAP,state,,73.6,,,4,Pacific/Chuuk,FALSE,1583947396
Munien,Munien,Muliefl,7.3197,151.6119,"Micronesia, Federated States of",FM,FSM,Chuuk,Chuuk,FM-TRK,state,,170.4,,,4,Pacific/Chuuk,FALSE,1583471022
