city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Naran,Naran,Na-lan|Urto Naran|Nalin,46.5667,106.6333,Mongolia,MN,MNG,Dundgovĭ,Dundgovi,MN-059,province,,0.2,,,4,Asia/Ulaanbaatar,FALSE,1496310648
Uubulan,Uubulan,Hayrhan sumu|Hayrhan Suma|Khaïrkhan|Hayrhan|Khayrkhan somon|Khayrkhan,48.6067,101.9369,Mongolia,MN,MNG,Arhangay,Arhangay,MN-073,province,minor,1.2,,,3,Asia/Ulaanbaatar,FALSE,1496680526
Novotoyn,Novotoyn,,47.3000,105.2833,Mongolia,MN,MNG,Töv,Tov,MN-047,province,,0.5,,,5,Asia/Ulaanbaatar,FALSE,1496945305
Nariin Chingiliin Dugang,Nariin Chingiliin Dugang,Narin chingilyin dugang,48.8333,104.2000,Mongolia,MN,MNG,Bulgan,Bulgan,MN-067,province,,0.6,,,5,Asia/Ulaanbaatar,FALSE,1496096751
Hoboriin Örtöö,Hoboriin Ortoo,Khoborin yurt|Khoborin urto|Khoborin orto,44.9500,102.0833,Mongolia,MN,MNG,Övörhangay,Ovorhangay,MN-055,province,,0.3,,,4,Asia/Ulaanbaatar,FALSE,1496543626
Alagiin Süme,Alagiin Sume,Alagin Sume,44.7500,110.4167,Mongolia,MN,MNG,Dornogovĭ,Dornogovi,MN-063,province,,0.2,,,5,Asia/Ulaanbaatar,FALSE,1496292828
Badrah,Badrah,Taryalyang somon|Taryalang sumu|Taryalang somon|Taryalang|Taryaalan Suma|Tarialan|Taryaalang Suma|Taralang somon,49.6183,101.9897,Mongolia,MN,MNG,Hövsgöl,Hovsgol,MN-041,province,minor,1.4,,,3,Asia/Ulaanbaatar,FALSE,1496565932
Moltsog Suma,Moltsog Suma,Moltsog sumu|Moltsog Somon|Moltsog|Moltsok Somon|Moltsok,45.3333,113.6667,Mongolia,MN,MNG,Sühbaatar,Suhbaatar,MN-051,province,,0.5,,,4,Asia/Choibalsan,FALSE,1496358275
Jalmaiin,Jalmaiin,Dzhalmyn|Jalmön,48.1500,107.8667,Mongolia,MN,MNG,Töv,Tov,MN-047,province,,0.4,,,5,Asia/Ulaanbaatar,FALSE,1496393643
Tugsïn-Hushuu,Tugsin-Hushuu,,46.6667,102.8500,Mongolia,MN,MNG,Övörhangay,Ovorhangay,MN-055,province,,1.0,,,5,Asia/Ulaanbaatar,FALSE,1496185211
Tsoohoriin Hural,Tsoohoriin Hural,Tsakhirin Khural|Tsokhoriin Khural,47.6333,104.4167,Mongolia,MN,MNG,Bulgan,Bulgan,MN-067,province,,0.9,,,5,Asia/Ulaanbaatar,FALSE,1496588333
Tögrög,Togrog,Mankhan-Sumu|Mankhan Sume|Mankhan Somon|Manhan sumu|Manhan|Manhan Suma|Mankhan,47.4167,92.2167,Mongolia,MN,MNG,Hovd,Hovd,MN-043,province,minor,0.7,,,3,Asia/Hovd,FALSE,1496326508
Büheleyn Oros,Buheleyn Oros,Buhuleyn Oros|Bukhuleyn Oros,49.4833,106.9000,Mongolia,MN,MNG,Selenge,Selenge,MN-049,province,,0.7,,,5,Asia/Ulaanbaatar,FALSE,1496438301
Dzodoiin Hural,Dzodoiin Hural,Dzodyn-khural|Dzodön Khural|Dzobynkhural,46.5333,110.5000,Mongolia,MN,MNG,Hentiy,Hentiy,MN-039,province,,0.3,,,4,Asia/Ulaanbaatar,FALSE,1496072778
Irgaytayn Süme,Irgaytayn Sume,Irgaytuin Sume,46.5000,103.4333,Mongolia,MN,MNG,Övörhangay,Ovorhangay,MN-055,province,,0.8,,,5,Asia/Ulaanbaatar,FALSE,1496957076
Dzahuy,Dzahuy,Dzakhuï,44.9500,96.6000,Mongolia,MN,MNG,Govĭ-Altay,Govi-Altay,MN-065,province,,0.2,,,5,Asia/Hovd,FALSE,1496091914
Tsohyootoyn Hiid,Tsohyootoyn Hiid,Tsokhiotuin khid|Tsohyootayn Hiid|Tsokhiotuyn Khid,43.6667,107.2167,Mongolia,MN,MNG,Ömnögovĭ,Omnogovi,MN-053,province,,0.2,,,4,Asia/Ulaanbaatar,FALSE,1496080908
Oboo Hiid,Oboo Hiid,Obo Khid,45.3000,113.9000,Mongolia,MN,MNG,Sühbaatar,Suhbaatar,MN-051,province,,0.5,,,5,Asia/Choibalsan,FALSE,1496943440
Sümeiin Hiid,Sumeiin Hiid,Sumeyn Khid|Sumein khid,45.1667,98.9833,Mongolia,MN,MNG,Bayanhongor,Bayanhongor,MN-069,province,,0.5,,,5,Asia/Ulaanbaatar,FALSE,1496330971
Nart,Nart,Orkhon|Orhon,49.1453,105.3961,Mongolia,MN,MNG,Selenge,Selenge,MN-049,province,minor,5.2,,,3,Asia/Ulaanbaatar,FALSE,1496837717
Yöröö Den,Yoroo Den,Stanok Iuru-dyan|Iro|I-lo,49.8167,106.5000,Mongolia,MN,MNG,Selenge,Selenge,MN-049,province,,1.5,,,4,Asia/Ulaanbaatar,FALSE,1496135524
Nart,Nart,Erdene|Erdeni Sumny Horshoo|Arhust,47.7204,107.7956,Mongolia,MN,MNG,Töv,Tov,MN-047,province,minor,0.4,,,3,Asia/Ulaanbaatar,FALSE,1496308261
Dolootoyn Hural,Dolootoyn Hural,Dolotuyn Khural|Dolotuin Khural,47.7000,105.0833,Mongolia,MN,MNG,Töv,Tov,MN-047,province,,0.8,,,5,Asia/Ulaanbaatar,FALSE,1496714204
Subsal Bürideiin Horshoo,Subsal Burideiin Horshoo,Subsul Burdin Khorsho|Subsul Burdii Khorshoo|Subsul-Burdii Khorsho,49.3167,114.3167,Mongolia,MN,MNG,Dornod,Dornod,MN-061,province,,0.3,,,4,Asia/Choibalsan,FALSE,1496574440
Bulagan Suma,Bulagan Suma,Bologon-Somon|Buragan|Bulagan sumu|Bologon|Bulagan,48.0500,113.4833,Mongolia,MN,MNG,Dornod,Dornod,MN-061,province,,0.4,,,4,Asia/Choibalsan,FALSE,1496162058
Sayriin Hashaatayn Süme,Sayriin Hashaatayn Sume,Soyrin-khashate Khid|Sayrim-Khashato-Sumu|Sayriin Hashaatayn Dugan|Sayriin hashiatuin dugang|Sairim Gashato|Sayrin Khoshyatu sume,44.5833,102.9167,Mongolia,MN,MNG,Övörhangay,Ovorhangay,MN-055,province,,0.5,,,4,Asia/Ulaanbaatar,FALSE,1496429613
Büüteriin Hural,Buuteriin Hural,Buterin Khural,45.4833,109.4167,Mongolia,MN,MNG,Dornogovĭ,Dornogovi,MN-063,province,,0.6,,,5,Asia/Ulaanbaatar,FALSE,1496892884
Ölönteyn Dugang,Olonteyn Dugang,Ulunteyn dugang|Uluntein dugang|Uluntein-Dugan,48.9333,106.4500,Mongolia,MN,MNG,Selenge,Selenge,MN-049,province,,2.4,,,4,Asia/Ulaanbaatar,FALSE,1496925144
Bogdoiin Hiid,Bogdoiin Hiid,Bogdain Khid,47.8333,107.0000,Mongolia,MN,MNG,Ulaanbaatar,Ulaanbaatar,MN-1,city,,359.5,,,3,Asia/Ulaanbaatar,FALSE,1496604146
Sharga,Sharga,,46.2686,95.2725,Mongolia,MN,MNG,Govĭ-Altay,Govi-Altay,MN-065,province,minor,0.3,,,3,Asia/Hovd,FALSE,1496031514
Sharga,Sharga,Bayanagta sumu|Bayan Agta Suma|Bayan-Agt|Bayan-agta somon|Bayan Agta Sume|Bayan Agta,49.0503,102.0806,Mongolia,MN,MNG,Bulgan,Bulgan,MN-067,province,minor,0.8,,,3,Asia/Ulaanbaatar,FALSE,1496846698
Tsagaan Tologoy,Tsagaan Tologoy,Urto Zagan-tologoi|Urto Tsagan-tologoy|Tsagan Tologoi|Ch’a-han-t’o-lo-hai|Ch’a-kan-t’o-lo-kai,44.5333,100.7000,Mongolia,MN,MNG,Bayanhongor,Bayanhongor,MN-069,province,,0.2,,,4,Asia/Ulaanbaatar,FALSE,1496438656
Bürenhayrhan,Burenhayrhan,Buergenkhe|Torgut Somon|Torgutin Khure|Bulgan-Gol|Bulagan Somon|Bulagan gol sumu|Bulagan Gol Suma|Bulagan|T’u-ku-te-su-mu|Bulgan|Bulagan-gol|Pu-erh-ken,46.0833,91.5667,Mongolia,MN,MNG,Hovd,Hovd,MN-043,province,minor,0.9,,,3,Asia/Hovd,FALSE,1496975508
Togos Bülteyn Hüryee,Togos Bulteyn Huryee,Tugus bulitiin khure|Togos-Buyantayn Hüree,49.9167,91.4000,Mongolia,MN,MNG,Uvs,Uvs,MN-046,province,,0.6,,,5,Asia/Hovd,FALSE,1496938810
Talshand,Talshand,Chindamani Somon|Chindamani|Chandmanĭ|Chindamani Suma,45.3342,97.9886,Mongolia,MN,MNG,Govĭ-Altay,Govi-Altay,MN-065,province,minor,0.4,,,3,Asia/Hovd,FALSE,1496547947
Hungiy,Hungiy,Urgumal Sume|Urgumal|Urgomal somon|Urgomal|Urgamal Suma|Urgamal|Ürgomal sumu,48.5000,94.2833,Mongolia,MN,MNG,Dzavhan,Dzavhan,MN-057,province,minor,0.2,,,3,Asia/Hovd,FALSE,1496983353
Hüremt,Huremt,Targatu sumu|Targatu|Targata|Targat|Targatu somon|Taragt|Targata Suma,46.3000,102.4667,Mongolia,MN,MNG,Övörhangay,Ovorhangay,MN-055,province,minor,0.8,,,3,Asia/Ulaanbaatar,FALSE,1496464025
Bodol Süme,Bodol Sume,,46.4500,92.4500,Mongolia,MN,MNG,Hovd,Hovd,MN-043,province,,0.6,,,5,Asia/Hovd,FALSE,1496741502
Talaiin Jisa Hural,Talaiin Jisa Hural,Talayn chzhisa khural|Talain chzhisa khural,44.8333,106.7500,Mongolia,MN,MNG,Dundgovĭ,Dundgovi,MN-059,province,,0.1,,,5,Asia/Ulaanbaatar,FALSE,1496944344
