city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ulaanbaatar,Ulaanbaatar,"Ourga|K’u-lun|Ulaanbaatur|Uruga|Urga|Ulan-Bator Khoto|Örgöö|Da-Kure|Ulan Bator Hoto|Da Hüryee|Ulaanbaator hota|Da Khure|Uranbatoru|Ulaanbaator|Ulaan Baatar Hoto|Ulan Bator",47.9203,106.9172,Mongolia,MN,MNG,Ulaanbaatar,Ulaanbaatar,MN-1,city,primary,296.8,1396288,1396288,1,Asia/Ulaanbaatar,FALSE,1496024767
Mörön,Moron,"Muringoru|Murenfure|Mu-lin-fu-lieh|Mu-lin|Mörönu hurie|Mörönii Hüryee|Murun-kuren|Mörön’i hürie|Mörönii khüree|Muren",49.6356,100.1556,Mongolia,MN,MNG,Hövsgöl,Hovsgol,MN-041,province,admin,154.0,134530,134530,2,Asia/Ulaanbaatar,FALSE,1496482400
Erdenet,Erdenet,,49.0278,104.0444,Mongolia,MN,MNG,Orhon,Orhon,MN-035,province,admin,513.5,106810,106810,2,Asia/Ulaanbaatar,FALSE,1496374417
Darhan,Darhan,Darkhan,49.4689,105.9575,Mongolia,MN,MNG,Darhan-Uul,Darhan-Uul,MN-037,province,admin,725.6,74738,74738,2,Asia/Ulaanbaatar,FALSE,1496235602
Darhan,Darhan,"Urton Kuytun|Khuiten|Darkhan somon|Darhan sumu|Darkhan Sume|Kuitun|Khuyten|Darkhan|Darhan Suma",49.6167,106.3500,Mongolia,MN,MNG,Selenge,Selenge,MN-049,province,,1.5,74738,74738,3,Asia/Ulaanbaatar,FALSE,1496510995
Ölgiy,Olgiy,Ulegey|Ulegei|Bayan-Ulegey|Olgii|Ölögey|Ulegy|Ul’gey,48.9683,89.9686,Mongolia,MN,MNG,Bayan-Ölgiy,Bayan-Olgiy,MN-071,province,admin,250.1,40564,40564,2,Asia/Hovd,FALSE,1496290857
Choybalsan,Choybalsan,"Choybolsan|Brin Tumen|Choibolsan|Herelen|Kerulyun|Kerulen Urgo|Kerulen|San-beyse|San Beise|Sain Beise|Bayn-Tumen|Baintōmenhashū|Kurulun|Urgo|Pa-yin-t’u-men|Karulen|Choibalsan|K’o-lu-lun|Bayan Tumen|Bain Tumen|Say-Beyse|Kyrylun|San Beisa-Urgo|Kerulun",48.0783,114.5350,Mongolia,MN,MNG,Dornod,Dornod,MN-061,province,admin,135.8,38150,38150,2,Asia/Choibalsan,FALSE,1496921469
Nalayh,Nalayh,Nalaykhu|Nalayha|Nalaikha|Nalaïkh|Na-lai-ha|Naraiha|Nalaykha,47.7725,107.2536,Mongolia,MN,MNG,Ulaanbaatar,Ulaanbaatar,MN-1,city,,40.9,28152,28152,3,Asia/Ulaanbaatar,FALSE,1496295009
Ulaangom,Ulaangom,"Ulaangom sumu|Wu-lan-ku-mu|Ulaan Goom|Ulaanggom|Ulangom|Ulankom|Ulan Kan",49.9833,92.0667,Mongolia,MN,MNG,Uvs,Uvs,MN-046,province,admin,8.7,26319,26319,2,Asia/Hovd,FALSE,1496088351
Bayanhongor,Bayanhongor,"Dzaluuchuud|Youth City",46.1917,100.7178,Mongolia,MN,MNG,Bayanhongor,Bayanhongor,MN-069,province,admin,410.2,26252,26252,2,Asia/Ulaanbaatar,FALSE,1496815184
Hovd,Hovd,"Dzhirgalantu|Khovd|Jargalant|Khobdo|Dund-Us|Jirgalantu|K’o-pu-to|Kobdo|Chirgalantu|Jirgalanta|Hobdo Gol|Dzhaghalantu|Djirgalantu|Chzhirgalantu|Dzhargalantu|Hobdo",48.0042,91.6406,Mongolia,MN,MNG,Hovd,Hovd,MN-043,province,admin,0.8,26023,26023,2,Asia/Hovd,FALSE,1496382421
Uliastay,Uliastay,"Jawkhlant|Wu-li-ya-su-t’ai|Uriyasutai|Uljasutai|Javhlant|Uljassutai|Uliyassutai|Uliassutai|Chzhibkholantu sumu|Chzhibgalantu Somon|Djibkhulantu|Djibkhlantu|Chdzibkhalantu|Dzhibkhalantu|Jibhalantu|Wu-lu-ya-su-t’ai|Ulyasutay|Jibkhalantu|Jibhulantu|Chzhibkhalantu|Dzhibkholantu|Ulyaasatay|Jibholantu|Dzhibkhulantu|Jibhalanta",47.7428,96.8433,Mongolia,MN,MNG,Dzavhan,Dzavhan,MN-057,province,admin,211.3,22006,22006,2,Asia/Hovd,FALSE,1496103841
Öndörhaan,Ondorhaan,"Undurhan|Undoru han|Zezen Khana|Tsetsonwang|Tsetsen Khan’s Palace|Tsetsenkhana|Tsetsen Khan|Stavka Tsetsen-Hana|Öndör han|Thetsen Khan|Cecen Han|Tsetsenhan|Undur Khan|Zezen-chan|Öndörkhaan|Tsetsenkian|Under-Khan|Ch’e-ch’en-han",47.3233,110.6611,Mongolia,MN,MNG,Hentiy,Hentiy,MN-039,province,admin,0.2,20935,20935,2,Asia/Ulaanbaatar,FALSE,1496719699
Arvayheer,Arvayheer,"Ubur Khangayin|Ubur Khangaün|Ubur Khangaiin|Ubur-hangayin|Ts’ai-ku-na Ya-men|Ts’ai-ku-na Miao|Öbör Khangai|Obör Hangayin|Arbayin Khure|Arbayin hure|Arbai Khere|Arbay Khere|Arubai gere|Arbay Heere|Arwaïkheer|Arbay hure|Ubur-hangaajin",46.2661,102.7778,Mongolia,MN,MNG,Övörhangay,Ovorhangay,MN-055,province,admin,115.6,20000,20000,2,Asia/Ulaanbaatar,FALSE,1496580180
Saynshand,Saynshand,"Sain-Shand|Dalay Sayn Shanda|Dalai Sain Shanda|Sayn Shanda|Sain Shanda|Buyant-Uhaa|Sayn-Shenda|Darai Sain Shanda",44.8917,110.1367,Mongolia,MN,MNG,Dornogovĭ,Dornogovi,MN-063,province,admin,8.6,19891,19891,2,Asia/Ulaanbaatar,FALSE,1496862229
Dalanzadgad,Dalanzadgad,Dalandzadgad,43.5700,104.4258,Mongolia,MN,MNG,Ömnögovĭ,Omnogovi,MN-053,province,minor,40.7,19396,19396,3,Asia/Ulaanbaatar,FALSE,1496544358
Sühbaatar,Suhbaatar,"Sukhe Batur|Sukhe-Bator|Sühe Baatar|Sühe Batar|Sükhbaatar",50.2364,106.2064,Mongolia,MN,MNG,Selenge,Selenge,MN-049,province,admin,427.2,19224,19224,2,Asia/Ulaanbaatar,FALSE,1496145017
Dzüünharaa,Dzuunharaa,Dzüünkharaa,48.8666,106.4666,Mongolia,MN,MNG,Selenge,Selenge,MN-049,province,,5.2,18830,18830,3,Asia/Ulaanbaatar,FALSE,1496200032
Tsetserleg,Tsetserleg,Tsetserlik|Tsetserlig-khoto|Tsetserlig|Tsetserurigu,47.4769,101.4503,Mongolia,MN,MNG,Arhangay,Arhangay,MN-073,province,admin,34.6,18519,18519,2,Asia/Ulaanbaatar,FALSE,1496397451
Altay,Altay,"Usan Bulag|Yusun-bulak|Jusenbulag|Yösönbulag",46.3728,96.2572,Mongolia,MN,MNG,Govĭ-Altay,Govi-Altay,MN-065,province,admin,7.3,15800,15800,2,Asia/Hovd,FALSE,1496574715
