city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Piperi,Piperi,,43.4658,19.0581,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499702695
Čepići,Cepici,Mahala Capica,42.9969,19.8661,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499594265
Obzovik,Obzovik,,42.6683,19.7839,Montenegro,ME,MNE,Andrijevica,Andrijevica,ME-01,municipality,,12.7,,,4,Europe/Podgorica,FALSE,1499973380
Gornje Zagrađe,Gornje Zagrade,,43.3386,18.8592,Montenegro,ME,MNE,Plužine,Pluzine,ME-15,municipality,,2.6,,,5,Europe/Podgorica,FALSE,1499838678
Raklja,Raklja,,42.4347,19.0797,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499841608
Velenica,Velenica,,42.4231,19.1633,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499919393
Kruge,Kruge,,42.9706,19.9242,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499983868
Bubrežak,Bubrezak,,42.7664,18.8767,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499570751
Kajabeg,Kajabeg,,43.1253,19.7533,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499559880
Praga,Praga,,42.8808,19.0231,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499590027
Koprivnjaća,Koprivnjaca,,43.2981,18.9025,Montenegro,ME,MNE,Plužine,Pluzine,ME-15,municipality,,2.6,,,5,Europe/Podgorica,FALSE,1499795373
Rta,Rta,,43.1703,19.1578,Montenegro,ME,MNE,Žabljak,Zabljak,ME-21,municipality,,6.9,,,5,Europe/Podgorica,FALSE,1499128060
Fuštići,Fustici,,43.0378,19.5658,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499563928
Koprivnjača,Koprivnjaca,,43.0281,19.4303,Montenegro,ME,MNE,Mojkovac,Mojkovac,ME-11,municipality,,20.8,,,4,Europe/Podgorica,FALSE,1499742015
Ðelovi Do,Delovi Do,,42.7133,18.7039,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499643783
Bogićevići,Bogicevici,Bogićeići,42.5778,19.0767,Montenegro,ME,MNE,Danilovgrad,Danilovgrad,ME-07,municipality,,42.4,,,4,Europe/Podgorica,FALSE,1499758319
Bogetići,Bogetici,Bogetić,42.3369,18.7914,Montenegro,ME,MNE,Budva,Budva,ME-05,municipality,,87.1,,,4,Europe/Podgorica,FALSE,1499260922
Zagulj,Zagulj,,42.6508,18.6208,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499651689
Gornje Mrke,Gornje Mrke,Mrke,42.5194,19.3231,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499326110
Rvana Gora,Rvana Gora,,42.8767,18.5675,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499984710
Prijeradi,Prijeradi,,42.3550,18.7828,Montenegro,ME,MNE,Kotor,Kotor,ME-10,municipality,,87.1,,,4,Europe/Podgorica,FALSE,1499170258
Kriješterovina,Krijesterovina,,43.2203,19.3114,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499939047
Bioča,Bioca,,42.9333,19.8567,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499431274
Popratnica,Popratnica,,43.0169,19.5036,Montenegro,ME,MNE,Mojkovac,Mojkovac,ME-11,municipality,,21.7,,,4,Europe/Podgorica,FALSE,1499923956
Ravni Krstac,Ravni Krstac,,42.9986,18.6992,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499594808
Bastahe,Bastahe,,42.8642,19.7933,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,,45.3,,,4,Europe/Podgorica,FALSE,1499904868
Brezova Ravan,Brezova Ravan,Sokolović,43.3267,19.2331,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499479202
Rovca,Rovca,Rovce,42.7878,19.8897,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,,45.3,,,4,Europe/Podgorica,FALSE,1499170187
Bajraktari,Bajraktari,,42.0447,19.1953,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,,,4,Europe/Podgorica,FALSE,1499069429
Žaljevo,Zaljevo,,43.0319,19.6386,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499991692
Njeguši,Njegusi,,42.8617,20.2494,Montenegro,ME,MNE,Rožaje,Rozaje,ME-17,municipality,,52.0,,,4,Europe/Podgorica,FALSE,1499952904
Lukići,Lukici,,42.1683,19.1789,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,,,4,Europe/Podgorica,FALSE,1499366454
Međužvalje,Meduzvalje,,43.1658,19.2111,Montenegro,ME,MNE,Žabljak,Zabljak,ME-21,municipality,,7.9,,,5,Europe/Podgorica,FALSE,1499430665
Tići,Tici,,42.4072,18.5836,Montenegro,ME,MNE,Herceg Novi,Herceg Novi,ME-08,municipality,,117.9,,,4,Europe/Podgorica,FALSE,1499983920
Gornje Morakovo,Gornje Morakovo,,42.7036,19.1881,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499421043
Debeli Grmen,Debeli Grmen,,42.6611,19.0028,Montenegro,ME,MNE,Danilovgrad,Danilovgrad,ME-07,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499093261
Donji Bukelj,Donji Bukelj,Donji Bukeis,42.8025,20.1717,Montenegro,ME,MNE,Rožaje,Rozaje,ME-17,municipality,,52.0,,,4,Europe/Podgorica,FALSE,1499448556
Selišta,Selista,,42.4356,18.9786,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,16.1,,,4,Europe/Podgorica,FALSE,1499223447
Selišta,Selista,Selište,42.6067,19.0206,Montenegro,ME,MNE,Danilovgrad,Danilovgrad,ME-07,municipality,,42.4,,,4,Europe/Podgorica,FALSE,1499715930
Selišta,Selista,Selište,43.1514,19.6658,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499725898
Donja Dobrilovina,Donja Dobrilovina,,43.0544,19.3839,Montenegro,ME,MNE,Žabljak,Zabljak,ME-21,municipality,,9.5,,,5,Europe/Podgorica,FALSE,1499820184
Kitine Lazi,Kitine Lazi,,43.0111,19.8092,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499293272
Rudine,Rudine,,43.3272,18.8906,Montenegro,ME,MNE,Plužine,Pluzine,ME-15,municipality,,2.6,,,5,Europe/Podgorica,FALSE,1499678997
Potočilo,Potocilo,,42.6517,19.0294,Montenegro,ME,MNE,Danilovgrad,Danilovgrad,ME-07,municipality,,42.4,,,4,Europe/Podgorica,FALSE,1499305618
Ravni,Ravni,,42.7714,19.4403,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,,8.3,,,5,Europe/Podgorica,FALSE,1499485174
Ćesakovina,Cesakovina,,42.5114,19.1567,Montenegro,ME,MNE,Danilovgrad,Danilovgrad,ME-07,municipality,,42.4,,,4,Europe/Podgorica,FALSE,1499538645
Baljački Do,Baljacki Do,,42.9194,18.5603,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499816586
Jelenjak,Jelenjak,,42.7350,19.6381,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,,8.3,,,5,Europe/Podgorica,FALSE,1499603211
Njive,Njive,,43.0572,19.5917,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499110776
Mužovići,Muzovici,,42.3047,18.9983,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,16.1,,,4,Europe/Podgorica,FALSE,1499573352
Metanovići,Metanovici,,41.9864,19.2292,Montenegro,ME,MNE,Ulcinj,Ulcinj,ME-20,municipality,,64.1,,,4,Europe/Podgorica,FALSE,1499101220
Jelov Panj,Jelov Panj,,43.2764,19.1142,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499426176
Njive,Njive,,42.3133,19.0386,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,56.6,,,4,Europe/Podgorica,FALSE,1499992574
Busak,Busak,,42.8336,18.7331,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499064638
Frutak,Frutak,,42.5858,19.0597,Montenegro,ME,MNE,Danilovgrad,Danilovgrad,ME-07,municipality,,42.4,,,4,Europe/Podgorica,FALSE,1499639625
Donji Gradac,Donji Gradac,,43.3942,19.1528,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499005515
Omeđak,Omedak,,43.4289,19.2564,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499631583
Vlaše Vica,Vlase Vica,,42.5694,19.3653,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499874267
Kurikuće,Kurikuce,,42.8783,19.7442,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,,45.3,,,4,Europe/Podgorica,FALSE,1499538762
Luke,Luke,,42.7175,19.8417,Montenegro,ME,MNE,Andrijevica,Andrijevica,ME-01,municipality,,45.3,,,4,Europe/Podgorica,FALSE,1499081268
Milovići,Milovici,,42.2564,19.0889,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,,,4,Europe/Podgorica,FALSE,1499982531
Ras,Ras,,42.4756,19.2969,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499277320
Ćetanski Pod,Cetanski Pod,,42.7247,18.9717,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499730422
Adilovići,Adilovici,,43.1972,19.5794,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499006648
Lukavica,Lukavica,,42.9319,19.8472,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499488432
Luke,Luke,,42.7289,19.3481,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,,8.3,,,5,Europe/Podgorica,FALSE,1499464792
Milovići,Milovici,,42.4872,18.4936,Montenegro,ME,MNE,Herceg Novi,Herceg Novi,ME-08,municipality,,117.9,,,4,Europe/Podgorica,FALSE,1499321100
Turčini,Turcini,,42.1117,19.1431,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,,,4,Europe/Podgorica,FALSE,1499019498
Brod,Brod,,42.2081,19.1811,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,,,4,Europe/Podgorica,FALSE,1499733662
Brod,Brod,,42.6958,19.7564,Montenegro,ME,MNE,Andrijevica,Andrijevica,ME-01,municipality,,12.7,,,4,Europe/Podgorica,FALSE,1499390191
Brod,Brod,,42.7653,19.7717,Montenegro,ME,MNE,Andrijevica,Andrijevica,ME-01,municipality,,12.7,,,4,Europe/Podgorica,TRUE,1499151640
Kašice,Kasice,,42.3872,19.0308,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,16.1,,,4,Europe/Podgorica,FALSE,1499810200
Vukorani,Vukorani,,42.7200,18.8508,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499421696
Tegovina,Tegovina,,43.1289,19.5386,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499109657
Jedini Bor,Jedini Bor,,42.6128,18.7753,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,16.1,,,4,Europe/Podgorica,FALSE,1499465687
Mlakva,Mlakva,,43.4908,19.2125,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499341524
Kučine,Kucine,,43.0358,18.7428,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499537216
Krejovina,Krejovina,,43.3639,19.3114,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499303453
Nogulovići,Nogulovici,,42.4722,18.5728,Montenegro,ME,MNE,Herceg Novi,Herceg Novi,ME-08,municipality,,117.9,,,4,Europe/Podgorica,FALSE,1499709460
Selište,Seliste,,42.4067,19.4222,Montenegro,ME,MNE,Tuzi,Tuzi,ME-24,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499652318
Dauti,Dauti,,43.2097,19.6097,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499113262
Gornji Sušanj,Gornji Susanj,,42.1247,19.0800,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,,,4,Europe/Podgorica,FALSE,1499844429
Selište,Seliste,,43.0733,19.3669,Montenegro,ME,MNE,Žabljak,Zabljak,ME-21,municipality,,7.1,,,5,Europe/Podgorica,FALSE,1499724227
Maglenca,Maglenca,,42.8867,18.5394,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499172166
Crni Val,Crni Val,Lazi,42.7556,19.5500,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,,8.3,,,5,Europe/Podgorica,FALSE,1499205095
Rovine,Rovine,,42.5664,18.8444,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,16.1,,,4,Europe/Podgorica,FALSE,1499617621
Mostine,Mostine,,42.9789,19.7886,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499902977
Planinica,Planinica,,42.7731,19.5642,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,,8.3,,,5,Europe/Podgorica,FALSE,1499721110
Kljajevići,Kljajevici,Klajevići,42.5011,18.7433,Montenegro,ME,MNE,Kotor,Kotor,ME-10,municipality,,87.1,,,4,Europe/Podgorica,FALSE,1499801013
Podbrđe,Podbrde,,43.3172,19.3364,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499037698
Okruglica,Okruglica,,43.2356,19.3856,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499169952
Donja Bukovica,Donja Bukovica,,43.0231,19.1575,Montenegro,ME,MNE,Šavnik,Savnik,ME-18,municipality,,2.6,,,4,Europe/Podgorica,FALSE,1499222445
Slacko,Slacko,,42.6617,19.4572,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499510351
Obod,Obod,,42.5322,18.7853,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,16.1,,,4,Europe/Podgorica,FALSE,1499902083
Obod,Obod,,43.0256,19.5958,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499873391
Ðenovići,Denovici,,43.5064,18.9908,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499203171
Komadine,Komadine,,43.0906,19.8694,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499832118
Pipoljevac,Pipoljevac,,42.3911,18.7703,Montenegro,ME,MNE,Kotor,Kotor,ME-10,municipality,,87.1,,,4,Europe/Podgorica,FALSE,1499604475
Kopito,Kopito,,42.4261,18.8206,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,16.1,,,4,Europe/Podgorica,FALSE,1499287898
Dobre Vode,Dobre Vode,,43.0808,19.7322,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499430145
Ratajića Glavica,Ratajica Glavica,,42.8497,18.9478,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499260279
Podine,Podine,,42.6969,19.3919,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,,8.3,,,5,Europe/Podgorica,FALSE,1499791571
Kožđa,Kozda,,42.7236,19.3778,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,,8.3,,,5,Europe/Podgorica,FALSE,1499296442
Zovica,Zovica,,42.5686,18.8592,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,16.1,,,4,Europe/Podgorica,FALSE,1499872739
Lukavice,Lukavice,Lukovica,43.3078,19.4175,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499998199
Uvezac,Uvezac,,43.0189,19.7556,Montenegro,ME,MNE,Bijelo Polje,Bijelo Polje,ME-04,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499237044
Mišoka,Misoka,,42.5250,19.2903,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499369600
Tomaševići,Tomasevici,,42.5292,18.4875,Montenegro,ME,MNE,Herceg Novi,Herceg Novi,ME-08,municipality,,117.9,,,4,Europe/Podgorica,FALSE,1499780539
Bukovik,Bukovik,,43.3517,19.4092,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499689341
Bukovik,Bukovik,,43.4003,19.3967,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,5.1,,,5,Europe/Podgorica,TRUE,1499318651
Pošćenje,Poscenje,,42.9714,19.0594,Montenegro,ME,MNE,Šavnik,Savnik,ME-18,municipality,,2.6,,,4,Europe/Podgorica,FALSE,1499739683
Stanci,Stanci,,42.7161,19.3675,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,,8.3,,,5,Europe/Podgorica,FALSE,1499120511
Feratovo Polje,Feratovo Polje,,42.9386,19.5672,Montenegro,ME,MNE,Mojkovac,Mojkovac,ME-11,municipality,,20.8,,,4,Europe/Podgorica,FALSE,1499281720
Bjeljoskja,Bjeljoskja,,42.3886,19.4044,Montenegro,ME,MNE,Tuzi,Tuzi,ME-24,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499385866
Bukovik,Bukovik,,42.7161,18.5894,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499239861
Bukovik,Bukovik,,42.8178,19.0500,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,TRUE,1499998452
Perazića Do,Perazica Do,,42.2128,18.9269,Montenegro,ME,MNE,Budva,Budva,ME-05,municipality,,169.8,,,4,Europe/Podgorica,FALSE,1499958347
Riječani,Rijecani,,42.3406,19.0553,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,16.1,,,4,Europe/Podgorica,FALSE,1499141488
Jasike,Jasike,,43.4569,19.1911,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499350728
Vrbice,Vrbice,,42.8656,18.9542,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499123805
Dubrave,Dubrave,,43.4156,19.3167,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,,17.2,,,4,Europe/Podgorica,FALSE,1499598011
Rudo Polje,Rudo Polje,,42.7717,19.4106,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,,8.3,,,5,Europe/Podgorica,FALSE,1499757965
Koštrovići,Kostrovici,,42.4878,19.4067,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,,156.7,,,4,Europe/Podgorica,FALSE,1499433101
Površe,Povrse,,42.7033,19.7639,Montenegro,ME,MNE,Andrijevica,Andrijevica,ME-01,municipality,,12.7,,,4,Europe/Podgorica,FALSE,1499315900
Krivolaze,Krivolaze,,42.9344,19.8739,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,,36.0,,,4,Europe/Podgorica,FALSE,1499983728
Pišteti,Pisteti,,42.6647,18.6992,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,35.4,,,4,Europe/Podgorica,FALSE,1499013315
Lučica,Lucica,Lučice,42.8958,20.1708,Montenegro,ME,MNE,Rožaje,Rozaje,ME-17,municipality,,52.0,,,4,Europe/Podgorica,FALSE,1499395120
