city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Podgorica,Podgorica,Titograd,42.4414,19.2628,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,primary,125.3,173024,150977,1,Europe/Podgorica,FALSE,1499454516
Nikšić,Niksic,,42.7778,18.9500,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,admin,37.0,32846,32846,2,Europe/Podgorica,FALSE,1499844133
Ulcinj,Ulcinj,Dulcigno|Ulqin,41.9200,19.2000,Montenegro,ME,MNE,Ulcinj,Ulcinj,ME-20,municipality,admin,78.1,19921,19921,2,Europe/Podgorica,FALSE,1499867182
"Herceg Novi","Herceg Novi","Ercegnovi|Castelnuovo di Cattaro|Castelnuovo|Herceg-Novi",42.4530,18.5312,Montenegro,ME,MNE,"Herceg Novi","Herceg Novi",ME-08,municipality,admin,70.2,19536,16493,2,Europe/Podgorica,FALSE,1499673791
Pljevlja,Pljevlja,Plevlje|Plevlja|Ljevlja|Pljevlje,43.3567,19.3583,Montenegro,ME,MNE,Pljevlja,Pljevlja,ME-14,municipality,admin,14.2,19136,19136,2,Europe/Podgorica,FALSE,1499255431
Budva,Budva,Budua|Butua,42.2881,18.8425,Montenegro,ME,MNE,Budva,Budva,ME-05,municipality,admin,109.3,17479,13338,2,Europe/Podgorica,FALSE,1499564238
Bar,Bar,Antivari,42.1000,19.1000,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,admin,22.9,15868,13719,2,Europe/Podgorica,FALSE,1499197266
Plav,Plav,Plavë,42.6000,19.9400,Montenegro,ME,MNE,Plav,Plav,ME-13,municipality,admin,28.4,13805,13805,2,Europe/Podgorica,FALSE,1499247875
Rožaje,Rozaje,Rožaj|Rozhajë|Roža,42.8400,20.1600,Montenegro,ME,MNE,Rožaje,Rozaje,ME-17,municipality,admin,21.8,13608,9422,2,Europe/Podgorica,FALSE,1499854307
Kotor,Kotor,Cattaro|Cattoro,42.4300,18.7700,Montenegro,ME,MNE,Kotor,Kotor,ME-10,municipality,admin,2.9,13347,961,2,Europe/Podgorica,FALSE,1499573612
"Bijelo Polje","Bijelo Polje",,43.0400,19.7500,Montenegro,ME,MNE,"Bijelo Polje","Bijelo Polje",ME-04,municipality,admin,3.8,12900,3547,2,Europe/Podgorica,FALSE,1499452756
Cetinje,Cetinje,Cettinge,42.3800,18.9200,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,admin,10.3,12460,9359,2,Europe/Podgorica,FALSE,1499733751
Berane,Berane,Ivangrad|Beran,42.8400,19.8600,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,admin,15.4,11073,11073,2,Europe/Podgorica,FALSE,1499204492
Tivat,Tivat,Teodo,42.4300,18.7000,Montenegro,ME,MNE,Tivat,Tivat,ME-19,municipality,admin,203.6,9367,9367,2,Europe/Podgorica,FALSE,1499952005
Dobrota,Dobrota,"Mesto Dobrota",42.4540,18.7680,Montenegro,ME,MNE,Kotor,Kotor,ME-10,municipality,,87.1,8189,8189,4,Europe/Podgorica,FALSE,1499951936
Petnjica,Petnjica,Petnica,42.9089,19.9644,Montenegro,ME,MNE,Petnjica,Petnjica,ME-23,municipality,admin,45.3,5482,5482,2,Europe/Podgorica,FALSE,1499532482
Danilovgrad,Danilovgrad,,42.6100,19.0500,Montenegro,ME,MNE,Danilovgrad,Danilovgrad,ME-07,municipality,admin,33.0,5156,5156,2,Europe/Podgorica,FALSE,1499538261
Tuzi,Tuzi,Tuz,42.3656,19.3314,Montenegro,ME,MNE,Tuzi,Tuzi,ME-24,,admin,156.7,4748,4748,2,Europe/Podgorica,FALSE,1499325970
Škaljari,Skaljari,,42.4186,18.7664,Montenegro,ME,MNE,Cetinje,Cetinje,ME-06,municipality,,87.1,3807,3807,4,Europe/Podgorica,FALSE,1499953671
Burtaiši,Burtaisi,,42.0903,19.1081,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,3800,3800,4,Europe/Podgorica,FALSE,1499973254
Bijela,Bijela,Bjela,42.4533,18.6556,Montenegro,ME,MNE,Kotor,Kotor,ME-10,municipality,,117.9,3691,3691,4,Europe/Podgorica,FALSE,1499368844
Mojkovac,Mojkovac,,42.9600,19.5800,Montenegro,ME,MNE,Mojkovac,Mojkovac,ME-11,municipality,admin,9.8,3590,3590,2,Europe/Podgorica,FALSE,1499103009
Igalo,Igalo,,42.4589,18.5122,Montenegro,ME,MNE,"Herceg Novi","Herceg Novi",ME-08,municipality,,117.9,3355,3355,4,Europe/Podgorica,FALSE,1499969924
Ibarac,Ibarac,,42.8350,20.1572,Montenegro,ME,MNE,Rožaje,Rozaje,ME-17,municipality,,52.0,3135,3135,4,Europe/Podgorica,FALSE,1499275732
Golubovci,Golubovci,,42.3344,19.2253,Montenegro,ME,MNE,Zeta,Zeta,ME-25,,admin,156.7,3110,3110,2,Europe/Podgorica,FALSE,1499735056
Resnik,Resnik,,43.0381,19.7719,Montenegro,ME,MNE,"Bijelo Polje","Bijelo Polje",ME-04,municipality,,36.0,2967,2967,4,Europe/Podgorica,FALSE,1499138892
Kolašin,Kolasin,,42.8236,19.5225,Montenegro,ME,MNE,Kolašin,Kolasin,ME-09,municipality,admin,11.0,2725,2725,2,Europe/Podgorica,FALSE,1499083772
Šušanj,Susanj,,42.1094,19.0864,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,2630,2630,4,Europe/Podgorica,FALSE,1499877132
Mojanovići,Mojanovici,,42.3383,19.2194,Montenegro,ME,MNE,Podgorica,Podgorica,ME-16,municipality,,156.7,2593,2593,4,Europe/Podgorica,FALSE,1499101081
Rakonje,Rakonje,,43.0197,19.7367,Montenegro,ME,MNE,"Bijelo Polje","Bijelo Polje",ME-04,municipality,,36.0,2291,2291,3,Europe/Podgorica,FALSE,1499313735
Nedakusi,Nedakusi,,43.0539,19.7675,Montenegro,ME,MNE,"Bijelo Polje","Bijelo Polje",ME-04,municipality,,36.0,2158,2158,4,Europe/Podgorica,FALSE,1499860474
Mrčevac,Mrcevac,,42.4186,18.7175,Montenegro,ME,MNE,Tivat,Tivat,ME-19,municipality,,286.9,2110,2110,3,Europe/Podgorica,FALSE,1499562406
Ozrinići,Ozrinici,Ozrimići,42.7539,18.9853,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,2057,2057,4,Europe/Podgorica,FALSE,1499148603
Risan,Risan,Risano,42.5147,18.6950,Montenegro,ME,MNE,Kotor,Kotor,ME-10,municipality,,87.1,2034,2034,4,Europe/Podgorica,FALSE,1499571786
Sutomore,Sutomore,Spič|Sutomor,42.1428,19.0467,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,2004,2004,4,Europe/Podgorica,FALSE,1499629533
Budimlja,Budimlja,Budimlje,42.8639,19.8917,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,,45.3,1994,1994,4,Europe/Podgorica,FALSE,1499019236
Žabljak,Zabljak,"Aleksandrov Grad",43.1550,19.1208,Montenegro,ME,MNE,Žabljak,Zabljak,ME-21,municipality,admin,4.4,1937,1937,2,Europe/Podgorica,FALSE,1499125825
Pešca,Pesca,,42.8239,19.8589,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,,45.3,1894,1894,4,Europe/Podgorica,FALSE,1499516379
Polje,Polje,,42.0892,19.1167,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,1869,1869,4,Europe/Podgorica,FALSE,1499506969
"Stari Bar","Stari Bar",,42.0872,19.1264,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,1864,1864,4,Europe/Podgorica,FALSE,1499630092
"Beran Selo","Beran Selo","Baran Selo|Berane",42.8531,19.8583,Montenegro,ME,MNE,Berane,Berane,ME-03,municipality,,45.3,1832,1832,4,Europe/Podgorica,FALSE,1499751285
Grbe,Grbe,,42.5000,19.1958,Montenegro,ME,MNE,Danilovgrad,Danilovgrad,ME-07,municipality,,42.4,1730,1730,4,Europe/Podgorica,FALSE,1499950481
Spuž,Spuz,,42.5081,19.1939,Montenegro,ME,MNE,Danilovgrad,Danilovgrad,ME-07,municipality,,42.4,1696,1696,4,Europe/Podgorica,FALSE,1499096449
Gusinje,Gusinje,Guci,42.5619,19.8339,Montenegro,ME,MNE,Gusinje,Gusinje,ME-22,municipality,admin,29.7,1673,1673,2,Europe/Podgorica,FALSE,1499342041
Lješnica,Ljesnica,,43.0547,19.7319,Montenegro,ME,MNE,"Bijelo Polje","Bijelo Polje",ME-04,municipality,,36.0,1546,1546,4,Europe/Podgorica,FALSE,1499815047
Rastovac,Rastovac,,42.8347,18.9403,Montenegro,ME,MNE,Nikšić,Niksic,ME-12,municipality,,35.4,1535,1535,4,Europe/Podgorica,FALSE,1499432068
Čeluga,Celuga,,42.0753,19.1078,Montenegro,ME,MNE,Bar,Bar,ME-02,municipality,,99.4,1481,1481,4,Europe/Podgorica,FALSE,1499209700
Zelenika,Zelenika,Zelenica,42.4517,18.5767,Montenegro,ME,MNE,"Herceg Novi","Herceg Novi",ME-08,municipality,,117.9,1431,1431,3,Europe/Podgorica,FALSE,1499341663
