city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Agni-n-Dattouwwar,Agni-n-Dattouwwar,,29.5599,-9.3792,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,29.3,,,4,Africa/Casablanca,FALSE,1504586818
Douar Biyad,Douar Biyad,,32.5325,-8.1617,Morocco,MA,MAR,Casablanca-Settat,Casablanca-Settat,MA-06,,,46.9,,,4,Africa/Casablanca,FALSE,1504668322
Douar Biyad,Douar Biyad,,33.2165,-7.1380,Morocco,MA,MAR,Casablanca-Settat,Casablanca-Settat,MA-06,,,38.0,,,4,Africa/Casablanca,TRUE,1504897073
Trik Tesla,Trik Tesla,,34.6399,-4.2792,Morocco,MA,MAR,Fès-Meknès,Fes-Meknes,MA-03,,,685.1,,,3,Africa/Casablanca,FALSE,1504003743
Ighaln,Ighaln,,29.5801,-9.3143,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,38.4,,,4,Africa/Casablanca,FALSE,1504457138
Ighaln,Ighaln,,29.8808,-9.1738,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,26.1,,,4,Africa/Casablanca,TRUE,1504649253
Ighaln,Ighaln,Ighallen|Irhallene,29.7468,-9.0134,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,16.2,,,4,Africa/Casablanca,TRUE,1504718637
Soualah Ben Hamadi,Soualah Ben Hamadi,,32.2260,-8.0817,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,37.5,,,4,Africa/Casablanca,FALSE,1504956088
Azouaoud,Azouaoud,,31.0985,-9.4192,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,42.1,,,4,Africa/Casablanca,FALSE,1504584981
Tamlilt,Tamlilt,Timlilt,30.5464,-7.9532,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,132.6,,,4,Africa/Casablanca,FALSE,1504609855
Douar Oulad Laassirat,Douar Oulad Laassirat,,31.8487,-9.0770,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,49.1,,,4,Africa/Casablanca,FALSE,1504741674
Douar Tikoumiyine,Douar Tikoumiyine,,32.5153,-3.4627,Morocco,MA,MAR,Oriental,Oriental,MA-02,,,4.3,,,5,Africa/Casablanca,FALSE,1504002427
Tamlalet,Tamlalet,,31.3224,-9.6409,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,43.4,,,4,Africa/Casablanca,FALSE,1504324324
Afantmoul,Afantmoul,,29.6954,-9.1947,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,49.3,,,4,Africa/Casablanca,FALSE,1504811865
Slalma Assafi,Slalma Assafi,,31.9777,-7.3913,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,54.9,,,4,Africa/Casablanca,FALSE,1504340266
Jemâ Toalimane,Jema Toalimane,,34.5138,-4.3611,Morocco,MA,MAR,Fès-Meknès,Fes-Meknes,MA-03,,,54.9,,,4,Africa/Casablanca,FALSE,1504003659
Aït Baha,Ait Baha,,31.5782,-5.5882,Morocco,MA,MAR,Drâa-Tafilalet,Draa-Tafilalet,MA-08,,,34.3,,,4,Africa/Casablanca,FALSE,1504612592
Aït Baha,Ait Baha,,30.2719,-8.8217,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,48.9,,,4,Africa/Casablanca,FALSE,1504929329
Aït Baha,Ait Baha,,30.1851,-8.7424,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,23.4,,,4,Africa/Casablanca,TRUE,1504119152
Aït Baha,Ait Baha,,29.5476,-8.9709,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,9.8,,,5,Africa/Casablanca,TRUE,1504124751
Douar Ejdid,Douar Ejdid,,34.1206,-5.6295,Morocco,MA,MAR,Fès-Meknès,Fes-Meknes,MA-03,,,55.7,,,4,Africa/Casablanca,FALSE,1504821697
Douar Oulad Belegh,Douar Oulad Belegh,Oulad Balerrh|Ouled Balegh|Oulad Balergh,34.3057,-5.0740,Morocco,MA,MAR,Fès-Meknès,Fes-Meknes,MA-03,,,118.8,,,4,Africa/Casablanca,FALSE,1504503479
Douar Ejdid,Douar Ejdid,,32.0835,-8.6415,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,687.9,,,3,Africa/Casablanca,FALSE,1504763712
Oulad Ben Mwiha,Oulad Ben Mwiha,,32.0063,-9.2872,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,99.3,,,4,Africa/Casablanca,FALSE,1504480961
Tabrida,Tabrida,,31.1486,-9.5754,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,26.5,,,4,Africa/Casablanca,FALSE,1504338168
Zawyat-n-Aït Lahsene ou Brahim,Zawyat-n-Ait Lahsene ou Brahim,Aït Lahsèn Ou Brahim|Aït Lahsene Ou Brahim|Aït Lahcen Ou Braïm,30.5622,-8.4271,Morocco,MA,MAR,Souss-Massa,Souss-Massa,MA-09,,,121.7,,,4,Africa/Casablanca,FALSE,1504665242
Tallouzi,Tallouzi,,33.6125,-4.6182,Morocco,MA,MAR,Fès-Meknès,Fes-Meknes,MA-03,,,33.3,,,4,Africa/Casablanca,FALSE,1504857108
Douar Arab,Douar Arab,,31.7048,-8.2534,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,123.6,,,4,Africa/Casablanca,FALSE,1504350394
Douar Arab,Douar Arab,,31.8849,-9.4047,Morocco,MA,MAR,Marrakech-Safi,Marrakech-Safi,MA-07,,,97.0,,,4,Africa/Casablanca,TRUE,1504000643
Talassekrane,Talassekrane,,35.0045,-4.8098,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,Tanger-Tetouan-Al Hoceima,MA-01,,,175.6,,,4,Africa/Casablanca,FALSE,1504384176
Dar Sidi Mohamadi,Dar Sidi Mohamadi,,34.7500,-3.6600,Morocco,MA,MAR,Fès-Meknès,Fes-Meknes,MA-03,,,13.8,,,4,Africa/Casablanca,FALSE,1504673680
