city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Machude,Machude,,-10.7244,40.4286,Mozambique,MZ,MOZ,Cabo Delgado,Cabo Delgado,MZ-P,province,,35.3,,,4,Africa/Maputo,FALSE,1508399322
Mesa,Mesa,,-21.8036,34.3022,Mozambique,MZ,MOZ,Inhambane,Inhambane,MZ-I,province,,4.7,,,5,Africa/Maputo,FALSE,1508113516
Mussete,Mussete,,-20.3147,34.0494,Mozambique,MZ,MOZ,Sofala,Sofala,MZ-S,province,,28.4,,,4,Africa/Maputo,FALSE,1508207765
Tesse,Tesse,,-17.4900,34.9617,Mozambique,MZ,MOZ,Sofala,Sofala,MZ-S,province,,58.2,,,4,Africa/Maputo,FALSE,1508686072
Salte,Salte,,-15.1261,40.0692,Mozambique,MZ,MOZ,Nampula,Nampula,MZ-N,province,,142.1,,,4,Africa/Maputo,FALSE,1508511534
Padongo,Padongo,,-19.8831,33.3206,Mozambique,MZ,MOZ,Manica,Manica,MZ-B,province,,22.7,,,4,Africa/Maputo,FALSE,1508650064
Licuacua,Licuacua,,-14.2783,35.7400,Mozambique,MZ,MOZ,Niassa,Niassa,MZ-A,province,,116.8,,,4,Africa/Maputo,FALSE,1508478378
Chefe Mamaquita,Chefe Mamaquita,,-16.5806,37.3144,Mozambique,MZ,MOZ,Zambézia,Zambezia,MZ-Q,province,,67.0,,,4,Africa/Maputo,FALSE,1508255888
Ginabai,Ginabai,Jinabay|Jinabai|Ginabay,-24.4547,34.3814,Mozambique,MZ,MOZ,Inhambane,Inhambane,MZ-I,province,,20.3,,,4,Africa/Maputo,FALSE,1508278351
Chóco,Choco,,-24.2794,32.2553,Mozambique,MZ,MOZ,Maputo,Maputo,MZ-L,province,,1.7,,,5,Africa/Maputo,FALSE,1508490165
Maguijane,Maguijane,,-24.8042,33.6003,Mozambique,MZ,MOZ,Gaza,Gaza,MZ-G,province,,128.8,,,4,Africa/Maputo,FALSE,1508531105
Tendobate,Tendobate,,-24.2144,33.2367,Mozambique,MZ,MOZ,Gaza,Gaza,MZ-G,province,,9.0,,,5,Africa/Maputo,FALSE,1508511483
Babalala,Babalala,,-24.9322,32.5528,Mozambique,MZ,MOZ,Maputo,Maputo,MZ-L,province,,9.4,,,5,Africa/Maputo,FALSE,1508270653
Nhamazane,Nhamazane,,-21.5667,34.3333,Mozambique,MZ,MOZ,Inhambane,Inhambane,MZ-I,province,,4.7,,,5,Africa/Maputo,FALSE,1508464944
Nacuchiva,Nacuchiva,Nacuchiua,-13.6592,36.1764,Mozambique,MZ,MOZ,Niassa,Niassa,MZ-A,province,,2.9,,,5,Africa/Maputo,FALSE,1508674362
Muua,Muua,,-17.2725,37.0850,Mozambique,MZ,MOZ,Zambézia,Zambezia,MZ-Q,province,,94.9,,,4,Africa/Maputo,FALSE,1508507616
Aldeia Katondo,Aldeia Katondo,,-14.7956,33.9781,Mozambique,MZ,MOZ,Tete,Tete,MZ-T,province,,101.9,,,4,Africa/Maputo,FALSE,1508893537
Chefe Mucoco,Chefe Mucoco,Mecôco,-15.7300,35.9103,Mozambique,MZ,MOZ,Zambézia,Zambezia,MZ-Q,province,,23.0,,,4,Africa/Maputo,FALSE,1508592142
Cabulúzi,Cabuluzi,,-14.5403,34.3286,Mozambique,MZ,MOZ,Tete,Tete,MZ-T,province,,143.5,,,4,Africa/Maputo,FALSE,1508165198
Joquice,Joquice,,-22.4028,33.7800,Mozambique,MZ,MOZ,Inhambane,Inhambane,MZ-I,province,,4.7,,,5,Africa/Maputo,FALSE,1508753075
