city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Phokṭe,Phokte,,27.4003,86.5669,Nepal,NP,NPL,,,,,,34.4,,,4,Asia/Kathmandu,TRUE,1524264697
Malekhū,Malekhu,,27.8102,84.8337,Nepal,NP,NPL,,,,,,213.1,,,3,Asia/Kathmandu,FALSE,1524004903
Rosi̇̄,Rosi,Rosī,27.5523,86.3649,Nepal,NP,NPL,,,,,,148.9,,,4,Asia/Kathmandu,FALSE,1524289018
Lodrā,Lodra,,27.6215,84.5702,Nepal,NP,NPL,,,,,,765.3,,,3,Asia/Kathmandu,FALSE,1524017562
Kimchaur,Kimchaur,,28.7625,82.2612,Nepal,NP,NPL,Karṇālī,Karnali,NP-P6,,,123.9,,,4,Asia/Kathmandu,FALSE,1524037182
Krāntipur,Krantipur,,28.1651,81.5949,Nepal,NP,NPL,,,,,,495.5,,,3,Asia/Kathmandu,FALSE,1524023123
Gopāldi̇̄,Gopaldi,,27.8825,83.5742,Nepal,NP,NPL,Lumbinī,Lumbini,NP-P5,,,473.2,,,3,Asia/Kathmandu,FALSE,1524008829
Bā̃ju,Baju,,28.9619,81.9811,Nepal,NP,NPL,,,,,,37.4,,,4,Asia/Kathmandu,FALSE,1524023168
Chhimu Golche,Chhimu Golche,,27.9061,86.3665,Nepal,NP,NPL,,,,,,16.1,,,4,Asia/Kathmandu,FALSE,1524729507
Mirchaiyāṭol,Mirchaiyatol,,26.9380,85.7013,Nepal,NP,NPL,,,,,,1271.8,,,3,Asia/Kathmandu,FALSE,1524005643
Magarmukhā,Magarmukha,,26.9199,87.0636,Nepal,NP,NPL,,,,,,105.4,,,4,Asia/Kathmandu,FALSE,1524002893
Māchhe Bhaḍār,Machhe Bhadar,,28.9621,80.8443,Nepal,NP,NPL,,,,,,55.8,,,4,Asia/Kathmandu,FALSE,1524020144
Ṭamaṭṭibāḍā,Tamattibada,,29.1785,81.2991,Nepal,NP,NPL,Sudūrpashchim,Sudurpashchim,NP-P7,,,338.3,,,3,Asia/Kathmandu,FALSE,1524033453
Thāprāṅ,Thapran,,27.7514,84.6564,Nepal,NP,NPL,,,,,,176.1,,,4,Asia/Kathmandu,FALSE,1524015092
Phākādām,Phakadam,,27.5178,87.2385,Nepal,NP,NPL,Province Number One,Province Number One,NP-P1,,,63.5,,,4,Asia/Kathmandu,FALSE,1524032652
Sāli̇̄bāṅ,Saliban,,28.2678,82.1733,Nepal,NP,NPL,,,,,,139.0,,,4,Asia/Kathmandu,FALSE,1524029901
Shisaudamār,Shisaudamar,,27.1950,85.6921,Nepal,NP,NPL,,,,,,288.8,,,3,Asia/Kathmandu,FALSE,1524388111
Bhitri̇̄sāl,Bhitrisal,,29.0848,80.3577,Nepal,NP,NPL,Sudūrpashchim,Sudurpashchim,NP-P7,,,101.2,,,4,Asia/Kathmandu,FALSE,1524036360
Kāsaṭār,Kasatar,,27.7607,84.7673,Nepal,NP,NPL,,,,,,133.1,,,4,Asia/Kathmandu,FALSE,1524004553
Chisāpāni̇̄ṭār,Chisapanitar,Chisāpānīṭār,27.4244,85.5747,Nepal,NP,NPL,,,,,,37.7,,,4,Asia/Kathmandu,FALSE,1524036503
Ailāni̇̄,Ailani,,28.3001,81.2354,Nepal,NP,NPL,,,,,,699.7,,,3,Asia/Kathmandu,FALSE,1524023387
Ailāni̇̄,Ailani,,28.4558,81.2049,Nepal,NP,NPL,,,,,,415.0,,,3,Asia/Kathmandu,TRUE,1524026637
Ailāni̇̄,Ailani,,26.9024,86.1049,Nepal,NP,NPL,,,,,,30.3,,,4,Asia/Kathmandu,TRUE,1524005775
Basekhā,Basekha,,27.2286,86.8056,Nepal,NP,NPL,,,,,,395.1,,,3,Asia/Kathmandu,FALSE,1524009359
Mahimbā,Mahimba,,26.9414,87.6952,Nepal,NP,NPL,,,,,,195.8,,,4,Asia/Kathmandu,FALSE,1524005714
Bhānepole,Bhanepole,,28.5991,82.3899,Nepal,NP,NPL,,,,,,251.2,,,3,Asia/Kathmandu,FALSE,1524029159
Sunāhāgāũ,Sunahagau,,28.5469,81.1973,Nepal,NP,NPL,,,,,,496.2,,,3,Asia/Kathmandu,FALSE,1524028138
Rā̃jhā,Rajha,,28.0989,81.6552,Nepal,NP,NPL,,,,,,1315.0,,,3,Asia/Kathmandu,FALSE,1524025977
Rā̃jhā,Rajha,,28.2826,81.6131,Nepal,NP,NPL,,,,,,171.5,,,4,Asia/Kathmandu,TRUE,1524022900
Inarwāri̇̄,Inarwari,,26.8803,85.2336,Nepal,NP,NPL,,,,,,1220.0,,,3,Asia/Kathmandu,FALSE,1524001197
Bihidin,Bihidin,,27.1715,87.8768,Nepal,NP,NPL,,,,,,75.1,,,4,Asia/Kathmandu,FALSE,1524018971
Bāgbhinḍi̇̄,Bagbhindi,,29.2230,81.2026,Nepal,NP,NPL,Sudūrpashchim,Sudurpashchim,NP-P7,,,341.8,,,3,Asia/Kathmandu,FALSE,1524036327
Rikheṭār,Rikhetar,,27.1922,87.1730,Nepal,NP,NPL,,,,,,86.3,,,4,Asia/Kathmandu,FALSE,1524019276
Semmā,Semma,,27.3730,86.9948,Nepal,NP,NPL,,,,,,12.8,,,4,Asia/Kathmandu,FALSE,1524418084
Nārtolā,Nartola,,29.0776,81.3685,Nepal,NP,NPL,Sudūrpashchim,Sudurpashchim,NP-P7,,,239.6,,,3,Asia/Kathmandu,FALSE,1524033810
Ṭoki̇̄jaṅgal,Tokijangal,,26.6527,87.1096,Nepal,NP,NPL,,,,,,3664.3,,,2,Asia/Kathmandu,FALSE,1524006159
Lakṣmi̇̄niyā Māli̇̄ṭol,Laksminiya Malitol,,26.6126,86.2186,Nepal,NP,NPL,,,,,,11109.6,,,2,Asia/Kathmandu,FALSE,1524006975
Māthillo Tārābāri̇̄,Mathillo Tarabari,,26.6844,87.6624,Nepal,NP,NPL,,,,,,1239.7,,,3,Asia/Kathmandu,FALSE,1524001381
Sokhubesi̇̄,Sokhubesi,Sokhubesī,27.2438,86.2842,Nepal,NP,NPL,,,,,,117.2,,,4,Asia/Kathmandu,FALSE,1524368280
Karmapur,Karmapur,,27.5664,83.0246,Nepal,NP,NPL,Lumbinī,Lumbini,NP-P5,,,403.2,,,3,Asia/Kathmandu,FALSE,1524037418
Duḍh Bhañjyāṅ,Dudh Bhanjyan,,27.0777,86.2892,Nepal,NP,NPL,,,,,,61.0,,,4,Asia/Kathmandu,FALSE,1524399542
Chaksi̇̄gāũ,Chaksigau,,27.9948,84.8157,Nepal,NP,NPL,,,,,,433.5,,,3,Asia/Kathmandu,FALSE,1524013270
Dharti̇̄gāũ,Dhartigau,,27.9514,84.3888,Nepal,NP,NPL,,,,,,165.7,,,4,Asia/Kathmandu,FALSE,1524012501
Somnāmbesi,Somnambesi,,27.2523,86.1881,Nepal,NP,NPL,,,,,,96.7,,,4,Asia/Kathmandu,FALSE,1524210149
Shikhar Jhālā,Shikhar Jhala,,28.7414,80.9012,Nepal,NP,NPL,,,,,,228.3,,,3,Asia/Kathmandu,FALSE,1524021254
Koidim,Koidim,,27.9174,84.2826,Nepal,NP,NPL,,,,,,124.5,,,4,Asia/Kathmandu,FALSE,1524007628
Kahare,Kahare,,27.5047,85.5830,Nepal,NP,NPL,,,,,,61.5,,,4,Asia/Kathmandu,FALSE,1524955556
Phāṭak,Phatak,,27.0319,88.0532,Nepal,NP,NPL,,,,,,133.5,,,4,Asia/Kathmandu,FALSE,1524026196
Biruwātol,Biruwatol,,27.8579,85.3252,Nepal,NP,NPL,,,,,,219.5,,,3,Asia/Kathmandu,FALSE,1524334911
Chhimne,Chhimne,,29.0292,81.4364,Nepal,NP,NPL,Karṇālī,Karnali,NP-P6,,,195.0,,,4,Asia/Kathmandu,FALSE,1524035051
Dalaṅge,Dalange,,27.5545,86.5617,Nepal,NP,NPL,Province Number One,Province Number One,NP-P1,,,2.2,,,5,Asia/Kathmandu,FALSE,1524024157
Surdip,Surdip,,28.2119,82.8289,Nepal,NP,NPL,,,,,,213.5,,,3,Asia/Kathmandu,FALSE,1524030197
Naulegāũ,Naulegau,,26.9187,87.9824,Nepal,NP,NPL,,,,,,213.5,,,3,Asia/Kathmandu,FALSE,1524009546
Naulegāũ,Naulegau,,26.9926,87.8420,Nepal,NP,NPL,,,,,,172.2,,,4,Asia/Kathmandu,TRUE,1524009868
Naulegāũ,Naulegau,Naulegāun,27.6317,85.7108,Nepal,NP,NPL,,,,,,109.6,,,4,Asia/Kathmandu,TRUE,1524918477
Nāulegāũ,Naulegau,,28.8227,81.5823,Nepal,NP,NPL,,,,,,95.2,,,4,Asia/Kathmandu,TRUE,1524022376
Naulegāũ,Naulegau,,27.2191,86.9576,Nepal,NP,NPL,,,,,,57.5,,,4,Asia/Kathmandu,TRUE,1524015332
Wācheli̇̄ḍā̃ḍā,Wachelidada,Wāchelīḍānḍā,27.9872,85.6485,Nepal,NP,NPL,,,,,,26.4,,,4,Asia/Kathmandu,FALSE,1524779752
Chām Bhañjyāṅ,Cham Bhanjyan,,27.9475,85.1180,Nepal,NP,NPL,,,,,,230.0,,,3,Asia/Kathmandu,FALSE,1524663860
Kimluṅ,Kimlun,,27.9382,85.4195,Nepal,NP,NPL,,,,,,137.1,,,4,Asia/Kathmandu,FALSE,1524886049
Lohi̇̄,Lohi,,27.9376,84.4357,Nepal,NP,NPL,,,,,,289.2,,,3,Asia/Kathmandu,FALSE,1524012497
Ghumāunegāũ,Ghumaunegau,,28.3533,81.9422,Nepal,NP,NPL,,,,,,105.7,,,4,Asia/Kathmandu,FALSE,1524026860
Ṭhulo Jyāmire,Thulo Jyamire,,27.2898,85.1481,Nepal,NP,NPL,,,,,,134.8,,,4,Asia/Kathmandu,FALSE,1524062214
Jāgirbhittā,Jagirbhitta,,26.9981,86.6722,Nepal,NP,NPL,,,,,,130.9,,,4,Asia/Kathmandu,FALSE,1524001861
Derāli̇̄,Derali,,26.9222,87.1723,Nepal,NP,NPL,,,,,,138.9,,,4,Asia/Kathmandu,FALSE,1524003494
Chiuri̇̄damār,Chiuridamar,Chiurīdamār,27.1505,85.7647,Nepal,NP,NPL,,,,,,111.5,,,4,Asia/Kathmandu,FALSE,1524600688
Bhā̃getari̇̄,Bhagetari,,28.6833,82.0013,Nepal,NP,NPL,,,,,,129.7,,,4,Asia/Kathmandu,FALSE,1524029556
Japhati̇̄,Japhati,,27.7578,85.1111,Nepal,NP,NPL,Province Number One,Province Number One,NP-P1,,,301.0,,,3,Asia/Kathmandu,FALSE,1524032867
Poklābāṅ,Poklaban,,27.3171,87.4382,Nepal,NP,NPL,Province Number One,Province Number One,NP-P1,,,49.4,,,4,Asia/Kathmandu,FALSE,1524006745
Musinākā,Musinaka,,27.6957,82.5639,Nepal,NP,NPL,,,,,,447.2,,,3,Asia/Kathmandu,FALSE,1524010345
Shyāmā,Shyama,,27.1134,86.8493,Nepal,NP,NPL,,,,,,76.7,,,4,Asia/Kathmandu,FALSE,1524014646
Shyāmā,Shyama,,27.6201,86.2951,Nepal,NP,NPL,,,,,,30.7,,,4,Asia/Kathmandu,TRUE,1524444080
Lāmetarākhuṭi̇̄,Lametarakhuti,,28.1873,81.9451,Nepal,NP,NPL,,,,,,20.8,,,4,Asia/Kathmandu,FALSE,1524029504
Kewā,Kewa,,27.9579,83.8960,Nepal,NP,NPL,,,,,,128.6,,,4,Asia/Kathmandu,FALSE,1524014703
Bharā̃to,Bharato,,29.1776,81.3658,Nepal,NP,NPL,Sudūrpashchim,Sudurpashchim,NP-P7,,,226.3,,,3,Asia/Kathmandu,FALSE,1524036514
Lābarboṭe,Labarbote,,26.6632,88.0706,Nepal,NP,NPL,,,,,,698.7,,,3,Asia/Kathmandu,FALSE,1524000882
Pukelā,Pukela,,29.6044,81.9861,Nepal,NP,NPL,Karṇālī,Karnali,NP-P6,,,91.8,,,4,Asia/Kathmandu,FALSE,1524035966
Tallo Sewār,Tallo Sewar,,28.2825,82.7651,Nepal,NP,NPL,,,,,,177.8,,,4,Asia/Kathmandu,FALSE,1524022721
Tāram Khālṭā,Taram Khalta,,28.3866,81.8995,Nepal,NP,NPL,,,,,,122.4,,,4,Asia/Kathmandu,FALSE,1524022028
Shāṅti̇̄kholāgāũ,Shantikholagau,,29.2455,81.3507,Nepal,NP,NPL,Sudūrpashchim,Sudurpashchim,NP-P7,,,143.8,,,4,Asia/Kathmandu,FALSE,1524035543
Kuikā̃ḍā,Kuikada,,28.4707,81.8755,Nepal,NP,NPL,,,,,,74.9,,,4,Asia/Kathmandu,FALSE,1524021935
