city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Rheeze,Rheeze,,52.5473,6.5807,Netherlands,NL,NLD,Overijssel,Overijssel,NL-OV,province,,43.3,285,285,4,Europe/Amsterdam,FALSE,1528912939
Giessen,Giessen,Giesen,51.7886,5.0328,Netherlands,NL,NLD,Noord-Brabant,Noord-Brabant,NL-NB,province,,301.3,284,284,3,Europe/Amsterdam,FALSE,1528275373
Weurt,Weurt,Weurd,51.8500,5.8167,Netherlands,NL,NLD,Gelderland,Gelderland,NL-GE,province,,60.0,283,283,3,Europe/Amsterdam,FALSE,1528170720
Kwadijk,Kwadijk,,52.5275,4.9811,Netherlands,NL,NLD,Noord-Holland,Noord-Holland,NL-NH,province,,49.6,281,281,3,Europe/Amsterdam,FALSE,1528870850
Gaastmeer,Gaastmeer,,52.9650,5.5439,Netherlands,NL,NLD,Fryslân,Fryslan,NL-FR,province,,41.9,280,280,4,Europe/Amsterdam,FALSE,1528527285
Heukelom,Heukelom,Hoog Heukelom|Heukelum|Hoog Heukelum,51.5794,5.1619,Netherlands,NL,NLD,Noord-Brabant,Noord-Brabant,NL-NB,province,,79.5,280,280,4,Europe/Amsterdam,FALSE,1528572239
Graafland,Graafland,,51.9250,4.8564,Netherlands,NL,NLD,Zuid-Holland,Zuid-Holland,NL-ZH,province,,234.4,280,280,3,Europe/Amsterdam,FALSE,1528918764
Waardhuizen,Waardhuizen,,51.7769,5.0100,Netherlands,NL,NLD,Noord-Brabant,Noord-Brabant,NL-NB,province,,212.1,280,280,3,Europe/Amsterdam,FALSE,1528852865
Visvliet,Visvliet,,53.2650,6.2474,Netherlands,NL,NLD,Groningen,Groningen,NL-GR,province,,149.6,280,280,3,Europe/Amsterdam,FALSE,1528733016
Hoenzadriel,Hoenzadriel,,51.7543,5.3294,Netherlands,NL,NLD,Gelderland,Gelderland,NL-GE,province,,350.0,278,278,3,Europe/Amsterdam,FALSE,1528020268
Markvelde,Markvelde,,52.1720,6.6068,Netherlands,NL,NLD,Overijssel,Overijssel,NL-OV,province,,29.9,275,275,4,Europe/Amsterdam,FALSE,1528538354
Noorderhoogebrug,Noorderhoogebrug,,53.2500,6.5667,Netherlands,NL,NLD,Groningen,Groningen,NL-GR,province,,450.8,275,275,3,Europe/Amsterdam,FALSE,1528449873
Kootwijk,Kootwijk,,52.1839,5.7731,Netherlands,NL,NLD,Gelderland,Gelderland,NL-GE,province,,8.5,275,275,3,Europe/Amsterdam,FALSE,1528318361
Jutrijp,Jutrijp,,52.9956,5.6500,Netherlands,NL,NLD,Fryslân,Fryslan,NL-FR,province,,45.2,275,275,4,Europe/Amsterdam,FALSE,1528451339
Nijeberkoop,Nijeberkoop,,52.9592,6.1906,Netherlands,NL,NLD,Fryslân,Fryslan,NL-FR,province,,22.6,275,275,4,Europe/Amsterdam,FALSE,1528808618
Drouwenerveen,Drouwenerveen,,52.9667,6.8500,Netherlands,NL,NLD,Drenthe,Drenthe,NL-DR,province,,82.8,275,275,4,Europe/Amsterdam,FALSE,1528860918
Baarschot,Baarschot,,51.4500,5.1833,Netherlands,NL,NLD,Noord-Brabant,Noord-Brabant,NL-NB,province,,158.2,275,275,4,Europe/Amsterdam,TRUE,1528390884
Spaarnwoude,Spaarnwoude,,52.4000,4.7000,Netherlands,NL,NLD,Noord-Holland,Noord-Holland,NL-NH,province,,131.6,274,274,3,Europe/Amsterdam,FALSE,1528753987
