city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
El Horno,El Horno,Horno,12.9097,-86.2807,Nicaragua,NI,NIC,Estelí,Esteli,NI-ES,department,,56.7,,,4,America/Managua,FALSE,1558428875
Los Chagüites,Los Chaguites,,12.1621,-86.1483,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,,1711.6,,,3,America/Managua,FALSE,1558000018
La Pitahaya,La Pitahaya,,12.7536,-86.1909,Nicaragua,NI,NIC,Matagalpa,Matagalpa,NI-MT,department,,68.5,,,4,America/Managua,FALSE,1558101388
San Presopio,San Presopio,,11.7103,-86.0088,Nicaragua,NI,NIC,Carazo,Carazo,NI-CA,department,,99.1,,,4,America/Managua,FALSE,1558065683
San José de Torres,San Jose de Torres,San José,12.4090,-85.6142,Nicaragua,NI,NIC,Boaco,Boaco,NI-BO,department,,52.9,,,4,America/Managua,FALSE,1558068122
San Nicolás,San Nicolas,,12.6275,-86.2913,Nicaragua,NI,NIC,Matagalpa,Matagalpa,NI-MT,department,,15.8,,,4,America/Managua,FALSE,1558011387
Comarca Pochocuape,Comarca Pochocuape,,12.0789,-86.2929,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,,4173.9,,,2,America/Managua,FALSE,1558000022
Quesera Playa Grande,Quesera Playa Grande,Playa Grande,12.8817,-87.2725,Nicaragua,NI,NIC,Chinandega,Chinandega,NI-CI,department,,33.9,,,4,America/Managua,FALSE,1558988290
El Delirio,El Delirio,,12.0867,-86.3036,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,,4173.9,,,2,America/Managua,FALSE,1558000028
El Delirio,El Delirio,,12.1000,-86.4667,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,,58.0,,,4,America/Managua,TRUE,1558503964
Santa María,Santa Maria,,12.2724,-86.0539,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,,142.5,,,4,America/Managua,FALSE,1558761249
Santa María,Santa Maria,,12.5571,-86.3428,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,,15.8,,,4,America/Managua,TRUE,1558988506
El Tábano,El Tabano,,12.7167,-85.5667,Nicaragua,NI,NIC,Matagalpa,Matagalpa,NI-MT,department,,46.6,,,4,America/Managua,FALSE,1558536082
Santa María,Santa Maria,,12.6762,-86.1413,Nicaragua,NI,NIC,Matagalpa,Matagalpa,NI-MT,department,,68.5,,,4,America/Managua,FALSE,1558360381
El Naranjo,El Naranjo,,11.6625,-86.2100,Nicaragua,NI,NIC,Carazo,Carazo,NI-CA,department,,39.8,,,4,America/Managua,FALSE,1558276531
Barrio Copaltepe,Barrio Copaltepe,,12.1500,-86.5667,Nicaragua,NI,NIC,León,Leon,NI-LE,department,,61.7,,,4,America/Managua,FALSE,1558047117
Rocoso,Rocoso,,11.6966,-85.8682,Nicaragua,NI,NIC,Granada,Granada,NI-GR,department,,98.0,,,4,America/Managua,FALSE,1558943020
La Bota,La Bota,,11.7024,-86.2040,Nicaragua,NI,NIC,Carazo,Carazo,NI-CA,department,,39.8,,,4,America/Managua,FALSE,1558027099
La Unión,La Union,,12.1894,-85.6965,Nicaragua,NI,NIC,Boaco,Boaco,NI-BO,department,,46.0,,,4,America/Managua,FALSE,1558777837
Los Gagos,Los Gagos,Gagos,11.8588,-86.3647,Nicaragua,NI,NIC,Carazo,Carazo,NI-CA,department,,146.5,,,4,America/Managua,FALSE,1558898827
El Capulín,El Capulin,Capulín,11.9753,-86.0072,Nicaragua,NI,NIC,Granada,Granada,NI-GR,department,,193.2,,,4,America/Managua,FALSE,1558157696
Cañas Gordas,Canas Gordas,,11.8890,-85.4042,Nicaragua,NI,NIC,Chontales,Chontales,NI-CO,department,,40.2,,,4,America/Managua,FALSE,1558533001
Pispayeri,Pispayeri,Pisbayarv,13.4843,-84.1763,Nicaragua,NI,NIC,Costa Caribe Norte,Costa Caribe Norte,NI-AN,autonomous region,,12.4,,,4,America/Managua,FALSE,1558669200
La Esperanza,La Esperanza,,12.1592,-86.1677,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,,4173.9,,,2,America/Managua,FALSE,1558000020
La Esperanza,La Esperanza,,12.0807,-86.3337,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,,4173.9,,,2,America/Managua,TRUE,1558000023
Quebrada Honda,Quebrada Honda,Caserío Quebrada Honda,12.3597,-86.0504,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,,142.5,,,4,America/Managua,FALSE,1558284634
Larga Vista,Larga Vista,,12.4488,-83.8242,Nicaragua,NI,NIC,Costa Caribe Sur,Costa Caribe Sur,NI-AS,autonomous region,,11.7,,,4,America/Managua,FALSE,1558999182
Santa Rosa de Lima,Santa Rosa de Lima,,12.9000,-86.2032,Nicaragua,NI,NIC,Matagalpa,Matagalpa,NI-MT,department,,71.8,,,4,America/Managua,FALSE,1558565681
Quebrada Honda,Quebrada Honda,Quebrada,12.9154,-86.0274,Nicaragua,NI,NIC,Matagalpa,Matagalpa,NI-MT,department,,297.6,,,3,America/Managua,FALSE,1558749008
Quebrada Honda,Quebrada Honda,,12.8167,-86.1833,Nicaragua,NI,NIC,Matagalpa,Matagalpa,NI-MT,department,,138.1,,,4,America/Managua,TRUE,1558263634
Morrillo,Morrillo,,11.2424,-84.7910,Nicaragua,NI,NIC,Río San Juan,Rio San Juan,NI-SJ,department,,37.9,,,4,America/Managua,FALSE,1558915922
El Zonto,El Zonto,,12.9333,-85.6167,Nicaragua,NI,NIC,Matagalpa,Matagalpa,NI-MT,department,,49.4,,,4,America/Managua,FALSE,1558620090
Set Net,Set Net,,12.4563,-83.4882,Nicaragua,NI,NIC,Costa Caribe Sur,Costa Caribe Sur,NI-AS,autonomous region,,11.7,,,4,America/Managua,FALSE,1558839097
San José,San Jose,,12.9934,-85.0946,Nicaragua,NI,NIC,Costa Caribe Sur,Costa Caribe Sur,NI-AS,autonomous region,,25.2,,,4,America/Managua,FALSE,1558889312
San José,San Jose,,12.2139,-84.2275,Nicaragua,NI,NIC,Costa Caribe Sur,Costa Caribe Sur,NI-AS,autonomous region,,17.2,,,4,America/Managua,TRUE,1558932727
Colonia Verdún,Colonia Verdun,Colonia Agrícola Verdún,11.6449,-84.4356,Nicaragua,NI,NIC,Costa Caribe Sur,Costa Caribe Sur,NI-AS,autonomous region,,19.3,,,4,America/Managua,FALSE,1558035524
Hato Nuevo,Hato Nuevo,Hato Grande,12.8255,-87.4136,Nicaragua,NI,NIC,Chinandega,Chinandega,NI-CI,department,,70.2,,,4,America/Managua,FALSE,1558324273
San Idelfonso,San Idelfonso,,11.7331,-86.0731,Nicaragua,NI,NIC,Carazo,Carazo,NI-CA,department,,99.1,,,4,America/Managua,FALSE,1558170115
