city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Managua,Managua,,12.1364,-86.2514,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,primary,3508.6,1051236,937489,1,America/Managua,FALSE,1558296252
León,Leon,,12.4333,-86.8867,Nicaragua,NI,NIC,León,Leon,NI-LE,department,admin,212.2,176171,174051,2,America/Managua,FALSE,1558654236
Tipitapa,Tipitapa,,12.2000,-86.1000,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,minor,104.3,147379,101685,2,America/Managua,FALSE,1558753915
Masaya,Masaya,,11.9667,-86.1000,Nicaragua,NI,NIC,Masaya,Masaya,NI-MS,department,admin,952.1,139582,139582,2,America/Managua,FALSE,1558765329
Matagalpa,Matagalpa,,12.9167,-85.9167,Nicaragua,NI,NIC,Matagalpa,Matagalpa,NI-MT,department,admin,215.4,133416,133416,2,America/Managua,FALSE,1558728443
"Ciudad Sandino","Ciudad Sandino",,12.1655,-86.3579,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,minor,1469.0,127517,75083,2,America/Managua,FALSE,1558641363
Chinandega,Chinandega,,12.6167,-87.1500,Nicaragua,NI,NIC,Chinandega,Chinandega,NI-CI,department,admin,177.4,121793,121793,2,America/Managua,FALSE,1558172276
Estelí,Esteli,,13.0833,-86.3500,Nicaragua,NI,NIC,Estelí,Esteli,NI-ES,department,admin,140.8,112084,112084,2,America/Managua,FALSE,1558801854
Granada,Granada,,11.9333,-85.9500,Nicaragua,NI,NIC,Granada,Granada,NI-GR,department,admin,177.6,105862,105171,2,America/Managua,FALSE,1558101678
Jinotega,Jinotega,,13.0884,-85.9994,Nicaragua,NI,NIC,Jinotega,Jinotega,NI-JI,department,admin,112.9,99382,99382,2,America/Managua,FALSE,1558697688
Bilwi,Bilwi,"Bragman’s Bluff|Puerto Cabezas",14.0281,-83.3808,Nicaragua,NI,NIC,"Costa Caribe Norte","Costa Caribe Norte",NI-AN,"autonomous region",admin,11.1,84189,66169,2,America/Managua,FALSE,1558656214
"El Viejo","El Viejo",Viejo,12.6667,-87.1667,Nicaragua,NI,NIC,Chinandega,Chinandega,NI-CI,department,minor,60.2,76775,76775,3,America/Managua,FALSE,1558770292
"Nueva Guinea","Nueva Guinea","Colonia Nueva Guinea",11.6833,-84.4500,Nicaragua,NI,NIC,"Costa Caribe Sur","Costa Caribe Sur",NI-AS,"autonomous region",minor,25.0,66936,66936,3,America/Managua,FALSE,1558868719
Siuna,Siuna,Suina,13.7333,-84.7667,Nicaragua,NI,NIC,"Costa Caribe Norte","Costa Caribe Norte",NI-AN,"autonomous region",minor,18.7,64092,64092,3,America/Managua,FALSE,1558482501
Mateare,Mateare,Meteare,12.2333,-86.4333,Nicaragua,NI,NIC,Managua,Managua,NI-MN,department,minor,96.8,61234,28775,3,America/Managua,FALSE,1558569665
Diriamba,Diriamba,Diriambo,11.8500,-86.2333,Nicaragua,NI,NIC,Carazo,Carazo,NI-CA,department,minor,164.9,57542,57542,3,America/Managua,FALSE,1558411169
Wiwilí,Wiwili,"Guiquili|Guiguilí|Wiwilí de Nueva Segovia",13.6167,-85.8333,Nicaragua,NI,NIC,"Nueva Segovia","Nueva Segovia",NI-NS,department,minor,84,57485,57485,3,America/Managua,FALSE,1558766877
Bluefields,Bluefields,Blewfield,12.0000,-83.7500,Nicaragua,NI,NIC,"Costa Caribe Sur","Costa Caribe Sur",NI-AS,"autonomous region",admin,9.5,56005,45547,2,America/Managua,FALSE,1558301368
