city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kosao,Kosao,Kossao,14.2780,8.2597,Niger,NE,NER,Maradi,Maradi,NE-4,region,,133.3,,,4,Africa/Niamey,FALSE,1562795549
Angoa-Angao,Angoa-Angao,,13.0301,3.9454,Niger,NE,NER,Dosso,Dosso,NE-3,region,,112.5,,,4,Africa/Niamey,FALSE,1562389507
Tapkin Matjiji,Tapkin Matjiji,Tabkin Matchiji,13.9077,6.1240,Niger,NE,NER,Tahoua,Tahoua,NE-5,region,,179.8,,,4,Africa/Niamey,FALSE,1562083338
Garin Mousari,Garin Mousari,,13.6084,10.9435,Niger,NE,NER,Diffa,Diffa,NE-2,region,,17.0,,,4,Africa/Niamey,FALSE,1562629238
Maskouri,Maskouri,,13.8173,11.2897,Niger,NE,NER,Diffa,Diffa,NE-2,region,,17.0,,,4,Africa/Niamey,FALSE,1562685785
Djaboulam I,Djaboulam I,Tidaoua,13.5571,13.0142,Niger,NE,NER,Diffa,Diffa,NE-2,region,,71.1,,,4,Africa/Niamey,FALSE,1562896148
Awikilis,Awikilis,,14.2246,5.3472,Niger,NE,NER,Tahoua,Tahoua,NE-5,region,,126.7,,,4,Africa/Niamey,FALSE,1562874694
Dan Madatchi,Dan Madatchi,,13.6773,6.7467,Niger,NE,NER,Maradi,Maradi,NE-4,region,,151.2,,,4,Africa/Niamey,FALSE,1562973219
Toungouzou,Toungouzou,,13.9490,9.2118,Niger,NE,NER,Zinder,Zinder,NE-7,region,,131.5,,,4,Africa/Niamey,FALSE,1562684091
Adabda,Adabda,,15.0788,2.3398,Niger,NE,NER,Tillabéri,Tillaberi,NE-6,region,,14.9,,,4,Africa/Niamey,FALSE,1562284986
Dabo,Dabo,,14.6420,7.7947,Niger,NE,NER,Zinder,Zinder,NE-7,region,,13.6,,,4,Africa/Niamey,FALSE,1562824338
Madori,Madori,,13.3025,12.5522,Niger,NE,NER,Diffa,Diffa,NE-2,region,,30.2,,,4,Africa/Niamey,FALSE,1562534142
Bohi Tondi,Bohi Tondi,Bohi-Tonndi,13.7526,1.2901,Niger,NE,NER,Tillabéri,Tillaberi,NE-6,region,,70.1,,,4,Africa/Niamey,FALSE,1562203428
Kargui Bangou,Kargui Bangou,,13.0022,2.6590,Niger,NE,NER,Dosso,Dosso,NE-3,region,,108.9,,,4,Africa/Niamey,FALSE,1562433549
Kargui Bangou,Kargui Bangou,Karjibengou|Karjibengu|Kargi Bangou|Kardjibangou,12.9497,3.5044,Niger,NE,NER,Dosso,Dosso,NE-3,region,,69.8,,,4,Africa/Niamey,TRUE,1562394781
Goulou Goutchi,Goulou Goutchi,,13.4974,6.7426,Niger,NE,NER,Maradi,Maradi,NE-4,region,,151.2,,,4,Africa/Niamey,FALSE,1562151815
Ekokia,Ekokia,,13.4139,7.2618,Niger,NE,NER,Maradi,Maradi,NE-4,region,,163.8,,,4,Africa/Niamey,FALSE,1562180248
Taballawa,Taballawa,,14.6140,8.7171,Niger,NE,NER,Zinder,Zinder,NE-7,region,,24.6,,,4,Africa/Niamey,FALSE,1562489168
Toudoun Waké,Toudoun Wake,,15.1488,5.2570,Niger,NE,NER,Tahoua,Tahoua,NE-5,region,,66.8,,,4,Africa/Niamey,FALSE,1562171283
