city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Tseng,Tseng,Tsengough,7.1442,9.1122,Nigeria,NG,NGA,Benue,Benue,NG-BE,state,,198.8,,,4,Africa/Lagos,FALSE,1566843562
Adabi,Adabi,,7.5758,6.1761,Nigeria,NG,NGA,Kogi,Kogi,NG-KO,state,,460.4,,,3,Africa/Lagos,FALSE,1566976799
Bego,Bego,,12.5637,13.6298,Nigeria,NG,NGA,Borno,Borno,NG-BO,state,,94.1,,,4,Africa/Lagos,FALSE,1566069208
Bego,Bego,,11.1233,13.0076,Nigeria,NG,NGA,Borno,Borno,NG-BO,state,,57.1,,,4,Africa/Lagos,TRUE,1566660600
Naka,Naka,,7.5833,8.2044,Nigeria,NG,NGA,Benue,Benue,NG-BE,state,minor,147.6,,,3,Africa/Lagos,FALSE,1566370378
Mangwa,Mangwa,,10.0083,6.6322,Nigeria,NG,NGA,Niger,Niger,NG-NI,state,,71.0,,,4,Africa/Lagos,FALSE,1566492719
Rumo,Rumo,,11.4761,8.9132,Nigeria,NG,NGA,Kano,Kano,NG-KN,state,,328.7,,,3,Africa/Lagos,FALSE,1566472145
Maba,Maba,,12.8272,10.0406,Nigeria,NG,NGA,Jigawa,Jigawa,NG-JI,state,,131.8,,,4,Africa/Lagos,FALSE,1566619479
Dada,Dada,,9.9935,6.3865,Nigeria,NG,NGA,Niger,Niger,NG-NI,state,,83.7,,,4,Africa/Lagos,FALSE,1566621212
Albasu,Albasu,,11.6740,9.1406,Nigeria,NG,NGA,Kano,Kano,NG-KN,state,minor,637.0,,,3,Africa/Lagos,FALSE,1566860614
Irokhin,Irokhin,,6.3833,5.8667,Nigeria,NG,NGA,Edo,Edo,NG-ED,state,,86.9,,,4,Africa/Lagos,FALSE,1566362930
Umu Ohie Uku,Umu Ohie Uku,,5.3167,7.2500,Nigeria,NG,NGA,Imo,Imo,NG-IM,state,,398.0,,,3,Africa/Lagos,FALSE,1566326879
Awaka,Awaka,,5.4709,7.0829,Nigeria,NG,NGA,Imo,Imo,NG-IM,state,,1355.8,,,3,Africa/Lagos,FALSE,1566801441
Kumba,Kumba,,11.1367,13.7799,Nigeria,NG,NGA,Borno,Borno,NG-BO,state,,180.5,,,4,Africa/Lagos,FALSE,1566748605
Kumba,Kumba,,10.4912,12.0333,Nigeria,NG,NGA,Borno,Borno,NG-BO,state,,122.3,,,4,Africa/Lagos,TRUE,1566017819
Abasayi,Abasayi,,8.5899,8.5578,Nigeria,NG,NGA,Nasarawa,Nasarawa,NG-NA,state,,176.0,,,4,Africa/Lagos,FALSE,1566006933
