city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Alofi,Alofi,,-19.0560,-169.9210,Niue,NU,NIU,,,,,primary,12.8,597,597,1,Pacific/Niue,FALSE,1570882835
"Lakepa Village","Lakepa Village",,-19.0090,-169.8069,Niue,NU,NIU,,,,,,1.2,,,5,Pacific/Niue,FALSE,1570000005
"Hikutavake Village","Hikutavake Village",Hikutivake,-18.9654,-169.8804,Niue,NU,NIU,,,,,,2.1,,,5,Pacific/Niue,FALSE,1570770852
Mamakula,Mamakula,Namukulu,-18.9500,-169.9000,Niue,NU,NIU,,,,,,2.1,,,5,Pacific/Niue,FALSE,1570428747
"Tamakautoga Village","Tamakautoga Village",Tamakautoga,-19.1059,-169.9156,Niue,NU,NIU,,,,,,6.8,,,5,Pacific/Niue,FALSE,1570000003
"Vaiea Village","Vaiea Village",,-19.1310,-169.8878,Niue,NU,NIU,,,,,,25.2,,,4,Pacific/Niue,FALSE,1570000002
Matalave,Matalave,,-18.9500,-169.9000,Niue,NU,NIU,,,,,,2.1,,,5,Pacific/Niue,FALSE,1570778052
Taoli,Taoli,,-19.1000,-169.8833,Niue,NU,NIU,,,,,,4.8,,,5,Pacific/Niue,FALSE,1570525497
Lakepa,Lakepa,,-18.9833,-169.8000,Niue,NU,NIU,,,,,,2.3,,,5,Pacific/Niue,FALSE,1570133454
Talamaitoga,Talamaitoga,,-19.1265,-169.8959,Niue,NU,NIU,,,,,,13.8,,,4,Pacific/Niue,FALSE,1570000001
"Liku Village","Liku Village",Liku,-19.0542,-169.7886,Niue,NU,NIU,,,,,,2.1,,,5,Pacific/Niue,FALSE,1570000000
Huvalu,Huvalu,,-19.0667,-169.8000,Niue,NU,NIU,,,,,,2.1,,,5,Pacific/Niue,FALSE,1570052093
"Mutalau Village","Mutalau Village",Mutalau,-18.9623,-169.8283,Niue,NU,NIU,,,,,,3.6,,,5,Pacific/Niue,FALSE,1570225456
Fukau,Fukau,,-18.9706,-169.8217,Niue,NU,NIU,,,,,,3.6,,,5,Pacific/Niue,FALSE,1570000006
Avatele,Avatele,,-19.1000,-169.9167,Niue,NU,NIU,,,,,,6.8,,,5,Pacific/Niue,FALSE,1570544980
"Alofi Township","Alofi Township",,-19.0541,-169.9200,Niue,NU,NIU,,,,,,12.0,,,4,Pacific/Niue,FALSE,1570000009
"Toi Village","Toi Village",Toi,-18.9742,-169.8586,Niue,NU,NIU,,,,,,2.5,,,5,Pacific/Niue,FALSE,1570000004
"Namukulu Village","Namukulu Village",,-18.9775,-169.8966,Niue,NU,NIU,,,,,,5.6,,,5,Pacific/Niue,FALSE,1570000010
Liha,Liha,,-18.9500,-169.8000,Niue,NU,NIU,,,,,,3.6,,,5,Pacific/Niue,FALSE,1570110379
Fualahi,Fualahi,,-19.0751,-169.9282,Niue,NU,NIU,,,,,,10.4,,,4,Pacific/Niue,FALSE,1570000007
Fatiau,Fatiau,,-19.1167,-169.9000,Niue,NU,NIU,,,,,,5.9,,,5,Pacific/Niue,FALSE,1570478302
"Makefu Village","Makefu Village",Makefu,-19.0018,-169.9138,Niue,NU,NIU,,,,,,2.8,,,5,Pacific/Niue,FALSE,1570412058
"Avatele Village","Avatele Village",,-19.1250,-169.9117,Niue,NU,NIU,,,,,,5.9,,,5,Pacific/Niue,FALSE,1570000008
"Hakupu Village","Hakupu Village",Hakupu,-19.1280,-169.8434,Niue,NU,NIU,,,,,,1.7,,,5,Pacific/Niue,FALSE,1570310260
"Tuapa Village","Tuapa Village",Tuapa,-18.9915,-169.9042,Niue,NU,NIU,,,,,,5.6,,,5,Pacific/Niue,FALSE,1570521732
