city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Polčište,Polciste,,41.1486,21.8228,North Macedonia,MK,MKD,Prilep,Prilep,MK-508,,,64.8,6,6,3,Europe/Skopje,FALSE,1807564099
Judovo,Judovo,,41.4444,20.8733,North Macedonia,MK,MKD,Kičevo,Kicevo,MK-307,,,7.4,6,6,4,Europe/Skopje,FALSE,1807394002
Mogilec,Mogilec,,41.6508,21.2236,North Macedonia,MK,MKD,Makedonski Brod,Makedonski Brod,MK-308,,,7.1,6,6,4,Europe/Skopje,FALSE,1807213935
Čumovo,Cumovo,Čmovo,41.2822,21.5694,North Macedonia,MK,MKD,Prilep,Prilep,MK-508,,,64.8,6,6,3,Europe/Skopje,FALSE,1807915323
Barovo,Barovo,,41.9453,21.3439,North Macedonia,MK,MKD,Sopište,Sopiste,MK-812,,,335.0,6,6,3,Europe/Skopje,FALSE,1807773853
Šeleverci,Seleverci,,41.2406,21.4819,North Macedonia,MK,MKD,Prilep,Prilep,MK-508,,,64.8,6,6,3,Europe/Skopje,FALSE,1807580598
Leunovo,Leunovo,,41.6950,20.7978,North Macedonia,MK,MKD,Mavrovo i Rostuše,Mavrovo i Rostuse,MK-607,,,13.6,6,6,3,Europe/Skopje,FALSE,1807473672
Sudiḱ,Sudik,Sudič|Sudik|Sudić,41.8650,22.1256,North Macedonia,MK,MKD,Štip,Stip,MK-211,,,78.6,6,6,4,Europe/Skopje,FALSE,1807266165
Vrteška,Vrteska,,41.7589,22.4183,North Macedonia,MK,MKD,Karbinci,Karbinci,MK-205,,,20.2,6,6,3,Europe/Skopje,FALSE,1807159883
Svetorače,Svetorace,Svetovrači,41.5275,21.0700,North Macedonia,MK,MKD,Kičevo,Kicevo,MK-307,,,10.7,6,6,4,Europe/Skopje,FALSE,1807664626
Krušopek,Krusopek,,41.9958,21.3436,North Macedonia,MK,MKD,Skopje,Skopje,MK-85,city,,647.5,6,6,3,Europe/Skopje,FALSE,1807758952
Brčevo,Brcevo,,41.2978,20.6731,North Macedonia,MK,MKD,Struga,Struga,MK-312,,,139.9,6,6,3,Europe/Skopje,FALSE,1807764600
Ivančišta,Ivancista,Ivančište,41.4619,20.7917,North Macedonia,MK,MKD,Kičevo,Kicevo,MK-307,,,7.4,6,6,4,Europe/Skopje,FALSE,1807311353
Kunovo,Kunovo,,41.7422,20.9533,North Macedonia,MK,MKD,Gostivar,Gostivar,MK-604,,,186.9,6,6,4,Europe/Skopje,FALSE,1807290344
