city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Skopje,Skopje,Usküb|Skopeia|Shkup|Skoplje|Skopie|Skoplie,41.9961,21.4317,"North Macedonia",MK,MKD,Skopje,Skopje,MK-85,city,primary,921.3,526502,526502,1,Europe/Skopje,FALSE,1807600615
Kumanovo,Kumanovo,Kumanovë,42.1322,21.7144,"North Macedonia",MK,MKD,Kumanovo,Kumanovo,MK-703,,admin,139.0,70842,70842,2,Europe/Skopje,FALSE,1807301219
Bitola,Bitola,Manastir|Monastir|Bitolya|Bitolj|Bitol|Monasteron,41.0319,21.3347,"North Macedonia",MK,MKD,Bitola,Bitola,MK-501,,admin,164.0,69287,69287,2,Europe/Skopje,FALSE,1807488567
Prilep,Prilep,Perlepé|Perlepes,41.3464,21.5542,"North Macedonia",MK,MKD,Prilep,Prilep,MK-508,,admin,53.0,63308,63308,2,Europe/Skopje,FALSE,1807551778
Tetovo,Tetovo,"Qalqan Delen|Kalkandelen",42.0103,20.9714,"North Macedonia",MK,MKD,Tetovo,Tetovo,MK-609,,admin,241.2,63176,63176,2,Europe/Skopje,FALSE,1807020286
Štip,Stip,Stiplia|Ishtib,41.7358,22.1914,"North Macedonia",MK,MKD,Štip,Stip,MK-211,,admin,87.6,42000,42000,2,Europe/Skopje,FALSE,1807614061
Veles,Veles,"Titov Veles|Velessa|Köprülü",41.7153,21.7753,"North Macedonia",MK,MKD,Veles,Veles,MK-101,,admin,132.5,40664,40664,2,Europe/Skopje,FALSE,1807468155
Ohrid,Ohrid,Okhri|Akhris,41.1169,20.8019,"North Macedonia",MK,MKD,Ohrid,Ohrid,MK-310,,admin,99.6,38818,38818,2,Europe/Skopje,FALSE,1807586875
Strumica,Strumica,Strumitza|Stromitza|Ustrumcha|Stromnitza|Stroumitsa|Stromnitsa|Strumitsa,41.4375,22.6431,"North Macedonia",MK,MKD,Strumica,Strumica,MK-410,,admin,308.1,33825,33825,2,Europe/Skopje,FALSE,1807799132
Gostivar,Gostivar,Kostovon,41.8000,20.9167,"North Macedonia",MK,MKD,Gostivar,Gostivar,MK-604,,admin,186.9,32814,32814,2,Europe/Skopje,FALSE,1807901060
Kočani,Kocani,Kočane,41.9167,22.4125,"North Macedonia",MK,MKD,Kočani,Kocani,MK-206,,admin,88.9,28330,28330,2,Europe/Skopje,FALSE,1807422302
Dračevo,Dracevo,"Naselba Dračevo|Selo Dračevo|Draçevë",41.9367,21.5217,"North Macedonia",MK,MKD,Skopje,Skopje,MK-85,city,,980.6,19246,19246,3,Europe/Skopje,FALSE,1807215833
Struga,Struga,Ustrugha,41.1775,20.6789,"North Macedonia",MK,MKD,Struga,Struga,MK-312,,admin,139.9,15009,15009,2,Europe/Skopje,FALSE,1807746682
Debar,Debar,Dibre-i-Bala|Bebar|Dibra,41.5250,20.5272,"North Macedonia",MK,MKD,Debar,Debar,MK-303,,admin,162.1,14561,14561,2,Europe/Skopje,FALSE,1807621851
"Kriva Palanka","Kriva Palanka",Palangha,42.2017,22.3317,"North Macedonia",MK,MKD,"Kriva Palanka","Kriva Palanka",MK-702,,admin,28.0,13481,13481,2,Europe/Skopje,FALSE,1807058849
Negotino,Negotino,"Negotin Vardarski|Negotin",41.4839,22.0892,"North Macedonia",MK,MKD,Negotino,Negotino,MK-106,,admin,94.0,12488,12488,2,Europe/Skopje,FALSE,1807848381
