city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Achugao,Achugao,,15.2436,145.7658,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580428349
Afatung,Afatung,,14.1314,145.2137,"Northern Mariana Islands",MP,MNP,,,,,,24.5,,,4,Pacific/Guam,FALSE,1580480905
Afetnas,Afetnas,,15.1272,145.6982,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580678187
"Agatasi (Payapai)","Agatasi (Payapai)",,14.1272,145.2209,"Northern Mariana Islands",MP,MNP,,,,,,24.5,,,4,Pacific/Guam,FALSE,1580382803
Agingan,Agingan,,15.1163,145.7014,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580102367
Agrihan,Agrihan,,18.7710,145.6675,"Northern Mariana Islands",MP,MNP,,,,,,0,,,5,Pacific/Guam,FALSE,1580546601
Aguijan,Aguijan,,14.8524,145.5587,"Northern Mariana Islands",MP,MNP,,,,,,26.4,,,4,Pacific/Guam,FALSE,1580515879
Agusan,Agusan,,14.1904,145.2267,"Northern Mariana Islands",MP,MNP,,,,,,24.5,,,4,Pacific/Guam,FALSE,1580519339
Alaguan,Alaguan,,14.1448,145.2303,"Northern Mariana Islands",MP,MNP,,,,,,24.5,,,4,Pacific/Guam,FALSE,1580634339
Alamagan,Alamagan,,17.5997,145.8328,"Northern Mariana Islands",MP,MNP,,,,,,0,,,5,Pacific/Guam,FALSE,1580538066
"American Memorial Park","American Memorial Park",,15.2165,145.7224,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580725417
Anatahan,Anatahan,,16.3521,145.6773,"Northern Mariana Islands",MP,MNP,,,,,,0,,,5,Pacific/Guam,FALSE,1580261511
"Annex F","Annex F",,14.1398,145.1481,"Northern Mariana Islands",MP,MNP,,,,,,24.5,,,4,Pacific/Guam,FALSE,1580871594
Apanon,Apanon,,14.1139,145.1793,"Northern Mariana Islands",MP,MNP,,,,,,24.5,,,4,Pacific/Guam,FALSE,1580824437
"As Akina","As Akina",,15.2321,145.7652,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580594661
"As Akoddo","As Akoddo",,14.1537,145.1715,"Northern Mariana Islands",MP,MNP,,,,,,24.5,,,4,Pacific/Guam,FALSE,1580795679
"As Dudo","As Dudo",,14.1755,145.2802,"Northern Mariana Islands",MP,MNP,,,,,,24.5,,,4,Pacific/Guam,FALSE,1580524789
"As Falipe","As Falipe",,15.1925,145.7356,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580400467
"As Gonna","As Gonna",,15.1201,145.7136,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580833908
"As Lito","As Lito",,15.1303,145.7215,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580606541
"As Mahetog","As Mahetog",,15.2358,145.7560,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580594367
"As Matuis","As Matuis",,15.2511,145.7853,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580723493
"As Niebes (Nieves)","As Niebes (Nieves)",,14.1657,145.2691,"Northern Mariana Islands",MP,MNP,,,,,,24.5,,,4,Pacific/Guam,FALSE,1580363746
"As Palacios","As Palacios",,15.2154,145.7299,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580301478
"As Perdido","As Perdido",,15.1303,145.7069,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580879348
"As Rabagau","As Rabagau",,15.2183,145.7415,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580715266
"As Teo","As Teo",,15.1963,145.7646,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580409225
"As Terlaje","As Terlaje",,15.1561,145.7236,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580236396
Asuncion,Asuncion,,19.6914,145.4031,"Northern Mariana Islands",MP,MNP,,,,,,0,,,5,Pacific/Guam,FALSE,1580948912
Banaderu,Banaderu,,15.2794,145.8171,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580115284
"Bird Island","Bird Island",,15.2574,145.8135,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580256299
"Capitol Hill","Capitol Hill",,15.2137,145.7546,"Northern Mariana Islands",MP,MNP,,,,,primary,344.2,2500,1028,1,Pacific/Guam,FALSE,1580556972
Carolinas,Carolinas,,14.9433,145.6436,"Northern Mariana Islands",MP,MNP,,,,,,26.4,,,4,Pacific/Guam,FALSE,1580508490
"Carolinas Heights","Carolinas Heights",,14.9660,145.6508,"Northern Mariana Islands",MP,MNP,,,,,,26.4,,,4,Pacific/Guam,FALSE,1580807543
Chacha,Chacha,,15.1840,145.7648,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580991810
"Chalan Galaide","Chalan Galaide",,15.2078,145.7402,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580957658
"Chalan Kanoa I","Chalan Kanoa I",,15.1456,145.7075,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580528308
"Chalan Kanoa II","Chalan Kanoa II",,15.1490,145.7026,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580913951
"Chalan Kanoa III","Chalan Kanoa III",,15.1447,145.7039,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580592621
"Chalan Kanoa IV","Chalan Kanoa IV",,15.1435,145.7018,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580482980
"Chalan Kiya","Chalan Kiya",,15.1640,145.7200,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580988883
"Chalan Laulau","Chalan Laulau",,15.1762,145.7151,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580743409
"Chalan Piao","Chalan Piao",,15.1365,145.7014,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580742751
"Chalan Rueda","Chalan Rueda",,15.1770,145.7281,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580597649
"China Town","China Town",,15.2035,145.7224,"Northern Mariana Islands",MP,MNP,,,,,,344.2,,,3,Pacific/Guam,FALSE,1580069802
