city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Øvre Rygg,Ovre Rygg,Rygg|Ryg,64.1837,11.8981,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,,14.9,,,4,Europe/Oslo,FALSE,1578346460
Ørmen,Ormen,,59.2990,10.8918,Norway,NO,NOR,Viken,Viken,NO-30,,,67.5,,,4,Europe/Oslo,FALSE,1578838970
Vatlandsvåg,Vatlandsvag,Vatlandsvaag,59.4167,6.0167,Norway,NO,NOR,Rogaland,Rogaland,NO-11,county,,2.3,,,5,Europe/Oslo,FALSE,1578792386
Vikeså,Vikesa,Vigeså|Vigesaa,58.6333,6.1000,Norway,NO,NOR,Rogaland,Rogaland,NO-11,county,minor,4.7,,,3,Europe/Oslo,FALSE,1578448908
Øygard,Oygard,Ödegard,58.3500,8.2833,Norway,NO,NOR,Agder,Agder,NO-42,,,7.9,,,5,Europe/Oslo,FALSE,1578623636
Øygard,Oygard,,58.3500,7.3833,Norway,NO,NOR,Agder,Agder,NO-42,,,7.5,,,5,Europe/Oslo,TRUE,1578088311
Øygard,Oygard,,58.2833,7.5000,Norway,NO,NOR,Agder,Agder,NO-42,,,5.9,,,5,Europe/Oslo,TRUE,1578491154
Snekkjevik,Snekkjevik,,60.3453,5.1617,Norway,NO,NOR,Vestland,Vestland,NO-46,,,204.2,,,3,Europe/Oslo,FALSE,1578581114
Ildjernet,Ildjernet,Illjernet,59.8444,10.6368,Norway,NO,NOR,Viken,Viken,NO-30,,,305.1,,,3,Europe/Oslo,FALSE,1578002447
Breidvik,Breidvik,Brejvik|Bredvik,62.4833,6.3667,Norway,NO,NOR,Møre og Romsdal,More og Romsdal,NO-15,county,,550.0,,,3,Europe/Oslo,FALSE,1578804412
Breidvik,Breidvik,Breivik|Bredvik,62.7833,6.9167,Norway,NO,NOR,Møre og Romsdal,More og Romsdal,NO-15,county,,61.1,,,4,Europe/Oslo,TRUE,1578928416
Breidvik,Breidvik,Brevik,62.2000,5.6000,Norway,NO,NOR,Møre og Romsdal,More og Romsdal,NO-15,county,,16.3,,,4,Europe/Oslo,TRUE,1578679356
Breidvik,Breidvik,Breivik,62.5833,7.7500,Norway,NO,NOR,Møre og Romsdal,More og Romsdal,NO-15,county,,5.1,,,5,Europe/Oslo,TRUE,1578017245
Myra,Myra,Myren,63.5500,9.9333,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,,11.1,,,4,Europe/Oslo,FALSE,1578807888
Myra,Myra,Myren,64.3167,10.5167,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,,2.4,,,5,Europe/Oslo,TRUE,1578591231
Sumstad,Sumstad,,64.2000,10.3000,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,,2.5,,,5,Europe/Oslo,FALSE,1578176613
Kvåla,Kvala,Hvalen|Hvaalen,59.4000,9.3167,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,14.6,,,4,Europe/Oslo,FALSE,1578774829
Vigrestad,Vigrestad,,58.5667,5.7000,Norway,NO,NOR,Rogaland,Rogaland,NO-11,county,,72.8,,,4,Europe/Oslo,FALSE,1578555777
Rysstad,Rysstad,Rysestad,59.0833,7.5333,Norway,NO,NOR,Agder,Agder,NO-42,,,1.0,,,5,Europe/Oslo,FALSE,1578828976
Melem,Melem,Mælem,62.5833,9.6333,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,,3.1,,,5,Europe/Oslo,FALSE,1578871299
Frikstad,Frikstad,,58.3000,7.5833,Norway,NO,NOR,Agder,Agder,NO-42,,,30.4,,,4,Europe/Oslo,FALSE,1578966531
Frikstad,Frikstad,,58.5167,7.9000,Norway,NO,NOR,Agder,Agder,NO-42,,,5.7,,,5,Europe/Oslo,TRUE,1578102966
Grottveit,Grottveit,,60.5569,5.3131,Norway,NO,NOR,Vestland,Vestland,NO-46,,,36.9,,,4,Europe/Oslo,FALSE,1578707634
Myra,Myra,,69.2350,18.0342,Norway,NO,NOR,Troms og Finnmark,Troms og Finnmark,NO-54,,,12.4,,,4,Europe/Oslo,FALSE,1578642846
Eik,Eik,,59.6167,10.3500,Norway,NO,NOR,Viken,Viken,NO-30,,,109.6,,,4,Europe/Oslo,FALSE,1578536308
Eik,Eik,,59.2940,10.4203,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,360.4,,,3,Europe/Oslo,FALSE,1578002235
Manvik,Manvik,,58.9960,9.9198,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,86.4,,,4,Europe/Oslo,FALSE,1578000519
Strandvik,Strandvik,,59.0303,10.1136,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,86.4,,,4,Europe/Oslo,FALSE,1578000646
Smørbergrønningen,Smorbergronningen,,59.2655,10.3672,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,298.1,,,3,Europe/Oslo,FALSE,1578002197
Moholt,Moholt,Moholtan,63.4000,10.4333,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,,602.6,,,3,Europe/Oslo,FALSE,1578079085
Slåttnes,Slattnes,Slaattnes|Slaatnes,68.6661,14.9908,Norway,NO,NOR,Nordland,Nordland,NO-18,county,,13.5,,,4,Europe/Oslo,FALSE,1578553691
Bolla,Bolla,,68.8281,17.0803,Norway,NO,NOR,Troms og Finnmark,Troms og Finnmark,NO-54,,,4.7,,,5,Europe/Oslo,FALSE,1578499579
Kårvik,Karvik,Kaarvik,69.3833,18.1833,Norway,NO,NOR,Troms og Finnmark,Troms og Finnmark,NO-54,,,12.4,,,4,Europe/Oslo,FALSE,1578482350
Karvik,Karvik,,69.8469,21.8263,Norway,NO,NOR,Troms og Finnmark,Troms og Finnmark,NO-54,,,0.6,,,5,Europe/Oslo,TRUE,1578263720
Svikebøl,Svikebol,,59.6833,11.0333,Norway,NO,NOR,Viken,Viken,NO-30,,,36.5,,,4,Europe/Oslo,FALSE,1578733428
Nylennaåsen,Nylennaasen,,59.7654,10.8826,Norway,NO,NOR,Viken,Viken,NO-30,,,195.8,,,4,Europe/Oslo,FALSE,1578001777
Høyenhall,Hoyenhall,,59.9060,10.8196,Norway,NO,NOR,Oslo,Oslo,NO-03,county,,1602.3,,,3,Europe/Oslo,FALSE,1578000052
Svestad,Svestad,,59.7751,10.5945,Norway,NO,NOR,Viken,Viken,NO-30,,,305.1,,,3,Europe/Oslo,FALSE,1578692447
Skjøtskiftflåtten,Skjotskiftflatten,,63.1500,9.7167,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,,21.5,,,4,Europe/Oslo,FALSE,1578516426
Våje,Vaje,Vaaje,58.1000,7.9667,Norway,NO,NOR,Agder,Agder,NO-42,,,324.8,,,3,Europe/Oslo,FALSE,1578314150
Rolighet,Rolighet,,59.6770,10.6256,Norway,NO,NOR,Viken,Viken,NO-30,,,200.5,,,3,Europe/Oslo,FALSE,1578001688
Røykenes,Roykenes,,68.7833,15.9500,Norway,NO,NOR,Nordland,Nordland,NO-18,county,,4.3,,,5,Europe/Oslo,FALSE,1578021338
Osøyri,Osoyri,Osøren|Osøra|Oosøren,60.1833,5.4667,Norway,NO,NOR,Vestland,Vestland,NO-46,,,164.9,,,4,Europe/Oslo,FALSE,1578666675
Hagadalen,Hagadalen,,59.5367,10.3650,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,79.6,,,4,Europe/Oslo,FALSE,1578000979
Øbø,Obo,,66.2667,13.1167,Norway,NO,NOR,Nordland,Nordland,NO-18,county,,9.3,,,5,Europe/Oslo,FALSE,1578017306
Karbøl,Karbol,,67.0999,14.9679,Norway,NO,NOR,Nordland,Nordland,NO-18,county,,38.4,,,4,Europe/Oslo,FALSE,1578931547
Skjolde,Skjolde,,68.8833,15.5167,Norway,NO,NOR,Nordland,Nordland,NO-18,county,,7.0,,,5,Europe/Oslo,FALSE,1578409991
Viul,Viul,Viol,60.2000,10.3500,Norway,NO,NOR,Viken,Viken,NO-30,,,20.4,,,4,Europe/Oslo,FALSE,1578436254
Bruntveit,Bruntveit,Bruntveil,59.8000,5.9333,Norway,NO,NOR,Vestland,Vestland,NO-46,,,13.0,,,4,Europe/Oslo,FALSE,1578421392
Bruntveit,Bruntveit,,60.0425,5.4331,Norway,NO,NOR,Vestland,Vestland,NO-46,,,9.9,,,5,Europe/Oslo,TRUE,1578890465
Tengdal,Tengdal,,59.6667,6.3333,Norway,NO,NOR,Rogaland,Rogaland,NO-11,county,,8.1,,,5,Europe/Oslo,FALSE,1578183151
Grimsrudenga,Grimsrudenga,,59.6566,10.2230,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,53.8,,,4,Europe/Oslo,FALSE,1578000400
Rolvshus,Rolvshus,Rolfshus,60.7000,8.9667,Norway,NO,NOR,Viken,Viken,NO-30,,,8.9,,,5,Europe/Oslo,FALSE,1578534572
Gryte,Gryte,,59.6500,10.2152,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,53.8,,,4,Europe/Oslo,FALSE,1578000738
Gryte,Gryte,,59.2500,8.1000,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,1.2,,,5,Europe/Oslo,TRUE,1578977094
Hopla,Hopla,Hopten|Hoptel|Hoplen,63.6000,10.9667,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,,31.5,,,4,Europe/Oslo,FALSE,1578059390
Reisjå,Reisja,Reisjaa,59.8000,8.6833,Norway,NO,NOR,Vestfold og Telemark,Vestfold og Telemark,NO-38,,,2.0,,,5,Europe/Oslo,FALSE,1578890509
Skutevik,Skutevik,,60.3000,6.1667,Norway,NO,NOR,Vestland,Vestland,NO-46,,,14.0,,,4,Europe/Oslo,FALSE,1578678892
Gryte,Gryte,,60.9833,11.5333,Norway,NO,NOR,Innlandet,Innlandet,NO-34,,,17.5,,,4,Europe/Oslo,FALSE,1578139134
Ballstad,Ballstad,Balstad,63.2667,11.0000,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,,3.5,,,5,Europe/Oslo,FALSE,1578126479
Nordbustad,Nordbustad,Nordbostad,66.1833,12.9500,Norway,NO,NOR,Nordland,Nordland,NO-18,county,,9.3,,,5,Europe/Oslo,FALSE,1578784596
Knatten,Knatten,,60.0255,11.1816,Norway,NO,NOR,Viken,Viken,NO-30,,,93.9,,,4,Europe/Oslo,FALSE,1578002533
Knatten,Knatten,,60.0930,11.4662,Norway,NO,NOR,Viken,Viken,NO-30,,,34.2,,,4,Europe/Oslo,TRUE,1578002534
Gullstein,Gullstein,Guldsten,63.2167,8.1500,Norway,NO,NOR,Møre og Romsdal,More og Romsdal,NO-15,county,,5.3,,,5,Europe/Oslo,FALSE,1578099707
Vestre Bøler,Vestre Boler,,59.7285,10.7044,Norway,NO,NOR,Viken,Viken,NO-30,,,200.5,,,3,Europe/Oslo,FALSE,1578001737
Størjen,Storjen,,60.3167,11.5833,Norway,NO,NOR,Innlandet,Innlandet,NO-34,,,10.9,,,4,Europe/Oslo,FALSE,1578430789
