city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Oslo,Oslo,Kristiania|Christiania,59.9133,10.7389,Norway,NO,NOR,Oslo,Oslo,NO-03,county,primary,1474.8,1064235,709037,1,Europe/Oslo,FALSE,1578324706
Bergen,Bergen,,60.3894,5.3300,Norway,NO,NOR,Vestland,Vestland,NO-46,,admin,618.4,291189,291189,2,Europe/Oslo,FALSE,1578465701
Stavanger,Stavanger,Stavenger,58.9700,5.7314,Norway,NO,NOR,Rogaland,Rogaland,NO-11,county,admin,3131.5,237369,129300,2,Europe/Oslo,FALSE,1578801684
Sandnes,Sandnes,,58.8517,5.7361,Norway,NO,NOR,Rogaland,Rogaland,NO-11,county,minor,275.8,237369,58694,2,Europe/Oslo,FALSE,1578525190
Trondheim,Trondheim,Nidaros|Trondhjem,63.4297,10.3933,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,minor,602.6,212660,212660,2,Europe/Oslo,FALSE,1578633461
Kristiansand,Kristiansand,"Kristiansand Sør|Christiansand",58.1472,7.9972,Norway,NO,NOR,Agder,Agder,NO-42,,minor,324.8,125000,64057,2,Europe/Oslo,FALSE,1578642977
Sandvika,Sandvika,Sandviken|Sandvik,59.8833,10.5167,Norway,NO,NOR,Viken,Viken,NO-30,,minor,623.4,115543,115543,2,Europe/Oslo,FALSE,1578704639
Drammen,Drammen,,59.7378,10.2050,Norway,NO,NOR,Viken,Viken,NO-30,,minor,759.9,109416,109416,2,Europe/Oslo,FALSE,1578937195
Fredrikstad,Fredrikstad,Frederikstad,59.2053,10.9500,Norway,NO,NOR,Viken,Viken,NO-30,,minor,298.3,63610,63610,3,Europe/Oslo,FALSE,1578625656
Asker,Asker,,59.8353,10.4350,Norway,NO,NOR,Viken,Viken,NO-30,,minor,585.0,61523,61523,3,Europe/Oslo,FALSE,1578961890
"Nordre Fåle","Nordre Fale",,59.7500,10.8667,Norway,NO,NOR,Viken,Viken,NO-30,,,186.4,61032,61032,3,Europe/Oslo,FALSE,1578002015
Sarpsborg,Sarpsborg,,59.2858,11.1119,Norway,NO,NOR,Viken,Viken,NO-30,,minor,159.2,54678,54678,3,Europe/Oslo,FALSE,1578097769
Tønsberg,Tonsberg,,59.2675,10.4076,Norway,NO,NOR,"Vestfold og Telemark","Vestfold og Telemark",NO-38,,minor,394.5,52419,52419,3,Europe/Oslo,FALSE,1578658467
Ålesund,Alesund,Aalesund,62.4740,6.1582,Norway,NO,NOR,"Møre og Romsdal","More og Romsdal",NO-15,county,minor,550.0,52163,52163,3,Europe/Oslo,FALSE,1578050516
Skien,Skien,,59.2081,9.5528,Norway,NO,NOR,"Vestfold og Telemark","Vestfold og Telemark",NO-38,,admin,72.9,50607,50607,2,Europe/Oslo,FALSE,1578807356
Lørenskog,Lorenskog,,59.8989,10.9642,Norway,NO,NOR,Viken,Viken,NO-30,,minor,527.0,46797,46797,3,Europe/Oslo,FALSE,1578059629
Arendal,Arendal,,58.4608,8.7664,Norway,NO,NOR,Agder,Agder,NO-42,,admin,179.9,45891,45891,2,Europe/Oslo,FALSE,1578533046
Haugesund,Haugesund,,59.4464,5.2983,Norway,NO,NOR,Rogaland,Rogaland,NO-11,county,minor,425.6,45040,45040,3,Europe/Oslo,FALSE,1578805813
Sandefjord,Sandefjord,,59.1306,10.2167,Norway,NO,NOR,"Vestfold og Telemark","Vestfold og Telemark",NO-38,,,402.1,44368,44368,3,Europe/Oslo,FALSE,1578389701
Bodø,Bodo,,67.2827,14.3751,Norway,NO,NOR,Nordland,Nordland,NO-18,county,admin,38.4,41720,41720,2,Europe/Oslo,FALSE,1578023501
Tromsø,Tromso,,69.6828,18.9428,Norway,NO,NOR,"Troms og Finnmark","Troms og Finnmark",NO-54,,admin,30.8,38980,38980,2,Europe/Oslo,FALSE,1578188822
Porsgrunn,Porsgrunn,Porsgrund,59.1156,9.7100,Norway,NO,NOR,"Vestfold og Telemark","Vestfold og Telemark",NO-38,,minor,184.3,37056,37056,3,Europe/Oslo,FALSE,1578150916
Ringsaker,Ringsaker,,61.0242,10.8019,Norway,NO,NOR,Innlandet,Innlandet,NO-34,,,31.6,35475,35475,3,Europe/Oslo,FALSE,1578611812
Halden,Halden,Fredrikshald,59.1264,11.4828,Norway,NO,NOR,Viken,Viken,NO-30,,minor,46.0,31387,31387,3,Europe/Oslo,FALSE,1578441478
Askøy,Askoy,,60.4714,5.1606,Norway,NO,NOR,Vestland,Vestland,NO-46,,,317.7,29989,29989,3,Europe/Oslo,FALSE,1578869945
Ski,Ski,,59.7419,10.8939,Norway,NO,NOR,Viken,Viken,NO-30,,minor,164.0,29307,29307,3,Europe/Oslo,FALSE,1578776384
Lier,Lier,,59.7938,10.2660,Norway,NO,NOR,Viken,Viken,NO-30,,minor,91.6,28167,28167,3,Europe/Oslo,FALSE,1578874426
Hamar,Hamar,,60.7945,11.0679,Norway,NO,NOR,Innlandet,Innlandet,NO-34,,admin,90.9,27947,27947,2,Europe/Oslo,FALSE,1578111692
Oppegård,Oppegard,Oppegaard,59.7925,10.7903,Norway,NO,NOR,Viken,Viken,NO-30,,,681.0,27394,27394,3,Europe/Oslo,FALSE,1578023739
Kongsberg,Kongsberg,,59.6694,9.6517,Norway,NO,NOR,Viken,Viken,NO-30,,minor,31.2,25090,25090,3,Europe/Oslo,FALSE,1578035378
Sand,Sand,,59.1343,10.2244,Norway,NO,NOR,"Vestfold og Telemark","Vestfold og Telemark",NO-38,,,207.5,24898,24898,3,Europe/Oslo,FALSE,1578001129
Eidsvoll,Eidsvoll,Eipsvold|Eidsvold|Eipsvolo,60.3500,11.2500,Norway,NO,NOR,Viken,Viken,NO-30,,minor,54.0,24647,24647,3,Europe/Oslo,FALSE,1578516896
Larvik,Larvik,,59.0811,10.0164,Norway,NO,NOR,"Vestfold og Telemark","Vestfold og Telemark",NO-38,,,86.4,24647,24647,3,Europe/Oslo,FALSE,1578938550
Stjørdal,Stjordal,,63.4750,11.1708,Norway,NO,NOR,Trøndelag,Trondelag,NO-50,,minor,26.9,24541,24541,3,Europe/Oslo,FALSE,1578420419
Borre,Borre,,59.3819,10.4380,Norway,NO,NOR,"Vestfold og Telemark","Vestfold og Telemark",NO-38,,,360.4,24272,24272,3,Europe/Oslo,FALSE,1578001449
Helleland,Helleland,Helland,58.8922,5.7336,Norway,NO,NOR,Rogaland,Rogaland,NO-11,county,,262.8,24173,24173,3,Europe/Oslo,FALSE,1578920333
Røyken,Royken,,59.7336,10.4289,Norway,NO,NOR,Viken,Viken,NO-30,,minor,191.8,22635,22635,3,Europe/Oslo,FALSE,1578092486
Nøtterøy,Notteroy,Nöttero,59.2011,10.4078,Norway,NO,NOR,"Vestfold og Telemark","Vestfold og Telemark",NO-38,,,359.1,21748,21748,3,Europe/Oslo,FALSE,1578114950
Elverum,Elverum,,60.8819,11.5623,Norway,NO,NOR,Innlandet,Innlandet,NO-34,,minor,22.0,21568,21568,3,Europe/Oslo,FALSE,1578144824
"Nedre Eiker","Nedre Eiker",,59.7647,10.0333,Norway,NO,NOR,Viken,Viken,NO-30,,,187.0,21377,21377,3,Europe/Oslo,FALSE,1578585975
