city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ar Rāf,Ar Raf,,25.7832,56.1769,Oman,OM,OMN,Musandam,Musandam,OM-MU,governorate,,18.2,,,4,Asia/Muscat,FALSE,1512000656
Wādī Daqīq,Wadi Daqiq,Wādī Diqīq,22.7154,58.2145,Oman,OM,OMN,Shamāl ash Sharqīyah,Shamal ash Sharqiyah,OM-SS,governorate,,5.6,,,5,Asia/Muscat,FALSE,1512001964
Al Murrah,Al Murrah,,22.3813,59.2755,Oman,OM,OMN,Janūb ash Sharqīyah,Janub ash Sharqiyah,OM-SJ,governorate,,29.2,,,4,Asia/Muscat,FALSE,1512002803
Khant,Khant,,26.0510,56.2342,Oman,OM,OMN,Musandam,Musandam,OM-MU,governorate,,25.1,,,4,Asia/Muscat,FALSE,1512001077
Bulaydah,Bulaydah,,22.1551,59.4402,Oman,OM,OMN,Janūb ash Sharqīyah,Janub ash Sharqiyah,OM-SJ,governorate,,4.3,,,5,Asia/Muscat,FALSE,1512003108
Al Mundassah,Al Mundassah,Al Mindassah,23.8189,57.0888,Oman,OM,OMN,Shamāl al Bāţinah,Shamal al Batinah,OM-BS,governorate,,38.5,,,4,Asia/Muscat,FALSE,1512000513
Misfāt ash Shurayqīyn,Misfat ash Shurayqiyn,Misfāh al Shurayqīyn|Misfāh ash Shurayqīyīn|Misfāt ash Shirayqiyyin,23.1834,57.6077,Oman,OM,OMN,Janūb al Bāţinah,Janub al Batinah,OM-BJ,governorate,,41.9,,,4,Asia/Muscat,FALSE,1512378630
Ar Ruqq,Ar Ruqq,Ar Ruq,22.3745,59.0390,Oman,OM,OMN,Janūb ash Sharqīyah,Janub ash Sharqiyah,OM-SJ,governorate,,16.4,,,4,Asia/Muscat,FALSE,1512002033
Al Mashāqişah,Al Mashaqisah,Mushāqaşah|Al Mashāqṣah,23.3129,56.6086,Oman,OM,OMN,Az̧ Z̧āhirah,Az Zahirah,OM-ZA,governorate,,4.5,,,5,Asia/Muscat,FALSE,1512455476
Al Mayd,Al Mayd,Al Mid,23.6757,56.5540,Oman,OM,OMN,Az̧ Z̧āhirah,Az Zahirah,OM-ZA,governorate,,16.4,,,4,Asia/Muscat,FALSE,1512001510
Ţawī Bedi Guish,Tawi Bedi Guish,,23.8672,57.3736,Oman,OM,OMN,Shamāl al Bāţinah,Shamal al Batinah,OM-BS,governorate,,129.2,,,4,Asia/Muscat,FALSE,1512121877
Qayrūn Khuḑayr,Qayrun Khudayr,,23.0692,58.3231,Oman,OM,OMN,Shamāl ash Sharqīyah,Shamal ash Sharqiyah,OM-SS,governorate,,5.6,,,5,Asia/Muscat,FALSE,1512003380
Al Gharābīyah,Al Gharabiyah,Gharbīyah|Al Ghirābiyyah,25.6189,56.2583,Oman,OM,OMN,Musandam,Musandam,OM-MU,governorate,,109.1,,,4,Asia/Muscat,FALSE,1512721204
Ghuwayf aş Şilb,Ghuwayf as Silb,Ghiwayf aş Şilb,23.0215,58.7465,Oman,OM,OMN,Masqaţ,Masqat,OM-MA,governorate,,14.2,,,4,Asia/Muscat,FALSE,1512003315
Silayb,Silayb,Salib|Salb,26.3690,56.3633,Oman,OM,OMN,Musandam,Musandam,OM-MU,governorate,,25.1,,,4,Asia/Muscat,FALSE,1512008897
‘Uyūn,`Uyun,,22.4548,59.3514,Oman,OM,OMN,Janūb ash Sharqīyah,Janub ash Sharqiyah,OM-SJ,governorate,,34.3,,,4,Asia/Muscat,FALSE,1512002799
