city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Masqaţ,Masqat,Muscat,23.5889,58.4083,Oman,OM,OMN,Masqaţ,Masqat,OM-MA,governorate,,112.2,1720000,1720000,1,Asia/Muscat,FALSE,1512001294
Muscat,Muscat,Maskat|Masqaţ|Masquat|Mascat,23.6139,58.5922,Oman,OM,OMN,Masqaţ,Masqat,OM-MA,governorate,primary,112.2,1421409,1421409,1,Asia/Muscat,FALSE,1512035506
Bawshar,Bawshar,Baushar,23.5333,58.3833,Oman,OM,OMN,Masqaţ,Masqat,OM-MA,governorate,,698.5,383257,383257,2,Asia/Muscat,FALSE,1512506161
Şalālah,Salalah,"As Salala|Āl Kathīr|Salala|Aş Şalālah",17.0197,54.0897,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,admin,67.8,331949,331949,2,Asia/Muscat,FALSE,1512995148
"As Sīb","As Sib","As Sīb al Jadīdah|Sib|Al-Sīb|As Seeb al Jadidah",23.6703,58.1891,Oman,OM,OMN,Masqaţ,Masqat,OM-MA,governorate,,952.8,237816,237816,2,Asia/Muscat,FALSE,1512461161
Maţraḩ,Matrah,"Maṭraḥ|Muţraḩ|Matruh|Mutrah|Al Matrah|Muttrah",23.6167,58.5667,Oman,OM,OMN,Masqaţ,Masqat,OM-MA,governorate,,2361.5,214901,214901,2,Asia/Muscat,FALSE,1512325823
"As Suwayq","As Suwayq","As Suwaiq|Suwaik|Suwayq",23.8494,57.4386,Oman,OM,OMN,"Shamāl al Bāţinah","Shamal al Batinah",OM-BS,governorate,,129.2,170000,170000,2,Asia/Muscat,FALSE,1512745539
"Aş Şuwayḩirah as Sāḩil","As Suwayhirah as Sahil","Sawaiharah|Suwaihara|Aş Şuwayḩrah as Sāḩil|Şuwayḩirah",24.3620,56.7344,Oman,OM,OMN,"Shamāl al Bāţinah","Shamal al Batinah",OM-BS,governorate,,99.0,151349,151349,2,Asia/Muscat,FALSE,1512145575
"Ar Rustāq","Ar Rustaq","Rustāq|Rostak|Qal‘at Kasrá",23.3908,57.4244,Oman,OM,OMN,"Janūb al Bāţinah","Janub al Batinah",OM-BJ,governorate,admin,42.3,120000,120000,2,Asia/Muscat,FALSE,1512376854
"Al Muḑaybī","Al Mudaybi","Al Muḍaybī|Al Muḑaibī|Muḑaybī|Mudhaibi",22.5667,58.1167,Oman,OM,OMN,"Shamāl ash Sharqīyah","Shamal ash Sharqiyah",OM-SS,governorate,,5.6,115040,115040,2,Asia/Muscat,FALSE,1512883829
‘Ibrī,`Ibri,,23.2325,56.4973,Oman,OM,OMN,"Az̧ Z̧āhirah","Az Zahirah",OM-ZA,governorate,admin,4.5,101640,101640,2,Asia/Muscat,FALSE,1512077267
Bahlā’,Bahla',Bahlah,22.9680,57.2980,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,14.8,85000,85000,3,Asia/Muscat,FALSE,1512321924
Nizwá,Nizwa,Nazwah,22.9333,57.5333,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,admin,23.9,83544,83544,2,Asia/Muscat,FALSE,1512180300
Samā’il,Sama'il,Sumayil,23.3000,57.9833,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,44.2,80538,80538,3,Asia/Muscat,FALSE,1512936108
"Al ‘Āmirāt","Al `Amirat","Al Amrat|Al Amarat",23.5242,58.4989,Oman,OM,OMN,Masqaţ,Masqat,OM-MA,governorate,,103.6,70000,70000,3,Asia/Muscat,FALSE,1512675854
"Al Buraymī","Al Buraymi",Burami|Buraimi|Baraimi|Bireimi,24.2592,55.7839,Oman,OM,OMN,"Al Buraymī","Al Buraymi",OM-BU,governorate,admin,564.3,67963,67963,2,Asia/Muscat,FALSE,1512959921
Qurayyāt,Qurayyat,"Al Quraiyāt|Qurayāt|Kuryát|Koriat|Quryāt|Quraiyat|Karyat al Kabira|Al Qurayyāt|Qaryat al-Kabīrah",23.3200,58.9080,Oman,OM,OMN,Masqaţ,Masqat,OM-MA,governorate,,37.0,63133,63133,3,Asia/Muscat,FALSE,1512111751
"Al Madrah Samā’il","Al Madrah Sama'il",,23.3103,57.9455,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,44.2,47718,47718,3,Asia/Muscat,FALSE,1512000205
Shināş,Shinas,"Shināṣ|Ash Shinās|Al Shinas",24.7500,56.4667,Oman,OM,OMN,"Shamāl al Bāţinah","Shamal al Batinah",OM-BS,governorate,,50.5,43312,43312,3,Asia/Muscat,FALSE,1512941410
Izkī,Izki,Ziki|Azkī,22.9339,57.7750,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,46.1,35173,35173,3,Asia/Muscat,FALSE,1512293504
Ibrā’,Ibra',"Ibrā|Bira|Sufālat Ibrā’",22.6833,58.5500,Oman,OM,OMN,"Shamāl ash Sharqīyah","Shamal ash Sharqiyah",OM-SS,governorate,admin,31.8,35000,35000,2,Asia/Muscat,FALSE,1512341564
Nakhal,Nakhal,Nakhl,23.3950,57.8290,Oman,OM,OMN,"Janūb al Bāţinah","Janub al Batinah",OM-BJ,governorate,,21.9,28088,28088,3,Asia/Muscat,FALSE,1512392286
Ḑank,Dank,Dhank|Ḑanak|Ḍank,23.5500,56.2500,Oman,OM,OMN,"Az̧ Z̧āhirah","Az Zahirah",OM-ZA,governorate,,8.9,23466,23466,3,Asia/Muscat,FALSE,1512330290
Ţāqah,Taqah,"Takah|Taga|Taqa|Thaka|At Tāqa",17.0372,54.4036,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,,18.8,18218,18218,3,Asia/Muscat,FALSE,1512705781
Khaşab,Khasab,"Al Khaşab|Al Khasal",26.1833,56.2500,Oman,OM,OMN,Musandam,Musandam,OM-MU,governorate,admin,25.1,17777,17777,2,Asia/Muscat,FALSE,1512236141
Fanjā’,Fanja',Fanja|Fanjah,23.4675,58.1061,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,48.6,10396,10396,3,Asia/Muscat,FALSE,1512768698
"Al Mazyūnah","Al Mazyunah",,17.8486,52.6200,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,minor,1.2,10000,10000,3,Asia/Muscat,FALSE,1512004977
Manaḩ,Manah,"Bilād Manaḩ|Manaḥ",22.7910,57.5870,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,44.0,7749,7749,4,Asia/Muscat,FALSE,1512719350
"Al Maşna‘ah","Al Masna`ah","Al Muşana‘a|Al-Maṣna‘a|Masna’ah|Al Muṣan‘ah",23.7767,57.6422,Oman,OM,OMN,"Shamāl al Bāţinah","Shamal al Batinah",OM-BS,governorate,,138.6,6291,6291,4,Asia/Muscat,FALSE,1512192213
Şadḩ,Sadh,Sadah,17.0530,55.0650,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,,2.5,5944,5944,4,Asia/Muscat,FALSE,1512966126
Rakhyūt,Rakhyut,Rakyut|Rakhuit|Raykhūt,16.7500,53.4167,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,,2.6,5001,5001,4,Asia/Muscat,FALSE,1512475445
"Balad Sayt","Balad Sayt","Bilād Sayt",23.1902,57.3879,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,42.3,3567,3567,4,Asia/Muscat,FALSE,1512254935
"Madḩā’ al Jadīdah","Madha' al Jadidah","Madḩah|Madha|Madḥā’ al Jadīdah",25.2844,56.3331,Oman,OM,OMN,Musandam,Musandam,OM-MU,governorate,,29.1,2260,2260,3,Asia/Muscat,FALSE,1512514486
"As Sunaynah","As Sunaynah",Sunainah|Sunaynah,23.6000,55.9667,Oman,OM,OMN,"Az̧ Z̧āhirah","Az Zahirah",OM-ZA,governorate,,3.9,1474,1474,4,Asia/Muscat,FALSE,1512743613
Kumzār,Kumzar,,26.3367,56.4097,Oman,OM,OMN,Musandam,Musandam,OM-MU,governorate,,25.1,1378,1378,4,Asia/Muscat,FALSE,1512220210
Sinnī,Sinni,Sinī|Sunnī,23.4167,57.1167,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,42.3,1190,1190,4,Asia/Muscat,FALSE,1512261919
Qalhāt,Qalhat,Kalhāt,22.7000,59.3667,Oman,OM,OMN,"Janūb ash Sharqīyah","Janub ash Sharqiyah",OM-SJ,governorate,,14.8,1123,1123,4,Asia/Muscat,FALSE,1512332120
Mirbāţ,Mirbat,Merbat|Murbāt|Marbāt,16.9886,54.6922,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,,15.1,1120,1120,4,Asia/Muscat,FALSE,1512455360
Mughshin,Mughshin,Muqshin,19.5000,54.8500,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,,0.1,628,628,4,Asia/Muscat,FALSE,1512165384
"Al ‘Ābīyah","Al `Abiyah","Al ‘Ābyah",23.7701,57.3318,Oman,OM,OMN,"Shamāl al Bāţinah","Shamal al Batinah",OM-BS,governorate,,129.2,,,4,Asia/Muscat,FALSE,1512001212
"Al Qulay‘ah","Al Qulay`ah",Qulayyah,23.7593,57.1165,Oman,OM,OMN,"Shamāl al Bāţinah","Shamal al Batinah",OM-BS,governorate,,38.5,,,4,Asia/Muscat,FALSE,1512551930
"Qayrūn Ḩayrītī","Qayrun Hayriti","Qayrūn Hayrītī",17.2514,54.0852,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,,67.8,,,4,Asia/Muscat,FALSE,1512442704
"Ḩayl al Khaḑrā’","Hayl al Khadra'","Ḥayl al Khadrā’",23.1674,57.2473,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,37.0,,,4,Asia/Muscat,FALSE,1512001376
"Al Ḩumyānīyah","Al Humyaniyah","Al Ḥimyāniyyah",23.3616,58.3546,Oman,OM,OMN,Masqaţ,Masqat,OM-MA,governorate,,698.5,,,3,Asia/Muscat,FALSE,1512001700
Katm,Katm,Aktam,23.8962,56.5643,Oman,OM,OMN,"Shamāl al Bāţinah","Shamal al Batinah",OM-BS,governorate,,99.0,,,4,Asia/Muscat,FALSE,1512116053
Rahnūt,Rahnut,,17.0378,53.9633,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,,67.8,,,4,Asia/Muscat,FALSE,1512002586
Liwaydī,Liwaydi,Liwday,23.5331,56.4505,Oman,OM,OMN,"Az̧ Z̧āhirah","Az Zahirah",OM-ZA,governorate,,8.9,,,5,Asia/Muscat,FALSE,1512000983
"Al Khaţmah","Al Khatmah","Al Khatamah",26.0064,56.4019,Oman,OM,OMN,Musandam,Musandam,OM-MU,governorate,,25.1,,,4,Asia/Muscat,FALSE,1512003119
"Al Khaţmah","Al Khatmah","Al Khaṭmah",25.9922,56.2215,Oman,OM,OMN,Musandam,Musandam,OM-MU,governorate,,25.1,,,4,Asia/Muscat,TRUE,1512000545
Qanā,Qana,"Al Qunnah",23.1851,57.0181,Oman,OM,OMN,"Ad Dākhilīyah","Ad Dakhiliyah",OM-DA,governorate,,4.5,,,5,Asia/Muscat,FALSE,1512197658
Ḑiyān,Diyan,,23.8900,57.2994,Oman,OM,OMN,"Shamāl al Bāţinah","Shamal al Batinah",OM-BS,governorate,,129.2,,,4,Asia/Muscat,FALSE,1512349491
Arjafnūt,Arjafnut,Arajfiniti|Arjafīnūt,17.1220,54.4010,Oman,OM,OMN,Z̧ufār,Zufar,OM-ZU,governorate,,18.8,,,4,Asia/Muscat,FALSE,1512624866
