city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Basti Larian,Basti Larian,,28.4878,70.4127,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,808.3,,,3,Asia/Karachi,FALSE,1586004929
Goth Niwaro,Goth Niwaro,Niwāra,27.2746,68.3482,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,581.2,,,3,Asia/Karachi,FALSE,1586384174
Bor Kili,Bor Kili,,29.8403,67.3621,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,23.2,,,4,Asia/Karachi,FALSE,1586836027
Chak Six Hundred Seventy-eight -Nineteen Gogera Branch,Chak Six Hundred Seventy-eight -Nineteen Gogera Branch,Khitrānwāla,30.7134,72.5237,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,788.3,,,3,Asia/Karachi,FALSE,1586308036
Zahran Tar,Zahran Tar,,28.6086,69.7049,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,133.7,,,4,Asia/Karachi,FALSE,1586427759
Goth Thapa,Goth Thapa,,25.0339,68.6739,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,446.4,,,3,Asia/Karachi,FALSE,1586056212
Chah Kelianwala,Chah Kelianwala,,30.6955,74.0249,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,694.1,,,3,Asia/Karachi,FALSE,1586028679
Ghulam Ali Laghari,Ghulam Ali Laghari,,25.4148,68.8859,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,530.6,,,3,Asia/Karachi,FALSE,1586494366
Ghulam Ali Laghari,Ghulam Ali Laghari,,24.6498,68.4288,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,178.2,,,4,Asia/Karachi,TRUE,1586825853
Goth Haji Akbar Mir Jat,Goth Haji Akbar Mir Jat,,26.9421,68.3162,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,661.4,,,3,Asia/Karachi,FALSE,1586474682
Chak Three Hundred Sixty-six,Chak Three Hundred Sixty-six,Didārpur|Chak Number Three Hundred Sixty-Six,31.1448,72.7135,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,1236.2,,,3,Asia/Karachi,FALSE,1586466316
Dera Jam,Dera Jam,,28.4918,70.2894,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,808.3,,,3,Asia/Karachi,FALSE,1586864179
Goth Muhammed Sanni,Goth Muhammed Sanni,Goth Muhammad Sanni,28.1860,66.3080,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,32.2,,,4,Asia/Karachi,FALSE,1586191665
Dera Katwanwala,Dera Katwanwala,,31.7603,73.9242,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,1444.5,,,3,Asia/Karachi,FALSE,1586030496
Basti Lang,Basti Lang,Basti Pīr Bakhsh Lāng,29.3305,71.0880,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,839.4,,,3,Asia/Karachi,FALSE,1586675588
Basti Lang,Basti Lang,,29.4526,71.2209,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,839.4,,,3,Asia/Karachi,TRUE,1586202981
Basti Lang,Basti Lang,,29.4909,71.2712,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,713.0,,,3,Asia/Karachi,TRUE,1586290286
Basti Lang,Basti Lang,,29.3099,70.8628,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,583.8,,,3,Asia/Karachi,TRUE,1586337657
Basti Lang,Basti Lang,,29.2419,70.7138,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,583.8,,,3,Asia/Karachi,TRUE,1586876350
Basti Lang,Basti Lang,,30.9643,70.7558,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,239.9,,,3,Asia/Karachi,TRUE,1586408494
Goth Mir Muhammad Bhambhro,Goth Mir Muhammad Bhambhro,,27.1755,68.9683,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,13.2,,,4,Asia/Karachi,FALSE,1586032067
Kili Laghap,Kili Laghap,,28.9281,64.5525,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,5.4,,,5,Asia/Karachi,FALSE,1586419262
Gadi Saring,Gadi Saring,Gādi Sārang|Gādi Aurangzeb,29.2462,67.7540,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,64.6,,,4,Asia/Karachi,FALSE,1586768231
Olmo,Olmo,,35.4271,76.0676,Pakistan,PK,PAK,Gilgit-Baltistan,Gilgit-Baltistan,PK-GB,Pakistan administered area,,29.2,,,4,Asia/Karachi,FALSE,1586504673
Phugla,Phugla,Faglu|Phuglo,30.4549,70.2827,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,39.5,,,4,Asia/Karachi,FALSE,1586016148
Aorak Kachi,Aorak Kachi,,30.2101,68.0450,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,31.9,,,4,Asia/Karachi,FALSE,1586636288
Sara Tangi,Sara Tangi,,34.4237,71.3638,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,185.4,,,4,Asia/Karachi,FALSE,1586343487
Prokain di Jhugian,Prokain di Jhugian,,31.5633,73.8160,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,730.8,,,3,Asia/Karachi,FALSE,1586031796
Helian,Helian,Hallān,33.6210,73.6843,Pakistan,PK,PAK,Azad Kashmir,Azad Kashmir,PK-JK,Pakistan administered area,,261.4,,,3,Asia/Karachi,FALSE,1586404246
Goth Kanchi Nandi,Goth Kanchi Nandi,Goth Kunar Chati|Goth Kunār Choti,26.9604,68.5240,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,564.1,,,3,Asia/Karachi,FALSE,1586857371
Banda Nari,Banda Nari,,34.1798,72.9253,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,816.9,,,3,Asia/Karachi,FALSE,1586271550
Godola,Godola,Gadolah,31.6483,71.0703,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,390.7,,,3,Asia/Karachi,FALSE,1586324945
Dhattu Khelanwala,Dhattu Khelanwala,Shāhwāli,32.5145,71.7857,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,317.6,,,3,Asia/Karachi,FALSE,1586596870
Chak Sixty-six -Twelve Left,Chak Sixty-six -Twelve Left,,30.2717,72.5583,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,856.3,,,3,Asia/Karachi,FALSE,1586013435
Saiyed Muhammad Shah Bukhari,Saiyed Muhammad Shah Bukhari,,30.4421,71.9042,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,698.3,,,3,Asia/Karachi,FALSE,1586179489
Burj Bupal,Burj Bupal,Burj Bāhbal,31.7369,72.8856,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,642.1,,,3,Asia/Karachi,FALSE,1586901723
Wahid Kalle,Wahid Kalle,,34.0823,71.6215,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,2791.9,,,2,Asia/Karachi,FALSE,1586302858
Goth Abdul Ghafur,Goth Abdul Ghafur,Goth Hāji Abdul Qādir,28.4251,67.9500,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,105.1,,,4,Asia/Karachi,FALSE,1586884156
Goth Abdul Ghafur,Goth Abdul Ghafur,,28.9779,67.6394,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,53.1,,,4,Asia/Karachi,TRUE,1586087103
Haji Khan Shahani,Haji Khan Shahani,,26.5095,67.4589,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,102.7,,,4,Asia/Karachi,FALSE,1586020775
Makarsi Mandhro,Makarsi Mandhro,,24.4564,68.7760,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,284.7,,,3,Asia/Karachi,FALSE,1586038521
Haji Khan Pahar,Haji Khan Pahar,Hāji Khān Pahor,25.8225,69.2342,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,92.0,,,4,Asia/Karachi,FALSE,1586384223
Dhanni Bakhsh Channo,Dhanni Bakhsh Channo,Musāh Wāh|Mūsa Wāh,28.2512,68.6730,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,447.5,,,3,Asia/Karachi,FALSE,1586278177
Muhammad Qadir,Muhammad Qadir,Azīm,30.8537,67.9584,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,32.0,,,4,Asia/Karachi,FALSE,1586325888
Shinwane,Shinwane,Shanda Wune,33.5990,70.8098,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,459.4,,,3,Asia/Karachi,FALSE,1586998826
Bonga Sahiba,Bonga Sahiba,Bunga Sāhibaka,30.6515,74.0539,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,694.1,,,3,Asia/Karachi,FALSE,1586738211
Thath Kalle,Thath Kalle,Āin,35.1856,72.5462,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,402.0,,,3,Asia/Karachi,FALSE,1586663080
Chhachhi Baloch,Chhachhi Baloch,,24.4128,70.2561,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,75.6,,,4,Asia/Karachi,FALSE,1586582298
Kili Haji Maddad Khan,Kili Haji Maddad Khan,Raīs Maim Khān,29.3802,66.6462,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,18.5,,,4,Asia/Karachi,FALSE,1586343672
Chak One Hundred Sixty-two Nine Left,Chak One Hundred Sixty-two Nine Left,Sherwāla,30.4287,72.8632,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,858.4,,,3,Asia/Karachi,FALSE,1586298454
Chak Bhakhrāl,Chak Bhakhral,Chak Bhakral,33.7333,73.0833,Pakistan,PK,PAK,Islamabad,Islamabad,PK-IS,capital territory,,2299.3,,,2,Asia/Karachi,FALSE,1586358340
Chah Mahiwala,Chah Mahiwala,Mahīwāla,29.6875,71.0159,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,747.4,,,3,Asia/Karachi,FALSE,1586375098
Hussiānwāla,Hussianwala,,30.1250,71.4722,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,6448.3,,,2,Asia/Karachi,FALSE,1586328182
Kot Bahādur,Kot Bahadur,,30.4722,73.3806,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,776.9,,,3,Asia/Karachi,FALSE,1586136980
Kot Bahadur,Kot Bahadur,,30.4155,71.9309,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,698.3,,,3,Asia/Karachi,TRUE,1586901933
Kot Bahadur,Kot Bahadur,,32.7888,73.1074,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,393.2,,,3,Asia/Karachi,TRUE,1586007865
Kot Bahadur,Kot Bahadur,Dhaggu|Bahādurpur|Bastī Dhaggu,29.0191,70.3292,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,249.7,,,3,Asia/Karachi,TRUE,1586610414
Sodagar Bhit,Sodagar Bhit,,26.2996,68.8244,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,202.6,,,3,Asia/Karachi,FALSE,1586022408
Qazi Khair Muhammad,Qazi Khair Muhammad,,25.8607,69.1931,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,202.6,,,3,Asia/Karachi,FALSE,1586493497
Chak One Hundred One -Ten Right,Chak One Hundred One -Ten Right,,30.0569,71.9264,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,866.9,,,3,Asia/Karachi,FALSE,1586825094
Rangepur,Rangepur,,32.1067,74.7557,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,1016.7,,,3,Asia/Karachi,FALSE,1586008669
Wirkanwali Bhaini,Wirkanwali Bhaini,,30.3223,73.7220,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,694.1,,,3,Asia/Karachi,FALSE,1586028819
Goth Haji Abdul Majid Jarwar,Goth Haji Abdul Majid Jarwar,Goth Khabbar Jarwar,25.6226,69.0837,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,686.7,,,3,Asia/Karachi,FALSE,1586465870
Jinu,Jinu,,33.5931,73.9858,Pakistan,PK,PAK,Azad Kashmir,Azad Kashmir,PK-JK,Pakistan administered area,,564.9,,,3,Asia/Karachi,FALSE,1586174188
Thangar,Thangar,,34.3014,73.4939,Pakistan,PK,PAK,Azad Kashmir,Azad Kashmir,PK-JK,Pakistan administered area,,399.7,,,3,Asia/Karachi,FALSE,1586416923
Mehlian,Mehlian,Meliān,33.6017,73.7026,Pakistan,PK,PAK,Azad Kashmir,Azad Kashmir,PK-JK,Pakistan administered area,,225.1,,,3,Asia/Karachi,FALSE,1586523864
Maidad Nika,Maidad Nika,,31.0675,66.8900,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,90.0,,,4,Asia/Karachi,FALSE,1586680254
Wahlīr,Wahlir,Wahler,26.9167,68.5833,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,364.8,,,3,Asia/Karachi,FALSE,1586529807
Makhnan Colony,Makhnan Colony,,34.0145,72.9367,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,816.9,,,3,Asia/Karachi,FALSE,1586183856
Nathi Banda,Nathi Banda,,35.2370,72.9224,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,293.5,,,3,Asia/Karachi,FALSE,1586959089
Lot Forty-three,Lot Forty-three,,31.8014,71.2806,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,287.1,,,3,Asia/Karachi,FALSE,1586365295
Salor,Salor,,33.7898,73.4418,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,417.2,,,3,Asia/Karachi,FALSE,1586157730
Pathan Kot,Pathan Kot,,32.0178,70.9869,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,311.6,,,3,Asia/Karachi,FALSE,1586019999
Katlawaris Shah,Katlawaris Shah,,30.2105,71.4257,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,9038.2,,,2,Asia/Karachi,FALSE,1586599400
Goth Majnu Chang,Goth Majnu Chang,,25.2840,68.4666,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,660.1,,,3,Asia/Karachi,FALSE,1586635881
Chur Lak,Chur Lak,Chorlak Bāba Ziārat|Chorlak,34.2955,71.9258,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,1792.0,,,3,Asia/Karachi,FALSE,1586922030
Darkai Banda,Darkai Banda,,33.1142,71.3027,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,396.0,,,3,Asia/Karachi,FALSE,1586806626
Kot Nadir Shah,Kot Nadir Shah,,30.8314,73.7166,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,807.8,,,3,Asia/Karachi,FALSE,1586027964
Diawraywala Khu,Diawraywala Khu,,29.3134,71.2406,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,839.4,,,3,Asia/Karachi,FALSE,1586017524
Bagran,Bagran,,34.1111,73.8319,Pakistan,PK,PAK,Azad Kashmir,Azad Kashmir,PK-JK,Pakistan administered area,,322.8,,,3,Asia/Karachi,FALSE,1586654690
Baggewali Mori,Baggewali Mori,,28.7351,70.8753,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,174.7,,,4,Asia/Karachi,FALSE,1586023936
Goth Abubakar Thebo,Goth Abubakar Thebo,,25.5680,68.9213,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,686.7,,,3,Asia/Karachi,FALSE,1586329079
Chaudhrānwāla,Chaudhranwala,,31.8425,73.5219,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,514.6,,,3,Asia/Karachi,FALSE,1586480479
Muhammadaddi Gudar,Muhammadaddi Gudar,,34.4032,72.0627,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,1567.8,,,3,Asia/Karachi,FALSE,1586012989
Chak Five Hundred Seventy-six,Chak Five Hundred Seventy-six,Lujngiwāla,31.5414,73.8539,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,730.8,,,3,Asia/Karachi,FALSE,1586014239
Malik Hassan,Malik Hassan,,28.1307,67.7993,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,196.4,,,4,Asia/Karachi,FALSE,1586150468
Kan Kili,Kan Kili,Kān,30.1512,67.9514,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,31.9,,,4,Asia/Karachi,FALSE,1586845091
Tutwala,Tutwala,,31.9236,74.4250,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,978.9,,,3,Asia/Karachi,FALSE,1586309555
Tutwala,Tutwala,,30.5374,72.1575,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,720.3,,,3,Asia/Karachi,TRUE,1586088758
Tutwala,Tutwala,Tootwala,30.8669,73.1646,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,697.8,,,3,Asia/Karachi,TRUE,1586614317
Tutwala,Tutwala,,30.6328,71.7154,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,552.4,,,3,Asia/Karachi,TRUE,1586492593
Tutwala,Tutwala,,31.1482,72.0210,Pakistan,PK,PAK,Punjab,Punjab,PK-PB,province,,491.7,,,3,Asia/Karachi,TRUE,1586272790
Otha Goth,Otha Goth,Daulat Otha,27.5026,68.1965,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,1516.8,,,3,Asia/Karachi,FALSE,1586774750
Baruk Dehr,Baruk Dehr,,36.0913,72.4514,Pakistan,PK,PAK,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,PK-KP,province,,33.6,,,4,Asia/Karachi,FALSE,1586869130
Goth Taj Mumammad Hottak,Goth Taj Mumammad Hottak,Goth Tāj Muhammad,28.4205,67.8778,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,105.1,,,4,Asia/Karachi,FALSE,1586255529
Dost Muhammad Mashori,Dost Muhammad Mashori,,26.0906,68.4983,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,638.4,,,3,Asia/Karachi,FALSE,1586674814
Kakhor,Kakhor,,25.5490,62.6542,Pakistan,PK,PAK,Balochistan,Balochistan,PK-BA,province,,12.6,,,4,Asia/Karachi,FALSE,1586668286
Goth Bachal Kirio,Goth Bachal Kirio,Goth Muhammad Bachal Karie,25.9372,68.5889,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,638.4,,,3,Asia/Karachi,FALSE,1586065760
Akai,Akai,,24.7872,68.7424,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,250.2,,,3,Asia/Karachi,FALSE,1586024834
Goth Sehti Bhambhro,Goth Sehti Bhambhro,,25.8788,68.7556,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,320.2,,,3,Asia/Karachi,FALSE,1586884447
Mangu,Mangu,Mang,26.9501,68.2318,Pakistan,PK,PAK,Sindh,Sindh,PK-SD,province,,661.4,,,3,Asia/Karachi,FALSE,1586217466
