city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
El Balita,El Balita,Balita,7.8853,-80.8745,Panama,PA,PAN,Herrera,Herrera,PA-6,province,,24.9,,,4,America/Panama,FALSE,1591291350
Cerro La Bonga,Cerro La Bonga,,7.9052,-81.4945,Panama,PA,PAN,Veraguas,Veraguas,PA-9,province,,5.4,,,5,America/Panama,FALSE,1591929318
Cabecera de Virigua,Cabecera de Virigua,,8.5217,-81.4025,Panama,PA,PAN,Ngäbe-Buglé,Ngabe-Bugle,PA-NB,indigenous region,,24.9,,,4,America/Panama,FALSE,1591000321
El Balita,El Balita,,7.9835,-80.9532,Panama,PA,PAN,Veraguas,Veraguas,PA-9,province,,36.3,,,4,America/Panama,FALSE,1591592804
Vicira,Vicira,Vícira,9.4853,-82.6952,Panama,PA,PAN,Bocas del Toro,Bocas del Toro,PA-1,province,,23.9,,,4,America/Panama,FALSE,1591251691
La Chácara,La Chacara,Chácara,7.9131,-81.0611,Panama,PA,PAN,Veraguas,Veraguas,PA-9,province,,10.2,,,4,America/Panama,FALSE,1591116068
El Olivo,El Olivo,,8.0740,-80.7458,Panama,PA,PAN,Herrera,Herrera,PA-6,province,,58.2,,,4,America/Panama,FALSE,1591082847
Cuesta de Novillos,Cuesta de Novillos,,8.0565,-81.4742,Panama,PA,PAN,Veraguas,Veraguas,PA-9,province,,7.6,,,5,America/Panama,FALSE,1591748502
Bisira,Bisira,,8.3385,-81.8872,Panama,PA,PAN,Ngäbe-Buglé,Ngabe-Bugle,PA-NB,indigenous region,,134.8,,,4,America/Panama,TRUE,1591000402
La Escandalosa,La Escandalosa,,9.2714,-79.1759,Panama,PA,PAN,Panamá,Panama,PA-8,province,,23.6,,,4,America/Panama,FALSE,1591004659
Guayabalito,Guayabalito,,9.1833,-79.6500,Panama,PA,PAN,Colón,Colon,PA-3,province,,67.2,,,4,America/Panama,FALSE,1591484454
Guayabalito,Guayabalito,,9.0602,-80.1965,Panama,PA,PAN,Colón,Colon,PA-3,province,,22.3,,,4,America/Panama,TRUE,1591001579
Los Almácigos,Los Almacigos,Los Almacigos,7.5744,-81.1127,Panama,PA,PAN,Veraguas,Veraguas,PA-9,province,,5.0,,,5,America/Panama,FALSE,1591612066
Loma de Bajo Limpio,Loma de Bajo Limpio,Bajo Limpio,7.4463,-80.5315,Panama,PA,PAN,Los Santos,Los Santos,PA-7,province,,12.3,,,4,America/Panama,FALSE,1591752679
El Cajón,El Cajon,,7.9822,-81.3315,Panama,PA,PAN,Veraguas,Veraguas,PA-9,province,,156.1,,,4,America/Panama,FALSE,1591311333
El Cajón,El Cajon,,8.4260,-80.7957,Panama,PA,PAN,Veraguas,Veraguas,PA-9,province,,17.0,,,4,America/Panama,TRUE,1591001050
Horconcitos,Horconcitos,Horoncitos,8.3147,-82.1533,Panama,PA,PAN,Chiriquí,Chiriqui,PA-4,province,minor,14.3,,,3,America/Panama,FALSE,1591302377
El Campano,El Campano,,8.9954,-80.1990,Panama,PA,PAN,Coclé,Cocle,PA-2,province,,19.0,,,4,America/Panama,FALSE,1591004163
Quebrada Pez,Quebrada Pez,,9.0271,-81.8301,Panama,PA,PAN,Ngäbe-Buglé,Ngabe-Bugle,PA-NB,indigenous region,,55.9,,,4,America/Panama,FALSE,1591004021
Nachuido,Nachuido,,9.2293,-82.4548,Panama,PA,PAN,Bocas del Toro,Bocas del Toro,PA-1,province,,5.0,,,5,America/Panama,FALSE,1591145369
El Pedregosito,El Pedregosito,,7.9262,-80.6335,Panama,PA,PAN,Herrera,Herrera,PA-6,province,,46.4,,,4,America/Panama,FALSE,1591988931
El Farallón,El Farallon,,8.6309,-80.5632,Panama,PA,PAN,Coclé,Cocle,PA-2,province,,25.6,,,4,America/Panama,FALSE,1591001801
Perecabecito,Perecabecito,,8.6550,-80.3662,Panama,PA,PAN,Coclé,Cocle,PA-2,province,,24.6,,,4,America/Panama,FALSE,1591503454
Cugin,Cugin,,9.3758,-82.6632,Panama,PA,PAN,Bocas del Toro,Bocas del Toro,PA-1,province,,4.2,,,5,America/Panama,FALSE,1591003106
Las Ánimas,Las Animas,,7.9440,-80.7667,Panama,PA,PAN,Herrera,Herrera,PA-6,province,,70.3,,,4,America/Panama,FALSE,1591770946
Los Reyes,Los Reyes,,8.5606,-80.2044,Panama,PA,PAN,Coclé,Cocle,PA-2,province,,106.3,,,4,America/Panama,FALSE,1591263193
Los Reyes,Los Reyes,,8.4692,-80.2119,Panama,PA,PAN,Coclé,Cocle,PA-2,province,,74.3,,,4,America/Panama,TRUE,1591005170
