city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Qaga,Qaga,,-6.5333,147.6500,Papua New Guinea,PG,PNG,Morobe,Morobe,PG-MPL,province,,22.7,,,4,Pacific/Port_Moresby,FALSE,1598042897
Natanga,Natanga,Natunga,-9.0591,148.2906,Papua New Guinea,PG,PNG,Northern,Northern,PG-NPP,province,,8.9,,,5,Pacific/Port_Moresby,FALSE,1598743034
Dimir,Dimir,,-4.8348,145.5678,Papua New Guinea,PG,PNG,Madang,Madang,PG-MPM,province,,51.9,,,4,Pacific/Port_Moresby,FALSE,1598090120
Angriman,Angriman,,-4.3233,143.4346,Papua New Guinea,PG,PNG,East Sepik,East Sepik,PG-ESW,province,,5.8,,,5,Pacific/Port_Moresby,FALSE,1598996945
Bulantim,Bulantim,Bulantin,-6.8822,146.7728,Papua New Guinea,PG,PNG,Morobe,Morobe,PG-MPL,province,,14.0,,,4,Pacific/Port_Moresby,FALSE,1598797703
Mumuru,Mumuru,Muru,-3.1079,141.6774,Papua New Guinea,PG,PNG,West Sepik,West Sepik,PG-SAN,province,,13.5,,,4,Pacific/Port_Moresby,FALSE,1598609257
Jipmago,Jipmago,,-3.8193,142.9510,Papua New Guinea,PG,PNG,East Sepik,East Sepik,PG-ESW,province,,27.0,,,4,Pacific/Port_Moresby,FALSE,1598217946
Tumanduapuar,Tumanduapuar,Tumandapuar,-4.6309,144.9679,Papua New Guinea,PG,PNG,Madang,Madang,PG-MPM,province,,12.9,,,4,Pacific/Port_Moresby,FALSE,1598754624
Senaga,Senaga,,-5.4000,142.2333,Papua New Guinea,PG,PNG,Southern Highlands,Southern Highlands,PG-SHM,province,,43.3,,,4,Pacific/Port_Moresby,FALSE,1598011026
Ulia’angupi,Ulia'angupi,,-5.0000,144.7333,Papua New Guinea,PG,PNG,Madang,Madang,PG-MPM,province,,12.9,,,4,Pacific/Port_Moresby,FALSE,1598772310
Tatala,Tatala,,-9.3537,150.1151,Papua New Guinea,PG,PNG,Milne Bay,Milne Bay,PG-MBA,province,,72.2,,,4,Pacific/Port_Moresby,FALSE,1598851658
Wanawana,Wanawana,Wanwana,-3.7375,152.5480,Papua New Guinea,PG,PNG,New Ireland,New Ireland,PG-NIK,province,,18.5,,,4,Pacific/Port_Moresby,FALSE,1598870325
Sanapari,Sanapari,,-2.8378,151.9501,Papua New Guinea,PG,PNG,New Ireland,New Ireland,PG-NIK,province,,18.5,,,4,Pacific/Port_Moresby,FALSE,1598726008
Mil,Mil,,-6.1667,143.6000,Papua New Guinea,PG,PNG,Southern Highlands,Southern Highlands,PG-SHM,province,,58.9,,,4,Pacific/Port_Moresby,FALSE,1598929250
Rege,Rege,,-5.5023,143.7615,Papua New Guinea,PG,PNG,Enga,Enga,PG-EPW,province,,85.6,,,4,Pacific/Port_Moresby,FALSE,1598244003
