city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Caraguatá,Caraguata,,-27.2500,-56.0833,Paraguay,PY,PRY,Itapúa,Itapua,PY-7,department,,36.9,,,4,America/Asuncion,FALSE,1600484994
Compañía Jhuguá Verde,Compania Jhugua Verde,,-24.9767,-56.2255,Paraguay,PY,PRY,Caaguazú,Caaguazu,PY-5,department,,43.2,,,4,America/Asuncion,FALSE,1600000570
Reinland Dos,Reinland Dos,,-23.7059,-56.4834,Paraguay,PY,PRY,San Pedro,San Pedro,PY-2,department,,28.9,,,4,America/Asuncion,FALSE,1600000634
Colonia Hernandarias,Colonia Hernandarias,,-23.3000,-57.1833,Paraguay,PY,PRY,Concepción,Concepcion,PY-1,department,,20.0,,,4,America/Asuncion,FALSE,1600317270
Hotel Pirahú,Hotel Pirahu,,-23.6000,-58.7167,Paraguay,PY,PRY,Presidente Hayes,Presidente Hayes,PY-15,department,,3.0,,,5,America/Asuncion,FALSE,1600310140
Yishinachat,Yishinachat,,-23.3940,-60.7328,Paraguay,PY,PRY,Boquerón,Boqueron,PY-19,department,,0.4,,,5,America/Asuncion,FALSE,1600002584
Silberfeld Campo Uno,Silberfeld Campo Uno,,-25.3200,-55.5885,Paraguay,PY,PRY,Caaguazú,Caaguazu,PY-5,department,,66.9,,,4,America/Asuncion,FALSE,1600002408
Compañía Santa Librada,Compania Santa Librada,,-25.2799,-56.5974,Paraguay,PY,PRY,Cordillera,Cordillera,PY-3,department,,25.3,,,4,America/Asuncion,FALSE,1600002032
Vacay,Vacay,,-26.9000,-55.6000,Paraguay,PY,PRY,Itapúa,Itapua,PY-7,department,,11.3,,,4,America/Asuncion,FALSE,1600169144
Estancia Molina Cué,Estancia Molina Cue,,-25.0694,-56.6018,Paraguay,PY,PRY,Cordillera,Cordillera,PY-3,department,,6.7,,,5,America/Asuncion,FALSE,1600412121
Hernandarias,Hernandarias,Tacuru-Pucu,-25.4017,-54.6412,Paraguay,PY,PRY,Alto Paraná,Alto Parana,PY-10,department,,127.9,,,4,America/Asuncion,FALSE,1600246055
Angostura,Angostura,,-25.5709,-57.5722,Paraguay,PY,PRY,Central,Central,PY-11,department,,42.9,,,4,America/Asuncion,FALSE,1600200350
Colonia Herrera Vega,Colonia Herrera Vega,Colonia Herrera Vegas,-27.2167,-55.7167,Paraguay,PY,PRY,Itapúa,Itapua,PY-7,department,,47.0,,,4,America/Asuncion,FALSE,1600387411
Cañadita,Canadita,,-24.1052,-55.5764,Paraguay,PY,PRY,Canindeyú,Canindeyu,PY-14,department,,14.5,,,4,America/Asuncion,FALSE,1600001033
Compañía Guajhó,Compania Guajho,,-24.9645,-55.9864,Paraguay,PY,PRY,Caaguazú,Caaguazu,PY-5,department,,45.2,,,4,America/Asuncion,FALSE,1600000085
Cabezuda,Cabezuda,,-24.6910,-55.9126,Paraguay,PY,PRY,San Pedro,San Pedro,PY-2,department,,52.7,,,4,America/Asuncion,FALSE,1600001341
Rosario Ñú,Rosario Nu,,-26.1116,-56.2437,Paraguay,PY,PRY,Caazapá,Caazapa,PY-6,department,,30.0,,,4,America/Asuncion,FALSE,1600002255
Estancia Espinillo,Estancia Espinillo,,-23.9842,-57.9392,Paraguay,PY,PRY,Presidente Hayes,Presidente Hayes,PY-15,department,,2.0,,,5,America/Asuncion,FALSE,1600268484
Estancia Maroma,Estancia Maroma,Maroma|Estancia Marona,-23.5500,-57.9000,Paraguay,PY,PRY,Presidente Hayes,Presidente Hayes,PY-15,department,,3.0,,,5,America/Asuncion,FALSE,1600046065
Pastore,Pastore,,-26.1827,-56.6957,Paraguay,PY,PRY,Paraguarí,Paraguari,PY-9,department,,16.2,,,4,America/Asuncion,FALSE,1600002109
