city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Carretas,Carretas,,-3.7524,-80.4572,Peru,PE,PER,Tumbes,Tumbes,PE-TUM,region,,13.5,,,4,America/Lima,FALSE,1604695529
Ronguillo,Ronguillo,,-14.1292,-74.6235,Peru,PE,PER,Ayacucho,Ayacucho,PE-AYA,region,,2.9,,,5,America/Lima,FALSE,1604760500
Añañoccasa,Ananoccasa,,-13.2167,-74.1364,Peru,PE,PER,Ayacucho,Ayacucho,PE-AYA,region,,38.2,,,4,America/Lima,FALSE,1604096612
Huaraca Pampa,Huaraca Pampa,,-15.1232,-74.4816,Peru,PE,PER,Ayacucho,Ayacucho,PE-AYA,region,,3.7,,,5,America/Lima,FALSE,1604513575
Pichacane,Pichacane,,-16.6124,-69.1036,Peru,PE,PER,Puno,Puno,PE-PUN,region,,293.9,,,3,America/Lima,FALSE,1604277348
Pichacane,Pichacane,,-15.0165,-69.8804,Peru,PE,PER,Puno,Puno,PE-PUN,region,,22.9,,,4,America/Lima,TRUE,1604500307
Pichacane,Pichacane,Hacienda Pichacane,-15.1977,-70.3220,Peru,PE,PER,Puno,Puno,PE-PUN,region,,21.2,,,4,America/Lima,TRUE,1604755067
Pichacane,Pichacane,,-15.2500,-69.3000,Peru,PE,PER,Puno,Puno,PE-PUN,region,,10.7,,,4,America/Lima,TRUE,1604832005
Tancayllo,Tancayllo,Hacienda Tancayllo,-13.2161,-74.1850,Peru,PE,PER,Ayacucho,Ayacucho,PE-AYA,region,,34.3,,,4,America/Lima,FALSE,1604370702
Salvillayoj,Salvillayoj,,-13.9822,-75.0833,Peru,PE,PER,Huancavelica,Huancavelica,PE-HUV,region,,20.5,,,4,America/Lima,FALSE,1604399712
Barrasa,Barrasa,,-7.7295,-79.1021,Peru,PE,PER,La Libertad,La Libertad,PE-LAL,region,,24.1,,,4,America/Lima,FALSE,1604540031
Chungana,Chungana,,-8.1722,-77.3558,Peru,PE,PER,La Libertad,La Libertad,PE-LAL,region,,50.6,,,4,America/Lima,FALSE,1604217883
Ninalaque,Ninalaque,,-15.8856,-71.2028,Peru,PE,PER,Arequipa,Arequipa,PE-ARE,region,,1.2,,,5,America/Lima,FALSE,1604959255
Rayan,Rayan,,-13.0226,-73.7934,Peru,PE,PER,Ayacucho,Ayacucho,PE-AYA,region,,18.6,,,4,America/Lima,FALSE,1604115811
Huaycho,Huaycho,,-11.1703,-76.9947,Peru,PE,PER,Lima,Lima,PE-LIM,region,,4.7,,,5,America/Lima,FALSE,1604970723
Angashi,Angashi,Chacay,-2.8167,-76.7167,Peru,PE,PER,Loreto,Loreto,PE-LOR,region,,1.3,,,5,America/Lima,FALSE,1604436580
Agua Salada,Agua Salada,,-16.4011,-71.4254,Peru,PE,PER,Arequipa,Arequipa,PE-ARE,region,,7.6,,,5,America/Lima,FALSE,1604561609
San Antonio de Paujilsapa,San Antonio de Paujilsapa,San Antonio de Paujilzapa,-6.7741,-76.4289,Peru,PE,PER,San Martín,San Martin,PE-SAM,region,,12.2,,,4,America/Lima,FALSE,1604352093
Quisuar,Quisuar,,-8.3994,-77.2386,Peru,PE,PER,La Libertad,La Libertad,PE-LAL,region,,27.2,,,4,America/Lima,FALSE,1604855414
Rinconada,Rinconada,,-15.5003,-69.3480,Peru,PE,PER,Puno,Puno,PE-PUN,region,,44.7,,,4,America/Lima,FALSE,1604002093
San Juan de Pavayacu,San Juan de Pavayacu,,-4.4871,-76.2120,Peru,PE,PER,Loreto,Loreto,PE-LOR,region,,2.5,,,5,America/Lima,FALSE,1604276223
Hacienda Choloque,Hacienda Choloque,Choloque|Choloque Hacienda,-5.7912,-79.3329,Peru,PE,PER,Cajamarca,Cajamarca,PE-CAJ,region,,24.4,,,4,America/Lima,FALSE,1604131323
Cedro Pampa,Cedro Pampa,,-6.8599,-76.3224,Peru,PE,PER,San Martín,San Martin,PE-SAM,region,,11.5,,,4,America/Lima,FALSE,1604928645
Posta,Posta,,-11.1769,-76.3455,Peru,PE,PER,Junín,Junin,PE-JUN,region,,4.2,,,5,America/Lima,FALSE,1604654839
Marca Pampa,Marca Pampa,,-10.2310,-77.1954,Peru,PE,PER,Ancash,Ancash,PE-ANC,region,,16.9,,,4,America/Lima,FALSE,1604234874
Nuevo Moyobamba,Nuevo Moyobamba,,-5.6651,-76.5721,Peru,PE,PER,Loreto,Loreto,PE-LOR,region,,6.8,,,5,America/Lima,FALSE,1604897031
San Vicente,San Vicente,,-11.2004,-69.6406,Peru,PE,PER,Madre de Dios,Madre de Dios,PE-MDD,region,,0.1,,,5,America/Lima,FALSE,1604000894
La Vega,La Vega,La Vega Hacienda,-8.2167,-78.4500,Peru,PE,PER,La Libertad,La Libertad,PE-LAL,region,,18.6,,,4,America/Lima,FALSE,1604900185
Ipas Grande,Ipas Grande,,-11.9167,-75.5833,Peru,PE,PER,Junín,Junin,PE-JUN,region,,22.8,,,4,America/Lima,FALSE,1604107699
Quiullacocha,Quiullacocha,,-11.8427,-75.2877,Peru,PE,PER,Junín,Junin,PE-JUN,region,,44.8,,,4,America/Lima,FALSE,1604567774
Uchpacancha,Uchpacancha,,-9.0222,-77.9586,Peru,PE,PER,Ancash,Ancash,PE-ANC,region,,18.9,,,4,America/Lima,FALSE,1604056900
Nuevo Mundo,Nuevo Mundo,,-7.1500,-79.5833,Peru,PE,PER,La Libertad,La Libertad,PE-LAL,region,,61.2,,,4,America/Lima,FALSE,1604967956
Caucau,Caucau,,-11.2541,-75.9899,Peru,PE,PER,Junín,Junin,PE-JUN,region,,10.5,,,4,America/Lima,FALSE,1604810120
Arahuay,Arahuay,,-15.8482,-72.8193,Peru,PE,PER,Arequipa,Arequipa,PE-ARE,region,,0.8,,,5,America/Lima,FALSE,1604025301
Japrapampa,Japrapampa,,-10.9393,-76.6996,Peru,PE,PER,Lima,Lima,PE-LIM,region,,3.8,,,5,America/Lima,FALSE,1604122531
Jaurillane,Jaurillane,,-15.7217,-71.0476,Peru,PE,PER,Arequipa,Arequipa,PE-ARE,region,,1.2,,,5,America/Lima,FALSE,1604713408
