city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Aganan,Aganan,,9.3371,123.3083,Philippines,PH,PHL,Negros Oriental,Negros Oriental,PH-NER,province,,3673.3,,,2,Asia/Manila,FALSE,1608155902
Carbonel,Carbonel,Carbonell,15.6274,120.6177,Philippines,PH,PHL,Tarlac,Tarlac,PH-TAR,province,,889.9,,,3,Asia/Manila,FALSE,1608721256
Dajat,Dajat,Dahat,13.7357,123.5068,Philippines,PH,PHL,Camarines Sur,Camarines Sur,PH-CAS,province,,1649.5,,,3,Asia/Manila,FALSE,1608579840
Anus,Anus,,13.8681,121.0735,Philippines,PH,PHL,Batangas,Batangas,PH-BTG,province,,826.1,,,3,Asia/Manila,FALSE,1608436135
Tangadan,Tangadan,Tangadon|Tangado,17.5068,120.5145,Philippines,PH,PHL,Abra,Abra,PH-ABR,province,,67.7,,,4,Asia/Manila,FALSE,1608408610
Banawon,Banawon,Banawan|Banauon,10.5952,121.9729,Philippines,PH,PHL,Antique,Antique,PH-ANT,province,,525.4,,,3,Asia/Manila,FALSE,1608572267
San Bernardo,San Bernardo,,9.9507,125.0630,Philippines,PH,PHL,Southern Leyte,Southern Leyte,PH-SLE,province,,517.4,,,3,Asia/Manila,FALSE,1608056529
Guba,Guba,,10.3131,123.2667,Philippines,PH,PHL,Negros Oriental,Negros Oriental,PH-NER,province,,148.4,,,4,Asia/Manila,FALSE,1608906555
Carmelo,Carmelo,,10.7051,123.7935,Philippines,PH,PHL,Cebu,Cebu,PH-CEB,province,,1182.6,,,3,Asia/Manila,FALSE,1608872378
Taribubu,Taribubu,Taribobo,17.6080,121.5108,Philippines,PH,PHL,Cagayan,Cagayan,PH-CAG,province,,14.4,,,4,Asia/Manila,FALSE,1608960670
Tambalan,Tambalan,Tambulan,9.9085,123.0896,Philippines,PH,PHL,Negros Oriental,Negros Oriental,PH-NER,province,,314.6,,,3,Asia/Manila,FALSE,1608398838
Bicobian,Bicobian,,17.2718,122.4173,Philippines,PH,PHL,Isabela,Isabela,PH-ISA,province,,2.2,,,5,Asia/Manila,FALSE,1608683772
Lukmalatum,Lukmalatum,Lukmalalum,7.3475,122.2856,Philippines,PH,PHL,Zamboanga,Zamboanga,PH-ZAM,highly urbanized city,,254.1,,,3,Asia/Manila,FALSE,1608289834
Taytay,Taytay,,13.9812,122.5221,Philippines,PH,PHL,Quezon,Quezon,PH-QUE,province,,521.8,,,3,Asia/Manila,FALSE,1608477379
Calumbagan,Calumbagan,Colomboyan,11.6895,120.1407,Philippines,PH,PHL,Palawan,Palawan,PH-PLW,province,,182.3,,,4,Asia/Manila,FALSE,1608547853
Talang,Talang,,13.9253,120.9532,Philippines,PH,PHL,Batangas,Batangas,PH-BTG,province,,4227.1,,,2,Asia/Manila,FALSE,1608288073
Salubungan,Salubungan,,14.4212,121.4470,Philippines,PH,PHL,Laguna,Laguna,PH-LAG,province,,11496.4,,,2,Asia/Manila,FALSE,1608810060
Sabean,Sabean,,17.1213,120.8741,Philippines,PH,PHL,Mountain,Mountain,PH-MOU,province,,134.5,,,4,Asia/Manila,FALSE,1608025629
Mongpong,Mongpong,,10.0097,123.1911,Philippines,PH,PHL,Negros Oriental,Negros Oriental,PH-NER,province,,269.8,,,3,Asia/Manila,FALSE,1608474824
Santo Cristo,Santo Cristo,,14.9664,120.6311,Philippines,PH,PHL,Pampanga,Pampanga,PH-PAM,province,,964.1,,,3,Asia/Manila,FALSE,1608576177
Minaloco,Minaloco,,14.8650,122.2055,Philippines,PH,PHL,Quezon,Quezon,PH-QUE,province,,148.0,,,4,Asia/Manila,FALSE,1608426273
Catburawan,Catburawan,Catburauan,13.0283,123.3078,Philippines,PH,PHL,Albay,Albay,PH-ALB,province,,705.6,,,3,Asia/Manila,FALSE,1608695543
Pinanabato,Pinanabato,,15.4137,119.9662,Philippines,PH,PHL,Zambales,Zambales,PH-ZMB,province,,293.7,,,3,Asia/Manila,FALSE,1608965950
Anog,Anog,,11.4761,124.5610,Philippines,PH,PHL,Biliran,Biliran,PH-BIL,province,,1310.5,,,3,Asia/Manila,FALSE,1608736016
Bilatan,Bilatan,,9.9393,125.2940,Philippines,PH,PHL,Southern Leyte,Southern Leyte,PH-SLE,province,,247.3,,,3,Asia/Manila,FALSE,1608585231
Malabanban Norte,Malabanban Norte,Malabanban,13.9452,121.4306,Philippines,PH,PHL,Quezon,Quezon,PH-QUE,province,,3067.6,,,2,Asia/Manila,FALSE,1608351570
Kangabao,Kangabao,,10.9333,124.9500,Philippines,PH,PHL,Leyte,Leyte,PH-LEY,province,,278.6,,,3,Asia/Manila,FALSE,1608787206
Linoc,Linoc,,16.0164,120.2938,Philippines,PH,PHL,Pangasinan,Pangasinan,PH-PAN,province,,1033.7,,,3,Asia/Manila,FALSE,1608509019
Mayao,Mayao,,13.2747,123.4914,Philippines,PH,PHL,Albay,Albay,PH-ALB,province,,803.3,,,3,Asia/Manila,FALSE,1608442663
Capitan,Capitan,,18.0359,120.7084,Philippines,PH,PHL,Ilocos Norte,Ilocos Norte,PH-ILN,province,,178.5,,,4,Asia/Manila,FALSE,1608717153
Sucre,Sucre,,10.6662,124.8512,Philippines,PH,PHL,Leyte,Leyte,PH-LEY,province,,257.5,,,3,Asia/Manila,FALSE,1608142930
Bucao East,Bucao East,Bucao,16.9238,120.4510,Philippines,PH,PHL,Ilocos Sur,Ilocos Sur,PH-ILS,province,,583.9,,,3,Asia/Manila,FALSE,1608504242
Tokor Tokor,Tokor Tokor,,15.5846,119.9860,Philippines,PH,PHL,Zambales,Zambales,PH-ZMB,province,,43.8,,,4,Asia/Manila,FALSE,1608087761
Sala,Sala,,14.1046,121.1138,Philippines,PH,PHL,Batangas,Batangas,PH-BTG,province,,709.6,,,3,Asia/Manila,FALSE,1608054799
Narapunan,Narapunan,Narabonan,18.4790,120.5766,Philippines,PH,PHL,Ilocos Norte,Ilocos Norte,PH-ILN,province,,187.1,,,4,Asia/Manila,FALSE,1608958312
Nagbaratan,Nagbaratan,,17.9669,120.6255,Philippines,PH,PHL,Ilocos Norte,Ilocos Norte,PH-ILN,province,,93.2,,,4,Asia/Manila,FALSE,1608909355
Aruaay,Aruaay,,18.1988,120.7276,Philippines,PH,PHL,Ilocos Norte,Ilocos Norte,PH-ILN,province,,304.4,,,3,Asia/Manila,FALSE,1608000544
Pao,Pao,,16.8040,120.4275,Philippines,PH,PHL,La Union,La Union,PH-LUN,province,,873.4,,,3,Asia/Manila,FALSE,1608357665
Datu Mantauil,Datu Mantauil,Dato Mantauil,7.1453,124.9394,Philippines,PH,PHL,Cotabato,Cotabato,PH-NCO,province,,340.2,,,3,Asia/Manila,FALSE,1608296291
Malasila,Malasila,,6.8583,124.8775,Philippines,PH,PHL,Cotabato,Cotabato,PH-NCO,province,,1267.9,,,3,Asia/Manila,FALSE,1608690718
Malasila,Malasila,,6.9439,125.1294,Philippines,PH,PHL,Cotabato,Cotabato,PH-NCO,province,,799.1,,,3,Asia/Manila,TRUE,1608724891
Cadi-Is,Cadi-Is,Candiiz,7.4264,124.8544,Philippines,PH,PHL,Cotabato,Cotabato,PH-NCO,province,,31.5,,,4,Asia/Manila,FALSE,1608557645
Concepcion,Concepcion,,16.2155,120.4815,Philippines,PH,PHL,La Union,La Union,PH-LUN,province,,980.3,,,3,Asia/Manila,FALSE,1608536120
Cubao,Cubao,,14.6214,121.0506,Philippines,PH,PHL,Quezon,Quezon,PH-QZN,highly urbanized city,,24423.7,,,2,Asia/Manila,FALSE,1608802012
Agupalo Weste,Agupalo Weste,,15.8314,120.8848,Philippines,PH,PHL,Nueva Ecija,Nueva Ecija,PH-NUE,province,,370.8,,,3,Asia/Manila,FALSE,1608763272
Tuquib,Tuquib,Tuquib-Cal-lao|Tuguib,17.4046,120.6305,Philippines,PH,PHL,Abra,Abra,PH-ABR,province,,65.3,,,4,Asia/Manila,FALSE,1608021933
Borobayba,Borobayba,Barobaybay|Borabaybay,12.5521,124.3663,Philippines,PH,PHL,Northern Samar,Northern Samar,PH-NSA,province,,519.4,,,3,Asia/Manila,FALSE,1608094336
Soledad,Soledad,Payao,10.1769,122.9451,Philippines,PH,PHL,Negros Occidental,Negros Occidental,PH-NEC,province,,794.0,,,3,Asia/Manila,FALSE,1608379001
Paye,Paye,Payi,13.4316,121.8823,Philippines,PH,PHL,Marinduque,Marinduque,PH-MAD,province,,470.9,,,3,Asia/Manila,FALSE,1608289206
Katipunan,Katipunan,,9.9435,124.0097,Philippines,PH,PHL,Bohol,Bohol,PH-BOH,province,,816.6,,,3,Asia/Manila,FALSE,1608637943
Katipunan,Katipunan,,9.8490,124.2302,Philippines,PH,PHL,Bohol,Bohol,PH-BOH,province,,395.5,,,3,Asia/Manila,TRUE,1608716076
Katipunan,Katipunan,,9.9283,124.1426,Philippines,PH,PHL,Bohol,Bohol,PH-BOH,province,,174.9,,,4,Asia/Manila,TRUE,1608725616
Bae,Bae,,9.9936,123.5376,Philippines,PH,PHL,Cebu,Cebu,PH-CEB,province,,215.4,,,3,Asia/Manila,FALSE,1608466329
Tagapo,Tagapo,,14.3201,121.1057,Philippines,PH,PHL,Laguna,Laguna,PH-LAG,province,,12393.9,,,2,Asia/Manila,FALSE,1608393834
Decabacan,Decabacan,Dicabacan,16.5935,121.3716,Philippines,PH,PHL,Nueva Vizcaya,Nueva Vizcaya,PH-NUV,province,,32.3,,,4,Asia/Manila,FALSE,1608473655
Uso,Uso,,16.9706,120.5435,Philippines,PH,PHL,Ilocos Sur,Ilocos Sur,PH-ILS,province,,56.6,,,4,Asia/Manila,FALSE,1608176436
Saugan,Saugan,,12.1500,125.4333,Philippines,PH,PHL,Samar,Samar,PH-WSA,province,,898.2,,,3,Asia/Manila,FALSE,1608882891
Saugan,Saugan,,11.6001,124.7914,Philippines,PH,PHL,Samar,Samar,PH-WSA,province,,576.8,,,3,Asia/Manila,TRUE,1608686603
Sawang,Sawang,Siwang,13.6265,121.2428,Philippines,PH,PHL,Batangas,Batangas,PH-BTG,province,,161.7,,,4,Asia/Manila,FALSE,1608376429
Magdaut,Magdaut,,11.5000,125.0500,Philippines,PH,PHL,Samar,Samar,PH-WSA,province,,93.5,,,4,Asia/Manila,FALSE,1608825685
Canlusong,Canlusong,,9.6454,124.2004,Philippines,PH,PHL,Bohol,Bohol,PH-BOH,province,,104.6,,,4,Asia/Manila,FALSE,1608382740
Payocpoc East,Payocpoc East,,16.4928,120.3453,Philippines,PH,PHL,La Union,La Union,PH-LUN,province,,356.5,,,3,Asia/Manila,FALSE,1608954468
