city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Solistówka,Solistowka,,53.7667,22.7667,Poland,PL,POL,Podlaskie,Podlaskie,PL-20,,,32.5,192,192,3,Europe/Warsaw,FALSE,1616739245
Brelików,Brelikow,,49.5167,22.5167,Poland,PL,POL,Podkarpackie,Podkarpackie,PL-18,,,30.4,192,192,3,Europe/Warsaw,FALSE,1616975259
Obozin,Obozin,,54.0642,18.5239,Poland,PL,POL,Pomorskie,Pomorskie,PL-22,,,92.2,192,192,3,Europe/Warsaw,FALSE,1616007514
Wólka,Wolka,Wólka Kolczyńska,51.0667,21.8833,Poland,PL,POL,Lubelskie,Lubelskie,PL-06,,,48.6,192,192,3,Europe/Warsaw,TRUE,1616096984
Mastki,Mastki,,52.2086,19.8964,Poland,PL,POL,Łódzkie,Lodzkie,PL-10,,,40.2,192,192,3,Europe/Warsaw,FALSE,1616085023
Klichy,Klichy,,52.6667,22.9167,Poland,PL,POL,Podlaskie,Podlaskie,PL-20,,,25.6,192,192,3,Europe/Warsaw,FALSE,1616118767
Rybnica Leśna,Rybnica Lesna,,50.7000,16.2833,Poland,PL,POL,Dolnośląskie,Dolnoslaskie,PL-02,,,96.1,192,192,3,Europe/Warsaw,FALSE,1616787671
Orkowo,Orkowo,,52.1667,17.0167,Poland,PL,POL,Wielkopolskie,Wielkopolskie,PL-30,,,210.7,192,192,3,Europe/Warsaw,FALSE,1616195824
Gołe Łazy,Gole Lazy,,51.8036,22.0150,Poland,PL,POL,Lubelskie,Lubelskie,PL-06,,,68.0,192,192,3,Europe/Warsaw,FALSE,1616423691
Kuczyńskie,Kuczynskie,,53.2167,21.4333,Poland,PL,POL,Mazowieckie,Mazowieckie,PL-14,,,46.3,192,192,3,Europe/Warsaw,FALSE,1616679921
Łąski Piec,Laski Piec,,53.6469,18.2083,Poland,PL,POL,Kujawsko-Pomorskie,Kujawsko-Pomorskie,PL-04,,,36.8,192,192,3,Europe/Warsaw,FALSE,1616856781
Łęka Mała,Leka Mala,,51.8167,16.9000,Poland,PL,POL,Wielkopolskie,Wielkopolskie,PL-30,,,61.1,191,191,3,Europe/Warsaw,FALSE,1616645533
Królowe,Krolowe,,50.2561,17.8369,Poland,PL,POL,Opolskie,Opolskie,PL-16,,,76.7,191,191,3,Europe/Warsaw,FALSE,1616932613
Rudolfin,Rudolfin,,51.1167,23.6167,Poland,PL,POL,Lubelskie,Lubelskie,PL-06,,,43.2,191,191,3,Europe/Warsaw,FALSE,1616098141
Dębówko Nowe,Debowko Nowe,,53.1167,17.1833,Poland,PL,POL,Wielkopolskie,Wielkopolskie,PL-30,,,68.3,191,191,3,Europe/Warsaw,FALSE,1616751185
Nowe Rumunki,Nowe Rumunki,,52.4694,19.6608,Poland,PL,POL,Mazowieckie,Mazowieckie,PL-14,,,61.2,191,191,3,Europe/Warsaw,FALSE,1616507958
Skurów,Skurow,,51.8294,20.8742,Poland,PL,POL,Mazowieckie,Mazowieckie,PL-14,,,169.3,191,191,3,Europe/Warsaw,FALSE,1616480560
Załusków,Zaluskow,,52.3167,19.9833,Poland,PL,POL,Mazowieckie,Mazowieckie,PL-14,,,50.7,191,191,3,Europe/Warsaw,FALSE,1616893183
Wola Trębska,Wola Trebska,,52.3333,19.5167,Poland,PL,POL,Mazowieckie,Mazowieckie,PL-14,,,39.6,191,191,3,Europe/Warsaw,FALSE,1616015430
Latalice,Latalice,,52.5167,17.3000,Poland,PL,POL,Wielkopolskie,Wielkopolskie,PL-30,,,115.4,191,191,3,Europe/Warsaw,FALSE,1616253309
Malechy,Malechy,,52.8500,20.9833,Poland,PL,POL,Mazowieckie,Mazowieckie,PL-14,,,41.4,191,191,3,Europe/Warsaw,FALSE,1616000170
Wawrzynki,Wawrzynki,Wawryzynki,52.9167,17.7667,Poland,PL,POL,Kujawsko-Pomorskie,Kujawsko-Pomorskie,PL-04,,,104.7,191,191,3,Europe/Warsaw,FALSE,1616332087
Kolinowice Dolne,Kolinowice Dolne,,50.6267,17.0914,Poland,PL,POL,Dolnośląskie,Dolnoslaskie,PL-02,,,80.0,191,191,3,Europe/Warsaw,FALSE,1616992346
Kłodkowo,Klodkowo,Klätkow,54.0119,15.2447,Poland,PL,POL,Zachodniopomorskie,Zachodniopomorskie,PL-32,,,75.0,191,191,3,Europe/Warsaw,FALSE,1616411774
Turzno,Turzno,,52.8225,18.7836,Poland,PL,POL,Kujawsko-Pomorskie,Kujawsko-Pomorskie,PL-04,,,105.2,191,191,3,Europe/Warsaw,FALSE,1616445960
Jabłoń Jankowce,Jablon Jankowce,,52.9036,22.6581,Poland,PL,POL,Podlaskie,Podlaskie,PL-20,,,37.2,191,191,3,Europe/Warsaw,FALSE,1616358622
Lipna Wola,Lipna Wola,,50.2647,20.0194,Poland,PL,POL,Małopolskie,Malopolskie,PL-12,,,124.0,191,191,3,Europe/Warsaw,FALSE,1616667737
Horoszczyce,Horoszczyce,,50.5633,23.9992,Poland,PL,POL,Lubelskie,Lubelskie,PL-06,,,27.3,191,191,3,Europe/Warsaw,FALSE,1616923799
Pniewnik,Pniewnik,,52.3833,21.8167,Poland,PL,POL,Mazowieckie,Mazowieckie,PL-14,,,35.3,191,191,3,Europe/Warsaw,FALSE,1616407614
Sugajno,Sugajno,,53.3333,19.6667,Poland,PL,POL,,,,,,41.6,191,191,3,Europe/Warsaw,FALSE,1616864372
Bujenka,Bujenka,,52.7000,22.5667,Poland,PL,POL,Podlaskie,Podlaskie,PL-20,,,45.0,191,191,3,Europe/Warsaw,FALSE,1616525454
Brzekiniec,Brzekiniec,,52.8667,17.0500,Poland,PL,POL,Wielkopolskie,Wielkopolskie,PL-30,,,41.0,191,191,3,Europe/Warsaw,FALSE,1616910402
Turkowo,Turkowo,,52.4000,16.4333,Poland,PL,POL,Wielkopolskie,Wielkopolskie,PL-30,,,53.7,191,191,3,Europe/Warsaw,FALSE,1616408487
Krobielice,Krobielice,,50.6794,21.5264,Poland,PL,POL,Świętokrzyskie,Swietokrzyskie,PL-26,,,86.3,191,191,3,Europe/Warsaw,FALSE,1616561476
Rodnowo,Rodnowo,Reddenau,54.2333,20.6333,Poland,PL,POL,Warmińsko-Mazurskie,Warminsko-Mazurskie,PL-28,,,58.6,191,191,3,Europe/Warsaw,FALSE,1616273631
Kołaki Strumienie,Kolaki Strumienie,,53.3000,22.0667,Poland,PL,POL,Podlaskie,Podlaskie,PL-20,,,36.0,191,191,3,Europe/Warsaw,FALSE,1616893189
Łapinóż,Lapinoz,,53.1833,19.3556,Poland,PL,POL,Kujawsko-Pomorskie,Kujawsko-Pomorskie,PL-04,,,61.1,191,191,3,Europe/Warsaw,FALSE,1616998381
Łąsko Małe,Lasko Male,,53.3500,17.8167,Poland,PL,POL,Kujawsko-Pomorskie,Kujawsko-Pomorskie,PL-04,,,63.0,191,191,3,Europe/Warsaw,FALSE,1616976082
Kramkówka Duża,Kramkowka Duza,Kramkówka Wielka,53.4308,22.6831,Poland,PL,POL,Podlaskie,Podlaskie,PL-20,,,13.5,190,190,3,Europe/Warsaw,FALSE,1616992793
Mojuszewska Huta,Mojuszewska Huta,,54.3333,17.9667,Poland,PL,POL,Pomorskie,Pomorskie,PL-22,,,113.7,190,190,3,Europe/Warsaw,FALSE,1616627499
Liszki,Liszki,,52.3833,22.5000,Poland,PL,POL,Mazowieckie,Mazowieckie,PL-14,,,32.6,190,190,3,Europe/Warsaw,FALSE,1616885447
Podławki,Podlawki,,54.1436,21.3186,Poland,PL,POL,Warmińsko-Mazurskie,Warminsko-Mazurskie,PL-28,,,29.8,190,190,3,Europe/Warsaw,FALSE,1616811140
