city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Vale de Cameiro,Vale de Cameiro,,40.4675,-8.3065,Portugal,PT,PRT,Viseu,Viseu,PT-18,district,,56.7,,,4,Europe/Lisbon,FALSE,1620362456
Tripeiro,Tripeiro,,39.9868,-7.6245,Portugal,PT,PRT,Castelo Branco,Castelo Branco,PT-05,district,,69.8,,,4,Europe/Lisbon,FALSE,1620429914
Baçal,Bacal,,41.8529,-6.7214,Portugal,PT,PRT,Bragança,Braganca,PT-04,district,,260.9,,,3,Europe/Lisbon,FALSE,1620275186
Bicheiro,Bicheiro,,38.6696,-9.1858,Portugal,PT,PRT,Setúbal,Setubal,PT-15,district,,9634.8,,,2,Europe/Lisbon,FALSE,1620660583
Monte da Cegarrega,Monte da Cegarrega,,38.9916,-7.6720,Portugal,PT,PRT,Portalegre,Portalegre,PT-12,district,,1.4,,,5,Europe/Lisbon,FALSE,1620443173
Funchal,Funchal,,41.8911,-8.7941,Portugal,PT,PRT,Viana do Castelo,Viana do Castelo,PT-16,district,,137.2,,,4,Europe/Lisbon,FALSE,1620319716
Ribeira do Abade,Ribeira do Abade,,41.1333,-8.5667,Portugal,PT,PRT,Porto,Porto,PT-13,district,,577.8,,,3,Europe/Lisbon,FALSE,1620850909
Maureles,Maureles,,41.1769,-8.1922,Portugal,PT,PRT,Porto,Porto,PT-13,district,,140.0,,,4,Europe/Lisbon,FALSE,1620700691
Sul,Sul,,36.9167,-25.0667,Portugal,PT,PRT,Azores,Azores,PT-20,autonomous region,,4.3,,,5,Atlantic/Azores,FALSE,1620634975
São Mateus,Sao Mateus,São Mateus da Calheta|São Matheus da Calheta|São Matheus,38.6500,-27.2667,Portugal,PT,PRT,Azores,Azores,PT-20,autonomous region,,2570.2,,,2,Atlantic/Azores,FALSE,1620818593
São Mateus,Sao Mateus,Sao Mattheus|São Matheus,38.4333,-28.4500,Portugal,PT,PRT,Azores,Azores,PT-20,autonomous region,,84.1,,,4,Atlantic/Azores,TRUE,1620141916
Terrazina de Baixo,Terrazina de Baixo,,37.8391,-8.4882,Portugal,PT,PRT,Beja,Beja,PT-02,district,,0.8,,,5,Europe/Lisbon,FALSE,1620793392
Banzão,Banzao,,38.8073,-9.4522,Portugal,PT,PRT,Lisboa,Lisboa,PT-11,district,,315.0,,,3,Europe/Lisbon,FALSE,1620334122
Pernigem,Pernigem,,38.8490,-9.4118,Portugal,PT,PRT,Lisboa,Lisboa,PT-11,district,,196.8,,,4,Europe/Lisbon,FALSE,1620378631
Aldeia da Ribeira Fundeira,Aldeia da Ribeira Fundeira,,39.8192,-8.0622,Portugal,PT,PRT,Castelo Branco,Castelo Branco,PT-05,district,,104.2,,,4,Europe/Lisbon,FALSE,1620222972
Alderiz,Alderiz,,42.0272,-8.5159,Portugal,PT,PRT,Viana do Castelo,Viana do Castelo,PT-16,district,,143.2,,,4,Europe/Lisbon,FALSE,1620773112
Birre,Birre,,38.7153,-9.4469,Portugal,PT,PRT,Lisboa,Lisboa,PT-11,district,,1228.3,,,3,Europe/Lisbon,FALSE,1620025535
Vilarinho do Monte,Vilarinho do Monte,,41.6325,-7.0903,Portugal,PT,PRT,Bragança,Braganca,PT-04,district,,66.7,,,4,Europe/Lisbon,FALSE,1620500946
Castelo do Bode,Castelo do Bode,Castelo de Bode,39.5475,-8.3279,Portugal,PT,PRT,Santarém,Santarem,PT-14,district,,62.0,,,4,Europe/Lisbon,FALSE,1620411917
Brejão,Brejao,,37.2898,-8.5700,Portugal,PT,PRT,Faro,Faro,PT-08,district,,13.2,,,4,Europe/Lisbon,FALSE,1620883677
São João de Deus,Sao Joao de Deus,,38.6667,-27.2167,Portugal,PT,PRT,Azores,Azores,PT-20,autonomous region,,626.9,,,3,Atlantic/Azores,FALSE,1620518804
Sobralinho,Sobralinho,,38.9175,-9.0261,Portugal,PT,PRT,Lisboa,Lisboa,PT-11,district,,978.9,,,3,Europe/Lisbon,FALSE,1620637720
Sesmarias,Sesmarias,,39.6532,-8.2719,Portugal,PT,PRT,Santarém,Santarem,PT-14,district,,58.7,,,4,Europe/Lisbon,FALSE,1620429941
Sesmarias,Sesmarias,,37.8108,-8.6653,Portugal,PT,PRT,Setúbal,Setubal,PT-15,district,,4.1,,,5,Europe/Lisbon,FALSE,1620208267
Mogadouro,Mogadouro,,40.5766,-7.4773,Portugal,PT,PRT,Guarda,Guarda,PT-09,district,,39.7,,,4,Europe/Lisbon,FALSE,1620090489
Engal,Engal,,38.9889,-8.2487,Portugal,PT,PRT,Santarém,Santarem,PT-14,district,,0.6,,,5,Europe/Lisbon,FALSE,1620760907
Cabeço de Baixo,Cabeco de Baixo,,40.7218,-8.5599,Portugal,PT,PRT,Aveiro,Aveiro,PT-01,district,,231.5,,,3,Europe/Lisbon,FALSE,1620987534
Lamas de Ferreira,Lamas de Ferreira,,40.7906,-7.6915,Portugal,PT,PRT,Viseu,Viseu,PT-18,district,,179.6,,,4,Europe/Lisbon,FALSE,1620882361
Pomar,Pomar,,42.0458,-8.4841,Portugal,PT,PRT,Viana do Castelo,Viana do Castelo,PT-16,district,,196.2,,,4,Europe/Lisbon,FALSE,1620047146
