city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Porto,Porto,Oporto,41.1621,-8.6220,Portugal,PT,PRT,Porto,Porto,PT-13,district,admin,5736.1,1278210,237591,1,Europe/Lisbon,FALSE,1620356810
Lisbon,Lisbon,"Olisipo|Felicitas Julia|Lisboa|Lissabon",38.7253,-9.1500,Portugal,PT,PRT,Lisboa,Lisboa,PT-11,district,primary,5445.7,548703,548703,1,Europe/Lisbon,FALSE,1620619017
Aves,Aves,,41.4400,-8.3000,Portugal,PT,PRT,Porto,Porto,PT-13,district,,293.1,425411,425411,2,Europe/Lisbon,FALSE,1620507201
Sintra,Sintra,Cintra,38.7992,-9.3883,Portugal,PT,PRT,Lisboa,Lisboa,PT-11,district,minor,1183.6,377835,377835,2,Europe/Lisbon,FALSE,1620848791
"Vila Nova de Gaia","Vila Nova de Gaia","Gaia|Portus Cale",41.1333,-8.6167,Portugal,PT,PRT,Porto,Porto,PT-13,district,minor,1794.5,302295,302295,2,Europe/Lisbon,FALSE,1620040225
Cascais,Cascais,Cascaes,38.7000,-9.4167,Portugal,PT,PRT,Lisboa,Lisboa,PT-11,district,minor,3109.5,214158,214158,2,Europe/Lisbon,FALSE,1620824685
Loures,Loures,,38.8333,-9.1667,Portugal,PT,PRT,Lisboa,Lisboa,PT-11,district,minor,1205.6,201632,201632,2,Europe/Lisbon,FALSE,1620042113
Seixal,Seixal,,38.6500,-9.1000,Portugal,PT,PRT,Setúbal,Setubal,PT-15,district,minor,1929.5,184269,184269,2,Europe/Lisbon,FALSE,1620870397
Braga,Braga,,41.5503,-8.4200,Portugal,PT,PRT,Braga,Braga,PT-03,district,admin,7764.7,181494,181494,2,Europe/Lisbon,FALSE,1620949401
Almada,Almada,,38.6803,-9.1583,Portugal,PT,PRT,Setúbal,Setubal,PT-15,district,minor,2532.0,177268,177268,2,Europe/Lisbon,FALSE,1620388276
Matosinhos,Matosinhos,Matozinhos,41.1833,-8.7000,Portugal,PT,PRT,Porto,Porto,PT-13,district,minor,2811.2,175478,175478,2,Europe/Lisbon,FALSE,1620049442
Amadora,Amadora,,38.7333,-9.2333,Portugal,PT,PRT,Lisboa,Lisboa,PT-11,district,minor,7364.8,175136,175136,2,Europe/Lisbon,FALSE,1620896557
