city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"El Cinco","El Cinco",,18.1377,-67.1210,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1734.1,,,4,America/Puerto_Rico,FALSE,1630126310
Mariana,Mariana,,18.3336,-65.9532,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,486.2,,,4,America/Puerto_Rico,FALSE,1630141792
Mariani,Mariani,,18.0069,-66.6180,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,3545.4,,,4,America/Puerto_Rico,FALSE,1630126580
"María Jiménez","Maria Jimenez",,18.2647,-65.9416,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,613.2,,,4,America/Puerto_Rico,FALSE,1630126577
"Martín Peña","Martin Pena",,18.4272,-66.0527,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,7423.9,,,4,America/Puerto_Rico,FALSE,1630126582
Volcán,Volcan,,18.4091,-66.1849,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,2132.0,,,4,America/Puerto_Rico,FALSE,1630126907
Vistamar,Vistamar,,18.4274,-65.9788,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,5528.1,,,4,America/Puerto_Rico,FALSE,1630126906
"Vista Verde","Vista Verde",,18.1850,-67.1535,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1526.8,,,4,America/Puerto_Rico,FALSE,1630126905
"Vista Alegre","Vista Alegre",,18.3947,-66.1621,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,2764.6,,,4,America/Puerto_Rico,FALSE,1630141875
Yuquiyú,Yuquiyu,,18.3461,-65.7285,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,93.9,,,4,America/Puerto_Rico,FALSE,1630126909
Yeguada,Yeguada,,18.4842,-66.8802,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1359.5,1756,1756,3,America/Puerto_Rico,FALSE,1630126908
Fraternidad,Fraternidad,,18.0097,-66.9071,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,22.6,,,4,America/Puerto_Rico,FALSE,1630126375
Fortuna,Fortuna,,17.9805,-66.2568,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,10.8,,,4,America/Puerto_Rico,FALSE,1630126372
"Loíza Valley","Loiza Valley",,18.3749,-65.9138,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,3727.4,,,4,America/Puerto_Rico,FALSE,1630126537
"Llanos Tuna","Llanos Tuna",,18.0686,-67.1318,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,395.3,,,4,America/Puerto_Rico,FALSE,1630126535
Llanos,Llanos,,18.0294,-67.1093,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,194.7,,,4,America/Puerto_Rico,FALSE,1630126534
"La Fermina","La Fermina",,18.1744,-65.8526,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,926.9,2336,2336,3,America/Puerto_Rico,FALSE,1630023729
"Las Ollas","Las Ollas",,18.0142,-66.4207,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1863.0,984,984,3,America/Puerto_Rico,FALSE,1630035504
"Brisas del Campanero","Brisas del Campanero",,18.4316,-66.2261,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1490.6,2700,2700,3,America/Puerto_Rico,FALSE,1630141959
Selgas,Selgas,,18.3611,-66.5663,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1656.0,,,4,America/Puerto_Rico,FALSE,1630126831
Semil,Semil,,18.1225,-66.5166,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,461.6,,,4,America/Puerto_Rico,FALSE,1630126832
Santurce,Santurce,,18.1952,-67.1402,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,4251.6,,,4,America/Puerto_Rico,FALSE,1630126827
Seboruco,Seboruco,,18.0180,-66.7213,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,87.9,,,4,America/Puerto_Rico,FALSE,1630126828
Segui,Segui,,18.3091,-66.5671,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,157.5,,,4,America/Puerto_Rico,FALSE,1630126829
"Segundo Castillo","Segundo Castillo",,18.1644,-67.1496,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1363.9,,,4,America/Puerto_Rico,FALSE,1630126830
"Santiago y Lima","Santiago y Lima",,18.2047,-65.7057,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,667.9,,,4,America/Puerto_Rico,FALSE,1630126825
"Santiago Iglesias","Santiago Iglesias",,18.3830,-66.0993,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,5543.6,,,4,America/Puerto_Rico,FALSE,1630126826
"Pugnado Afuera","Pugnado Afuera",,18.4291,-66.4141,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1974.0,,,4,America/Puerto_Rico,FALSE,1630126708
Nuevo,Nuevo,,18.4258,-67.1541,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,2754.2,,,4,America/Puerto_Rico,FALSE,1630126622
"Muñoz Torruellas","Munoz Torruellas",,18.2547,-66.9855,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,599.8,,,4,America/Puerto_Rico,FALSE,1630126616
"Muñoz Rivera","Munoz Rivera",,18.3741,-66.1066,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,4604.7,,,4,America/Puerto_Rico,FALSE,1630126615
Negrito,Negrito,,18.3255,-66.5335,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1.7,,,5,America/Puerto_Rico,FALSE,1630126618
Nogueras,Nogueras,,18.1450,-66.1657,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,824.0,,,4,America/Puerto_Rico,FALSE,1630126620
"Nemesio Canales","Nemesio Canales",,18.4208,-66.0793,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,6875.1,,,4,America/Puerto_Rico,FALSE,1630126619
"Río Grande","Rio Grande",,18.3789,-65.8388,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,3438.0,12311,12311,2,America/Puerto_Rico,FALSE,1630023701
"Puerto Real","Puerto Real",,18.0767,-67.1858,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,2043.1,6325,6325,2,America/Puerto_Rico,FALSE,1630035555
"Pueblito del Río","Pueblito del Rio",,18.2280,-65.8615,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1758.2,1064,1064,3,America/Puerto_Rico,FALSE,1630035488
Naranjito,Naranjito,,18.3029,-66.2498,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,2004.8,3443,3443,2,America/Puerto_Rico,FALSE,1630023649
Olimpo,Olimpo,,18.0027,-66.1097,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1386.1,1621,1621,3,America/Puerto_Rico,FALSE,1630023657
Morovis,Morovis,,18.3268,-66.4057,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1267.5,1843,1843,3,America/Puerto_Rico,FALSE,1630035526
Naguabo,Naguabo,,18.2117,-65.7370,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,3140.5,5104,5104,2,America/Puerto_Rico,FALSE,1630035528
Miranda,Miranda,,18.3869,-66.3789,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,256.6,1228,1228,3,America/Puerto_Rico,FALSE,1630035521
Moca,Moca,,18.3943,-67.1138,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1576.2,636,636,3,America/Puerto_Rico,FALSE,1630035522
Monserrate,Monserrate,,18.4367,-66.3579,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1256.6,2266,2266,3,America/Puerto_Rico,FALSE,1630035523
"Monte Grande","Monte Grande",,18.0894,-67.1201,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,784.3,2902,2902,3,America/Puerto_Rico,FALSE,1630023603
"Río Lajas","Rio Lajas",,18.3970,-66.2643,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,441.0,1724,1724,3,America/Puerto_Rico,FALSE,1630035564
Parkhurst,Parkhurst,,18.1769,-65.8752,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,177.4,,,4,America/Puerto_Rico,FALSE,1630126652
Parabueyón,Parabueyon,,18.0927,-67.1621,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,772.7,,,4,America/Puerto_Rico,FALSE,1630126645
Paraíso,Paraiso,,18.2819,-65.7007,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,60.5,,,4,America/Puerto_Rico,FALSE,1630126649
"Córdova Dávila","Cordova Davila",,18.4291,-66.4827,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,3265.7,,,4,America/Puerto_Rico,FALSE,1630126273
Córcega,Corcega,,18.3177,-67.2424,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1320.7,,,4,America/Puerto_Rico,FALSE,1630126272
Bucaná,Bucana,,18.0052,-66.5913,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,3063.4,,,4,America/Puerto_Rico,FALSE,1630126186
"Puente Blanco","Puente Blanco",,18.4272,-66.1349,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,2032.5,,,4,America/Puerto_Rico,FALSE,1630126703
"Pueblo Nuevo","Pueblo Nuevo",,18.2002,-67.1441,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,4619.9,,,4,America/Puerto_Rico,FALSE,1630142365
"Pueblo Sur","Pueblo Sur",,18.0847,-67.1455,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,3019.8,,,4,America/Puerto_Rico,FALSE,1630126702
"Puerto de Jobos","Puerto de Jobos",,17.9522,-66.1835,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,257.4,,,4,America/Puerto_Rico,FALSE,1630126704
"Lajas Arriba","Lajas Arriba",,18.0375,-67.0110,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,755.2,,,4,America/Puerto_Rico,FALSE,1630126491
"Las Américas","Las Americas",,18.4011,-66.0741,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,5011.6,,,4,America/Puerto_Rico,FALSE,1630126492
"Isleta Comunidad","Isleta Comunidad",,18.3767,-67.1123,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,835.9,434,434,3,America/Puerto_Rico,FALSE,1630126410
"Lassalle Comunidad","Lassalle Comunidad",,18.3854,-67.0617,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,737.2,268,268,3,America/Puerto_Rico,FALSE,1630142469
"Ferrer Comunidad","Ferrer Comunidad",,18.4054,-67.0671,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,427.4,102,102,3,America/Puerto_Rico,FALSE,1630142470
"El Coto","El Coto",,18.4299,-66.2868,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,616.8,,,4,America/Puerto_Rico,FALSE,1630126314
"El Condado","El Condado",,18.2366,-66.0382,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,1008.7,,,4,America/Puerto_Rico,FALSE,1630126313
"El Espino","El Espino",,18.4077,-66.6260,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,238.3,,,4,America/Puerto_Rico,FALSE,1630142511
"El Faro","El Faro",,18.0014,-66.7885,"Puerto Rico",PR,PRI,"Puerto Rico","Puerto Rico",PR-PR,state,,56.8,,,4,America/Puerto_Rico,FALSE,1630126319
