city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Doha,Doha,"Ad Dowhah|Ad Doha|Ad Dawḩa|Dawḩat al Qaţar|Ad Dawḩah",25.2867,51.5333,Qatar,QA,QAT,"Ad Dawḩah","Ad Dawhah",QA-DA,municipality,primary,8985.0,1186023,1186023,1,Asia/Qatar,FALSE,1634459660
"Ar Rayyān","Ar Rayyan","Raiyan|Al Rayyan|Al Raiyan",25.2500,51.4000,Qatar,QA,QAT,"Ar Rayyān","Ar Rayyan",QA-RA,municipality,admin,2731.3,605712,605712,2,Asia/Qatar,FALSE,1634097551
Laqţah,Laqtah,,25.4175,51.5075,Qatar,QA,QAT,"Ash Shīḩānīyah","Ash Shihaniyah",QA-SH,,,1165.3,198600,198600,2,Asia/Qatar,FALSE,1634292106
"Ash Shīḩānīyah","Ash Shihaniyah","Al Shahaniyah|Ash Shaḩānīyah|Ash Shayḩānīyah",25.3722,51.2047,Qatar,QA,QAT,"Ash Shīḩānīyah","Ash Shihaniyah",QA-SH,,admin,48.7,161240,161240,2,Asia/Qatar,FALSE,1634539520
"Al Wakrah","Al Wakrah","Waqra|Al Waqra|Wakra|Wakrah|Al Waqrah",25.1800,51.6100,Qatar,QA,QAT,"Al Wakrah","Al Wakrah",QA-WA,municipality,admin,1160.6,87970,87970,2,Asia/Qatar,FALSE,1634261569
"Umm Qurūn","Umm Qurun","Al Maqran",25.2500,51.3732,Qatar,QA,QAT,"Ar Rayyān","Ar Rayyan",QA-RA,municipality,,2870.1,54339,54339,2,Asia/Qatar,FALSE,1634017384
"Al Khawr","Al Khawr","Khor|Khawr Shaqīq|Khaur Shaqiq|Khaur al-Mahanidah|Al-Khaur|Shakik|Khor-al-Mahāndah|Khor Shaqīq",25.6900,51.5100,Qatar,QA,QAT,"Al Khawr wa adh Dhakhīrah","Al Khawr wa adh Dhakhirah",QA-KH,municipality,admin,842.8,31547,31547,2,Asia/Qatar,FALSE,1634786937
Nu‘ayjah,Nu`ayjah,"Nu‘auah|Nu‘aija|Naeejeh|Naeeja|An Nu‘ayiah|Na’aijah",25.2525,51.5592,Qatar,QA,QAT,"Ad Dawḩah","Ad Dawhah",QA-DA,municipality,,4714.8,29703,29703,2,Asia/Qatar,FALSE,1634400511
"Adh Dhakhīrah","Adh Dhakhirah","Dhakhīrah|Dakhira|Al Dhakhirah|Adh Dhakhīra|Ad Dhakhīrah|Adh Dhukhayr|Al Dakhirah",25.7347,51.5475,Qatar,QA,QAT,"Al Khawr wa adh Dhakhīrah","Al Khawr wa adh Dhakhirah",QA-KH,municipality,,570.1,13511,13511,3,Asia/Qatar,FALSE,1634525121
"Al Jumaylīyah","Al Jumayliyah","Jimalīyah|Al Jumaliyah|Al Jamaliya|Al Jamlīyah",25.6208,51.0819,Qatar,QA,QAT,"Ash Shīḩānīyah","Ash Shihaniyah",QA-SH,,,5.0,13085,13085,3,Asia/Qatar,FALSE,1634232373
"Jarayān al Baţnah","Jarayan al Batnah",,25.1072,51.1543,Qatar,QA,QAT,"Ar Rayyān","Ar Rayyan",QA-RA,municipality,,11.1,6308,6308,4,Asia/Qatar,FALSE,1634041888
"Al Wukayr","Al Wukayr","Al Wukair",25.1508,51.5378,Qatar,QA,QAT,"Al Wakrah","Al Wakrah",QA-WA,municipality,,172.2,4400,4400,4,Asia/Qatar,FALSE,1634009070
"Az̧ Z̧a‘āyin","Az Za`ayin","Al Da‘ain|Edh Dha’ain|Dha‘an|Az̧ Z̧a‘āyim|Al Dha’Sin|Aḑ Ḑa‘āyin|Dha‘ain|Az̧ Z̧a‘ā’in",25.5669,51.4847,Qatar,QA,QAT,"Az̧ Z̧a‘āyin","Az Za'ayin",QA-ZA,municipality,admin,395.4,,,2,Asia/Qatar,FALSE,1634890537
"Ra’s Abū Finţās","Ra's Abu Fintas",,25.2040,51.6176,Qatar,QA,QAT,"Ad Dawḩah","Ad Dawhah",QA-DA,municipality,,4468.4,,,2,Asia/Qatar,FALSE,1634192786
"Al Ghāf","Al Ghaf",,25.6273,51.4551,Qatar,QA,QAT,"Az̧ Z̧a‘āyin","Az Za'ayin",QA-ZA,municipality,,395.4,,,3,Asia/Qatar,FALSE,1634510584
"‘Ayn an Nu‘mān","`Ayn an Nu`man","Nu‘mān|Al Na’man|Na’amān|An Nu‘mān",25.8567,51.0833,Qatar,QA,QAT,"Ash Shamāl","Ash Shamal",QA-MS,municipality,,9.4,,,4,Asia/Qatar,FALSE,1634534892
"Ar Rakīyāt","Ar Rakiyat","Ar Rukayyāt",26.0506,51.1303,Qatar,QA,QAT,"Ash Shamāl","Ash Shamal",QA-MS,municipality,,9.4,,,5,Asia/Qatar,FALSE,1634015169
"Mu‘aydhir al Mashāf","Mu`aydhir al Mashaf",,25.4180,51.2640,Qatar,QA,QAT,"Ash Shīḩānīyah","Ash Shihaniyah",QA-SH,,,530.5,,,3,Asia/Qatar,FALSE,1634996006
"Wādī Jallāl","Wadi Jallal",,25.0267,51.3011,Qatar,QA,QAT,"Al Wakrah","Al Wakrah",QA-WA,municipality,,0.5,,,5,Asia/Qatar,FALSE,1634750227
"Umm Şalāl ‘Alī","Umm Salal `Ali","Umm-al-Salal|Umm Şilāl ‘Alī|Umm Slal Ali",25.4697,51.3975,Qatar,QA,QAT,"Umm Şalāl","Umm Salal",QA-US,municipality,admin,742.6,,,2,Asia/Qatar,FALSE,1634646507
"Mu‘aydhir Rawḑat Rāshid","Mu`aydhir Rawdat Rashid","Mu‘aydhir|Mu‘aydhir Abū ad Dawm",25.2617,51.3968,Qatar,QA,QAT,"Ar Rayyān","Ar Rayyan",QA-RA,municipality,,2726.7,,,2,Asia/Qatar,FALSE,1634774290
Sumaysimah,Sumaysimah,"As Sumaisma|Sumaisma|Sumaisima|Somaismah|Sumaisimah|Sumaismah",25.5747,51.4864,Qatar,QA,QAT,"Az̧ Z̧a‘āyin","Az Za'ayin",QA-ZA,municipality,,395.4,,,3,Asia/Qatar,FALSE,1634392318
"Jarīyān as Sahm","Jariyan as Sahm",,25.3685,51.3545,Qatar,QA,QAT,"Ar Rayyān","Ar Rayyan",QA-RA,municipality,,2285.8,,,2,Asia/Qatar,FALSE,1634996004
"‘Ayn ar Rukhayşah","`Ayn ar Rukhaysah",,25.3310,51.2492,Qatar,QA,QAT,"Ash Shīḩānīyah","Ash Shihaniyah",QA-SH,,,486.2,,,3,Asia/Qatar,FALSE,1634197439
"Al Kharsa‘ah","Al Kharsa`ah","Al Khursa‘ah|Khursa‘at al Bahat",25.2712,50.9680,Qatar,QA,QAT,"Ash Shīḩānīyah","Ash Shihaniyah",QA-SH,,,9.6,,,5,Asia/Qatar,FALSE,1634478692
"Rawḑat al ‘Ajūz","Rawdat al `Ajuz","Rauḑat al ‘Ayuz|Rodhat-al-‘Ajūzah|Rawḑat al Ajūzah",25.5500,51.3833,Qatar,QA,QAT,"Umm Şalāl","Umm Salal",QA-US,municipality,,742.6,,,3,Asia/Qatar,FALSE,1634426030
"Al Wusayl","Al Wusayl",,24.9722,50.9862,Qatar,QA,QAT,"Ar Rayyān","Ar Rayyan",QA-RA,municipality,,5.1,,,5,Asia/Qatar,FALSE,1634656916
"Umm al Abāriq","Umm al Abariq","Umm al Abarig",25.4775,51.3607,Qatar,QA,QAT,"Umm Şalāl","Umm Salal",QA-US,municipality,,742.6,,,3,Asia/Qatar,FALSE,1634552450
"Al Khīsah","Al Khisah",,25.4175,51.4589,Qatar,QA,QAT,"Az̧ Z̧a‘āyin","Az Za'ayin",QA-ZA,municipality,,395.4,,,3,Asia/Qatar,FALSE,1634483712
"Jarī az̧ Z̧abī","Jari az Zabi",,25.3475,51.3464,Qatar,QA,QAT,"Ar Rayyān","Ar Rayyan",QA-RA,municipality,,2285.8,,,2,Asia/Qatar,FALSE,1634995997
"Al Buşayyir","Al Busayyir",,25.7165,51.0560,Qatar,QA,QAT,"Ash Shīḩānīyah","Ash Shihaniyah",QA-SH,,,10.7,,,4,Asia/Qatar,FALSE,1634274397
"Umm Ḩawţah","Umm Hawtah",,24.8650,51.0600,Qatar,QA,QAT,"Ar Rayyān","Ar Rayyan",QA-RA,municipality,,5.1,,,5,Asia/Qatar,FALSE,1634637171
"As Sulaymī al Gharbī","As Sulaymi al Gharbi","As Sulaymī Khalīfah Bin Ḩamad",25.8680,51.2026,Qatar,QA,QAT,"Al Khawr wa adh Dhakhīrah","Al Khawr wa adh Dhakhirah",QA-KH,municipality,,30.2,,,4,Asia/Qatar,FALSE,1634405373
