city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Dealu Frumos,Dealu Frumos,,46.4228,22.9733,Romania,RO,ROU,Alba,Alba,RO-AB,county,,44.6,199,199,4,Europe/Bucharest,FALSE,1642844990
Toiaga,Toiaga,,44.6923,23.6460,Romania,RO,ROU,Gorj,Gorj,RO-GJ,county,,50.7,199,199,4,Europe/Bucharest,FALSE,1642906562
Cleşneşti,Clesnesti,,44.9058,22.9018,Romania,RO,ROU,Gorj,Gorj,RO-GJ,county,,40.1,199,199,4,Europe/Bucharest,FALSE,1642032340
Poiana Trestiei,Poiana Trestiei,Poena Trestiei,45.1598,25.8719,Romania,RO,ROU,Prahova,Prahova,RO-PH,county,,39.8,199,199,4,Europe/Bucharest,FALSE,1642580762
Bărăşti,Barasti,,44.7058,24.6459,Romania,RO,ROU,Olt,Olt,RO-OT,county,,37.9,199,199,4,Europe/Bucharest,FALSE,1642396402
Ercea,Ercea,,44.6772,22.9869,Romania,RO,ROU,Mehedinţi,Mehedinti,RO-MH,county,,23.9,199,199,4,Europe/Bucharest,FALSE,1642276181
Halta Dodeşti,Halta Dodesti,,46.3758,27.8230,Romania,RO,ROU,Vaslui,Vaslui,RO-VS,county,,43.5,199,199,4,Europe/Bucharest,FALSE,1642576937
Domoşu,Domosu,,46.8317,23.0232,Romania,RO,ROU,Cluj,Cluj,RO-CJ,county,,28.0,198,198,4,Europe/Bucharest,FALSE,1642865664
Muncel,Muncel,,47.2565,23.7665,Romania,RO,ROU,Cluj,Cluj,RO-CJ,county,,55.1,198,198,4,Europe/Bucharest,FALSE,1642281965
Cerbu,Cerbu,Hagiomer,44.8307,28.4246,Romania,RO,ROU,Tulcea,Tulcea,RO-TL,county,,21.4,198,198,4,Europe/Bucharest,FALSE,1642021895
Buşteni,Busteni,,44.5323,23.8337,Romania,RO,ROU,Dolj,Dolj,RO-DJ,county,,21.5,198,198,4,Europe/Bucharest,FALSE,1642723025
Racova,Racova,,46.7445,27.2476,Romania,RO,ROU,Vaslui,Vaslui,RO-VS,county,,38.5,198,198,4,Europe/Bucharest,FALSE,1642827883
Vâjâetoarea,Vajaetoarea,Vâjiitoarea|Vîjîetoarea,45.4806,27.3086,Romania,RO,ROU,Vrancea,Vrancea,RO-VN,county,,37.6,198,198,4,Europe/Bucharest,FALSE,1642509508
Bălşoara,Balsoara,,44.6734,24.1235,Romania,RO,ROU,Vâlcea,Valcea,RO-VL,county,,39.9,198,198,4,Europe/Bucharest,FALSE,1642345907
Străjescu,Strajescu,Strejescu,45.8178,27.2878,Romania,RO,ROU,Vrancea,Vrancea,RO-VN,county,,50.1,198,198,4,Europe/Bucharest,FALSE,1642590003
Sâniacob,Saniacob,Szaszlekence|Sîniacob,47.0566,24.2983,Romania,RO,ROU,Bistriţa-Năsăud,Bistrita-Nasaud,RO-BN,county,,39.4,198,198,4,Europe/Bucharest,FALSE,1642865472
Costineşti,Costinesti,,47.8057,26.4593,Romania,RO,ROU,Botoşani,Botosani,RO-BT,county,,48.0,198,198,4,Europe/Bucharest,FALSE,1642456980
Păuleni,Pauleni,Szèkelypàlfalva,46.4273,25.1833,Romania,RO,ROU,Harghita,Harghita,RO-HR,county,,32.7,198,198,4,Europe/Bucharest,FALSE,1642944949
Brad,Brad,Satu de Jos|Bradul,46.6875,26.8785,Romania,RO,ROU,Bacău,Bacau,RO-BC,county,,47.2,198,198,4,Europe/Bucharest,FALSE,1642451176
Pârâu Viu,Parau Viu,Pîrîu Viu|Pârâul Viu,44.9351,23.6684,Romania,RO,ROU,Gorj,Gorj,RO-GJ,county,,33.0,198,198,4,Europe/Bucharest,FALSE,1642281501
Ciuleşti,Ciulesti,,47.2194,22.1926,Romania,RO,ROU,Bihor,Bihor,RO-BH,county,,40.9,197,197,4,Europe/Bucharest,FALSE,1642316117
Galbeni,Galbeni,Galbenii,46.1089,27.3767,Romania,RO,ROU,Vrancea,Vrancea,RO-VN,county,,37.9,197,197,4,Europe/Bucharest,FALSE,1642496615
Butuci,Butuci,,45.1524,26.3774,Romania,RO,ROU,Prahova,Prahova,RO-PH,county,,70.8,197,197,4,Europe/Bucharest,FALSE,1642533596
Pojorta,Pojorta,Pojorîta|Pojorta,45.7500,24.8703,Romania,RO,ROU,Braşov,Brasov,RO-BV,county,,18.6,197,197,4,Europe/Bucharest,FALSE,1642644683
Mireşu Mic,Miresu Mic,Mireşu de Jos,45.1430,26.3682,Romania,RO,ROU,Prahova,Prahova,RO-PH,county,,126.0,197,197,4,Europe/Bucharest,FALSE,1642566863
Cârţibaşi,Cartibasi,Cîrţibaşi,46.4576,27.6712,Romania,RO,ROU,Vaslui,Vaslui,RO-VS,county,,26.1,197,197,4,Europe/Bucharest,FALSE,1642879740
Păcureni,Pacureni,Pòkakeresztur,46.6619,24.5565,Romania,RO,ROU,Mureş,Mures,RO-MS,county,,68.3,197,197,4,Europe/Bucharest,FALSE,1642804486
Leşile,Lesile,,44.6293,25.1523,Romania,RO,ROU,Argeş,Arges,RO-AG,county,,33.5,197,197,4,Europe/Bucharest,FALSE,1642758520
Mălureni,Malureni,,45.9314,27.2762,Romania,RO,ROU,Galaţi,Galati,RO-GL,county,,49.3,197,197,4,Europe/Bucharest,FALSE,1642229142
Gheorgheşti,Gheorghesti,Gheorghieşti,44.9665,22.7261,Romania,RO,ROU,Mehedinţi,Mehedinti,RO-MH,county,,35.8,197,197,4,Europe/Bucharest,FALSE,1642215795
Măhăceni,Mahaceni,Măhaciu,46.4467,23.7430,Romania,RO,ROU,Alba,Alba,RO-AB,county,,42.4,197,197,4,Europe/Bucharest,FALSE,1642375859
Moşna,Mosna,,44.3373,23.3690,Romania,RO,ROU,Dolj,Dolj,RO-DJ,county,,19.9,197,197,4,Europe/Bucharest,FALSE,1642232334
Grieşti,Griesti,,46.9031,27.3761,Romania,RO,ROU,Iaşi,Iasi,RO-IS,county,,73.1,196,196,4,Europe/Bucharest,FALSE,1642196379
Cămuieşti,Camuiesti,Cămueşti,44.9494,22.8978,Romania,RO,ROU,Gorj,Gorj,RO-GJ,county,,40.1,196,196,4,Europe/Bucharest,FALSE,1642389194
Dogari,Dogari,,44.8469,24.4814,Romania,RO,ROU,Argeş,Arges,RO-AG,county,,27.8,196,196,4,Europe/Bucharest,FALSE,1642771685
Cherăşti,Cherasti,,44.8570,23.9500,Romania,RO,ROU,Vâlcea,Valcea,RO-VL,county,,36.0,196,196,4,Europe/Bucharest,FALSE,1642417833
Trestienii de Sus,Trestienii de Sus,,44.8826,26.2264,Romania,RO,ROU,Prahova,Prahova,RO-PH,county,,65.4,196,196,4,Europe/Bucharest,FALSE,1642209061
Gomoeşti,Gomoesti,,45.0665,26.8005,Romania,RO,ROU,Buzău,Buzau,RO-BZ,county,,77.3,196,196,4,Europe/Bucharest,FALSE,1642820586
Piatra,Piatra,,44.8410,25.9412,Romania,RO,ROU,Prahova,Prahova,RO-PH,county,,99.1,196,196,4,Europe/Bucharest,FALSE,1642143847
Carcadieşti,Carcadiesti,Carcadeşti|Caracadieşti,44.6488,24.1380,Romania,RO,ROU,Vâlcea,Valcea,RO-VL,county,,44.1,196,196,4,Europe/Bucharest,FALSE,1642026891
Poiana,Poiana,,46.8055,27.4876,Romania,RO,ROU,Vaslui,Vaslui,RO-VS,county,,127.5,196,196,4,Europe/Bucharest,FALSE,1642814739
Toteşti,Totesti,,47.0733,26.6018,Romania,RO,ROU,Neamţ,Neamt,RO-NT,county,,58.8,196,196,4,Europe/Bucharest,FALSE,1642687714
Isaci,Isaci,Cojoci,44.7691,24.5234,Romania,RO,ROU,Olt,Olt,RO-OT,county,,24.3,196,196,4,Europe/Bucharest,FALSE,1642030858
Jeledinţi,Jeledinti,,45.8037,23.0751,Romania,RO,ROU,Hunedoara,Hunedoara,RO-HD,county,,13.7,196,196,4,Europe/Bucharest,FALSE,1642291868
Slăviteşti,Slavitesti,,44.9242,24.2185,Romania,RO,ROU,Vâlcea,Valcea,RO-VL,county,,235.3,196,196,3,Europe/Bucharest,FALSE,1642235945
Drăgoiasa,Dragoiasa,,47.1638,25.4397,Romania,RO,ROU,Suceava,Suceava,RO-SV,county,,13.1,196,196,4,Europe/Bucharest,FALSE,1642580734
Pilugani,Pilugani,Piluganii,47.3316,25.1683,Romania,RO,ROU,Suceava,Suceava,RO-SV,county,,6.2,196,196,4,Europe/Bucharest,FALSE,1642435011
Ursoaia,Ursoaia,,46.6504,27.4042,Romania,RO,ROU,Vaslui,Vaslui,RO-VS,county,,47.8,196,196,4,Europe/Bucharest,FALSE,1642252917
Valea Mare,Valea Mare,,46.6376,24.3002,Romania,RO,ROU,Mureş,Mures,RO-MS,county,,67.7,196,196,4,Europe/Bucharest,FALSE,1642226346
Lintea,Lintea,,45.0304,23.4433,Romania,RO,ROU,Gorj,Gorj,RO-GJ,county,,50.4,195,195,4,Europe/Bucharest,FALSE,1642944329
Gusu,Gusu,Gusul,45.9420,23.9040,Romania,RO,ROU,Sibiu,Sibiu,RO-SB,county,,16.3,195,195,4,Europe/Bucharest,FALSE,1642971156
Urvişu de Beliu,Urvisu de Beliu,Urviş-Beliul|Örvényes|Urviş-Beliu|Urviş de Beliu|Bélörvényes,46.5266,22.0863,Romania,RO,ROU,Arad,Arad,RO-AR,county,,13.9,195,195,4,Europe/Bucharest,FALSE,1642788260
Brâznic,Braznic,Brîznic,45.9197,22.6532,Romania,RO,ROU,Hunedoara,Hunedoara,RO-HD,county,,34.8,195,195,4,Europe/Bucharest,FALSE,1642386569
Bărbătescu,Barbatescu,,44.6101,26.7985,Romania,RO,ROU,Ialomiţa,Ialomita,RO-IL,county,,20.4,195,195,4,Europe/Bucharest,FALSE,1642937915
Coşuleni,Cosuleni,,47.6836,26.7584,Romania,RO,ROU,Botoşani,Botosani,RO-BT,county,,61.0,195,195,4,Europe/Bucharest,FALSE,1642177362
Slobozia,Slobozia,,47.5681,26.5537,Romania,RO,ROU,Suceava,Suceava,RO-SV,county,,109.7,195,195,4,Europe/Bucharest,FALSE,1642569829
Câlceşti,Calcesti,Cîlceşti,44.9686,22.9670,Romania,RO,ROU,Gorj,Gorj,RO-GJ,county,,35.9,195,195,4,Europe/Bucharest,FALSE,1642807840
Răzeşu,Razesu,Rezeşu,46.2798,27.3956,Romania,RO,ROU,Bacău,Bacau,RO-BC,county,,43.6,195,195,4,Europe/Bucharest,FALSE,1642276203
Petreni,Petreni,,45.7905,23.0220,Romania,RO,ROU,Hunedoara,Hunedoara,RO-HD,county,,92.3,195,195,4,Europe/Bucharest,FALSE,1642969237
Cotu Mori,Cotu Mori,,47.3021,27.5506,Romania,RO,ROU,Iaşi,Iasi,RO-IS,county,,101.7,195,195,4,Europe/Bucharest,FALSE,1642717289
Gămăneşti,Gamanesti,Găvănesti,44.6538,25.6980,Romania,RO,ROU,Dâmboviţa,Dambovita,RO-DB,county,,94.7,195,195,4,Europe/Bucharest,FALSE,1642374882
Mastacăn,Mastacan,Măstacănul,47.0110,26.5737,Romania,RO,ROU,Neamţ,Neamt,RO-NT,county,,47.2,195,195,4,Europe/Bucharest,TRUE,1642338431
Coasta Cerbului,Coasta Cerbului,Coasta Corbului,45.1359,23.9110,Romania,RO,ROU,Vâlcea,Valcea,RO-VL,county,,62.0,194,194,4,Europe/Bucharest,FALSE,1642477941
Raiţiu,Raitiu,Raiţiul,44.5023,24.3474,Romania,RO,ROU,Olt,Olt,RO-OT,county,,78.5,194,194,4,Europe/Bucharest,FALSE,1642386834
Vădurele,Vadurele,,47.3318,23.3417,Romania,RO,ROU,Sălaj,Salaj,RO-SJ,county,,35.0,194,194,4,Europe/Bucharest,FALSE,1642732545
Spini,Spini,,45.8332,23.0893,Romania,RO,ROU,Hunedoara,Hunedoara,RO-HD,county,,48.1,194,194,4,Europe/Bucharest,FALSE,1642431675
Runcurel,Runcurel,Runcurelu,44.8591,23.0199,Romania,RO,ROU,Gorj,Gorj,RO-GJ,county,,96.7,194,194,4,Europe/Bucharest,FALSE,1642671965
Giuleştii de Sus,Giulestii de Sus,Omorîcea|Omorâcea,44.6947,23.9656,Romania,RO,ROU,Vâlcea,Valcea,RO-VL,county,,46.0,194,194,4,Europe/Bucharest,FALSE,1642956596
Corbi,Corbi,,45.7765,24.6958,Romania,RO,ROU,Braşov,Brasov,RO-BV,county,,19.7,194,194,4,Europe/Bucharest,FALSE,1642606131
Doh,Doh,Doli,47.3298,22.7186,Romania,RO,ROU,Sălaj,Salaj,RO-SJ,county,,32.8,194,194,4,Europe/Bucharest,FALSE,1642884097
Plăcinţena,Placintena,Placinţeni,46.1470,27.3757,Romania,RO,ROU,Vrancea,Vrancea,RO-VN,county,,32.3,194,194,4,Europe/Bucharest,FALSE,1642093402
Feţeni,Feteni,,45.0948,24.4247,Romania,RO,ROU,Vâlcea,Valcea,RO-VL,county,,1064.4,194,194,3,Europe/Bucharest,FALSE,1642849951
Fântânele,Fantanele,Schiopeni|Fîntînele,45.4226,26.8488,Romania,RO,ROU,Buzău,Buzau,RO-BZ,county,,27.9,194,194,4,Europe/Bucharest,TRUE,1642000316
Spătăreasa,Spatareasa,Spătăresa,45.4268,27.2962,Romania,RO,ROU,Vrancea,Vrancea,RO-VN,county,,29.3,194,194,4,Europe/Bucharest,FALSE,1642221480
Zolt,Zolt,,45.7561,22.2569,Romania,RO,ROU,Timiş,Timis,RO-TM,county,,13.5,194,194,4,Europe/Bucharest,FALSE,1642418151
Curtuiuşu-Dejului,Curtuiusu-Dejului,Curtuiuşul Dejului,47.2167,23.6817,Romania,RO,ROU,Cluj,Cluj,RO-CJ,county,,25.6,194,194,4,Europe/Bucharest,FALSE,1642572296
Toldal,Toldal,Toldalag|Toldala,46.7051,24.5816,Romania,RO,ROU,Mureş,Mures,RO-MS,county,,49.9,194,194,4,Europe/Bucharest,FALSE,1642465119
Zegaia,Zegaia,,44.6333,22.8334,Romania,RO,ROU,Mehedinţi,Mehedinti,RO-MH,county,,14.5,194,194,4,Europe/Bucharest,FALSE,1642812967
Bernadea,Bernadea,Bernadia,46.3741,24.4585,Romania,RO,ROU,Mureş,Mures,RO-MS,county,,39.0,194,194,4,Europe/Bucharest,FALSE,1642135092
Gura Sohodol,Gura Sohodol,,46.3546,23.0307,Romania,RO,ROU,Alba,Alba,RO-AB,county,,37.1,194,194,4,Europe/Bucharest,FALSE,1642833557
Poenile Oancei,Poenile Oancei,Poenele Oancei,47.0304,27.1110,Romania,RO,ROU,Iaşi,Iasi,RO-IS,county,,19.2,193,193,4,Europe/Bucharest,FALSE,1642462574
Pădureni,Padureni,,46.6963,26.5627,Romania,RO,ROU,Neamţ,Neamt,RO-NT,county,,73.7,193,193,4,Europe/Bucharest,FALSE,1642332570
Butanu,Butanu,Butanul,44.7556,23.8564,Romania,RO,ROU,Vâlcea,Valcea,RO-VL,county,,32.4,193,193,4,Europe/Bucharest,FALSE,1642298572
Făureni,Faureni,,46.9284,23.5456,Romania,RO,ROU,Cluj,Cluj,RO-CJ,county,,21.3,193,193,4,Europe/Bucharest,FALSE,1642741532
Beria de Sus,Beria de Sus,Beria Mare,44.5723,24.4225,Romania,RO,ROU,Olt,Olt,RO-OT,county,,17.5,193,193,4,Europe/Bucharest,FALSE,1642731986
Solona,Solona,,47.2638,23.4087,Romania,RO,ROU,Sălaj,Salaj,RO-SJ,county,,44.6,193,193,4,Europe/Bucharest,FALSE,1642790620
Dalci,Dalci,,45.4151,22.3153,Romania,RO,ROU,Caraş-Severin,Caras-Severin,RO-CS,county,,20.3,193,193,4,Europe/Bucharest,FALSE,1642640880
Mânăstire,Manastire,Szentgyörgy|Zárda-Szentgyörgy|Mănăstire|Mînăstire|Monostorszentgyörgy,45.4077,21.3326,Romania,RO,ROU,Timiş,Timis,RO-TM,county,,27.1,193,193,4,Europe/Bucharest,FALSE,1642212534
