city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Klënovo,Klenovo,Klenova,61.0887,36.6481,Russia,RU,RUS,Vologodskaya Oblast’,Vologodskaya Oblast',RU-VLG,province,,2.0,,,5,Europe/Moscow,FALSE,1643439518
Dyagileva,Dyagileva,,57.4367,63.5617,Russia,RU,RUS,Sverdlovskaya Oblast’,Sverdlovskaya Oblast',RU-SVE,province,,6.7,,,5,Asia/Yekaterinburg,FALSE,1643809162
Ulanovo,Ulanovo,,51.7988,104.5199,Russia,RU,RUS,Irkutskaya Oblast’,Irkutskaya Oblast',RU-IRK,province,,8.7,,,5,Asia/Irkutsk,FALSE,1643399560
Vargany,Vargany,,56.0306,45.4406,Russia,RU,RUS,Nizhegorodskaya Oblast’,Nizhegorodskaya Oblast',RU-NIZ,province,,18.2,,,4,Europe/Moscow,FALSE,1643932758
Sandata,Sandata,,46.2708,41.7583,Russia,RU,RUS,Rostovskaya Oblast’,Rostovskaya Oblast',RU-ROS,province,,30.4,,,4,Europe/Moscow,FALSE,1643006332
Uranbash,Uranbash,,52.2667,54.6167,Russia,RU,RUS,Orenburgskaya Oblast’,Orenburgskaya Oblast',RU-ORE,province,,9.5,,,5,Asia/Yekaterinburg,FALSE,1643473659
Uranbash,Uranbash,Voskresenskiy|Voskresenka,52.2500,54.9333,Russia,RU,RUS,Orenburgskaya Oblast’,Orenburgskaya Oblast',RU-ORE,province,,6.8,,,5,Asia/Yekaterinburg,TRUE,1643012370
Krivoyar,Krivoyar,Krivoy Yar|Brunental’|Brunnental’,50.8642,46.4947,Russia,RU,RUS,Saratovskaya Oblast’,Saratovskaya Oblast',RU-SAR,province,,8.0,,,4,Europe/Saratov,FALSE,1643730896
Krivets,Krivets,,52.2582,37.1568,Russia,RU,RUS,Orlovskaya Oblast’,Orlovskaya Oblast',RU-ORL,province,,11.8,,,4,Europe/Moscow,FALSE,1643596473
Krivets,Krivets,,52.7481,37.5288,Russia,RU,RUS,Orlovskaya Oblast’,Orlovskaya Oblast',RU-ORL,province,,9.0,,,5,Europe/Moscow,TRUE,1643729314
Khilkovo,Khilkovo,,56.8356,29.9674,Russia,RU,RUS,Pskovskaya Oblast’,Pskovskaya Oblast',RU-PSK,province,,3.3,,,5,Europe/Moscow,FALSE,1643759921
Krasnyy Khutor,Krasnyy Khutor,Krasny Khutor,54.3812,41.2643,Russia,RU,RUS,Ryazanskaya Oblast’,Ryazanskaya Oblast',RU-RYA,province,,15.9,,,4,Europe/Moscow,FALSE,1643295832
