city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kagogwe,Kagogwe,,-2.0277,29.7398,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,435.9,,,3,Africa/Kigali,TRUE,1646498526
Gahondogo,Gahondogo,,-1.4856,29.6185,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,1143.3,,,3,Africa/Kigali,FALSE,1646254978
Kinteko,Kinteko,,-1.8153,30.0839,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,830.7,,,3,Africa/Kigali,FALSE,1646596851
Kinteko,Kinteko,,-2.2564,29.9858,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,549.7,,,3,Africa/Kigali,FALSE,1646499357
Ruhehe,Ruhehe,,-1.4588,29.6722,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,1511.0,,,3,Africa/Kigali,FALSE,1646823811
Ntimbili,Ntimbili,,-2.0522,29.6386,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,450.9,,,3,Africa/Kigali,FALSE,1646000438
Nkakwa,Nkakwa,,-2.7803,29.6214,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,581.6,,,3,Africa/Kigali,FALSE,1646128477
Nkakwa,Nkakwa,,-2.1528,30.7282,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,364.6,,,3,Africa/Kigali,FALSE,1646601566
Rurenge,Rurenge,,-1.3330,30.2783,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,859.6,,,3,Africa/Kigali,FALSE,1646788378
Rurenge,Rurenge,,-2.0530,30.5681,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,794.0,,,3,Africa/Kigali,TRUE,1646415139
Rurenge,Rurenge,Rulenge|Lulenge,-2.1045,30.5139,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,648.0,,,3,Africa/Kigali,TRUE,1646544669
Rurenge,Rurenge,,-2.2220,30.3650,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,619.1,,,3,Africa/Kigali,TRUE,1646263202
Rurenge,Rurenge,,-2.1622,30.3550,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,567.9,,,3,Africa/Kigali,TRUE,1646293680
Rurenge,Rurenge,,-2.2428,30.5593,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,556.8,,,3,Africa/Kigali,TRUE,1646475785
Rurenge,Rurenge,,-2.2865,30.5082,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,364.6,,,3,Africa/Kigali,TRUE,1646564094
Rurenge,Rurenge,,-2.2055,30.7442,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,358.6,,,3,Africa/Kigali,TRUE,1646835333
Rurenge,Rurenge,,-1.7561,29.9487,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,432.9,,,3,Africa/Kigali,FALSE,1646239561
Gafuku,Gafuku,,-1.6613,29.2816,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,1474.6,,,3,Africa/Kigali,FALSE,1646546163
Cyamabuye,Cyamabuye,,-1.6360,29.4937,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,690.0,,,3,Africa/Kigali,FALSE,1646437095
Burambi,Burambi,,-1.3663,29.7095,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,1312.4,,,3,Africa/Kigali,FALSE,1646078223
Nyanza,Nyanza,,-2.4149,29.0668,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,563.8,,,3,Africa/Kigali,FALSE,1646970869
Nyanza,Nyanza,Colline Nyanza,-2.5738,29.7228,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,760.4,,,3,Africa/Kigali,TRUE,1646130737
Nyanza,Nyanza,,-2.7791,29.7355,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,489.1,,,3,Africa/Kigali,TRUE,1646217341
Nyanza,Nyanza,,-2.1062,29.6505,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,447.6,,,3,Africa/Kigali,TRUE,1646000840
Nyanza,Nyanza,,-2.6867,29.7090,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,412.1,,,3,Africa/Kigali,TRUE,1646473112
Nyanza,Nyanza,,-2.0043,29.6762,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,377.4,,,3,Africa/Kigali,TRUE,1646907677
Nyanza,Nyanza,Kanyanza,-1.8949,29.7353,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,316.7,,,3,Africa/Kigali,TRUE,1646590212
Nyanza,Nyanza,,-2.0133,30.2954,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,637.9,,,3,Africa/Kigali,FALSE,1646860546
Nyanza,Nyanza,Colline Nyanza,-1.8378,30.0426,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,740.7,,,3,Africa/Kigali,FALSE,1646038709
Nyanza,Nyanza,Colline Nyanza,-1.7782,30.1772,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,505.5,,,3,Africa/Kigali,TRUE,1646653936
Nyanza,Nyanza,,-1.7678,29.8055,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,309.2,,,3,Africa/Kigali,TRUE,1646601745
Nyanza,Nyanza,,-1.9983,30.0971,Rwanda,RW,RWA,Kigali,Kigali,RW-01,city,,3223.0,,,2,Africa/Kigali,FALSE,1646959910
Kabaya,Kabaya,,-1.5107,29.6285,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,3246.4,,,2,Africa/Kigali,FALSE,1646712267
Kabaya,Kabaya,,-1.3689,29.7294,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,1312.4,,,3,Africa/Kigali,TRUE,1646583240
Kabaya,Kabaya,,-1.3665,29.7801,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,759.3,,,3,Africa/Kampala,TRUE,1646189687
Kabaya,Kabaya,,-1.6341,29.7779,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,672.6,,,3,Africa/Kigali,TRUE,1646029602
Kabaya,Kabaya,,-2.4039,29.0023,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,859.5,,,3,Africa/Kigali,FALSE,1646830883
Kabaya,Kabaya,,-1.7470,29.5431,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,736.8,,,3,Africa/Kigali,TRUE,1646960898
Kabaya,Kabaya,,-2.1592,29.5830,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,470.3,,,3,Africa/Kigali,TRUE,1646919099
Kabaya,Kabaya,,-2.2888,29.7249,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,1068.4,,,3,Africa/Kigali,FALSE,1646416013
Kigurube,Kigurube,,-2.2044,29.7121,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,652.3,,,3,Africa/Kigali,FALSE,1646990092
Nyirabuhene,Nyirabuhene,,-2.0165,30.2581,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,567.7,,,3,Africa/Kigali,FALSE,1646609309
Kabugomba,Kabugomba,,-1.6670,29.8453,Rwanda,RW,RWA,Northern Province,Northern Province,RW-03,province,,483.1,,,3,Africa/Kigali,FALSE,1646290874
Kagangare,Kagangare,,-2.0970,29.5364,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,368.3,,,3,Africa/Kigali,FALSE,1646643815
Rugabano,Rugabano,,-2.3532,29.0402,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,1005.6,,,3,Africa/Kigali,FALSE,1646486933
Rugabano,Rugabano,,-2.4177,28.9508,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,743.6,,,3,Africa/Kigali,TRUE,1646196263
Rugabano,Rugabano,,-2.1072,29.4844,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,357.4,,,3,Africa/Kigali,TRUE,1646966177
Rugabano,Rugabano,,-1.8989,30.3366,Rwanda,RW,RWA,Eastern Province,Eastern Province,RW-02,province,,702.1,,,3,Africa/Kigali,FALSE,1646476245
Bisanganira,Bisanganira,Bisanganra,-2.4639,28.9264,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,1271.0,,,3,Africa/Kigali,FALSE,1646983210
Jali,Jali,,-2.3382,29.8950,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,603.9,,,3,Africa/Kigali,FALSE,1646606943
Jali,Jali,,-2.7074,29.6427,Rwanda,RW,RWA,Southern Province,Southern Province,RW-05,province,,481.9,,,3,Africa/Kigali,TRUE,1646570559
Nyabitekeli,Nyabitekeli,Colline Nyabiteke|Nyabiteke,-2.3349,29.0382,Rwanda,RW,RWA,Western Province,Western Province,RW-04,province,,1018.3,,,3,Africa/Kigali,FALSE,1646573842
