city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Gustavia,Gustavia,Gustaf|Guthavia,17.8979,-62.8506,"Saint Barthelemy",BL,BLM,,,,,primary,676.5,2300,2300,1,America/St_Barthelemy,FALSE,1652681565
"La Grande Saline","La Grande Saline","La Saline|Quartier de la Grande Saline",17.8972,-62.8150,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652687042
Toiny,Toiny,"Toigny|Quartier de Toiny",17.8972,-62.8000,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652777841
Marigot,Marigot,"Quartier du Marigot",17.9131,-62.8092,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652202247
"Le Gouverneur","Le Gouverneur","Quartier du Gouverneur",17.8878,-62.8387,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652809554
"Petit Cul-de-Sac","Petit Cul-de-Sac","Petit Cul de Sac",17.9026,-62.7964,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652964156
"Terre Neuve","Terre Neuve",,17.9153,-62.8539,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000008
"Quartier du Roi","Quartier du Roi",,17.9078,-62.8419,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652747434
Corossol,Corossol,"Quartier du Corossol",17.9083,-62.8561,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652426340
Public,Public,"Quartier de Public",17.9033,-62.8514,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652884517
"La Petite Saline","La Petite Saline",,17.9011,-62.8211,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000001
Devet,Devet,,17.9019,-62.7978,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000002
"Anse des Cayes","Anse des Cayes",,17.9128,-62.8461,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652596829
Saint-Jean,Saint-Jean,"Quartier Saint-Jean",17.9014,-62.8350,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652730441
"Grand Fond","Grand Fond","Quartier du Grand Fond",17.8967,-62.8047,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652207872
Lurin,Lurin,,17.8925,-62.8397,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652396801
Lorient,Lorient,"Quartier Lorient|Quartier de Lorient",17.9072,-62.8206,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652518386
"Anse des Flamands","Anse des Flamands","Quartier des Flamands",17.9181,-62.8580,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652129141
"Pointe Milou","Pointe Milou",,17.9158,-62.8156,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000006
Merlette,Merlette,,17.9161,-62.8517,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000009
Colombier,Colombier,"Quartier de Colombier",17.9144,-62.8595,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652925648
Carénage,Carenage,,17.8967,-62.8278,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000007
"Mont Jean","Mont Jean",,17.9156,-62.8097,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000005
Camaruche,Camaruche,,17.9056,-62.8133,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000003
Vitet,Vitet,,17.9033,-62.8069,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000004
"Grand Cul-de-Sac","Grand Cul-de-Sac",,17.9081,-62.8058,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652065171
"Anse des Lézards","Anse des Lezards",,17.9161,-62.8444,"Saint Barthelemy",BL,BLM,,,,,,480.9,,,3,America/St_Barthelemy,FALSE,1652000000
