city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Jamestown,Jamestown,,-15.9251,-5.7179,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Saint Helena","Saint Helena",SH-HL,dependency,primary,198.3,714,714,1,Atlantic/St_Helena,FALSE,1654761576
"Edinburgh of the Seven Seas","Edinburgh of the Seven Seas","Settlement of Edinburgh|Edinburgh|Tristan Settlement|Tristan Island Settlement",-37.0675,-12.3105,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Tristan da Cunha","Tristan da Cunha",SH-TA,dependency,admin,2.6,,,2,Atlantic/St_Helena,FALSE,1654661876
Georgetown,Georgetown,,-7.9286,-14.4119,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,Ascension,Ascension,SH-AC,"administrative area",admin,7.1,,,2,Atlantic/St_Helena,FALSE,1654363572
"New Ground","New Ground",,-15.9440,-5.7249,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Saint Helena","Saint Helena",SH-HL,dependency,,81.2,,,4,Atlantic/St_Helena,FALSE,1654294829
Thornton,Thornton,,-7.9333,-14.4167,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,Ascension,Ascension,SH-AC,"administrative area",,7.1,,,5,Atlantic/St_Helena,FALSE,1654533710
"Hutts Gate","Hutts Gate",,-15.9667,-5.7000,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Saint Helena","Saint Helena",SH-HL,dependency,,15.8,,,4,Atlantic/St_Helena,FALSE,1654700254
"Two Boats Village","Two Boats Village",,-7.9354,-14.3662,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,Ascension,Ascension,SH-AC,"administrative area",,7.1,,,5,Atlantic/St_Helena,FALSE,1654499769
Longwood,Longwood,,-15.9492,-5.6857,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Saint Helena","Saint Helena",SH-HL,dependency,,15.8,,,4,Atlantic/St_Helena,FALSE,1654895388
Levelwood,Levelwood,,-15.9667,-5.6833,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Saint Helena","Saint Helena",SH-HL,dependency,,16.2,,,4,Atlantic/St_Helena,FALSE,1654419037
Deadwood,Deadwood,,-15.9333,-5.6833,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Saint Helena","Saint Helena",SH-HL,dependency,,15.8,,,4,Atlantic/St_Helena,FALSE,1654734765
"Half Tree Hollow","Half Tree Hollow",,-15.9372,-5.7200,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Saint Helena","Saint Helena",SH-HL,dependency,,345.9,,,3,Atlantic/St_Helena,FALSE,1654835392
"Wild Cattle Pound","Wild Cattle Pound",,-15.9833,-5.7667,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Saint Helena","Saint Helena",SH-HL,dependency,,3.1,,,5,Atlantic/St_Helena,FALSE,1654908572
Taglate,Taglate,,-15.9667,-5.6833,"Saint Helena, Ascension, and Tristan da Cunha",SH,SHN,"Saint Helena","Saint Helena",SH-HL,dependency,,16.2,,,4,Atlantic/St_Helena,FALSE,1654615424
