city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Marigot,Marigot,,18.0706,-63.0847,"Saint Martin",MF,MAF,,,,,primary,938.4,5700,5700,1,America/Marigot,FALSE,1663133172
Valois,Valois,,18.0817,-63.0744,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663724675
"Mont Saline","Mont Saline",,18.0669,-63.0311,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663885685
"Sandy Ground","Sandy Ground",,18.0585,-63.0994,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663282691
Saint-James,Saint-James,,18.0645,-63.0855,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663000000
"Quartier d’Orléans","Quartier d'Orleans",Orléans,18.0736,-63.0317,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663904267
"Petit Fond","Petit Fond",,18.0828,-63.0363,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663000010
"Morne Emile","Morne Emile",,18.0862,-63.0610,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663139267
"Les Jardins D’Orient Bay","Les Jardins D'Orient Bay",,18.0867,-63.0306,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663370061
Espérance,Esperance,,18.0910,-63.0631,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663000001
Bienvenue,Bienvenue,,18.0850,-63.0786,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663181889
"Friar’s Bay","Friar's Bay",,18.0912,-63.0750,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663537990
"Le Morne Rond","Le Morne Rond",,18.0621,-63.0946,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663000006
Galisbay,Galisbay,,18.0721,-63.0815,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663590739
Concordia,Concordia,,18.0649,-63.0779,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663798921
"Sur l’Étang","Sur l'Etang",,18.0744,-63.0262,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663000008
"Les Deux Frères","Les Deux Freres",,18.0580,-63.0289,"Saint Martin",MF,MAF,,,,,,749.8,,,3,America/Marigot,FALSE,1663000003
Lacolombe,Lacolombe,"La Colombe",18.0599,-63.0719,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663028901
"Mont Vernon","Mont Vernon",,18.0925,-63.0353,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663521730
Helligard,Helligard,,18.0743,-63.0681,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663223509
"Grand Fond Nord","Grand Fond Nord",,18.0661,-63.0396,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663522983
"Quartier D’Orleans Sud","Quartier D'Orleans Sud",,18.0691,-63.0335,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663309774
Bellevue,Bellevue,,18.0567,-63.0840,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663045746
"Morne Valois","Morne Valois",,18.0791,-63.0744,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663023656
"La Belle Créole","La Belle Creole",,18.0716,-63.1142,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663000004
Spring,Spring,,18.0771,-63.0265,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663951676
"La Savane","La Savane",,18.0970,-63.0662,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663798494
"Hameau du Pont","Hameau du Pont",,18.0721,-63.0780,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663232939
"Fond Mahaut","Fond Mahaut",,18.0707,-63.0465,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663074794
"Quartier D’Orleans Ouest","Quartier D'Orleans Ouest",,18.0701,-63.0361,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663532260
Grand-Case,Grand-Case,"Grande Case",18.1023,-63.0556,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663296330
"La Samana","La Samana",,18.0567,-63.1394,"Saint Martin",MF,MAF,,,,,,747.3,,,3,America/Marigot,FALSE,1663000005
Cul-de-Sac,Cul-de-Sac,"Cul de Sac",18.1016,-63.0303,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663361319
"Anse Marcel","Anse Marcel",,18.1105,-63.0375,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663190379
"Grand Fond","Grand Fond",,18.0610,-63.0433,"Saint Martin",MF,MAF,,,,,,1064.8,,,3,America/Marigot,FALSE,1663019042
"Quartier D’Orleans Est","Quartier D'Orleans Est",,18.0752,-63.0292,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663694364
Industrie,Industrie,,18.1032,-63.0472,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663330705
"La Batterie","La Batterie",,18.0893,-63.0779,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663712631
"Mornes de Lake","Mornes de Lake",,18.0669,-63.1320,"Saint Martin",MF,MAF,,,,,,938.4,,,3,America/Marigot,FALSE,1663000002
