city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Serravalle,Serravalle,,43.9717,12.4817,"San Marino",SM,SMR,Serravalle,Serravalle,SM-09,municipality,admin,1033.0,10878,10878,2,Europe/San_Marino,FALSE,1674000000
"Borgo Maggiore","Borgo Maggiore",,43.9450,12.4497,"San Marino",SM,SMR,"Borgo Maggiore","Borgo Maggiore",SM-06,municipality,admin,762.6,6871,6871,2,Europe/San_Marino,FALSE,1674314187
"San Marino","San Marino","San Marino Città|Città di San Marino",43.9346,12.4473,"San Marino",SM,SMR,"San Marino Città","San Marino Citta",SM-07,municipality,primary,569.8,4040,4040,1,Europe/San_Marino,FALSE,1674741947
Domagnano,Domagnano,,43.9500,12.4667,"San Marino",SM,SMR,Domagnano,Domagnano,SM-03,municipality,admin,538.5,3565,3565,2,Europe/San_Marino,FALSE,1674267133
Fiorentino,Fiorentino,,43.9106,12.4556,"San Marino",SM,SMR,Fiorentino,Fiorentino,SM-05,municipality,admin,387.8,2548,2548,2,Europe/San_Marino,FALSE,1674000001
Acquaviva,Acquaviva,,43.9457,12.4185,"San Marino",SM,SMR,Acquaviva,Acquaviva,SM-01,municipality,admin,441.4,2145,2145,2,Europe/San_Marino,FALSE,1674696011
Faetano,Faetano,,43.9256,12.4983,"San Marino",SM,SMR,Faetano,Faetano,SM-04,municipality,admin,151.9,1177,1177,2,Europe/San_Marino,FALSE,1674994606
Montegiardino,Montegiardino,,43.9089,12.4844,"San Marino",SM,SMR,Montegiardino,Montegiardino,SM-08,municipality,admin,292.1,967,967,2,Europe/San_Marino,FALSE,1674000002
Chiesanuova,Chiesanuova,"Poggio di Chiesanuova",43.9061,12.4214,"San Marino",SM,SMR,Chiesanuova,Chiesanuova,SM-02,municipality,admin,203.8,,,2,Europe/San_Marino,FALSE,1674546686
Falciano,Falciano,,43.9850,12.5048,"San Marino",SM,SMR,Serravalle,Serravalle,SM-09,municipality,,1190.6,,,3,Europe/San_Marino,FALSE,1674360401
