city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"São Tomé","Sao Tome","Salazar|Sào Thomé",0.3361,6.7306,"Sao Tome and Principe",ST,STP,"Água Grande","Agua Grande",ST-01,,primary,3851.1,65468,65468,1,Africa/Sao_Tome,FALSE,1678301324
Santana,Santana,Sant’Ana,0.2583,6.7417,"Sao Tome and Principe",ST,STP,Cantagalo,Cantagalo,ST-02,,admin,186.4,10290,10290,2,Africa/Sao_Tome,FALSE,1678081464
Neves,Neves,,0.3592,6.5517,"Sao Tome and Principe",ST,STP,Lembá,Lemba,ST-04,,admin,76.0,10068,10068,2,Africa/Sao_Tome,FALSE,1678563060
Guadalupe,Guadalupe,,0.3800,6.6381,"Sao Tome and Principe",ST,STP,Lobata,Lobata,ST-05,,admin,236.4,7604,7604,2,Africa/Sao_Tome,FALSE,1678998597
Trindade,Trindade,,0.3000,6.6833,"Sao Tome and Principe",ST,STP,Mé-Zóchi,Me-Zochi,ST-06,,admin,432.9,6636,6636,2,Africa/Sao_Tome,FALSE,1678096936
"São João dos Angolares","Sao Joao dos Angolares","São João|São Jão",0.1333,6.6500,"Sao Tome and Principe",ST,STP,Caué,Caue,ST-03,,admin,23.1,3605,3605,2,Africa/Sao_Tome,FALSE,1678826533
Rosema,Rosema,Rozema,0.3511,6.5704,"Sao Tome and Principe",ST,STP,Lembá,Lemba,ST-04,,,76.0,2587,2587,4,Africa/Sao_Tome,FALSE,1678755483
"Santa Catarina","Santa Catarina","Santa Catanna",0.2703,6.4730,"Sao Tome and Principe",ST,STP,Lembá,Lemba,ST-04,,,76.0,1862,1862,4,Africa/Sao_Tome,FALSE,1678509008
Bombon,Bombon,,0.3111,6.7278,"Sao Tome and Principe",ST,STP,"Água Grande","Agua Grande",ST-01,,,4823.6,1754,1754,2,Africa/Sao_Tome,FALSE,1678301949
"Ribeira Afonso","Ribeira Afonso",,0.1957,6.7004,"Sao Tome and Principe",ST,STP,Cantagalo,Cantagalo,ST-02,,,186.4,1621,1621,4,Africa/Sao_Tome,FALSE,1678966348
"Santo António","Santo Antonio","San Antonio|Cidade de Santo António|São Antõnio",1.6367,7.4178,"Sao Tome and Principe",ST,STP,Príncipe,Principe,ST-P,province,admin,58.5,1300,1300,2,Africa/Sao_Tome,FALSE,1678729743
"Água Izé","Agua Ize",,0.2184,6.7273,"Sao Tome and Principe",ST,STP,Cantagalo,Cantagalo,ST-02,,,186.4,1255,1255,4,Africa/Sao_Tome,FALSE,1678690382
Lemos,Lemos,,0.3000,6.7000,"Sao Tome and Principe",ST,STP,Mé-Zóchi,Me-Zochi,ST-06,,,432.9,1136,1136,3,Africa/Sao_Tome,FALSE,1678325702
"Caixão Grande","Caixao Grande",,0.3000,6.7000,"Sao Tome and Principe",ST,STP,Mé-Zóchi,Me-Zochi,ST-06,,,432.9,1079,1079,3,Africa/Sao_Tome,FALSE,1678666280
"Santo Amaro","Santo Amaro",,0.3667,6.6889,"Sao Tome and Principe",ST,STP,Lobata,Lobata,ST-05,,,236.4,1063,1063,3,Africa/Sao_Tome,FALSE,1678180062
"Porto Alegre","Porto Alegre",,0.0333,6.5333,"Sao Tome and Principe",ST,STP,Caué,Caue,ST-03,,,23.1,795,795,4,Africa/Sao_Tome,FALSE,1678513762
"Boa Entrada","Boa Entrada",,0.3519,6.6434,"Sao Tome and Principe",ST,STP,Lobata,Lobata,ST-05,,,252.2,738,738,3,Africa/Sao_Tome,FALSE,1678939223
"Monte Café","Monte Cafe",,0.3000,6.6400,"Sao Tome and Principe",ST,STP,Mé-Zóchi,Me-Zochi,ST-06,,,432.9,684,684,3,Africa/Sao_Tome,FALSE,1678162146
"Diogo Vaz","Diogo Vaz",,0.3167,6.4982,"Sao Tome and Principe",ST,STP,Lembá,Lemba,ST-04,,,76.0,632,632,4,Africa/Sao_Tome,FALSE,1678946920
"Ponta Figo","Ponta Figo",,0.3444,6.5444,"Sao Tome and Principe",ST,STP,Lembá,Lemba,ST-04,,,76.0,615,615,4,Africa/Sao_Tome,FALSE,1678023508
"Santa Clotilde","Santa Clotilde",,0.1160,6.5932,"Sao Tome and Principe",ST,STP,Caué,Caue,ST-03,,,23.1,519,519,4,Africa/Sao_Tome,FALSE,1678630154
"Bela Vista","Bela Vista",,0.3583,6.6889,"Sao Tome and Principe",ST,STP,Lobata,Lobata,ST-05,,,236.4,517,517,3,Africa/Sao_Tome,FALSE,1678517955
Ubabudo,Ubabudo,,0.2620,6.7020,"Sao Tome and Principe",ST,STP,Cantagalo,Cantagalo,ST-02,,,186.4,468,468,4,Africa/Sao_Tome,FALSE,1678637409
Sundi,Sundi,,1.6694,7.3842,"Sao Tome and Principe",ST,STP,Príncipe,Principe,ST-P,province,,58.5,416,416,4,Africa/Sao_Tome,FALSE,1678938076
Lembá,Lemba,,0.2510,6.4671,"Sao Tome and Principe",ST,STP,Lembá,Lemba,ST-04,,,76.0,395,395,4,Africa/Sao_Tome,FALSE,1678642147
"Santa Margarida","Santa Margarida",,0.3245,6.6587,"Sao Tome and Principe",ST,STP,Mé-Zóchi,Me-Zochi,ST-06,,,432.9,384,384,3,Africa/Sao_Tome,FALSE,1678774397
