city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ḩişn al Quhayb,Hisn al Quhayb,,20.1333,41.0667,Saudi Arabia,SA,SAU,Al Bāḩah,Al Bahah,SA-11,municipality,,30.0,,,4,Asia/Riyadh,FALSE,1682774247
Al Ghat,Al Ghat,,19.5500,41.9500,Saudi Arabia,SA,SAU,‘Asīr,'Asir,SA-14,municipality,,45.4,,,4,Asia/Riyadh,FALSE,1682526638
Al Hadā,Al Hada,,21.3686,40.2847,Saudi Arabia,SA,SAU,Makkah al Mukarramah,Makkah al Mukarramah,SA-02,municipality,,31.4,,,4,Asia/Riyadh,FALSE,1682298102
Riyāḑ,Riyad,Riaḍ|Ratḩah|Ratha,20.1000,40.3000,Saudi Arabia,SA,SAU,Makkah al Mukarramah,Makkah al Mukarramah,SA-02,municipality,,16.0,,,4,Asia/Riyadh,FALSE,1682043550
Al Ḩaddādah,Al Haddadah,,17.6083,43.7675,Saudi Arabia,SA,SAU,Najrān,Najran,SA-10,municipality,,10.0,,,5,Asia/Riyadh,FALSE,1682642033
Murabba’,Murabba',,25.3862,38.3542,Saudi Arabia,SA,SAU,Al Madīnah al Munawwarah,Al Madinah al Munawwarah,SA-03,municipality,,24.0,,,4,Asia/Riyadh,FALSE,1682027802
Al Quraynah,Al Quraynah,Al Qarinah|Qaşr al Quraynah,24.4680,46.4200,Saudi Arabia,SA,SAU,Ar Riyāḑ,Ar Riyad,SA-01,municipality,,10.9,,,4,Asia/Riyadh,FALSE,1682621153
Al Ba‘īthah,Al Ba`ithah,Al Bi‘īthah,27.5968,44.0745,Saudi Arabia,SA,SAU,Al Qaşīm,Al Qasim,SA-05,municipality,,1.9,,,5,Asia/Riyadh,FALSE,1682000055
Hashash,Hashash,,19.2000,42.1167,Saudi Arabia,SA,SAU,‘Asīr,'Asir,SA-14,municipality,,29.8,,,4,Asia/Riyadh,FALSE,1682101695
Al Wubayrīyah,Al Wubayriyah,,27.2879,41.2984,Saudi Arabia,SA,SAU,Ḩā’il,Ha'il,SA-06,municipality,,9.4,,,5,Asia/Riyadh,FALSE,1682664988
