city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Dakar,Dakar,,14.6928,-17.4467,Senegal,SN,SEN,Dakar,Dakar,SN-DK,region,primary,14246.0,1438725,1438725,1,Africa/Dakar,FALSE,1686604760
Pikine,Pikine,,14.7500,-17.4000,Senegal,SN,SEN,Dakar,Dakar,SN-DK,region,,13457.4,1170791,1170791,1,Africa/Dakar,FALSE,1686165071
Touba,Touba,,14.8667,-15.8833,Senegal,SN,SEN,Diourbel,Diourbel,SN-DB,region,,519.9,529176,529176,2,Africa/Dakar,FALSE,1686956738
Thiès,Thies,,14.7833,-16.9167,Senegal,SN,SEN,Thiès,Thies,SN-TH,region,admin,535.2,394544,394544,2,Africa/Dakar,FALSE,1686527948
Guédiawaye,Guediawaye,,14.7833,-17.4000,Senegal,SN,SEN,Dakar,Dakar,SN-DK,region,,25358.4,329659,329659,2,Africa/Dakar,FALSE,1686908896
Rufisque,Rufisque,,14.7167,-17.2667,Senegal,SN,SEN,Dakar,Dakar,SN-DK,region,,1319.1,221066,221066,2,Africa/Dakar,FALSE,1686348669
Kaolack,Kaolack,Kaolac|Kaolak,14.1389,-16.0764,Senegal,SN,SEN,Kaolack,Kaolack,SN-KL,region,admin,322.6,172305,172305,2,Africa/Dakar,FALSE,1686256343
Saint-Louis,Saint-Louis,Ndar|SanLuis|St-Louis,16.0333,-16.5000,Senegal,SN,SEN,Saint-Louis,Saint-Louis,SN-SL,region,admin,450.0,154555,154555,2,Africa/Dakar,FALSE,1686542859
Diourbel,Diourbel,Diourbei,14.6550,-16.2314,Senegal,SN,SEN,Diourbel,Diourbel,SN-DB,region,admin,258.6,100445,100445,2,Africa/Dakar,FALSE,1686087214
Richard-Toll,Richard-Toll,,16.4667,-15.6833,Senegal,SN,SEN,Saint-Louis,Saint-Louis,SN-SL,region,,56.3,90000,90000,3,Africa/Dakar,FALSE,1686778591
Louga,Louga,Luga,15.6167,-16.2167,Senegal,SN,SEN,Louga,Louga,SN-LG,region,admin,80.6,82884,82884,2,Africa/Dakar,FALSE,1686269931
Tambacounda,Tambacounda,,13.7689,-13.6672,Senegal,SN,SEN,Tambacounda,Tambacounda,SN-TC,region,admin,26.6,78800,78800,2,Africa/Dakar,FALSE,1686195160
Ziguinchor,Ziguinchor,Zigiunchor|Zighinkor|Zinguinhor,12.5833,-16.2667,Senegal,SN,SEN,Ziguinchor,Ziguinchor,SN-ZG,region,admin,281.1,69646,69646,2,Africa/Dakar,FALSE,1686273643
Mbaké,Mbake,Mbacké,14.7917,-15.9083,Senegal,SN,SEN,Diourbel,Diourbel,SN-DB,region,,519.9,68054,68054,3,Africa/Dakar,FALSE,1686440030
Kolda,Kolda,,12.8833,-14.9500,Senegal,SN,SEN,Kolda,Kolda,SN-KD,region,admin,83.0,62258,62258,2,Africa/Dakar,FALSE,1686219536
Bargny,Bargny,Bargny-Gouddau|Bargny Gouddou,14.6939,-17.2336,Senegal,SN,SEN,Dakar,Dakar,SN-DK,region,,1534.6,51188,51188,3,Africa/Dakar,FALSE,1686924256
Joal-Fadiout,Joal-Fadiout,Fadiouth|Fadiout|Joal,14.1667,-16.8333,Senegal,SN,SEN,Thiès,Thies,SN-TH,region,,419.0,45903,45903,3,Africa/Dakar,FALSE,1686150364
Paoskoto,Paoskoto,Povoskoto,13.7833,-15.8167,Senegal,SN,SEN,Kaolack,Kaolack,SN-KL,region,,195.2,43460,43460,3,Africa/Dakar,FALSE,1686730236
Tivaouane,Tivaouane,Tiwawan,14.9500,-16.8167,Senegal,SN,SEN,Thiès,Thies,SN-TH,region,,172.9,39755,39755,3,Africa/Dakar,FALSE,1686949822
Kaffrine,Kaffrine,,14.1014,-15.5432,Senegal,SN,SEN,Kaffrine,Kaffrine,SN-KA,region,admin,104.0,39357,39357,2,Africa/Dakar,FALSE,1686807341
Dara,Dara,Dahra,15.3500,-15.6000,Senegal,SN,SEN,Louga,Louga,SN-LG,region,,19.2,32941,32941,3,Africa/Dakar,FALSE,1686515842
Malème Hodar,Maleme Hodar,,14.0883,-15.2944,Senegal,SN,SEN,Kaffrine,Kaffrine,SN-KA,region,,48.0,30000,30000,3,Africa/Dakar,FALSE,1686577434
Sali,Sali,Sali Poulang,14.4383,-17.0125,Senegal,SN,SEN,Thiès,Thies,SN-TH,region,,419.0,30000,30000,3,Africa/Dakar,FALSE,1686109073
Sébikhotane,Sebikhotane,Sébikotane|Sébikhoutane,14.7469,-17.1367,Senegal,SN,SEN,Dakar,Dakar,SN-DK,region,,1534.6,27402,27402,3,Africa/Dakar,FALSE,1686663994
Vélingara,Velingara,,13.1500,-14.1167,Senegal,SN,SEN,Kolda,Kolda,SN-KD,region,,63.4,23775,23775,3,Africa/Dakar,FALSE,1686799000
Pout,Pout,Put,14.7739,-17.0603,Senegal,SN,SEN,Thiès,Thies,SN-TH,region,,535.2,23728,23728,3,Africa/Dakar,FALSE,1686073120
Mékhé,Mekhe,Meckhé|Mecké|Méké|Mekké,15.1167,-16.6333,Senegal,SN,SEN,Thiès,Thies,SN-TH,region,,172.9,22944,22944,3,Africa/Dakar,FALSE,1686246700
Bignona,Bignona,Pagnona,12.8167,-16.2333,Senegal,SN,SEN,Ziguinchor,Ziguinchor,SN-ZG,region,,61.3,22237,22237,3,Africa/Dakar,FALSE,1686478890
Salémata,Salemata,,12.6333,-12.8167,Senegal,SN,SEN,Kédougou,Kedougou,SN-KE,region,,13.4,22111,22111,3,Africa/Dakar,FALSE,1686886935
Kobilo,Kobilo,Kabilo,15.9251,-13.5242,Senegal,SN,SEN,Matam,Matam,SN-MT,region,,62.8,21656,21656,3,Africa/Dakar,FALSE,1686275678
Nguékhokh,Nguekhokh,Nguékorh|Nguékokh|Nguékohe|Nguékoh,14.5128,-17.0500,Senegal,SN,SEN,Thiès,Thies,SN-TH,region,,419.0,20053,20053,3,Africa/Dakar,FALSE,1686782757
Kébémer,Kebemer,,15.3667,-16.4333,Senegal,SN,SEN,Louga,Louga,SN-LG,region,,80.5,20000,20000,3,Africa/Dakar,FALSE,1686793316
