city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Vranovina,Vranovina,,44.1008,19.5331,Serbia,RS,SRB,,,,,,18.7,,,4,Europe/Belgrade,TRUE,1688035714
Vranovina,Vranovina,,43.6866,19.9826,Serbia,RS,SRB,,,,,,13.6,,,4,Europe/Belgrade,TRUE,1688849714
Golema Livada,Golema Livada,,42.5114,22.4376,Serbia,RS,SRB,,,,,,109.7,,,4,Europe/Belgrade,FALSE,1688864963
Ðinđuša,Dindusa,Ðinjđuša,43.0079,21.7871,Serbia,RS,SRB,,,,,,58.4,,,4,Europe/Belgrade,FALSE,1688821726
Maleševo,Malesevo,,43.8069,21.0586,Serbia,RS,SRB,,,,,,37.9,,,4,Europe/Belgrade,FALSE,1688026054
Maleševo,Malesevo,,44.6226,21.6076,Serbia,RS,SRB,,,,,,35.1,,,4,Europe/Belgrade,TRUE,1688604899
Maleševo,Malesevo,,43.3417,20.5500,Serbia,RS,SRB,,,,,,9.2,,,5,Europe/Belgrade,TRUE,1688318069
Draževac,Drazevac,Dražvac,43.4500,21.7904,Serbia,RS,SRB,,,,,,57.6,,,4,Europe/Belgrade,FALSE,1688370796
Draževac,Drazevac,,44.0331,19.7042,Serbia,RS,SRB,,,,,,19.0,,,4,Europe/Belgrade,TRUE,1688959072
Kočevci,Kocevci,,42.3715,21.9217,Serbia,RS,SRB,,,,,,1.1,,,5,Europe/Belgrade,FALSE,1688151617
Ravni Del,Ravni Del,Ramni Del|Ravna Del,42.9612,22.2034,Serbia,RS,SRB,,,,,,27.4,,,4,Europe/Belgrade,FALSE,1688949242
Ravni Del,Ravni Del,Ravni Deo,42.7198,21.7736,Serbia,RS,SRB,,,,,,7.4,,,5,Europe/Belgrade,TRUE,1688379962
Virovi,Virovi,,42.3412,22.0509,Serbia,RS,SRB,,,,,,39.1,,,4,Europe/Belgrade,FALSE,1688982031
Lješnica,Ljesnica,,44.5366,21.5931,Serbia,RS,SRB,,,,,,16.6,,,4,Europe/Belgrade,FALSE,1688118567
Štitkovo,Stitkovo,,43.4823,19.9813,Serbia,RS,SRB,,,,,,5.5,,,5,Europe/Belgrade,FALSE,1688213144
Novovići,Novovici,,43.4148,20.3374,Serbia,RS,SRB,,,,,,3.8,,,5,Europe/Belgrade,FALSE,1688697347
Tatrasnica,Tatrasnica,Tatratica,43.4664,22.5047,Serbia,RS,SRB,,,,,,13.3,,,4,Europe/Belgrade,FALSE,1688110668
Semeteš,Semetes,,43.2966,20.7182,Serbia,RS,SRB,,,,,,7.5,,,5,Europe/Belgrade,FALSE,1688754526
Karakondica,Karakondica,,42.4926,22.1977,Serbia,RS,SRB,,,,,,1.4,,,5,Europe/Belgrade,FALSE,1688426908
Crnoklište,Crnokliste,Crnokljište|Crnoklišle,43.2338,22.4676,Serbia,RS,SRB,,,,,,16.5,,,4,Europe/Belgrade,FALSE,1688483187
Trnski Odorovci,Trnski Odorovci,Odorovci|Trnsko Odbrovce|Trnsko Odorovce|Trnsko Odorovci,42.9422,22.6200,Serbia,RS,SRB,,,,,,5.7,,,4,Europe/Belgrade,FALSE,1688288082
Rakov Dol,Rakov Dol,,42.4078,22.4431,Serbia,RS,SRB,,,,,,7.0,,,5,Europe/Belgrade,FALSE,1688704957
Rakov Dol,Rakov Dol,Rakovdo,42.9281,22.4191,Serbia,RS,SRB,,,,,,0.7,,,5,Europe/Belgrade,TRUE,1688947055
Rataj Mala,Rataj Mala,,43.6554,21.0534,Serbia,RS,SRB,,,,,,73.6,,,4,Europe/Belgrade,FALSE,1688084524
Palještica,Paljestica,Palješnica,43.3653,20.7375,Serbia,RS,SRB,,,,,,26.6,,,4,Europe/Belgrade,FALSE,1688974476
Zekanovići,Zekanovici,,44.0417,19.7672,Serbia,RS,SRB,,,,,,19.5,,,4,Europe/Belgrade,FALSE,1688767047
Mala Lomnica,Mala Lomnica,Gornja Lomnica,43.0075,22.1460,Serbia,RS,SRB,,,,,,19.3,,,4,Europe/Belgrade,FALSE,1688578354
Tominac,Tominac,,43.6611,20.8539,Serbia,RS,SRB,,,,,,56.7,,,4,Europe/Belgrade,FALSE,1688448142
