city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Belgrade,Belgrade,Singidunum|Belgrad|Belgrado|Beograd,44.8200,20.4600,Serbia,RS,SRB,Beograd,Beograd,RS-00,city,primary,3327.4,1197714,1197714,1,Europe/Belgrade,FALSE,1688374696
"Novi Sad","Novi Sad","Vásáros-Várad|Varadinum Petri|Neoplanta|Újvidék|Neusatz|Pétervárad|Nový Sad|Ó-péterváradja",45.2542,19.8425,Serbia,RS,SRB,"Novi Sad","Novi Sad",RS-110,city,admin,3578.2,380000,380000,2,Europe/Belgrade,FALSE,1688169087
Niš,Nis,Nissa|Nisch|Nich|Nish,43.3208,21.8958,Serbia,RS,SRB,Niš,Nis,RS-104,city,admin,306.8,183164,183164,2,Europe/Belgrade,FALSE,1688661068
Zemun,Zemun,Semlin|Zimony|Zeman|Taurunum|Zemlén,44.8500,20.4000,Serbia,RS,SRB,Beograd,Beograd,RS-00,city,minor,1052.3,161596,161596,2,Europe/Belgrade,FALSE,1688453076
Kragujevac,Kragujevac,Krabujevac|Kragiyevac,44.0101,20.9172,Serbia,RS,SRB,Kragujevac,Kragujevac,RS-81,city,admin,174.1,150623,150623,2,Europe/Belgrade,FALSE,1688832387
Šabac,Sabac,Chabats,44.7500,19.7000,Serbia,RS,SRB,Šabac,Sabac,RS-131,city,admin,132.6,105432,105432,2,Europe/Belgrade,FALSE,1688640421
Smederevo,Smederevo,Semendria|Smedere,44.6667,20.9333,Serbia,RS,SRB,Smederevo,Smederevo,RS-136,city,admin,202.2,97930,97930,2,Europe/Belgrade,FALSE,1688344019
Valjevo,Valjevo,,44.2667,19.8833,Serbia,RS,SRB,Valjevo,Valjevo,RS-156,city,admin,99.8,90312,90312,2,Europe/Belgrade,FALSE,1688926375
Loznica,Loznica,,44.5333,19.2258,Serbia,RS,SRB,Loznica,Loznica,RS-94,city,admin,141.2,86413,86413,2,Europe/Belgrade,FALSE,1688071221
Pančevo,Pancevo,Vojlovica|Panciova|Hertelendyfalva|Wojlowitza|Wojlowitz|Pancsal|Pancsaly|Pancsova|Marienfeld|Pantschowa|Banstadt,44.8706,20.6403,Serbia,RS,SRB,Pančevo,Pancevo,RS-114,city,admin,493.3,73401,73401,2,Europe/Belgrade,FALSE,1688356974
"Sremska Mitrovica","Sremska Mitrovica","Syrmisch-Mitrowitz|Strema Mitrovica|Mitrowitz|Mitrovica|Mitrovicza|Szávaszentdemeter|Sirmium|Mitrovicz|Mitrovitza|Sirmion|Srijemska Mitrovica|Mitrovic",44.9700,19.6125,Serbia,RS,SRB,"Sremska Mitrovica","Sremska Mitrovica",RS-141,city,admin,95.2,72580,72580,2,Europe/Belgrade,FALSE,1688974283
"Stara Pazova","Stara Pazova",Pazua|Ópázova|Alt-Pazua|Alt-Pasua,44.9833,20.1667,Serbia,RS,SRB,"Stara Pazova","Stara Pazova",RS-143,municipality,admin,208.8,71931,71931,2,Europe/Belgrade,FALSE,1688866909
Čačak,Cacak,,43.8833,20.3500,Serbia,RS,SRB,Čačak,Cacak,RS-56,city,admin,113.0,71883,71883,2,Europe/Belgrade,FALSE,1688216463
Požarevac,Pozarevac,Požerevac,44.6167,21.1833,Serbia,RS,SRB,Požarevac,Pozarevac,RS-120,city,admin,142.1,68648,68648,2,Europe/Belgrade,FALSE,1688653137
Zrenjanin,Zrenjanin,"Nagybecskerek|Veliki Bečkerek|Petrovgrad|Becskerek|Gross-Betschkerek|Becicherecu Mare|Betschkerek",45.3833,20.3894,Serbia,RS,SRB,Zrenjanin,Zrenjanin,RS-173,city,admin,351.6,67129,67129,2,Europe/Belgrade,FALSE,1688827840
Kraljevo,Kraljevo,Rankovićevo,43.7236,20.6875,Serbia,RS,SRB,Kraljevo,Kraljevo,RS-82,city,admin,43.6,66688,66688,2,Europe/Belgrade,FALSE,1688625234
