city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Victoria,Victoria,"Port Victoria|Mahé",-4.6231,55.4525,Seychelles,SC,SYC,"Mont Buxton","Mont Buxton",SC-17,district,primary,1228.9,24701,24701,1,Indian/Mahe,FALSE,1690193579
"Anse Royale","Anse Royale","Anse Royal",-4.7333,55.5167,Seychelles,SC,SYC,"Anse Royale","Anse Royale",SC-05,district,,695.3,,,3,Indian/Mahe,FALSE,1690997666
"La Réunion","La Reunion",,-4.3500,55.8333,Seychelles,SC,SYC,"La Digue","La Digue",SC-15,district,,364.3,,,3,Indian/Mahe,FALSE,1690678148
Cascade,Cascade,,-4.6667,55.5000,Seychelles,SC,SYC,Cascade,Cascade,SC-11,district,,468.1,,,3,Indian/Mahe,FALSE,1690037303
"De Quincey Village","De Quincey Village","De Quincy Village",-4.6026,55.4569,Seychelles,SC,SYC,"Anse Etoile","Anse Etoile",SC-03,district,,638.8,,,3,Indian/Mahe,FALSE,1690526200
Misere,Misere,"La Misere",-4.6667,55.4667,Seychelles,SC,SYC,"Grand Anse Mahe","Grand Anse Mahe",SC-13,district,,244.5,,,3,Indian/Mahe,FALSE,1690825163
Takamaka,Takamaka,,-4.7667,55.5000,Seychelles,SC,SYC,Takamaka,Takamaka,SC-23,district,,226.3,,,3,Indian/Mahe,FALSE,1690908825
L’Espérance,L'Esperance,,-4.7167,55.4833,Seychelles,SC,SYC,"Anse Boileau","Anse Boileau",SC-02,district,,325.2,,,3,Indian/Mahe,FALSE,1690684529
"Anse Boileau","Anse Boileau",,-4.7167,55.4833,Seychelles,SC,SYC,"Anse Boileau","Anse Boileau",SC-02,district,,325.2,,,3,Indian/Mahe,FALSE,1690820640
Machabee,Machabee,,-4.5667,55.4500,Seychelles,SC,SYC,Glacis,Glacis,SC-12,district,,581.4,,,3,Indian/Mahe,FALSE,1690170866
"Anse Volbert Village","Anse Volbert Village",,-4.3167,55.7333,Seychelles,SC,SYC,"Baie Sainte Anne","Baie Sainte Anne",SC-07,district,,246.4,,,3,Indian/Mahe,FALSE,1690796024
"Beau Vallon","Beau Vallon",,-4.6000,55.4167,Seychelles,SC,SYC,"Beau Vallon","Beau Vallon",SC-08,district,,581.4,,,3,Indian/Mahe,FALSE,1690680087
"Bel Ombre","Bel Ombre","Belle Ombre",-4.6167,55.4167,Seychelles,SC,SYC,"Bel Ombre","Bel Ombre",SC-10,district,,400.9,,,3,Indian/Mahe,FALSE,1690459274
"Port Glaud","Port Glaud",,-4.6667,55.4167,Seychelles,SC,SYC,"Port Glaud","Port Glaud",SC-21,district,,114.2,,,4,Indian/Mahe,FALSE,1690948623
