city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kenyema,Kenyema,,8.4702,-11.4131,Sierra Leone,SL,SLE,Eastern,Eastern,SL-E,province,,72.7,,,4,Africa/Freetown,FALSE,1694860710
Mafenda,Mafenda,,9.6844,-11.5714,Sierra Leone,SL,SLE,Northern,Northern,SL-N,province,,59.3,,,4,Africa/Freetown,FALSE,1694073701
Magbutu,Magbutu,,8.3634,-12.0940,Sierra Leone,SL,SLE,Northern,Northern,SL-N,province,,88.7,,,4,Africa/Freetown,FALSE,1694518628
Jaiyahun Junction,Jaiyahun Junction,Sieromco Mokanje,7.9001,-12.1936,Sierra Leone,SL,SLE,Southern,Southern,SL-S,province,,54.3,,,4,Africa/Freetown,FALSE,1694560766
Karafaia,Karafaia,,9.2811,-10.7544,Sierra Leone,SL,SLE,Northern,Northern,SL-N,province,,23.3,,,4,Africa/Freetown,FALSE,1694935317
Kpasambu,Kpasambu,Kpasumba,7.2794,-11.6114,Sierra Leone,SL,SLE,Southern,Southern,SL-S,province,,80.0,,,4,Africa/Freetown,FALSE,1694233629
Barve,Barve,,8.0428,-10.9803,Sierra Leone,SL,SLE,Eastern,Eastern,SL-E,province,,129.6,,,4,Africa/Freetown,FALSE,1694108328
Sagbe,Sagbe,,8.4212,-11.0811,Sierra Leone,SL,SLE,Eastern,Eastern,SL-E,province,,70.2,,,4,Africa/Freetown,FALSE,1694405215
Sagbe,Sagbe,,8.6290,-11.1114,Sierra Leone,SL,SLE,Eastern,Eastern,SL-E,province,,70.2,,,4,Africa/Freetown,TRUE,1694845687
Cockerill,Cockerill,,8.4757,-13.2710,Sierra Leone,SL,SLE,Western Area,Western Area,SL-W,province,,18754.7,,,2,Africa/Freetown,FALSE,1694208383
Gnanyahun,Gnanyahun,Naiahun,7.5279,-11.1954,Sierra Leone,SL,SLE,Eastern,Eastern,SL-E,province,,37.1,,,4,Africa/Freetown,FALSE,1694464793
Sakola,Sakola,,7.2713,-11.5207,Sierra Leone,SL,SLE,Southern,Southern,SL-S,province,,80.0,,,4,Africa/Freetown,FALSE,1694282367
Kagbenta,Kagbenta,,9.5060,-11.9942,Sierra Leone,SL,SLE,Northern,Northern,SL-N,province,,59.1,,,4,Africa/Freetown,FALSE,1694327335
Bonge,Bonge,,8.0725,-12.0475,Sierra Leone,SL,SLE,Southern,Southern,SL-S,province,,32.6,,,4,Africa/Freetown,FALSE,1694598949
