city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Singapore,Singapore,"Tumasik|Singapore City",1.3000,103.8000,Singapore,SG,SGP,,,,,primary,11439.8,5983000,5638700,1,Asia/Singapore,FALSE,1702341327
"Kampong Seraya","Kampong Seraya",,1.2833,103.7333,Singapore,SG,SGP,,,,,,5610.7,,,2,Asia/Singapore,FALSE,1702008820
"Banta Tengeh","Banta Tengeh",,1.3500,103.6500,Singapore,SG,SGP,,,,,,1.5,,,5,Asia/Singapore,FALSE,1702526255
"Kampong Serangoon Kechil","Kampong Serangoon Kechil",,1.3900,103.9072,Singapore,SG,SGP,,,,,,42990.8,,,2,Asia/Singapore,FALSE,1702159723
"Kampong Perigi Piau","Kampong Perigi Piau",,1.2333,103.7667,Singapore,SG,SGP,,,,,,0,,,5,Asia/Singapore,FALSE,1702353175
"Nee Soon Estate","Nee Soon Estate","Nee Soon|Nee Soon Village",1.4028,103.8178,Singapore,SG,SGP,,,,,,10591.9,,,2,Asia/Singapore,FALSE,1702726410
"Kampong Pengkalan Kundor","Kampong Pengkalan Kundor",,1.4100,103.8444,Singapore,SG,SGP,,,,,,10591.9,,,2,Asia/Singapore,FALSE,1702503891
"Seletar Hills Estate","Seletar Hills Estate",,1.3844,103.8681,Singapore,SG,SGP,,,,,,26515.7,,,2,Asia/Singapore,FALSE,1702008470
"Tanjong Pagar","Tanjong Pagar",,1.2833,103.8333,Singapore,SG,SGP,,,,,,10887.9,,,2,Asia/Singapore,FALSE,1702475154
"Kampong Batu Koyok","Kampong Batu Koyok",,1.3969,104.0478,Singapore,SG,SGP,,,,,,142.3,,,4,Asia/Singapore,FALSE,1702781513
"Jurong West","Jurong West","Jurong West New Town",1.3445,103.7068,Singapore,SG,SGP,,,,,,15882.0,,,2,Asia/Singapore,FALSE,1702155480
"Kampong Sudong","Kampong Sudong",,1.2064,103.7286,Singapore,SG,SGP,,,,,,0,,,5,Asia/Singapore,FALSE,1702785675
Tengah,Tengah,"Kampong Tengah",1.3719,103.7039,Singapore,SG,SGP,,,,,,3268.5,,,2,Asia/Singapore,FALSE,1702564792
Marsiling,Marsiling,,1.4411,103.7708,Singapore,SG,SGP,,,,,,18823.7,,,2,Asia/Singapore,FALSE,1702174751
"Ama Keng","Ama Keng","Ama Keng Village",1.4044,103.7067,Singapore,SG,SGP,,,,,,207.7,,,3,Asia/Singapore,FALSE,1702717307
"Woodlands New Town","Woodlands New Town",Woodlands,1.4363,103.7867,Singapore,SG,SGP,,,,,,23274.2,,,2,Asia/Singapore,FALSE,1702346881
"Kampong Ladang","Kampong Ladang",,1.3333,103.9000,Singapore,SG,SGP,,,,,,13261.4,,,2,Asia/Singapore,FALSE,1702951918
"Kampong Ladang","Kampong Ladang",,1.4044,104.0333,Singapore,SG,SGP,,,,,,142.3,,,4,Asia/Singapore,TRUE,1702039902
"Ang Mo Kio New Town","Ang Mo Kio New Town",,1.3803,103.8397,Singapore,SG,SGP,,,,,,12719.3,,,2,Asia/Singapore,FALSE,1702934509
"Kampong Telok","Kampong Telok",,1.3833,103.6500,Singapore,SG,SGP,,,,,,2534.7,,,2,Asia/Singapore,FALSE,1702113035
"Choa Chu Kang New Town","Choa Chu Kang New Town","Choa Chu Kang",1.3833,103.7500,Singapore,SG,SGP,,,,,,35846.8,,,2,Asia/Singapore,FALSE,1702901439
Seletar,Seletar,,1.4052,103.8663,Singapore,SG,SGP,,,,,,6731.3,,,2,Asia/Singapore,FALSE,1702276981
