city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Beňadovo,Benadovo,,49.4333,19.3500,Slovakia,SK,SVK,Žilina,Zilina,SK-ZI,district,,140.0,938,938,3,Europe/Bratislava,FALSE,1703450158
Párnica,Parnica,,49.2000,19.2000,Slovakia,SK,SVK,Žilina,Zilina,SK-ZI,district,,18.0,936,936,3,Europe/Bratislava,FALSE,1703429172
Liptovská Kokava,Liptovska Kokava,,49.0833,19.8167,Slovakia,SK,SVK,Žilina,Zilina,SK-ZI,district,,47.0,934,934,3,Europe/Bratislava,FALSE,1703581783
Podlužany,Podluzany,,48.7708,18.2392,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,,66.6,934,934,3,Europe/Bratislava,TRUE,1703022051
Poloma,Poloma,,49.1667,20.8278,Slovakia,SK,SVK,Prešov,Presov,SK-PV,district,,106.1,933,933,3,Europe/Bratislava,FALSE,1703792652
Veliká nad Ipľom,Velika nad Ipl'om,Vilke,48.2667,19.6167,Slovakia,SK,SVK,Banská Bystrica,Banska Bystrica,SK-BC,district,,38.2,932,932,3,Europe/Bratislava,FALSE,1703091876
Sklabiná,Sklabina,,48.1667,19.3667,Slovakia,SK,SVK,Banská Bystrica,Banska Bystrica,SK-BC,district,,94.2,931,931,3,Europe/Bratislava,FALSE,1703261031
Bracovce,Bracovce,,48.6333,21.8333,Slovakia,SK,SVK,Košice,Kosice,SK-KI,district,,96.8,931,931,3,Europe/Bratislava,FALSE,1703086605
Rapovce,Rapovce,Rapp,48.2667,19.6833,Slovakia,SK,SVK,Banská Bystrica,Banska Bystrica,SK-BC,district,,104.8,930,930,3,Europe/Bratislava,FALSE,1703224669
Rúbaň,Ruban,Fyr,47.9333,18.4000,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,,57.5,926,926,3,Europe/Bratislava,FALSE,1703873236
Holumnica,Holumnica,,49.2333,20.3583,Slovakia,SK,SVK,Prešov,Presov,SK-PV,district,,55.1,925,925,3,Europe/Bratislava,FALSE,1703867775
Lúky,Luky,Luki,49.1917,18.2233,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,,119.4,924,924,3,Europe/Bratislava,FALSE,1703942451
Betliar,Betliar,,48.7000,20.5167,Slovakia,SK,SVK,Košice,Kosice,SK-KI,district,,37.4,923,923,3,Europe/Bratislava,FALSE,1703189011
Vojany,Vojany,Vajany,48.5667,21.9833,Slovakia,SK,SVK,Košice,Kosice,SK-KI,district,,84.1,920,920,3,Europe/Bratislava,FALSE,1703757538
Jarabina,Jarabina,Jarembina|Orjabina|Jareminka,49.3333,20.6667,Slovakia,SK,SVK,Prešov,Presov,SK-PV,district,,40.1,919,919,3,Europe/Bratislava,FALSE,1703116069
Muránska Dlhá Lúka,Muranska Dlha Luka,,48.7167,20.0833,Slovakia,SK,SVK,Banská Bystrica,Banska Bystrica,SK-BC,district,,49.2,918,918,3,Europe/Bratislava,FALSE,1703923333
Dulov,Dulov,,49.0333,18.2500,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,,166.0,918,918,3,Europe/Bratislava,FALSE,1703946199
Zvončín,Zvoncin,,48.4000,17.5042,Slovakia,SK,SVK,Trnava,Trnava,SK-TA,district,,111.2,917,917,3,Europe/Bratislava,FALSE,1703602761
Šelpice,Selpice,,48.4333,17.5333,Slovakia,SK,SVK,Trnava,Trnava,SK-TA,district,,90.2,917,917,3,Europe/Bratislava,FALSE,1703584486
Janíky,Janiky,Jánok,48.1406,17.3950,Slovakia,SK,SVK,Trnava,Trnava,SK-TA,district,,80.7,915,915,3,Europe/Bratislava,FALSE,1703272741
Veľký Lipník,Vel'ky Lipnik,Velikij Lipnik,49.3667,20.5167,Slovakia,SK,SVK,Prešov,Presov,SK-PV,region,,33.2,914,914,3,Europe/Bratislava,FALSE,1703444332
Podkonice,Podkonice,,48.8000,19.2500,Slovakia,SK,SVK,Banská Bystrica,Banska Bystrica,SK-BC,district,,32.1,914,914,3,Europe/Bratislava,FALSE,1703813740
Kokošovce,Kokosovce,,48.9500,21.3333,Slovakia,SK,SVK,Prešov,Presov,SK-PV,district,,80.8,914,914,3,Europe/Bratislava,FALSE,1703538836
Dlhá nad Váhom,Dlha nad Vahom,Vág-Hosszúfalu,48.1722,17.8603,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,,100.7,913,913,3,Europe/Bratislava,FALSE,1703315188
Padáň,Padan,Padány,47.9319,17.6667,Slovakia,SK,SVK,Trnava,Trnava,SK-TA,district,,53.7,912,912,3,Europe/Bratislava,FALSE,1703009340
