city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Bratislava,Bratislava,Preszburg|Prešpurk|Prešporok|Presburg|Bratislava-mesto|Pressburg|Pozsony,48.1439,17.1097,Slovakia,SK,SVK,Bratislava,Bratislava,SK-BL,district,primary,1293.5,475503,475503,1,Europe/Bratislava,FALSE,1703195001
Košice,Kosice,Kassa|Kaschau,48.7167,21.2500,Slovakia,SK,SVK,Košice,Kosice,SK-KI,district,admin,945.2,229040,229040,2,Europe/Bratislava,FALSE,1703452690
Petržalka,Petrzalka,Engerau,48.1333,17.1167,Slovakia,SK,SVK,Bratislava,Bratislava,SK-BL,district,,3974.9,114000,114000,2,Europe/Bratislava,FALSE,1703430611
Žilina,Zilina,Żylina|Sillein|Zsolna,49.2228,18.7400,Slovakia,SK,SVK,Žilina,Zilina,SK-ZI,district,admin,1032.8,108000,82656,2,Europe/Bratislava,FALSE,1703289183
Prešov,Presov,Eperjes,49.0017,21.2394,Slovakia,SK,SVK,Prešov,Presov,SK-PV,district,admin,1204.4,84824,84824,2,Europe/Bratislava,FALSE,1703231427
Nitra,Nitra,Nyitra|Neutra,48.3069,18.0864,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,admin,759.4,77610,77610,2,Europe/Bratislava,FALSE,1703890031
"Banská Bystrica","Banska Bystrica",Beszterczebánya,48.7353,19.1453,Slovakia,SK,SVK,"Banská Bystrica","Banska Bystrica",SK-BC,district,admin,735.4,76018,76018,2,Europe/Bratislava,FALSE,1703015198
Trnava,Trnava,Nagyszombat|Tyrnau,48.3775,17.5883,Slovakia,SK,SVK,Trnava,Trnava,SK-TA,district,admin,891.9,63803,63803,2,Europe/Bratislava,FALSE,1703497997
Trenčín,Trencin,Trentsen|Trentschin|Trencsén,48.8919,18.0367,Slovakia,SK,SVK,Trenčin,Trencin,SK-TC,district,admin,667.6,54740,54740,2,Europe/Bratislava,FALSE,1703029695
Martin,Martin,"Turčiansky Svätý Martin",49.0650,18.9219,Slovakia,SK,SVK,Žilina,Zilina,SK-ZI,district,minor,755.0,51139,51139,3,Europe/Bratislava,FALSE,1703554366
Poprad,Poprad,Deutschendorf,49.0594,20.2975,Slovakia,SK,SVK,Prešov,Presov,SK-PV,district,minor,790.0,49855,49855,3,Europe/Bratislava,FALSE,1703451549
Prievidza,Prievidza,,48.7711,18.6217,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,minor,1045.4,45017,45017,3,Europe/Bratislava,FALSE,1703497240
Zvolen,Zvolen,Zólyom|Altsohl,48.5706,19.1175,Slovakia,SK,SVK,"Banská Bystrica","Banska Bystrica",SK-BC,district,minor,403.6,39844,39844,3,Europe/Bratislava,FALSE,1703102070
"Považská Bystrica","Povazska Bystrica","Povazske Bystraica|Bystrica|Vagbeszterce|Waagbistritz",49.1139,18.4417,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,minor,426.7,38641,38641,3,Europe/Bratislava,FALSE,1703729563
"Nové Zámky","Nove Zamky",Neuhäusel|Neuhaus|Neuhaeusel|Érsekújvár,47.9856,18.1578,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,minor,520.8,37791,37791,3,Europe/Bratislava,FALSE,1703734556
Michalovce,Michalovce,,48.7553,21.9133,Slovakia,SK,SVK,Košice,Kosice,SK-KI,district,minor,695.0,36704,36704,3,Europe/Bratislava,FALSE,1703150232
"Spišská Nová Ves","Spisska Nova Ves",Igló|Neudorf|Spišská,48.9439,20.5675,Slovakia,SK,SVK,Košice,Kosice,SK-KI,district,minor,531.4,35431,35431,3,Europe/Bratislava,FALSE,1703217196
Komárno,Komarno,Komorn|Komárom|Komarnom,47.7633,18.1283,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,,312.9,32287,32287,3,Europe/Bratislava,FALSE,1703927453
Levice,Levice,Leva,48.2164,18.6081,Slovakia,SK,SVK,Nitra,Nitra,SK-NI,district,minor,524.2,31974,31974,3,Europe/Bratislava,FALSE,1703699284
