city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Jelševica,Jelsevica,,46.1833,14.9833,Slovenia,SI,SVN,Zagorje ob Savi,Zagorje ob Savi,SI-142,municipality,,41.3,,,4,Europe/Ljubljana,FALSE,1705035142
Knežja Lipa,Knezja Lipa,,45.5504,15.0092,Slovenia,SI,SVN,Kočevje,Kocevje,SI-048,municipality,,1.2,,,5,Europe/Ljubljana,FALSE,1705251979
Sveča,Sveca,,46.3167,15.7333,Slovenia,SI,SVN,Majšperk,Majsperk,SI-069,municipality,,41.5,,,4,Europe/Ljubljana,FALSE,1705940843
Dolnja Topla Reber,Dolnja Topla Reber,Topla Reber,45.7520,14.9617,Slovenia,SI,SVN,Kočevje,Kocevje,SI-048,municipality,,0.9,,,5,Europe/Ljubljana,FALSE,1705486121
Grintavica,Grintavica,,46.3375,13.8400,Slovenia,SI,SVN,Bohinj,Bohinj,SI-004,municipality,,9.3,,,5,Europe/Ljubljana,FALSE,1705895310
Zavrh pri Borovnici,Zavrh pri Borovnici,Zaver|Zavrh,45.9028,14.3464,Slovenia,SI,SVN,Vrhnika,Vrhnika,SI-140,municipality,,9.6,,,5,Europe/Ljubljana,FALSE,1705994494
Robnik,Robnik,,46.6092,15.3708,Slovenia,SI,SVN,Podvelka,Podvelka,SI-093,municipality,,15.6,,,4,Europe/Ljubljana,FALSE,1705539911
Goreljce,Goreljce,,46.1167,15.3167,Slovenia,SI,SVN,Laško,Lasko,SI-057,municipality,,33.5,,,4,Europe/Ljubljana,FALSE,1705791504
Srednji Javrovec,Srednji Javrovec,,45.9681,15.6000,Slovenia,SI,SVN,Brežice,Brezice,SI-009,municipality,,37.7,,,4,Europe/Ljubljana,FALSE,1705544628
Krotica,Krotica,,46.3731,13.7472,Slovenia,SI,SVN,Bovec,Bovec,SI-006,municipality,,1.4,,,5,Europe/Ljubljana,FALSE,1705785340
Vrh pri Poljanah,Vrh pri Poljanah,Vrh,45.8116,14.6967,Slovenia,SI,SVN,Dobrepolje,Dobrepolje,SI-020,municipality,,41.0,,,4,Europe/Ljubljana,FALSE,1705089410
Breg,Breg,,46.4000,14.1333,Slovenia,SI,SVN,Žirovnica,Zirovnica,SI-192,municipality,,113.2,,,4,Europe/Ljubljana,FALSE,1705736744
Koče,Koce,,45.5979,14.8021,Slovenia,SI,SVN,Kočevje,Kocevje,SI-048,municipality,,2.0,,,5,Europe/Ljubljana,FALSE,1705876603
Visejec,Visejec,,45.8161,14.8644,Slovenia,SI,SVN,Žužemberk,Zuzemberk,SI-193,municipality,,19.8,,,4,Europe/Ljubljana,FALSE,1705310924
Reka,Reka,,46.2983,15.6786,Slovenia,SI,SVN,Makole,Makole,SI-198,municipality,,27.2,,,4,Europe/Ljubljana,FALSE,1705486473
Veliki Rakitovec,Veliki Rakitovec,,46.1889,15.4578,Slovenia,SI,SVN,Šentjur,Sentjur,SI-120,municipality,,59.9,,,4,Europe/Ljubljana,FALSE,1705619782
Loke pri Zagorju,Loke pri Zagorju,Loke,46.1553,15.0494,Slovenia,SI,SVN,Zagorje ob Savi,Zagorje ob Savi,SI-142,municipality,,25.0,,,4,Europe/Ljubljana,FALSE,1705370126
Javorica,Javorica,,46.2364,13.7217,Slovenia,SI,SVN,Tolmin,Tolmin,SI-128,municipality,,17.0,,,4,Europe/Ljubljana,FALSE,1705924511
Mrzli Studenec,Mrzli Studenec,,46.3497,13.9908,Slovenia,SI,SVN,Bled,Bled,SI-003,municipality,,1.4,,,5,Europe/Ljubljana,FALSE,1705482619
Galicija,Galicija,,46.2992,15.1956,Slovenia,SI,SVN,Žalec,Zalec,SI-190,municipality,,223.0,,,3,Europe/Ljubljana,FALSE,1705401696
Hrušica,Hrusica,,45.8644,14.1122,Slovenia,SI,SVN,Ajdovščina,Ajdovscina,SI-001,municipality,,14.6,,,4,Europe/Ljubljana,FALSE,1705345908
Gradnik,Gradnik,,45.1833,15.2333,Slovenia,SI,SVN,Črnomelj,Crnomelj,SI-017,municipality,,22.9,,,4,Europe/Zagreb,FALSE,1705527170
Nova Gora,Nova Gora,,45.6908,15.0935,Slovenia,SI,SVN,Dolenjske Toplice,Dolenjske Toplice,SI-157,municipality,,16.6,,,4,Europe/Ljubljana,FALSE,1705709366
Mlinari,Mlinari,,46.3067,14.6989,Slovenia,SI,SVN,Luče,Luce,SI-067,municipality,,10.5,,,4,Europe/Ljubljana,FALSE,1705772554
Majnik,Majnik,,45.9564,13.9792,Slovenia,SI,SVN,Idrija,Idrija,SI-036,municipality,,3.1,,,5,Europe/Ljubljana,FALSE,1705995548
Stara Vrhnika,Stara Vrhnika,,45.9742,14.2811,Slovenia,SI,SVN,Vrhnika,Vrhnika,SI-140,municipality,,263.9,,,3,Europe/Ljubljana,FALSE,1705558509
Črnelavci,Crnelavci,Črneslavci,46.6708,16.1397,Slovenia,SI,SVN,Murska Sobota,Murska Sobota,SI-080,urban municipality,,483.9,,,3,Europe/Ljubljana,FALSE,1705555104
Lisec,Lisec,,46.1938,13.8384,Slovenia,SI,SVN,Tolmin,Tolmin,SI-128,municipality,,5.6,,,5,Europe/Ljubljana,FALSE,1705582776
Makobeti,Makobeti,,45.9003,13.9658,Slovenia,SI,SVN,Ajdovščina,Ajdovscina,SI-001,municipality,,18.7,,,4,Europe/Ljubljana,FALSE,1705394843
Korte,Korte,,46.0847,15.5431,Slovenia,SI,SVN,Kozje,Kozje,SI-051,municipality,,65.3,,,4,Europe/Ljubljana,FALSE,1705840961
