city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Taivu Point,Taivu Point,,-9.4126,160.3497,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,91.9,,,4,Pacific/Guadalcanal,FALSE,1090588513
Komukusua,Komukusua,,-9.7305,160.5963,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,5.2,,,5,Pacific/Guadalcanal,FALSE,1090385857
Seve,Seve,,-9.5511,160.5672,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,65.8,,,4,Pacific/Guadalcanal,FALSE,1090155820
Choghiri,Choghiri,,-9.8129,160.1800,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,7.6,,,5,Pacific/Guadalcanal,FALSE,1090282069
Kuchira,Kuchira,,-8.3364,159.8404,Solomon Islands,SB,SLB,Isabel,Isabel,SB-IS,province,,64.9,,,4,Pacific/Guadalcanal,FALSE,1090638861
Sauri,Sauri,,-9.8099,160.3167,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,22.7,,,4,Pacific/Guadalcanal,FALSE,1090933093
Marata,Marata,,-9.3333,161.2333,Solomon Islands,SB,SLB,Malaita,Malaita,SB-ML,province,,6.3,,,5,Pacific/Guadalcanal,FALSE,1090192758
Tambea,Tambea,Taba,-9.2642,159.6694,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,152.6,,,4,Pacific/Guadalcanal,FALSE,1090816113
Mamarei,Mamarei,Tsamburu|Chamburu|Mamarea,-9.2536,159.6825,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,152.6,,,4,Pacific/Guadalcanal,FALSE,1090403277
Tavulea,Tavulea,,-9.0898,160.3427,Solomon Islands,SB,SLB,Central,Central,SB-CE,province,,111.9,,,4,Pacific/Guadalcanal,FALSE,1090794584
Mbaloni,Mbaloni,,-9.4935,160.4654,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,98.9,,,4,Pacific/Guadalcanal,FALSE,1090449108
Takopikopi,Takopikopi,Tokopigopi,-9.1002,160.2354,Solomon Islands,SB,SLB,Central,Central,SB-CE,province,,27.2,,,4,Pacific/Guadalcanal,FALSE,1090002196
Mbuma,Mbuma,Manabuma Mission,-8.9655,160.7540,Solomon Islands,SB,SLB,Malaita,Malaita,SB-ML,province,,125.2,,,4,Pacific/Guadalcanal,FALSE,1090339810
Igwa,Igwa,,-9.1649,160.8790,Solomon Islands,SB,SLB,Malaita,Malaita,SB-ML,province,,20.0,,,4,Pacific/Guadalcanal,FALSE,1090372086
Tunoe,Tunoe,,-7.1232,156.8363,Solomon Islands,SB,SLB,Choiseul,Choiseul,SB-CH,province,,12.0,,,4,Pacific/Guadalcanal,FALSE,1090876239
Fouongge,Fouongge,,-8.9167,161.0667,Solomon Islands,SB,SLB,Malaita,Malaita,SB-ML,province,,78.9,,,4,Pacific/Guadalcanal,FALSE,1090424864
Houri,Houri,,-9.2494,161.0231,Solomon Islands,SB,SLB,Malaita,Malaita,SB-ML,province,,13.4,,,4,Pacific/Guadalcanal,FALSE,1090230827
Fukha,Fukha,,-8.1711,159.6339,Solomon Islands,SB,SLB,Isabel,Isabel,SB-IS,province,,48.0,,,4,Pacific/Guadalcanal,FALSE,1090643382
Foafora,Foafora,,-8.2522,159.5060,Solomon Islands,SB,SLB,Isabel,Isabel,SB-IS,province,,9.4,,,5,Pacific/Guadalcanal,FALSE,1090083328
Ferasimi,Ferasimi,,-8.6833,160.9500,Solomon Islands,SB,SLB,Malaita,Malaita,SB-ML,province,,38.7,,,4,Pacific/Guadalcanal,FALSE,1090048786
Narohei,Narohei,,-10.7500,161.8333,Solomon Islands,SB,SLB,Makira and Ulawa,Makira and Ulawa,SB-MK,province,,5.6,,,5,Pacific/Guadalcanal,FALSE,1090387574
Tuvukokichi,Tuvukokichi,,-9.5180,159.5901,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,25.9,,,4,Pacific/Guadalcanal,FALSE,1090321679
Tambalusu,Tambalusu,,-9.6758,160.1243,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,4.0,,,5,Pacific/Guadalcanal,FALSE,1090208743
Mole,Mole,Moli,-6.8333,156.5333,Solomon Islands,SB,SLB,Choiseul,Choiseul,SB-CH,province,,15.3,,,4,Pacific/Guadalcanal,FALSE,1090417216
Hambere,Hambere,Hamberi,-8.0138,156.9479,Solomon Islands,SB,SLB,Choiseul,Choiseul,SB-CH,province,,249.8,,,3,Pacific/Guadalcanal,FALSE,1090809924
Hakama,Hakama,,-9.1316,160.2928,Solomon Islands,SB,SLB,Central,Central,SB-CE,province,,31.4,,,4,Pacific/Guadalcanal,FALSE,1090492725
Takongga,Takongga,Tagongga|Tambugu|Takonga,-9.4769,159.6175,Solomon Islands,SB,SLB,Guadalcanal,Guadalcanal,SB-GU,province,,10.1,,,4,Pacific/Guadalcanal,FALSE,1090041469
