city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Koedoesfontein,Koedoesfontein,,-25.6605,26.4378,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,4.7,,,5,Africa/Johannesburg,FALSE,1710756497
Mount Blazes,Mount Blazes,Figiso,-31.9840,28.9857,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,114.8,,,4,Africa/Johannesburg,FALSE,1710117343
Dohne,Dohne,,-32.5295,27.4509,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,1.9,,,5,Africa/Johannesburg,FALSE,1710000038
Locatie van de Knopneuzen,Locatie van de Knopneuzen,Knopneuslokasie,-23.1479,30.5591,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,2.6,,,5,Africa/Johannesburg,FALSE,1710713356
Ommerin,Ommerin,,-29.6832,25.5599,South Africa,ZA,ZAF,Free State,Free State,ZA-FS,province,,0.5,,,5,Africa/Johannesburg,FALSE,1710149041
Nokayamatlala,Nokayamatlala,,-23.7000,29.0333,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,160.3,,,4,Africa/Johannesburg,FALSE,1710613375
Eerstegoud,Eerstegoud,,-23.9850,29.3510,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,30.6,,,3,Africa/Johannesburg,FALSE,1710245001
Magonata,Magonata,,-26.7345,23.2713,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,45.4,,,4,Africa/Johannesburg,FALSE,1710978327
Moria,Moria,,-23.9380,29.7910,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,437.3,,,3,Africa/Johannesburg,FALSE,1710648384
Mehloloaneng,Mehloloaneng,,-30.3590,28.6168,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,198.6,,,4,Africa/Johannesburg,FALSE,1710082517
Genoembies,Genoembies,,-30.3500,17.6667,South Africa,ZA,ZAF,Northern Cape,Northern Cape,ZA-NC,province,,0.1,,,5,Africa/Johannesburg,FALSE,1710441198
KuNtlamvukazi,KuNtlamvukazi,,-30.7725,29.6088,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,41.8,,,4,Africa/Johannesburg,FALSE,1710609814
Kalkoenkrans,Kalkoenkrans,,-29.9970,26.2029,South Africa,ZA,ZAF,Free State,Free State,ZA-FS,province,,0.6,,,5,Africa/Johannesburg,FALSE,1710961442
Kalkoenkrans,Kalkoenkrans,,-30.2926,26.0834,South Africa,ZA,ZAF,Free State,Free State,ZA-FS,province,,0.4,,,5,Africa/Johannesburg,TRUE,1710441130
Hermiston,Hermiston,,-33.5391,25.6818,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,16.5,,,4,Africa/Johannesburg,FALSE,1710087893
Lutshatsheni,Lutshatsheni,,-31.3833,29.2000,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,5.1,,,5,Africa/Johannesburg,FALSE,1710672404
KuCwalinkungu,KuCwalinkungu,,-30.8956,29.0497,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,19.5,,,4,Africa/Johannesburg,FALSE,1710504456
Dagbreek,Dagbreek,,-29.8587,25.9497,South Africa,ZA,ZAF,Free State,Free State,ZA-FS,province,,0.5,,,5,Africa/Johannesburg,FALSE,1710197615
KuMabangula,KuMabangula,,-31.7626,27.5622,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,242.5,,,3,Africa/Johannesburg,FALSE,1710610643
Mafikaneng,Mafikaneng,,-27.0424,23.9043,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,9.6,,,5,Africa/Johannesburg,FALSE,1710189055
Rocky Valley,Rocky Valley,,-31.8599,28.2114,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,37.4,,,4,Africa/Johannesburg,FALSE,1710879165
Lehlaka Park,Lehlaka Park,,-26.1666,29.1972,South Africa,ZA,ZAF,Mpumalanga,Mpumalanga,ZA-MP,province,,1396.9,,,3,Africa/Johannesburg,FALSE,1710655590
Elandsputte,Elandsputte,,-25.9717,26.0986,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,0.8,,,5,Africa/Johannesburg,FALSE,1710875011
Ku-Goeyana,Ku-Goeyana,,-31.2518,28.6101,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,190.8,,,4,Africa/Johannesburg,FALSE,1710650694
Somerset,Somerset,,-27.9190,32.2618,South Africa,ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,,4.2,,,5,Africa/Johannesburg,FALSE,1710815843
Sani Pass,Sani Pass,,-29.6569,29.4457,South Africa,ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,,1.2,,,5,Africa/Johannesburg,FALSE,1710456879
Kei and Bulhoek,Kei and Bulhoek,,-32.0500,26.5833,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,52.0,,,4,Africa/Johannesburg,FALSE,1710112273
KuDudumashe,KuDudumashe,Dudumashe,-31.8981,27.3502,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,97.0,,,4,Africa/Johannesburg,FALSE,1710329752
Dalibho,Dalibho,Dalibba,-29.3728,30.8996,South Africa,ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,,338.7,,,3,Africa/Johannesburg,FALSE,1710815385
Setateng,Setateng,,-23.5682,28.1049,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,1903.1,,,3,Africa/Johannesburg,FALSE,1710335549
Kubuge,Kubuge,Koboga,-26.9676,23.7236,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,0.8,,,5,Africa/Johannesburg,FALSE,1710828866
Middelplaas,Middelplaas,,-25.7181,31.5509,South Africa,ZA,ZAF,Mpumalanga,Mpumalanga,ZA-MP,province,,1917.3,,,3,Africa/Johannesburg,FALSE,1710170620
Ga-Mokopane,Ga-Mokopane,,-23.2903,28.9772,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,5.4,,,5,Africa/Johannesburg,FALSE,1710634318
Tshandtshe,Tshandtshe,,-31.3434,29.5130,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,730.3,,,3,Africa/Johannesburg,FALSE,1710557205
Lemoenkloof,Lemoenkloof,,-31.4813,26.9910,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,0.8,,,5,Africa/Johannesburg,FALSE,1710222554
Skietlegte,Skietlegte,,-31.6621,25.5343,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,0.6,,,5,Africa/Johannesburg,FALSE,1710863441
Kings Heights,Kings Heights,,-33.4333,26.6167,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,6.0,,,5,Africa/Johannesburg,FALSE,1710815696
Thabeng,Thabeng,,-25.1365,27.4615,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,270.3,,,3,Africa/Johannesburg,FALSE,1710480049
KuGilanqodo,KuGilanqodo,,-31.5727,27.9869,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,95.0,,,4,Africa/Johannesburg,FALSE,1710818216
Bergplaas,Bergplaas,,-30.5566,26.0492,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,0.3,,,5,Africa/Johannesburg,FALSE,1710596751
Mancam,Mancam,,-31.9058,28.8144,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,133.7,,,4,Africa/Johannesburg,FALSE,1710501430
Die Barakke,Die Barakke,,-33.9333,23.5042,South Africa,ZA,ZAF,Western Cape,Western Cape,ZA-WC,province,,1.0,,,5,Africa/Johannesburg,FALSE,1710475922
Swartboom,Swartboom,,-25.0400,28.1322,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,538.1,,,3,Africa/Johannesburg,FALSE,1710351622
Mtingwevu,Mtingwevu,,-31.6947,27.5754,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,105.9,,,4,Africa/Johannesburg,FALSE,1710671970
Ga-Ishe,Ga-Ishe,,-24.4000,30.2833,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,190.5,,,4,Africa/Johannesburg,FALSE,1710708254
Cedara,Cedara,Cedara College|Cedara Agricultural College,-29.5478,30.2665,South Africa,ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,,50.2,,,4,Africa/Johannesburg,FALSE,1710399222
Mount Pleasant,Mount Pleasant,,-32.1333,28.8833,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,47.0,,,4,Africa/Johannesburg,FALSE,1710640241
Lugaqweni,Lugaqweni,,-31.5660,29.4369,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,0.5,,,5,Africa/Johannesburg,FALSE,1710403630
Mooifontein,Mooifontein,,-26.2517,25.6044,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,149.2,,,4,Africa/Johannesburg,FALSE,1710157876
Illovo,Illovo,,-30.1167,30.8500,South Africa,ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,,734.0,,,3,Africa/Johannesburg,FALSE,1710295061
Ka-Tshituugulwani,Ka-Tshituugulwani,,-23.1000,30.6333,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,220.9,,,3,Africa/Johannesburg,FALSE,1710257226
Ha-Mantsha,Ha-Mantsha,,-23.0790,29.7744,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,921.7,,,3,Africa/Johannesburg,FALSE,1710682783
Ntabangcuka,Ntabangcuka,Ntabencuka,-31.8103,29.2462,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,231.4,,,3,Africa/Johannesburg,FALSE,1710016965
Mooipan,Mooipan,,-28.9667,22.8167,South Africa,ZA,ZAF,Northern Cape,Northern Cape,ZA-NC,province,,0.1,,,5,Africa/Johannesburg,FALSE,1710477128
Brospan,Brospan,,-30.3963,21.0110,South Africa,ZA,ZAF,Northern Cape,Northern Cape,ZA-NC,province,,0.1,,,5,Africa/Johannesburg,FALSE,1710416667
Mogononong,Mogononong,,-27.0483,23.7931,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,38.5,,,4,Africa/Johannesburg,FALSE,1710984873
Damfontein,Damfontein,,-29.2389,27.3106,South Africa,ZA,ZAF,Free State,Free State,ZA-FS,province,,3.9,,,5,Africa/Johannesburg,FALSE,1710349902
Damfontein,Damfontein,,-29.4290,26.3542,South Africa,ZA,ZAF,Free State,Free State,ZA-FS,province,,0.6,,,5,Africa/Johannesburg,TRUE,1710822476
Austins Post,Austins Post,,-29.5283,25.7934,South Africa,ZA,ZAF,Free State,Free State,ZA-FS,province,,0.6,,,5,Africa/Johannesburg,FALSE,1710296684
Metsikgetlane,Metsikgetlane,,-25.3354,26.6231,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,0.9,,,5,Africa/Johannesburg,FALSE,1710614990
Ntuthunga,Ntuthunga,,-28.4616,31.9284,South Africa,ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,,166.9,,,4,Africa/Johannesburg,FALSE,1710467812
Upper Clifton,Upper Clifton,,-32.3306,26.1327,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,0.8,,,5,Africa/Johannesburg,FALSE,1710568068
Xanthia,Xanthia,,-24.8343,31.1486,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,627.2,,,3,Africa/Johannesburg,FALSE,1710368065
KuBeke,KuBeke,,-31.6429,28.3289,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,297.3,,,3,Africa/Johannesburg,FALSE,1710555483
Ngoele,Ngoele,,-32.8000,26.9167,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,179.0,,,4,Africa/Johannesburg,FALSE,1710296243
Klipfontein,Klipfontein,,-27.3244,23.9740,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,1.6,,,5,Africa/Johannesburg,FALSE,1710259257
Ga-Lebelo,Ga-Lebelo,,-23.6426,28.6961,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,122.7,,,4,Africa/Johannesburg,FALSE,1710730918
Koppie,Koppie,,-29.4545,26.5712,South Africa,ZA,ZAF,Free State,Free State,ZA-FS,province,,0.5,,,5,Africa/Johannesburg,FALSE,1710295554
Kommetjie,Kommetjie,,-27.2004,31.0781,South Africa,ZA,ZAF,Mpumalanga,Mpumalanga,ZA-MP,province,,19.7,,,4,Africa/Johannesburg,FALSE,1710054821
Ga-Ramotsekwane,Ga-Ramotsekwane,,-27.1677,23.8913,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,191.0,,,4,Africa/Johannesburg,FALSE,1710800155
KwaSaba,KwaSaba,,-31.6895,28.4817,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,129.1,,,4,Africa/Johannesburg,FALSE,1710830891
Bayview,Bayview,,-32.6713,28.3009,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,2.2,,,5,Africa/Johannesburg,FALSE,1710783342
Moripane,Moripane,,-24.7742,29.8156,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,217.2,,,3,Africa/Johannesburg,FALSE,1710489775
Moloporivier,Moloporivier,Molopo River,-25.7258,24.2832,South Africa,ZA,ZAF,North West,North West,ZA-NW,province,,1.5,,,5,Africa/Johannesburg,FALSE,1710270576
Ga-Modikana,Ga-Modikana,,-23.6397,29.1933,South Africa,ZA,ZAF,Limpopo,Limpopo,ZA-LP,province,,954.1,,,3,Africa/Johannesburg,FALSE,1710895868
Sonstraal,Sonstraal,,-27.1214,22.4643,South Africa,ZA,ZAF,Northern Cape,Northern Cape,ZA-NC,province,,0.4,,,5,Africa/Johannesburg,FALSE,1710076741
Appelsbosch,Appelsbosch,Appelbos,-29.3847,30.8467,South Africa,ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,,466.4,,,3,Africa/Johannesburg,FALSE,1710529601
Qamdobowa,Qamdobowa,,-33.0157,27.1039,South Africa,ZA,ZAF,Eastern Cape,Eastern Cape,ZA-EC,province,,236.2,,,3,Africa/Johannesburg,FALSE,1710642652
