city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Johannesburg,Johannesburg,,-26.2044,28.0456,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,admin,2697.6,8500000,4434827,1,Africa/Johannesburg,FALSE,1710550792
"Cape Town","Cape Town",Kaapstad,-33.9253,18.4239,"South Africa",ZA,ZAF,"Western Cape","Western Cape",ZA-WC,province,primary,1938.3,4770313,4770313,1,Africa/Johannesburg,FALSE,1710680650
Soweto,Soweto,Mpanzaville,-26.2678,27.8585,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,,6358.1,1271628,1271628,1,Africa/Johannesburg,FALSE,1710627007
Gqeberha,Gqeberha,"Port Elizabeth",-33.9581,25.6000,"South Africa",ZA,ZAF,"Eastern Cape","Eastern Cape",ZA-EC,province,,3854.8,967677,967677,2,Africa/Johannesburg,FALSE,1710918997
Pietermaritzburg,Pietermaritzburg,Maritzburg|Pietermaritsburg,-29.6167,30.3833,"South Africa",ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,admin,3199.2,839327,839327,2,Africa/Johannesburg,FALSE,1710690280
Durban,Durban,"Port Natal",-29.8833,31.0500,"South Africa",ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,,2375.5,838634,536644,2,Africa/Johannesburg,FALSE,1710149138
Pretoria,Pretoria,,-25.7461,28.1881,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,primary,1078.0,741651,741651,1,Africa/Johannesburg,FALSE,1710176249
Rustenburg,Rustenburg,,-25.6667,27.2428,"South Africa",ZA,ZAF,"North West","North West",ZA-NW,province,,1945.9,549575,549575,2,Africa/Johannesburg,FALSE,1710326039
Newcastle,Newcastle,,-27.7464,29.9328,"South Africa",ZA,ZAF,KwaZulu-Natal,KwaZulu-Natal,ZA-KZN,,,651.0,507710,507710,2,Africa/Johannesburg,FALSE,1710031016
"East London","East London",Oos-Londen,-33.0175,27.9047,"South Africa",ZA,ZAF,"Eastern Cape","Eastern Cape",ZA-EC,province,,3054.7,478676,478676,2,Africa/Johannesburg,FALSE,1710178149
Katlehong,Katlehong,,-26.3333,28.1500,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,,8451.8,467890,467890,2,Africa/Johannesburg,FALSE,1710975690
Khayelitsha,Khayelitsha,,-34.0403,18.6778,"South Africa",ZA,ZAF,"Western Cape","Western Cape",ZA-WC,province,,10120.1,391749,391749,2,Africa/Johannesburg,FALSE,1710736316
Randburg,Randburg,,-26.0936,28.0064,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,,2006.5,337053,337053,2,Africa/Johannesburg,FALSE,1710279034
Roodepoort,Roodepoort,Roodeport-Maraisburg,-26.1625,27.8725,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,,2021.2,326416,326416,2,Africa/Johannesburg,FALSE,1710090212
"Mitchells Plain","Mitchells Plain",,-34.0506,18.6181,"South Africa",ZA,ZAF,"Western Cape","Western Cape",ZA-WC,province,,7095.2,310485,310485,2,Africa/Johannesburg,FALSE,1710549821
Boksburg,Boksburg,,-26.2125,28.2625,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,,1603.5,260321,260321,2,Africa/Johannesburg,FALSE,1710932183
Bloemfontein,Bloemfontein,,-29.1167,26.2167,"South Africa",ZA,ZAF,"Free State","Free State",ZA-FS,province,primary,1084.7,256185,256185,1,Africa/Johannesburg,FALSE,1710495933
Germiston,Germiston,,-26.2178,28.1672,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,,1785.9,255863,255863,2,Africa/Johannesburg,FALSE,1710366382
Centurion,Centurion,Verwoerdburg,-25.8603,28.1894,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,,598.9,236580,236580,2,Africa/Johannesburg,FALSE,1710138774
Kimberley,Kimberley,,-28.7383,24.7639,"South Africa",ZA,ZAF,"Northern Cape","Northern Cape",ZA-NC,province,admin,2490.7,225160,225160,2,Africa/Johannesburg,FALSE,1710282622
Sandton,Sandton,,-26.1070,28.0517,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,,1549.5,222415,222415,2,Africa/Johannesburg,FALSE,1710113163
Klerksdorp,Klerksdorp,,-26.8667,26.6667,"South Africa",ZA,ZAF,"North West","North West",ZA-NW,province,,1759.9,186515,186515,2,Africa/Johannesburg,FALSE,1710416691
Bethelsdorp,Bethelsdorp,,-33.8833,25.5000,"South Africa",ZA,ZAF,"Eastern Cape","Eastern Cape",ZA-EC,province,,4970.3,182012,182012,2,Africa/Johannesburg,FALSE,1710792781
"Kempton Park","Kempton Park",,-26.1000,28.2333,"South Africa",ZA,ZAF,Gauteng,Gauteng,ZA-GP,,,1151.1,171575,171575,2,Africa/Johannesburg,FALSE,1710287070
