city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Rangaba,Rangaba,,3.7924,30.6086,South Sudan,SS,SSD,Central Equatoria,Central Equatoria,SS-EC,state,,132.4,,,4,Africa/Juba,FALSE,1728449604
Ayowangen,Ayowangen,,9.5733,31.6635,South Sudan,SS,SSD,Upper Nile,Upper Nile,SS-NU,state,,272.8,,,3,Africa/Juba,FALSE,1728082614
Ayowangen,Ayowangen,,9.9803,32.0438,South Sudan,SS,SSD,Upper Nile,Upper Nile,SS-NU,state,,16.3,,,4,Africa/Juba,TRUE,1728944741
Apida,Apida,,9.2676,33.7746,South Sudan,SS,SSD,Upper Nile,Upper Nile,SS-NU,state,,14.3,,,4,Africa/Juba,FALSE,1728562469
Aliab,Aliab,‘Alīyāb,7.4692,29.1026,South Sudan,SS,SSD,Warrap,Warrap,SS-WR,state,,13.6,,,4,Africa/Juba,FALSE,1728216292
Pakarit,Pakarit,,4.1131,30.9606,South Sudan,SS,SSD,Central Equatoria,Central Equatoria,SS-EC,state,,43.3,,,4,Africa/Juba,FALSE,1728148249
Kerthiang,Kerthiang,,8.1151,30.0300,South Sudan,SS,SSD,Unity,Unity,SS-UY,state,,29.1,,,4,Africa/Juba,FALSE,1728167647
Burugila,Burugila,,7.6895,33.0597,South Sudan,SS,SSD,Jonglei,Jonglei,SS-JG,state,,23.1,,,4,Africa/Juba,FALSE,1728824021
Nyarkweth,Nyarkweth,,8.6084,32.8657,South Sudan,SS,SSD,Upper Nile,Upper Nile,SS-NU,state,,27.5,,,4,Africa/Juba,FALSE,1728135021
Majak,Majak,,8.6192,33.8169,South Sudan,SS,SSD,Upper Nile,Upper Nile,SS-NU,state,,33.0,,,4,Africa/Juba,FALSE,1728950818
Majak,Majak,,8.4311,33.7981,South Sudan,SS,SSD,Upper Nile,Upper Nile,SS-NU,state,,33.0,,,4,Africa/Juba,TRUE,1728276015
Nyaing,Nyaing,,4.2947,31.6257,South Sudan,SS,SSD,Central Equatoria,Central Equatoria,SS-EC,state,,34.1,,,4,Africa/Juba,FALSE,1728284478
Biu,Biu,,9.6542,30.3345,South Sudan,SS,SSD,Unity,Unity,SS-UY,state,,15.1,,,4,Africa/Juba,FALSE,1728807647
Fanyau,Fanyau,,8.4092,31.7416,South Sudan,SS,SSD,Jonglei,Jonglei,SS-JG,state,,23.4,,,4,Africa/Juba,FALSE,1728935913
Bengengai,Bengengai,Benderi,4.8547,27.7507,South Sudan,SS,SSD,Western Equatoria,Western Equatoria,SS-EW,state,,15.3,,,4,Africa/Juba,FALSE,1728321612
Dok,Dok,,8.9785,27.8311,South Sudan,SS,SSD,Warrap,Warrap,SS-WR,state,,47.7,,,4,Africa/Juba,FALSE,1728484368
Dok,Dok,,8.3539,28.3552,South Sudan,SS,SSD,Warrap,Warrap,SS-WR,state,,27.3,,,4,Africa/Juba,TRUE,1728187207
Agoran,Agoran,Aguran,6.3018,30.1265,South Sudan,SS,SSD,Western Equatoria,Western Equatoria,SS-EW,state,,12.9,,,4,Africa/Juba,FALSE,1728893242
Alek,Alek,,8.6743,28.1684,South Sudan,SS,SSD,Warrap,Warrap,SS-WR,state,,64.8,,,4,Africa/Juba,FALSE,1728602377
Gai,Gai,Gay,7.1813,30.2184,South Sudan,SS,SSD,Unity,Unity,SS-UY,state,,16.0,,,4,Africa/Juba,FALSE,1728862276
Abu Kirsh,Abu Kirsh,Abū Kirsh,8.1726,27.4435,South Sudan,SS,SSD,Western Bahr el Ghazal,Western Bahr el Ghazal,SS-BW,state,,17.6,,,4,Africa/Juba,FALSE,1728146890
Fadai,Fadai,,7.0656,28.0773,South Sudan,SS,SSD,Western Bahr el Ghazal,Western Bahr el Ghazal,SS-BW,state,,17.6,,,4,Africa/Juba,FALSE,1728070437
Hasan Furawi,Hasan Furawi,,9.4002,25.4496,South Sudan,SS,SSD,Western Bahr el Ghazal,Western Bahr el Ghazal,SS-BW,state,,1.2,,,5,Africa/Juba,FALSE,1728762052
Lil,Lil,,9.0508,29.0909,South Sudan,SS,SSD,Unity,Unity,SS-UY,state,,46.9,,,4,Africa/Juba,FALSE,1728732205
Lil,Lil,,9.1816,29.6103,South Sudan,SS,SSD,Unity,Unity,SS-UY,state,,46.4,,,4,Africa/Juba,TRUE,1728452279
Karotho Post,Karotho Post,Karotho,5.1833,35.8333,South Sudan,SS,SSD,Eastern Equatoria,Eastern Equatoria,SS-EE,state,,5.6,,,5,Africa/Juba,FALSE,1728865525
Nyantim,Nyantim,,9.2822,32.0607,South Sudan,SS,SSD,Upper Nile,Upper Nile,SS-NU,state,,9.5,,,5,Africa/Juba,FALSE,1728995736
Longalia,Longalia,,4.7615,33.5933,South Sudan,SS,SSD,Eastern Equatoria,Eastern Equatoria,SS-EE,state,,450.9,,,3,Africa/Juba,FALSE,1728124425
Fanyang,Fanyang,,8.9584,30.7599,South Sudan,SS,SSD,Jonglei,Jonglei,SS-JG,state,,21.8,,,4,Africa/Juba,FALSE,1728121233
Fanyang,Fanyang,,9.2680,30.6808,South Sudan,SS,SSD,Jonglei,Jonglei,SS-JG,state,,21.8,,,4,Africa/Juba,TRUE,1728288166
Fanyang,Fanyang,,7.7172,31.7412,South Sudan,SS,SSD,Jonglei,Jonglei,SS-JG,state,,14.7,,,4,Africa/Juba,TRUE,1728495431
Mirsala,Mirsala,,5.1330,30.5480,South Sudan,SS,SSD,Western Equatoria,Western Equatoria,SS-EW,state,,14.6,,,4,Africa/Juba,FALSE,1728654520
Agok,Agok,,8.5580,27.9414,South Sudan,SS,SSD,Northern Bahr el Ghazal,Northern Bahr el Ghazal,SS-BN,state,,36.1,,,4,Africa/Juba,FALSE,1728257085
Agok,Agok,,9.0060,27.2416,South Sudan,SS,SSD,Northern Bahr el Ghazal,Northern Bahr el Ghazal,SS-BN,state,,22.1,,,4,Africa/Juba,TRUE,1728956785
Toruk,Toruk,,7.9511,31.4405,South Sudan,SS,SSD,Jonglei,Jonglei,SS-JG,state,,14.7,,,4,Africa/Juba,FALSE,1728777720
Majok,Majok,,9.1002,27.0604,South Sudan,SS,SSD,Northern Bahr el Ghazal,Northern Bahr el Ghazal,SS-BN,state,,32.1,,,4,Africa/Juba,FALSE,1728908447
Majok,Majok,,8.9833,26.8833,South Sudan,SS,SSD,Northern Bahr el Ghazal,Northern Bahr el Ghazal,SS-BN,state,,32.1,,,4,Africa/Juba,TRUE,1728565434
