city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Lagunazo,Lagunazo,,37.6322,-7.1676,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,autonomous community,,18.5,,,4,Europe/Madrid,FALSE,1724988804
Los Ramírez,Los Ramirez,Cortijada Los Ramirez,37.1460,-2.0632,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,autonomous community,,13.5,,,4,Europe/Madrid,FALSE,1724093896
El Guincho,El Guincho,Salinas del Guincho,28.0539,-16.7367,Spain,ES,ESP,Canary Islands,Canary Islands,ES-CN,autonomous community,,1113.6,,,3,Atlantic/Canary,FALSE,1724510282
El Guincho,El Guincho,,28.3667,-16.7167,Spain,ES,ESP,Canary Islands,Canary Islands,ES-CN,autonomous community,,292.0,,,3,Atlantic/Canary,TRUE,1724083216
Hormaza,Hormaza,,42.3222,-3.9206,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,7.2,,,4,Europe/Madrid,FALSE,1724518840
La Revilla de Calatañazor,La Revilla de Calatanazor,Calatañazor|La Revilla,41.6473,-2.7310,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,2.9,,,4,Europe/Madrid,FALSE,1724120337
Ulizarna,Ulizarna,,42.3486,-2.9816,Spain,ES,ESP,La Rioja,La Rioja,ES-RI,autonomous community,,4.9,,,5,Europe/Madrid,FALSE,1724369632
Las Vertientes,Las Vertientes,,37.5957,-2.3963,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,autonomous community,,11.8,,,4,Europe/Madrid,FALSE,1724536258
Carbajal de Rueda,Carbajal de Rueda,,42.6935,-5.1843,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,5.2,,,5,Europe/Madrid,FALSE,1724844364
Salviejo,Salviejo,,43.1829,-3.3786,Spain,ES,ESP,Basque Country,Basque Country,ES-PV,autonomous community,,20.8,,,4,Europe/Madrid,FALSE,1724196531
Redipollos,Redipollos,,43.0028,-5.2563,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,4.2,,,5,Europe/Madrid,FALSE,1724654870
El Arenal,El Arenal,Cortijo El Arenal|Casa del Arenal,38.0677,-1.0023,Spain,ES,ESP,Valencia,Valencia,ES-VC,autonomous community,,273.7,,,3,Europe/Madrid,FALSE,1724016253
Vallebrón,Vallebron,,28.5667,-13.9167,Spain,ES,ESP,Canary Islands,Canary Islands,ES-CN,autonomous community,,139.7,,,4,Atlantic/Canary,FALSE,1724537744
Pescador,Pescador,,37.1430,-6.3417,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,autonomous community,,10.8,,,4,Europe/Madrid,FALSE,1724000255
Carballeira,Carballeira,,42.4167,-7.7667,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,30.9,,,4,Europe/Madrid,FALSE,1724085942
Abenfigo,Abenfigo,Abendiego,40.8149,-0.2739,Spain,ES,ESP,Aragon,Aragon,ES-AR,autonomous community,,3.6,,,5,Europe/Madrid,FALSE,1724628662
Sauquillo de Boñices,Sauquillo de Bonices,,41.5837,-2.3386,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,1.8,,,5,Europe/Madrid,FALSE,1724051576
Combarros,Combarros,,42.5192,-6.1257,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,3.4,,,5,Europe/Madrid,FALSE,1724358179
Caserío El Pozuelo,Caserio El Pozuelo,Cortijo del Pozuelo,37.3500,-3.6500,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,autonomous community,,258.5,,,3,Europe/Madrid,FALSE,1724509277
Las Presillas,Las Presillas,,43.3256,-3.9794,Spain,ES,ESP,Cantabria,Cantabria,ES-CB,autonomous community,,87.0,,,4,Europe/Madrid,FALSE,1724464075
Soutullos,Soutullos,,42.8339,-8.6647,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,102.5,,,4,Europe/Madrid,FALSE,1724185303
Balsicas,Balsicas,,37.8182,-0.9564,Spain,ES,ESP,Murcia,Murcia,ES-MC,autonomous community,,210.9,,,3,Europe/Madrid,FALSE,1724036888
Heros,Heros,,43.5500,-5.9333,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,3290.4,,,2,Europe/Madrid,FALSE,1724262261
Caserío Bulumor,Caserio Bulumor,Caserío de Bulumar,36.9148,-3.2093,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,autonomous community,,10.5,,,4,Europe/Madrid,FALSE,1724112048
Arnuid,Arnuid,La Iglesia|Santa María,42.1953,-7.6178,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,14.4,,,4,Europe/Madrid,FALSE,1724011847
Llaborre,Llaborre,,42.6090,1.1517,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,autonomous community,,3.8,,,5,Europe/Madrid,FALSE,1724577285
Lago,Lago,,42.7870,-5.9176,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,13.1,,,4,Europe/Madrid,FALSE,1724000289
Fozana,Fozana,,43.3667,-5.7333,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,249.2,,,3,Europe/Madrid,FALSE,1724732215
Sela,Sela,Santa Marina,42.1000,-8.3500,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,76.7,,,4,Europe/Madrid,FALSE,1724494506
Rebollar,Rebollar,,43.3962,-5.6546,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,249.2,,,3,Europe/Madrid,FALSE,1724170050
Rebollar,Rebollar,,43.3102,-5.5526,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,57.8,,,4,Europe/Madrid,TRUE,1724669568
Rebollar,Rebollar,,42.9443,-6.6072,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,13.6,,,4,Europe/Madrid,TRUE,1724051215
Labacengos,Labacengos,Santa María,43.5667,-7.9667,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,29.0,,,4,Europe/Madrid,FALSE,1724414174
Aspuru,Aspuru,,42.9115,-2.4476,Spain,ES,ESP,Basque Country,Basque Country,ES-PV,autonomous community,,30.1,,,4,Europe/Madrid,FALSE,1724234622
Los Calpes,Los Calpes,Caserío Los Calpes,40.0667,-0.5833,Spain,ES,ESP,Valencia,Valencia,ES-VC,autonomous community,,5.6,,,5,Europe/Madrid,FALSE,1724010551
La Población,La Poblacion,,43.0298,-3.9463,Spain,ES,ESP,Cantabria,Cantabria,ES-CB,autonomous community,,10.9,,,4,Europe/Madrid,FALSE,1724759751
Morentán,Morentan,,43.0939,-6.8323,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,5.0,,,5,Europe/Madrid,FALSE,1724473265
Los Barciales,Los Barciales,Caserío Los Barciales,38.4167,-6.4833,Spain,ES,ESP,Extremadura,Extremadura,ES-EX,autonomous community,,24.0,,,4,Europe/Madrid,FALSE,1724902397
Bárcena de Ebro,Barcena de Ebro,,42.8522,-4.0361,Spain,ES,ESP,Cantabria,Cantabria,ES-CB,autonomous community,,4.0,,,4,Europe/Madrid,FALSE,1724795960
Vilaboa,Vilaboa,,42.7534,-8.9043,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,315.3,,,3,Europe/Madrid,FALSE,1724920052
Vilaboa,Vilaboa,San Vicente,43.6000,-8.0500,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,82.4,,,4,Europe/Madrid,TRUE,1724056843
Vilaboa,Vilaboa,,42.2826,-7.0452,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,3.5,,,5,Europe/Madrid,TRUE,1724842724
San Xil,San Xil,,42.7664,-7.2705,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,11.2,,,4,Europe/Madrid,FALSE,1724078743
Villar de Roguero,Villar de Roguero,,43.0320,-6.4876,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,17.3,,,4,Europe/Madrid,FALSE,1724802080
La Pea,La Pea,,39.6000,-0.6833,Spain,ES,ESP,Valencia,Valencia,ES-VC,autonomous community,,240.8,,,3,Europe/Madrid,FALSE,1724667338
Valfermoso de las Monjas,Valfermoso de las Monjas,,40.8708,-2.8837,Spain,ES,ESP,Castille-La Mancha,Castille-La Mancha,ES-CM,autonomous community,,3.3,,,5,Europe/Madrid,FALSE,1724588091
Armental,Armental,,43.5173,-6.7248,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,141.3,,,4,Europe/Madrid,FALSE,1724000156
Gastrar,Gastrar,,42.8500,-8.4189,Spain,ES,ESP,Galicia,Galicia,ES-GA,autonomous community,,62.5,,,4,Europe/Madrid,FALSE,1724276845
Atalayón,Atalayon,,37.5333,-1.1333,Spain,ES,ESP,Murcia,Murcia,ES-MC,autonomous community,,457.8,,,3,Europe/Madrid,FALSE,1724407570
Camallera,Camallera,,42.1234,2.9624,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,autonomous community,,86.1,,,4,Europe/Madrid,FALSE,1724890731
Tórtola,Tortola,,39.9231,-2.1417,Spain,ES,ESP,Castille-La Mancha,Castille-La Mancha,ES-CM,autonomous community,,1.8,,,4,Europe/Madrid,FALSE,1724320496
El Cantón,El Canton,Caserío El Cantón|Cantón,38.3014,-0.9827,Spain,ES,ESP,Murcia,Murcia,ES-MC,autonomous community,,230.3,,,3,Europe/Madrid,FALSE,1724617554
Busprid,Busprid,,43.1721,-5.4003,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,5.9,,,5,Europe/Madrid,FALSE,1724086293
Parets de Dalt,Parets de Dalt,,42.1695,2.8814,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,autonomous community,,16.0,,,4,Europe/Madrid,FALSE,1724220371
Santalla,Santalla,,42.5000,-6.6833,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,30.2,,,4,Europe/Madrid,FALSE,1724829744
Vega del Castillo,Vega del Castillo,,42.1594,-6.4087,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,1.9,,,4,Europe/Madrid,FALSE,1724069419
Trebé,Trebe,,43.4515,-6.8753,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,19.2,,,4,Europe/Madrid,FALSE,1724935495
Pinilla Ambroz,Pinilla Ambroz,,41.0523,-4.3536,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,6.8,,,5,Europe/Madrid,FALSE,1724638807
Sanzo,Sanzo,,43.2501,-6.8640,Spain,ES,ESP,Asturias,Asturias,ES-AS,autonomous community,,4.9,,,5,Europe/Madrid,FALSE,1724536988
Serrallonga,Serrallonga,Casas Serrallonga,38.7000,0.0500,Spain,ES,ESP,Valencia,Valencia,ES-VC,autonomous community,,205.5,,,3,Europe/Madrid,FALSE,1724362030
Cerro Pelado,Cerro Pelado,Caserío Cerro Pelado,38.1333,-3.6833,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,autonomous community,,318.8,,,3,Europe/Madrid,FALSE,1724076684
Canaleja,Canaleja,,37.9047,-6.7788,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,autonomous community,,21.7,,,4,Europe/Madrid,FALSE,1724225979
La Esglayeta,La Esglayeta,Esglayeta,39.6562,2.6432,Spain,ES,ESP,Balearic Islands,Balearic Islands,ES-IB,autonomous community,,998.6,,,3,Europe/Madrid,FALSE,1724876836
El Tío Miguelete,El Tio Miguelete,Barrio El Tío Miguelete,40.4505,-1.9465,Spain,ES,ESP,Castille-La Mancha,Castille-La Mancha,ES-CM,autonomous community,,5.7,,,5,Europe/Madrid,FALSE,1724721848
Pozo de la Higuera,Pozo de la Higuera,Caserío Casas del Pozo la Higuera|Casas del Pozo la Higuera,38.7908,-1.2392,Spain,ES,ESP,Castille-La Mancha,Castille-La Mancha,ES-CM,autonomous community,,13.7,,,4,Europe/Madrid,FALSE,1724590142
Navalcaballo,Navalcaballo,Navalcaballos,41.6828,-2.5318,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,autonomous community,,5.2,,,5,Europe/Madrid,FALSE,1724391167
Monreal,Monreal,,42.7000,-1.5000,Spain,ES,ESP,Navarre,Navarre,ES-NC,autonomous community,,24.3,,,4,Europe/Madrid,FALSE,1724948305
