city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Madrid,Madrid,,40.4169,-3.7033,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",primary,4550.2,6211000,3266126,1,Europe/Madrid,FALSE,1724616994
Barcelona,Barcelona,,41.3828,2.1769,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",admin,4477.6,4800000,1620343,1,Europe/Madrid,FALSE,1724594040
Valencia,Valencia,Valenza|Valence|València,39.4700,-0.3764,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",admin,5998.5,1595000,807693,1,Europe/Madrid,FALSE,1724981666
Sevilla,Sevilla,Siviglia|Seville|Hispalis,37.3900,-5.9900,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",admin,4858.1,1100000,684025,1,Europe/Madrid,FALSE,1724991838
Málaga,Malaga,,36.7194,-4.4200,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",minor,1484.6,967250,586384,2,Europe/Madrid,FALSE,1724397372
Bilbao,Bilbao,Biscaya|Bilboa,43.2569,-2.9236,Spain,ES,ESP,"Basque Country","Basque Country",ES-PV,"autonomous community",minor,8319.6,775000,346096,2,Europe/Madrid,FALSE,1724331267
Zaragoza,Zaragoza,"Saragosse|Caesarea Augusta|Caesaraugusta|Saragossa|Zargoza",41.6500,-0.8833,Spain,ES,ESP,Aragon,Aragon,ES-AR,"autonomous community",admin,700.9,682513,682513,2,Europe/Madrid,FALSE,1724907391
Murcia,Murcia,,37.9861,-1.1303,Spain,ES,ESP,Murcia,Murcia,ES-MC,"autonomous community",admin,532.0,672773,469177,2,Europe/Madrid,FALSE,1724107739
"Las Palmas","Las Palmas","Las Palmas de Gran Canaria|Palmas",28.1258,-15.4353,Spain,ES,ESP,"Canary Islands","Canary Islands",ES-CN,"autonomous community",admin,6315.3,635000,635000,2,Atlantic/Canary,FALSE,1724501748
Palma,Palma,"Palma de Mallorca",39.5667,2.6500,Spain,ES,ESP,"Balearic Islands","Balearic Islands",ES-IB,"autonomous community",admin,2029.2,550000,423350,2,Europe/Madrid,FALSE,1724728111
"Santa Cruz","Santa Cruz","Santa Cruz de Tenerife",28.4667,-16.2500,Spain,ES,ESP,"Canary Islands","Canary Islands",ES-CN,"autonomous community",admin,1390.8,538000,209395,2,Atlantic/Canary,FALSE,1724813158
Alicante,Alicante,Alacant,38.3453,-0.4831,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",minor,1735.4,349282,349282,2,Europe/Madrid,FALSE,1724923163
Córdoba,Cordoba,Cardoue|Corduba|Cordova|Cordoue,37.8845,-4.7796,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",minor,258.4,323763,323763,2,Europe/Madrid,FALSE,1724706440
Valladolid,Valladolid,,41.6528,-4.7236,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,"autonomous community",admin,1503.0,297459,297459,2,Europe/Madrid,FALSE,1724133771
Vigo,Vigo,,42.2314,-8.7124,Spain,ES,ESP,Galicia,Galicia,ES-GA,"autonomous community",,2692.6,293652,293652,2,Europe/Madrid,FALSE,1724045676
Gijón,Gijon,Xixón,43.5333,-5.7000,Spain,ES,ESP,Asturias,Asturias,ES-AS,"autonomous community",,1455.8,268313,268313,2,Europe/Madrid,FALSE,1724170659
Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria,42.8500,-2.6833,Spain,ES,ESP,"Basque Country","Basque Country",ES-PV,"autonomous community",admin,924.4,255886,255886,2,Europe/Madrid,FALSE,1724975338
"A Coruña","A Coruna","Caronium|La Corogne|The Groyne|Corunna|La Coruña|Puerto de la Coruña",43.3650,-8.4100,Spain,ES,ESP,Galicia,Galicia,ES-GA,"autonomous community",minor,6613.0,247604,247604,2,Europe/Madrid,FALSE,1724417375
Elche,Elche,Elx,38.2669,-0.6983,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",,730.7,238293,238293,2,Europe/Madrid,FALSE,1724611437
Granada,Granada,Granata|Grenade,37.1781,-3.6008,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",minor,2619.8,230595,230595,2,Europe/Madrid,FALSE,1724929320
Badalona,Badalona,,41.4489,2.2461,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",,10658.3,225957,225957,2,Europe/Madrid,FALSE,1724090334
Tarrasa,Tarrasa,,41.5700,2.0130,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",,3209.1,225277,225277,2,Europe/Madrid,FALSE,1724377964
Petrel,Petrel,,38.4789,-0.7967,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",,325.3,218843,33914,2,Europe/Madrid,FALSE,1724000064
Sabadell,Sabadell,,41.5486,2.1075,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",,5775.1,218300,218300,2,Europe/Madrid,FALSE,1724348384
Cartagena,Cartagena,,37.6000,-0.9833,Spain,ES,ESP,Murcia,Murcia,ES-MC,"autonomous community",,390.7,218050,218050,2,Europe/Madrid,FALSE,1724143241
Oviedo,Oviedo,,43.3600,-5.8450,Spain,ES,ESP,Asturias,Asturias,ES-AS,"autonomous community",admin,1165.7,217584,217584,2,Europe/Madrid,FALSE,1724090743
"Jerez de la Frontera","Jerez de la Frontera","Jarez de la Frontera|Jerez",36.6817,-6.1378,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,179.5,213231,213231,2,Europe/Madrid,FALSE,1724866806
Móstoles,Mostoles,,40.3333,-3.8667,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,5262.7,209639,208761,2,Europe/Madrid,FALSE,1724412875
Pamplona,Pamplona,Iruña,42.8167,-1.6500,Spain,ES,ESP,Navarre,Navarre,ES-NC,"autonomous community",admin,8737.2,205762,205762,2,Europe/Madrid,FALSE,1724483329
Almería,Almeria,Unci,36.8403,-2.4681,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",minor,677.1,200578,200578,2,Europe/Madrid,FALSE,1724745640
"Alcalá de Henares","Alcala de Henares",,40.4667,-3.3667,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,2650.2,196888,196888,2,Europe/Madrid,FALSE,1724663253
Leganés,Leganes,,40.3281,-3.7644,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,4434.7,190665,190665,2,Europe/Madrid,FALSE,1724900225
Donostia,Donostia,"Donostia-San Sebastián|San Sebastián",43.3214,-1.9856,Spain,ES,ESP,"Basque Country","Basque Country",ES-PV,"autonomous community",minor,3099.7,188743,188743,2,Europe/Madrid,FALSE,1724910555
Fuenlabrada,Fuenlabrada,,40.2833,-3.8000,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,4789.0,188736,188736,2,Europe/Madrid,FALSE,1724000348
Getafe,Getafe,Cotafe,40.3047,-3.7311,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,2360.9,185899,185899,2,Europe/Madrid,FALSE,1724750196
"Castellón de la Plana","Castellon de la Plana","Castellón|Castelló de la Plana",39.9831,-0.0331,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",minor,1583.0,176238,176238,2,Europe/Madrid,FALSE,1724579885
Burgos,Burgos,,42.3500,-3.7067,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,"autonomous community",minor,1629.2,174451,174451,2,Europe/Madrid,FALSE,1724993285
Albacete,Albacete,,38.9956,-1.8558,Spain,ES,ESP,"Castille-La Mancha","Castille-La Mancha",ES-CM,"autonomous community",minor,153.8,173206,173206,2,Europe/Madrid,FALSE,1724000069
Santander,Santander,,43.4628,-3.8050,Spain,ES,ESP,Cantabria,Cantabria,ES-CB,"autonomous community",admin,4787.3,172726,172726,2,Europe/Madrid,FALSE,1724247413
Alcorcón,Alcorcon,,40.3500,-3.8333,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,4466.3,171772,171772,2,Europe/Madrid,FALSE,1724318578
Guadalajara,Guadalajara,,40.6337,-3.1674,Spain,ES,ESP,"Castille-La Mancha","Castille-La Mancha",ES-CM,"autonomous community",minor,377.9,161683,89010,2,Europe/Madrid,FALSE,1724317859
"La Laguna","La Laguna","San Cristóbal de La Laguna",28.4853,-16.3167,Spain,ES,ESP,"Canary Islands","Canary Islands",ES-CN,"autonomous community",,1558.2,159034,159034,2,Atlantic/Canary,FALSE,1724625025
Marbella,Marbella,,36.5167,-4.8833,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,1367.4,156295,156295,2,Europe/Madrid,FALSE,1724685705
Logroño,Logrono,,42.4650,-2.4456,Spain,ES,ESP,"La Rioja","La Rioja",ES-RI,"autonomous community",admin,1892.5,150583,150583,2,Europe/Madrid,FALSE,1724721513
Badajoz,Badajoz,,38.8803,-6.9753,Spain,ES,ESP,Extremadura,Extremadura,ES-EX,"autonomous community",minor,102.2,150190,150190,2,Europe/Madrid,FALSE,1724759742
Salamanca,Salamanca,,40.9650,-5.6642,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,"autonomous community",minor,3638.9,143954,143954,2,Europe/Madrid,FALSE,1724960825
Lleida,Lleida,Lérida,41.6167,0.6333,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",minor,674.0,143094,143094,2,Europe/Madrid,FALSE,1724114678
Huelva,Huelva,,37.2500,-6.9500,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",minor,956.6,142532,142532,2,Europe/Madrid,FALSE,1724420824
"Dos Hermanas","Dos Hermanas",,37.2836,-5.9222,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,865.8,138981,138981,2,Europe/Madrid,FALSE,1724272711
Tarragona,Tarragona,,41.1175,1.2528,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",minor,2387.9,138262,138262,2,Europe/Madrid,FALSE,1724296961
Parla,Parla,,40.2372,-3.7742,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,5444.3,133004,133004,2,Europe/Madrid,FALSE,1724153608
Mataró,Mataro,,41.5333,2.4500,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",,6203.7,129120,128956,2,Europe/Madrid,FALSE,1724901780
"Torrejón de Ardoz","Torrejon de Ardoz","Torrejon de Ardos",40.4614,-3.4978,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,3913.0,127132,127132,2,Europe/Madrid,FALSE,1724711203
Algeciras,Algeciras,"Al Jezita",36.1275,-5.4539,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,1437.7,123639,123639,2,Europe/Madrid,FALSE,1724355681
León,Leon,,42.6056,-5.5700,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,"autonomous community",minor,5195.8,122051,120951,2,Europe/Madrid,FALSE,1724907542
Alcobendas,Alcobendas,,40.5333,-3.6333,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,2618.8,117041,117041,2,Europe/Madrid,FALSE,1724354998
Jaén,Jaen,,37.7667,-3.7711,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",minor,263.7,111888,111888,2,Europe/Madrid,FALSE,1724699771
Cádiz,Cadiz,Gadir|Gades|Cadiz,36.5350,-6.2975,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",minor,9240.6,111811,111811,2,Europe/Madrid,FALSE,1724502822
Reus,Reus,,41.1560,1.1080,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",,2054.5,108479,108479,2,Europe/Madrid,FALSE,1724192207
"Roquetas de Mar","Roquetas de Mar",Roquetas,36.7642,-2.6147,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,1775.2,106510,106510,2,Europe/Madrid,FALSE,1724749177
Girona,Girona,Gerona,41.9844,2.8211,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",minor,2668.0,104320,104320,2,Europe/Madrid,FALSE,1724386661
Ourense,Ourense,Orense|Oranse,42.3364,-7.8633,Spain,ES,ESP,Galicia,Galicia,ES-GA,"autonomous community",minor,1223.6,104250,104250,2,Europe/Madrid,FALSE,1724571895
Telde,Telde,,27.9833,-15.4167,Spain,ES,ESP,"Canary Islands","Canary Islands",ES-CN,"autonomous community",,1177.1,102769,102472,2,Atlantic/Canary,FALSE,1724281666
"San Vicente de Baracaldo","San Vicente de Baracaldo",Baracaldo,43.2972,-2.9917,Spain,ES,ESP,"Basque Country","Basque Country",ES-PV,"autonomous community",,3444.3,101229,101229,2,Europe/Madrid,FALSE,1724451934
Vaciamadrid,Vaciamadrid,,40.3394,-3.5181,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,1492.7,100250,100250,2,Europe/Madrid,FALSE,1724369937
"Santiago de Compostela","Santiago de Compostela",Santiago,42.8778,-8.5444,Spain,ES,ESP,Galicia,Galicia,ES-GA,"autonomous community",admin,448.6,98687,98687,2,Europe/Madrid,FALSE,1724547778
Lorca,Lorca,,37.6798,-1.6944,Spain,ES,ESP,Murcia,Murcia,ES-MC,"autonomous community",,58.7,98447,98447,3,Europe/Madrid,FALSE,1724565149
Lugo,Lugo,,43.0167,-7.5500,Spain,ES,ESP,Galicia,Galicia,ES-GA,"autonomous community",minor,295.8,98214,98214,3,Europe/Madrid,FALSE,1724547526
"Las Rozas de Madrid","Las Rozas de Madrid","Las Rozas|Pas Rozas de Madrid|Rozas de Madrid",40.4917,-3.8733,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,1658.5,98086,98086,3,Europe/Madrid,FALSE,1724629395
"San Cugat del Vallés","San Cugat del Valles","Sant Cugat del Vallès|San Cugat de Vallés|San Cugat",41.4667,2.0833,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",,2023.4,97530,97530,2,Europe/Madrid,FALSE,1724196400
Cáceres,Caceres,,39.4833,-6.3667,Spain,ES,ESP,Extremadura,Extremadura,ES-EX,"autonomous community",minor,55.0,96215,96215,3,Europe/Madrid,FALSE,1724532670
"San Fernando","San Fernando","San Fernanando",36.4667,-6.2000,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,3064.5,93927,93927,2,Europe/Madrid,FALSE,1724235367
"San Sebastián de los Reyes","San Sebastian de los Reyes",,40.5469,-3.6258,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,1564.9,92734,92734,3,Europe/Madrid,FALSE,1724422840
Mijas,Mijas,,36.6000,-4.6333,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,616.2,91691,91691,3,Europe/Madrid,FALSE,1724011980
"El Ejido","El Ejido","Barriada El Ejido|Ejido",36.7831,-2.8167,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,396.4,89975,89975,3,Europe/Madrid,FALSE,1724399333
"El Puerto de Santa María","El Puerto de Santa Maria","El Puerto de Santa María",36.6015,-6.2381,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,564.9,89813,89813,3,Europe/Madrid,FALSE,1724087455
Torrevieja,Torrevieja,,37.9778,-0.6833,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",,1249.9,89290,89290,3,Europe/Madrid,FALSE,1724485635
"Chiclana de la Frontera","Chiclana de la Frontera",Chiclana,36.4167,-6.1500,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,431.8,88709,88709,3,Europe/Madrid,FALSE,1724794663
Torrente,Torrente,,39.4389,-0.4656,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",,1260.4,87295,87295,3,Europe/Madrid,FALSE,1724305866
"Ciudad de Melilla","Ciudad de Melilla",Melilla|Russadir|Rusadir|M’lila|Millela|Rusaddir,35.3000,-2.9500,Spain,ES,ESP,Melilla,Melilla,ES-ML,"autonomous city",,12882.1,86261,85170,2,Africa/Ceuta,FALSE,1724144891
Toledo,Toledo,,39.8567,-4.0244,Spain,ES,ESP,"Castille-La Mancha","Castille-La Mancha",ES-CM,"autonomous community",admin,370.8,86070,86070,2,Europe/Madrid,FALSE,1724171411
Fuengirola,Fuengirola,,36.5417,-4.6250,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,8254.4,85598,85598,2,Europe/Madrid,FALSE,1724094287
Vélez-Málaga,Velez-Malaga,,36.7833,-4.1000,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,540.4,85377,85377,3,Europe/Madrid,FALSE,1724206889
Arona,Arona,,28.1000,-16.6667,Spain,ES,ESP,"Canary Islands","Canary Islands",ES-CN,"autonomous community",,1042.3,85249,85249,3,Atlantic/Canary,FALSE,1724300501
"San Baudilio de Llobregat","San Baudilio de Llobregat","San Baudilio",41.3360,2.0430,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",,3903.2,83919,83919,2,Europe/Madrid,FALSE,1724214083
"Talavera de la Reina","Talavera de la Reina","Talavera del Tajo",39.9583,-4.8328,Spain,ES,ESP,"Castille-La Mancha","Castille-La Mancha",ES-CM,"autonomous community",,600.6,83477,83247,3,Europe/Madrid,FALSE,1724716966
"Ciudad de Ceuta","Ciudad de Ceuta","Ceuta|Eptadelfos|Sebta|Septem Fratres|Septa|Cueta",35.8883,-5.3156,Spain,ES,ESP,Ceuta,Ceuta,ES-CE,"autonomous city",,4488.6,83039,83039,2,Africa/Ceuta,FALSE,1724324416
Pontevedra,Pontevedra,,42.4333,-8.6333,Spain,ES,ESP,Galicia,Galicia,ES-GA,"autonomous community",minor,699.4,82535,82535,3,Europe/Madrid,FALSE,1724789643
Valdemoro,Valdemoro,,40.1908,-3.6742,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,1267.8,81394,81394,3,Europe/Madrid,FALSE,1724347455
Orihuela,Orihuela,,38.0856,-0.9469,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",,273.7,80784,80784,3,Europe/Madrid,FALSE,1724864615
Rubí,Rubi,,41.4933,2.0325,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",,2478.1,80044,80044,2,Europe/Madrid,FALSE,1724552367
Manresa,Manresa,,41.7294,1.8272,Spain,ES,ESP,Catalonia,Catalonia,ES-CT,"autonomous community",,1896.1,78877,78877,3,Europe/Madrid,FALSE,1724989137
Gandía,Gandia,,38.9667,-0.1833,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",,1284.7,78108,78108,3,Europe/Madrid,FALSE,1724131747
Estepona,Estepona,,36.4264,-5.1472,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,561.9,76975,76975,3,Europe/Madrid,FALSE,1724460361
"Alcalá de Guadaira","Alcala de Guadaira",,37.3333,-5.8500,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,269.0,76547,76547,3,Europe/Madrid,FALSE,1724537443
Palencia,Palencia,,42.0167,-4.5333,Spain,ES,ESP,Castille-Leon,Castille-Leon,ES-CL,"autonomous community",minor,805.9,76331,76331,3,Europe/Madrid,FALSE,1724682403
"Molina de Segura","Molina de Segura",Molina,38.0548,-1.2131,Spain,ES,ESP,Murcia,Murcia,ES-MC,"autonomous community",,448.8,76074,76074,3,Europe/Madrid,FALSE,1724074824
Benalmádena,Benalmadena,,36.6000,-4.5167,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,2786.8,75801,75801,2,Europe/Madrid,FALSE,1724108022
Avilés,Aviles,,43.5561,-5.9083,Spain,ES,ESP,Asturias,Asturias,ES-AS,"autonomous community",,2816.8,75518,75518,2,Europe/Madrid,FALSE,1724815050
"Ciudad Real","Ciudad Real",,38.9833,-3.9167,Spain,ES,ESP,"Castille-La Mancha","Castille-La Mancha",ES-CM,"autonomous community",minor,264.2,75303,75303,3,Europe/Madrid,FALSE,1724671059
Paterna,Paterna,,39.5028,-0.4406,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",,1670.2,73488,73488,3,Europe/Madrid,FALSE,1724974310
Majadahonda,Majadahonda,,40.4728,-3.8722,Spain,ES,ESP,Madrid,Madrid,ES-MD,"autonomous community",,1885.3,72548,72548,3,Europe/Madrid,FALSE,1724482447
Benidorm,Benidorm,Benidorme,38.5342,-0.1314,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",,1878.5,72342,72342,3,Europe/Madrid,FALSE,1724178356
Torremolinos,Torremolinos,Toremolinos-Málaga|Torremolinos-Málaga,36.6218,-4.5003,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,3521.7,70434,70434,2,Europe/Madrid,FALSE,1724424815
Sagunto,Sagunto,,39.6764,-0.2733,Spain,ES,ESP,Valencia,Valencia,ES-VC,"autonomous community",,531.3,70128,70128,3,Europe/Madrid,FALSE,1724302941
"Sanlúcar de Barrameda","Sanlucar de Barrameda","Sunlucar de Barrameda",36.7667,-6.3500,Spain,ES,ESP,Andalusia,Andalusia,ES-AN,"autonomous community",,408.4,69805,69805,3,Europe/Madrid,FALSE,1724096650
