city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Uragasmanhandiya,Uragasmanhandiya,,6.3500,80.1000,Sri Lanka,LK,LKA,Southern,Southern,LK-3,province,,993.4,,,3,Asia/Colombo,FALSE,1144104209
Pallegama,Pallegama,,6.3287,80.8487,Sri Lanka,LK,LKA,Sabaragamuwa,Sabaragamuwa,LK-9,province,,2120.3,,,2,Asia/Colombo,FALSE,1144192235
Pallegama,Pallegama,,7.1752,80.3706,Sri Lanka,LK,LKA,Sabaragamuwa,Sabaragamuwa,LK-9,province,,771.9,,,3,Asia/Colombo,TRUE,1144121966
Pallegama,Pallegama,,6.5072,80.6657,Sri Lanka,LK,LKA,Sabaragamuwa,Sabaragamuwa,LK-9,province,,611.6,,,3,Asia/Colombo,TRUE,1144955819
Pallegama,Pallegama,,6.9878,80.3285,Sri Lanka,LK,LKA,Sabaragamuwa,Sabaragamuwa,LK-9,province,,233.8,,,3,Asia/Colombo,TRUE,1144500525
Tikiriudanapura,Tikiriudanapura,,6.2947,81.2954,Sri Lanka,LK,LKA,Southern,Southern,LK-3,province,,286.8,,,3,Asia/Colombo,FALSE,1144668021
Paranagantenna,Paranagantenna,Paranagantenne,7.4705,80.5689,Sri Lanka,LK,LKA,Central,Central,LK-2,province,,401.7,,,3,Asia/Colombo,FALSE,1144866772
Bellana,Bellana,,6.5237,80.1765,Sri Lanka,LK,LKA,Western,Western,LK-1,province,,607.8,,,3,Asia/Colombo,FALSE,1144597737
Dambuluwana,Dambuluwana,,6.7105,80.3324,Sri Lanka,LK,LKA,Sabaragamuwa,Sabaragamuwa,LK-9,province,,316.5,,,3,Asia/Colombo,FALSE,1144295794
Uragala,Uragala,,7.0196,80.3153,Sri Lanka,LK,LKA,Sabaragamuwa,Sabaragamuwa,LK-9,province,,699.6,,,3,Asia/Colombo,FALSE,1144875214
Galpadiya,Galpadiya,,6.8487,81.2481,Sri Lanka,LK,LKA,Uva,Uva,LK-8,province,,173.3,,,4,Asia/Colombo,FALSE,1144066678
Miranda,Miranda,,7.4261,79.8522,Sri Lanka,LK,LKA,North Western,North Western,LK-6,province,,721.8,,,3,Asia/Colombo,FALSE,1144882166
Galpata,Galpata,,6.6284,80.0176,Sri Lanka,LK,LKA,Western,Western,LK-1,province,,668.3,,,3,Asia/Colombo,FALSE,1144043993
Weherakele,Weherakele,,7.6852,79.8246,Sri Lanka,LK,LKA,North Western,North Western,LK-6,province,,227.2,,,3,Asia/Colombo,FALSE,1144687546
Kiranaulpotha,Kiranaulpotha,Kiranaulpota,7.0633,80.9696,Sri Lanka,LK,LKA,Uva,Uva,LK-8,province,,160.0,,,4,Asia/Colombo,FALSE,1144642984
Vaihena,Vaihena,Weihena|Weyihena|Welhena,6.2982,80.2463,Sri Lanka,LK,LKA,Southern,Southern,LK-3,province,,348.0,,,3,Asia/Colombo,FALSE,1144690614
Kumbukmulla,Kumbukmulla,,6.1483,80.7948,Sri Lanka,LK,LKA,Southern,Southern,LK-3,province,,345.7,,,3,Asia/Colombo,FALSE,1144781133
Vannankailupuliyankulam,Vannankailupuliyankulam,,8.7526,80.2017,Sri Lanka,LK,LKA,North Central,North Central,LK-7,province,,29.8,,,4,Asia/Colombo,FALSE,1144916400
Hapuwala,Hapuwala,,7.1667,80.7667,Sri Lanka,LK,LKA,Central,Central,LK-2,province,,768.5,,,3,Asia/Colombo,FALSE,1144185562
Hanwana,Hanwana,,6.5333,80.7167,Sri Lanka,LK,LKA,Sabaragamuwa,Sabaragamuwa,LK-9,province,,135.9,,,4,Asia/Colombo,FALSE,1144939315
Kohomankulama,Kohomankulama,,8.0262,80.2140,Sri Lanka,LK,LKA,North Western,North Western,LK-6,province,,370.0,,,3,Asia/Colombo,FALSE,1144397128
Haliamulla,Haliamulla,,7.4839,80.5290,Sri Lanka,LK,LKA,North Western,North Western,LK-6,province,,560.3,,,3,Asia/Colombo,FALSE,1144794447
Olugaskada,Olugaskada,,8.6694,80.6280,Sri Lanka,LK,LKA,Northern,Northern,LK-4,province,,9.8,,,5,Asia/Colombo,FALSE,1144777640
Silavatturai,Silavatturai,Silavaturai|Silvatturai,8.7467,79.9478,Sri Lanka,LK,LKA,North Central,North Central,LK-7,province,,205.6,,,3,Asia/Colombo,FALSE,1144113787
Damanegama,Damanegama,,7.3833,81.4000,Sri Lanka,LK,LKA,Uva,Uva,LK-8,province,,5.6,,,5,Asia/Colombo,FALSE,1144984082
Padikkalamadu Colony,Padikkalamadu Colony,,8.2167,80.7500,Sri Lanka,LK,LKA,Northern,Northern,LK-4,province,,177.9,,,4,Asia/Colombo,FALSE,1144295648
Dodamwatta,Dodamwatta,,6.8476,81.3448,Sri Lanka,LK,LKA,Uva,Uva,LK-8,province,,1245.2,,,3,Asia/Colombo,FALSE,1144485356
Tittawelpota,Tittawelpota,,6.4731,80.7523,Sri Lanka,LK,LKA,Sabaragamuwa,Sabaragamuwa,LK-9,province,,193.9,,,4,Asia/Colombo,FALSE,1144575425
Maha Watagala,Maha Watagala,,7.8667,80.5667,Sri Lanka,LK,LKA,Northern,Northern,LK-4,province,,222.6,,,3,Asia/Colombo,FALSE,1144772437
Morapanawa,Morapanawa,,8.1727,79.8996,Sri Lanka,LK,LKA,North Western,North Western,LK-6,province,,47.1,,,4,Asia/Colombo,FALSE,1144722033
Kotatimbulewa,Kotatimbulewa,Kotakimbulewa,7.8333,80.2000,Sri Lanka,LK,LKA,North Western,North Western,LK-6,province,,160.7,,,4,Asia/Colombo,FALSE,1144552162
Walapanewatta,Walapanewatta,,7.1226,80.8473,Sri Lanka,LK,LKA,Central,Central,LK-2,province,,345.4,,,3,Asia/Colombo,FALSE,1144206432
Kalioda,Kalioda,,7.3000,81.8500,Sri Lanka,LK,LKA,Eastern,Eastern,LK-5,province,,373.4,,,3,Asia/Colombo,FALSE,1144307022
Nagolla,Nagolla,,7.4500,80.6167,Sri Lanka,LK,LKA,Central,Central,LK-2,province,,4548.5,,,2,Asia/Colombo,FALSE,1144606521
Nagolla,Nagolla,,7.3667,80.8833,Sri Lanka,LK,LKA,Central,Central,LK-2,province,,151.5,,,4,Asia/Colombo,TRUE,1144404829
Kalagahakivula,Kalagahakivula,,6.8720,81.2408,Sri Lanka,LK,LKA,Uva,Uva,LK-8,province,,207.9,,,3,Asia/Colombo,FALSE,1144032855
Weditibbagala,Weditibbagala,,8.5805,80.4579,Sri Lanka,LK,LKA,Northern,Northern,LK-4,province,,103.7,,,4,Asia/Colombo,FALSE,1144041654
