city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Um ‘Ush Al Faki,Um `Ush Al Faki,,12.7337,31.5480,Sudan,SD,SDN,North Kordofan,North Kordofan,SD-KN,state,,39.2,,,4,Africa/Khartoum,FALSE,1729836350
El Howila,El Howila,,19.2167,32.6833,Sudan,SD,SDN,River Nile,River Nile,SD-NR,state,,3.3,,,5,Africa/Khartoum,FALSE,1729572176
Meikhaha,Meikhaha,,14.5500,30.7500,Sudan,SD,SDN,North Kordofan,North Kordofan,SD-KN,state,,6.2,,,5,Africa/Khartoum,FALSE,1729202201
Dunkuj,Dunkuj,,12.8333,32.8167,Sudan,SD,SDN,White Nile,White Nile,SD-NW,state,,57.5,,,4,Africa/Khartoum,FALSE,1729676759
Al ‘Ubayd,Al `Ubayd,El ‘Ubeid,14.1000,33.7667,Sudan,SD,SDN,Gezira,Gezira,SD-GZ,state,,924.3,,,3,Africa/Khartoum,FALSE,1729341386
An Nuzul,An Nuzul,,12.6343,32.7902,Sudan,SD,SDN,White Nile,White Nile,SD-NW,state,,57.1,,,4,Africa/Khartoum,FALSE,1729106745
Rās Alfīl,Ras Alfil,,14.4028,32.8976,Sudan,SD,SDN,Gezira,Gezira,SD-GZ,state,,163.2,,,4,Africa/Khartoum,FALSE,1729653568
Abū Ruf,Abu Ruf,,17.2167,34.6667,Sudan,SD,SDN,River Nile,River Nile,SD-NR,state,,10.2,,,4,Africa/Khartoum,FALSE,1729307314
Dugdug,Dugdug,,9.7444,28.1794,Sudan,SD,SDN,West Kordofan,West Kordofan,SD-GK,state,,7.4,,,5,Africa/Khartoum,FALSE,1729336199
Al Hoi,Al Hoi,El Hoi,12.1000,31.2500,Sudan,SD,SDN,South Kordofan,South Kordofan,SD-KS,state,,25.2,,,4,Africa/Khartoum,FALSE,1729277918
Maielfa,Maielfa,,11.3333,34.0333,Sudan,SD,SDN,Blue Nile,Blue Nile,SD-NB,state,,25.8,,,4,Africa/Khartoum,FALSE,1729033393
Gauri,Gauri,,13.4549,23.9001,Sudan,SD,SDN,North Darfur,North Darfur,SD-DN,state,,157.1,,,4,Africa/Khartoum,FALSE,1729106123
Ash Shūsh,Ash Shush,Esh Shush,12.2667,32.6500,Sudan,SD,SDN,White Nile,White Nile,SD-NW,state,,15.6,,,4,Africa/Khartoum,FALSE,1729057160
‘Ayn al Luwayqah,`Ayn al Luwayqah,An Al Luweqa|Ain el Luweiqa|Ein el Lueiqa|‘Ein el Luweiqa,14.1667,33.9167,Sudan,SD,SDN,Gezira,Gezira,SD-GZ,state,,68.9,,,4,Africa/Khartoum,FALSE,1729605189
Singeiwa,Singeiwa,,12.0833,24.6000,Sudan,SD,SDN,South Darfur,South Darfur,SD-DS,state,,64.1,,,4,Africa/Khartoum,FALSE,1729855197
Hillat ed Dom,Hillat ed Dom,Ed Dom|Ad Dawm,16.0332,32.5847,Sudan,SD,SDN,Khartoum,Khartoum,SD-KH,state,,263.8,,,3,Africa/Khartoum,FALSE,1729394589
Fitnah,Fitnah,Fitna,18.4333,31.8000,Sudan,SD,SDN,Northern,Northern,SD-NO,state,,11.5,,,4,Africa/Khartoum,FALSE,1729164622
Qaryat Hamad Naalla,Qaryat Hamad Naalla,,17.3985,33.8813,Sudan,SD,SDN,River Nile,River Nile,SD-NR,state,,10.2,,,4,Africa/Khartoum,FALSE,1729871370
Ayak Umm Rakūbah,Ayak Umm Rakubah,Ayak Umm Rukuba,12.4500,29.4667,Sudan,SD,SDN,West Kordofan,West Kordofan,SD-GK,state,,22.5,,,4,Africa/Khartoum,FALSE,1729681164
Hayafa,Hayafa,,12.9333,35.8833,Sudan,SD,SDN,Gedaref,Gedaref,SD-GD,state,,23.2,,,4,Africa/Khartoum,FALSE,1729806488
Megauda,Megauda,Megabda,18.3167,30.7000,Sudan,SD,SDN,Northern,Northern,SD-NO,state,,1.5,,,5,Africa/Khartoum,FALSE,1729509593
Qoz el Motraq,Qoz el Motraq,,16.6314,33.2338,Sudan,SD,SDN,River Nile,River Nile,SD-NR,state,,30.3,,,4,Africa/Khartoum,FALSE,1729377525
Sewa Woga,Sewa Woga,,11.3598,23.3434,Sudan,SD,SDN,Central Darfur,Central Darfur,SD-DC,state,,18.6,,,4,Africa/Khartoum,FALSE,1729551932
Wad Abū Ghazāl,Wad Abu Ghazal,,13.2000,34.8167,Sudan,SD,SDN,Gedaref,Gedaref,SD-GD,state,,63.2,,,4,Africa/Khartoum,FALSE,1729002626
Jādīd,Jadid,,11.0198,31.7302,Sudan,SD,SDN,South Kordofan,South Kordofan,SD-KS,state,,8.6,,,5,Africa/Khartoum,FALSE,1729285798
‘Ujayjah,`Ujayjah,Egeiga,15.7333,32.5333,Sudan,SD,SDN,Khartoum,Khartoum,SD-KH,state,,339.5,,,3,Africa/Khartoum,FALSE,1729960638
Hureiz,Hureiz,Hereiz,12.0500,23.8833,Sudan,SD,SDN,South Darfur,South Darfur,SD-DS,state,,110.9,,,4,Africa/Khartoum,FALSE,1729733297
Kerow,Kerow,Kerkow,13.5000,31.4000,Sudan,SD,SDN,North Kordofan,North Kordofan,SD-KN,state,,39.2,,,4,Africa/Khartoum,FALSE,1729367164
Dibs,Dibs,Dibbis,12.5667,24.2333,Sudan,SD,SDN,South Darfur,South Darfur,SD-DS,state,,86.2,,,4,Africa/Khartoum,FALSE,1729709233
Shin Tashrab,Shin Tashrab,,11.9370,34.2933,Sudan,SD,SDN,Blue Nile,Blue Nile,SD-NB,state,,167.0,,,4,Africa/Khartoum,FALSE,1729589003
Daffāq,Daffaq,Daffag,11.2167,25.0833,Sudan,SD,SDN,South Darfur,South Darfur,SD-DS,state,,222.8,,,3,Africa/Khartoum,FALSE,1729571214
Taftish Wad Sulfāb,Taftish Wad Sulfab,,14.6866,33.3185,Sudan,SD,SDN,Gezira,Gezira,SD-GZ,state,,181.2,,,4,Africa/Khartoum,FALSE,1729666480
Tambūl,Tambul,,14.9344,33.4305,Sudan,SD,SDN,Gezira,Gezira,SD-GZ,state,,88.3,,,4,Africa/Khartoum,FALSE,1729502787
Abū Maţāriq,Abu Matariq,Abu Matirik,10.9667,26.2833,Sudan,SD,SDN,East Darfur,East Darfur,SD-DE,state,,35.8,,,4,Africa/Khartoum,FALSE,1729824743
Sabi‘ Dulayb,Sabi` Dulayb,Sabi‘ Doleib,14.0000,33.6167,Sudan,SD,SDN,Gezira,Gezira,SD-GZ,state,,214.0,,,3,Africa/Khartoum,FALSE,1729269864
El Basaber Hillat el Mda,El Basaber Hillat el Mda,,16.5195,32.9910,Sudan,SD,SDN,River Nile,River Nile,SD-NR,state,,30.3,,,4,Africa/Khartoum,FALSE,1729616300
Hillat al Huda,Hillat al Huda,,15.6653,35.4157,Sudan,SD,SDN,Kassala,Kassala,SD-KA,state,,76.9,,,4,Africa/Khartoum,FALSE,1729084122
Ar Rijela As Sūq,Ar Rijela As Suq,,12.7501,31.0691,Sudan,SD,SDN,North Kordofan,North Kordofan,SD-KN,state,,39.2,,,4,Africa/Khartoum,FALSE,1729988452
Ar Rihedāt,Ar Rihedat,Rahad,12.7344,31.4303,Sudan,SD,SDN,North Kordofan,North Kordofan,SD-KN,state,,39.2,,,4,Africa/Khartoum,FALSE,1729104361
Jabal ad Dūd,Jabal ad Dud,,11.3452,31.2324,Sudan,SD,SDN,South Kordofan,South Kordofan,SD-KS,state,,8.6,,,5,Africa/Khartoum,FALSE,1729712604
Abu Witid,Abu Witid,,13.4440,32.4153,Sudan,SD,SDN,White Nile,White Nile,SD-NW,state,,117.4,,,4,Africa/Khartoum,FALSE,1729067709
